"Sélectif National 3 Slalom Est - Pontarlier - Qualification - 2018-04-15","Qualification","2018-04-15","Nationale 3","176"
"Sebastien Varin","C1H","199.77","659.3","1557.51",""
"Loric Bertrand Delorme","C1H","Abs","-","-",""
"Remy Perrin","C1H","Abs","-","-",""
"Bastien Caillet","C1H","Abs","-","-",""
"Erwan Degreve-Kilian Godart","C2H","128.21","437.23","578.85",""
"Philippe Senechal-Xavier Rat","C2H","137.28","588.99","688.33",""
"Theophile Didierjean-Stanislas Ledore","C2H","143.54","731.95","763.9",""
"Alexis Collin-Alicia Gallot","C2M","132.4","-","496.23",""
"Matthieu Walfard-Gaelle Delaborde","C2M","139.75","584.69","577.56",""
"Anais Mouhoub-Anthony Ulrich","C2M","142.55","-","608.55",""
"Gaelle Aumer-Olivier Urbain","C2M","144.85","531.07","634",""
"Caroline Scherer-Michel Bert","C2M","145.03","566.93","635.99",""
"Alexis Sevrez-Lucille Meunier-cheyssac","C2M","275.8","-","2083.03",""
"Zoe Laurent","K1D","118.37","440.11","422.12",""
"Mylene Guilcher","K1D","120.6","449.61","448.33",""
"Alicia Gallot","K1D","120.81","584.69","450.8",""
"Pauline Clerc","K1D","122.26","466.73","467.84",""
"Melyne Jost","K1D","123.4","418.62","481.24",""
"Mae Bianco","K1D","123.69","466.46","484.64",""
"Laurine Grandadam","K1D","123.79","625.18","485.82",""
"Lucille Meunier-cheyssac","K1D","126.04","493.1","512.26",""
"Maurine Laugel","K1D","128.01","506.84","535.4",""
"Marion Gillet","K1D","131.27","510.08","573.71",""
"Marlene Dumoulin","K1D","131.55","565.59","577",""
"Margaux Barbier","K1D","133.53","525.12","600.27",""
"Fiona Gille","K1D","135.36","481.95","621.78",""
"Maeva Auriol","K1D","135.45","495.39","622.83",""
"Maude Dominique","K1D","136.62","527.86","636.59",""
"Carole Dolmaire","K1D","143.38","667.67","716.02",""
"Sarah Rothenbuhler","K1D","149.49","669.5","787.82",""
"Lucile Bessot","K1D","149.88","909.12","792.4",""
"Heloise Pinon","K1D","150.3","706.88","797.34",""
"Audrey Masson","K1D","150.33","713.11","797.68",""
"Agathe Caillet","K1D","154.25","536.88","843.75",""
"Margaux Cornet","K1D","158.06","944.84","888.52",""
"Manon Bucher","K1D","160.89","947.77","921.78",""
"Paul Bostoen","K1H","96.66","346.63","314.67",""
"Baptiste Podor","K1H","97.12","284.34","320.78",""
"Marvin Tulpin","K1H","97.3","334.67","323.17",""
"Alexis Pacholak","K1H","97.41","296.38","324.63",""
"Jules Andrien","K1H","98.8","359.21","343.09",""
"Anthony Rouhier","K1H","99.5","316.46","352.38",""
"Anthony Ulrich","K1H","99.69","340.65","354.91",""
"Aurelien Merieux Danneaux","K1H","100.01","339.41","359.15",""
"Theo Reby","K1H","100.17","346.08","361.28",""
"Tanguy Malingre","K1H","100.27","385.6","362.61",""
"Leo Peter","K1H","100.31","316.95","363.14",""
"Charles Fernandes De Oliveira","K1H","100.94","322.17","371.5",""
"Antonin Robert","K1H","101.68","326.83","381.33",""
"Loic Trenchant","K1H","101.83","370.66","383.32",""
"Hugo Monasse","K1H","102.19","362.22","388.1",""
"Pierre-louis Gstalter","K1H","102.5","425.55","392.22",""
"Paul Frommer","K1H","102.68","376.21","394.61",""
"Damien Burteaux","K1H","103.21","360.99","401.65",""
"Erwan Degreve","K1H","104.05","399.72","412.8",""
"Olivier Urbain","K1H","105.31","359.08","429.53",""
"Nathan Barbier","K1H","105.39","348.25","430.59",""
"Simon Munch","K1H","105.69","399.41","434.58",""
"Eddy Cassard","K1H","105.97","367.41","438.3",""
"Louis Gasser","K1H","106.12","422.93","440.29",""
"Guillaume Schneider","K1H","106.63","443.74","447.06",""
"Matthieu Walfard","K1H","107.11","355.18","453.43",""
"Pierre Biagui","K1H","107.21","356.79","454.76",""
"Louis Pein","K1H","107.32","425.67","456.22",""
"Leonard Painteaux","K1H","107.44","416.17","457.81",""
"Arnaud Jamet","K1H","108.16","479.69","467.38",""
"Christophe Godinat","K1H","108.57","506.86","472.82",""
"Luca Gabelli","K1H","109.06","389.44","479.33",""
"Antoine Marion","K1H","109.26","467.15","481.98",""
"Theo Beucler","K1H","109.33","457.76","482.91",""
"Smail Mouhoub","K1H","110.19","467.83","494.33",""
"Axel Ganthier","K1H","110.51","471.4","498.58",""
"Nathan Frison","K1H","110.73","660.73","501.5",""
"Victor Henry","K1H","110.87","470.02","503.36",""
"Oskar Hillion","K1H","111.22","474.94","508.01",""
"Loic Bourgeois","K1H","111.42","440.76","510.66",""
"Paul Farrugio","K1H","111.53","506.74","512.12",""
"Loann Delle Dananchet","K1H","111.73","590.85","514.78",""
"Dyclan Plessis","K1H","111.76","503.79","515.18",""
"Matthieu Koffel","K1H","111.88","459.98","516.77",""
"Constant Jeandon","K1H","111.9","459.32","517.04",""
"Jonathan Ferreira","K1H","112.5","603.74","525",""
"Kilian Godart","K1H","112.7","303.84","527.66",""
"Matthew Vuillard","K1H","112.83","445.82","529.39",""
"Christophe Billaud","K1H","112.89","411.22","530.18",""
"Philippe Koffel","K1H","113.13","504.96","533.37",""
"Maxime Devis","K1H","113.33","603.59","536.03",""
"Patrick Gass","K1H","114.15","493","546.91",""
"Gauthier Principaud","K1H","114.49","723.8","551.43",""
"Vincent Idriss Achaoui","K1H","114.97","395.14","557.8",""
"Jules Latimier","K1H","115.24","447.86","561.39",""
"Gael Ettwiller","K1H","115.25","543.23","561.52",""
"Xavier Rat","K1H","115.3","497.24","562.18",""
"Louis Sibille","K1H","115.95","641.3","570.82",""
"Yann Mercier","K1H","116.05","609.14","572.14",""
"Arnaud Caillet","K1H","116.13","515.16","573.21",""
"Aymeric Dollat","K1H","116.18","470.2","573.87",""
"Virgile Bessot","K1H","116.28","592.62","575.2",""
"Luc Primet","K1H","116.85","753.83","582.77",""
"Sebastien Chapatte","K1H","117.31","489.72","588.88",""
"Samuel Tahaafe","K1H","117.67","499.34","593.66",""
"Gerard Menissier","K1H","118.12","480.34","599.63",""
"Lois Pignon","K1H","118.14","507.76","599.9",""
"Titouan Auriol","K1H","118.63","639.27","606.4",""
"Jean Guyot","K1H","119.97","604.17","624.2",""
"Alexandre L'huillier","K1H","120.26","572.64","628.05",""
"Paul Gstalter","K1H","120.33","998.49","628.98",""
"Seraphin Michelstahl","K1H","121.39","834.95","643.05",""
"Clement Fremy","K1H","122.21","616.28","653.94",""
"Mehdi Moussaid","K1H","122.8","656.68","661.77",""
"Jules Ferber","K1H","123.82","706.61","675.32",""
"Mattheo Szkuta","K1H","124.21","781.15","680.5",""
"Valentin Bostoen","K1H","124.9","631.54","689.66",""
"Alexandre Lambert","K1H","125.26","750.6","694.44",""
"Gilles Barthelemy","K1H","125.27","918.36","694.57",""
"Nicolas Bougnon","K1H","126.1","941.96","705.59",""
"Robin Giurlando","K1H","126.43","706.94","709.98",""
"Evan Trenchant","K1H","128.2","920.5","733.48",""
"Heino Leveque","K1H","128.98","832.59","743.84",""
"Gregoire Rozain","K1H","130.41","876.51","762.83",""
"Kevin Vienny","K1H","135.79","804.79","834.26",""
"Theophile Vincent","K1H","137.78","718.53","860.69",""
"Barnabe Sennelier","K1H","141.63","873.78","911.81",""
"Aloys Morel","K1H","147.22","942.57","986.04",""
"Maxence Raymond","K1H","149.51","726.94","1016.45",""
"Mathieu Jacquelin","K1H","153.92","926.04","1075.01",""
"Anthony Menissier","K1H","Abs","-","-",""
"Elias Elamri","K1H","Abs","-","-",""
"Loic Joly","K1H","Abs","-","-",""
"Maxime Pein","K1H","Abs","-","-",""
"Bastien Caillet","K1H","Abs","-","-",""
"Remy Perrin","K1H","Abs","-","-",""
"Pierre Aubry","K1H","Abs","-","-",""
"Leo Collard","K1H","Abs","-","-",""
