"Finale N3 Nord Ouest - Cesson-Sévigné - 2004-06-12","Course 1","2004-06-12","Nationale 3","171"
"Chevalier Yvane","K1D","329.11","553","873",""
"Charlotte Hay","K1D","333.22","475","896",""
"Suzanne Karine","K1D","342.78","632","949",""
"Landa Louise","K1D","391.10","560","1215",""
"Simon Despres","K1H","190.89","247","217",""
"Yoann Hautecloche","K1H","193.42","240","233",""
"Mathieu Godin","K1H","195.74","253","247",""
"Richard Davy","K1H","196.24","245","250",""
"Anthony Cadoret","K1H","196.63","279","252",""
"Herfray Francois","K1H","198.55","275","264",""
"Fabien Tournadre","K1H","200.32","214","274",""
"Melaine Pichard","K1H","200.75","275","277",""
"Paul Brier","K1H","201.13","215","279",""
"Kevin Gouabault","K1H","202.28","254","286",""
"Lebreton Simon","K1H","204.02","316","297",""
"Gardan Benjamin","K1H","204.28","351","299",""
"Ludovic Gloaguen","K1H","204.45","287","300",""
"Erwan Le Pen","K1H","204.53","297","300",""
"Cozigou Edouard","K1H","204.69","270","301",""
"Bertrand Avril","K1H","204.98","298","302",""
"Le Garrec Julien","K1H","205.22","340","304",""
"Froissard Arnaud","K1H","206.46","308","312",""
"Patrick Jegou","K1H","206.74","296","314",""
"Rossignol Yves","K1H","206.93","352","315",""
"Julien Vetele","K1H","207.45","314","317",""
"Jeansebastien Simonklein","K1H","212.55","298","348",""
"Nicolas Dupres","K1H","212.94","332","351",""
"Landa Thomas","K1H","214.28","320","359",""
"Vincent Gourmel","K1H","214.36","401","360",""
"Benjamin Thiboust","K1H","214.76","421","362",""
"Chaumier Florian","K1H","215.31","320","365",""
"Paul Fievet","K1H","215.46","416","366",""
"Pierre Yves Tanguy","K1H","215.46","338","366",""
"David Despierres","K1H","215.60","310","367",""
"Sinoir Mael","K1H","215.67","390","367",""
"Jean-noel Avril","K1H","216.24","398","371",""
"Olivier Roussel","K1H","216.41","306","372",""
"Laurent Van Poucke","K1H","216.47","370","372",""
"Rogue Clement","K1H","218.77","433","386",""
"Bastien Pailler","K1H","220.41","304","396",""
"Le Bris Pierrick","K1H","220.90","413","399",""
"Romain Richard","K1H","221.91","409","405",""
"Sebastien Delaunay","K1H","222.25","376","408",""
"Boivin Xavier","K1H","222.47","325","409",""
"Despont Tristan","K1H","222.55","381","409",""
"Philippe Rocher","K1H","223.55","342","415",""
"Madec Christophe","K1H","223.56","435","415",""
"Reuche Benjamin","K1H","224.15","409","419",""
"Guyomard Julien","K1H","224.55","405","421",""
"Verger Nicolas","K1H","224.98","438","424",""
"Barroche Christopher","K1H","225.25","433","425",""
"Pannetier Brice","K1H","225.48","369","426",""
"Delasalle Jerome","K1H","225.92","400","429",""
"Simier Alan","K1H","227.59","355","440",""
"Grosvalet Pierre","K1H","227.95","363","441",""
"Ansquer Guy","K1H","229.40","489","451",""
"Brieuc Cadic","K1H","229.79","307","453",""
"Pierre-yves Lebreton","K1H","230.35","440","456",""
"Fouquart Thierry","K1H","230.63","353","458",""
"Corbeau Benjamin","K1H","231.41","452","463",""
"Charles Kerbellec","K1H","231.45","454","463",""
"Friquet Arnaud","K1H","232.96","470","472",""
"Planchais Martial","K1H","234.07","481","479",""
"Eon Tom","K1H","234.65","480","483",""
"Simon Joseph","K1H","235.15","406","486",""
"Mathieu Bourdet","K1H","236.63","427","494",""
"Didier Niel","K1H","237.11","340","498",""
"Melen Pilorge","K1H","238.39","465","505",""
"Descheres Erwan","K1H","238.96","503","508",""
"Edouard Anne","K1H","239.15","548","510",""
"Garzuel Erwan","K1H","239.58","464","512",""
"Priol Yoann","K1H","240.35","522","517",""
"Olivier Cornu","K1H","240.97","457","520",""
"Manuel Moquet","K1H","241.73","512","525",""
"Ludovic Garnier","K1H","242.89","552","533",""
"Froger Alexandre","K1H","248.14","693","564",""
"Chemineau Frederic","K1H","250.71","450","579",""
"Le Bris Gildas","K1H","253.24","296","595",""
"Dubost Antoine","K1H","255.18","283","607",""
"Mercier Remi","K1H","255.65","622","610",""
"Erwan Desbordes","K1H","256.76","329","616",""
"Sebastien Masseline","K1H","260.63","500","640",""
"Hamou Charles-Elie","K1H","260.79","557","641",""
"Simon Bonnet","K1H","263.17","581","656",""
"Jeremy Froger","K1H","263.41","429","657",""
"Durand Franck","K1H","264.32","353","662",""
"Nicolas Arnoult","K1H","265.37","288","669",""
"Morvan Antoine","K1H","266.11","380","673",""
"Pennarun         * Kevin","K1H","266.25","423","673",""
"Simon Bercon","K1H","267.04","415","679",""
"Debray Damien","K1H","268.30","332","687",""
"Simon Joudou","K1H","268.58","362","688",""
"Dugast Jeanfrancois","K1H","269.85","582","696",""
"Melaine Caurant","K1H","270.82","656","702",""
"Gac Ronan","K1H","274.35","345","723",""
"Hoel Carnot","K1H","274.90","398","726",""
"Arthur Feraud","K1H","277.16","532","740",""
"Pierre Le Clezio","K1H","277.82","380","744",""
"Anthony Thuillier","K1H","279.60","408","755",""
"Joris Rocher","K1H","289.86","568","817",""
"Hutteau Damien","K1H","290.95","632","824",""
"Gouello Jeremy","K1H","291.36","340","826",""
"Ronan Gestin","K1H","292.97","657","836",""
"Leyoudec Florent","K1H","293.77","459","841",""
"Chevallier Clément","K1H","295.50","601","851",""
"Le Bihan Yann","K1H","298.98","489","873",""
"Dominique Odile","K1H","303.32","553","899",""
"Sinquin Gwenael","K1H","303.53","447","900",""
"Silvain Maxime","K1H","304.84","577","907",""
"Dupe Maxime","K1H","305.01","585","909",""
"Benard Fabien","K1H","305.71","432","913",""
"Emmanuel Despont","K1H","310.34","731","941",""
"Anthony Mottais","K1H","311.45","589","948",""
"Perche Alexis","K1H","319.11","691","994",""
"Morin Thomas","K1H","327.67","629","1046",""
"Ferlin Berenger","K1H","345.01","655","1151",""
"Lebar Johnny","K1H","367.67","547","1289",""
"Moriceau Christian","K1H","434.71","752","1694",""
