"SÈlectif RÈgional Slalom (Double) - Saint-pierre De Boeuf - Course n∞2 | Finale - 2016-10-02","Course n∞2 | Finale","2016-10-02","RÈgional","302"
"Jeremy Wagner","K1H","107.24","259.4","284.9","Course n∞2 | Finale A"
"Maxime Gaillard","K1H","108.45","259.54","299.24","Course n∞2 | Finale A"
"Vincent Garcia","K1H","109.12","301.38","307.18","Course n∞2 | Finale A"
"Julien Coudert","K1H","109.13","274.45","307.3","Course n∞2 | Finale A"
"Julien Saguet","K1H","109.19","262.01","308.01","Course n∞2 | Finale A"
"Olivier Hardonniere","K1H","109.33","323.23","309.67","Course n∞2 | Finale A"
"Boris Lutinier","K1H","109.89","-","316.31","Course n∞2 | Finale A"
"Sebastien Routhier","K1H","110.11","280.9","318.92","Course n∞2 | Finale A"
"Pierrealain Clerc","K1H","111.18","297.12","331.6","Course n∞2 | Finale A"
"Jonathan Himpens","K1H","111.35","-","333.62","Course n∞2 | Finale A"
"Enzo Seker","K1H","111.53","285.3","335.75","Course n∞2 | Finale A"
"Maxime Melmont","K1H","111.56","387.69","336.11","Course n∞2 | Finale A"
"Yann Rivallant","K1H","111.57","-","336.22","Course n∞2 | Finale A"
"Tom Benini","K1H","112.13","304.2","342.86","Course n∞2 | Finale A"
"Stephane Boulanger","K1H","113.33","262.29","357.09","Course n∞2 | Finale A"
"Olivier Barriere","K1H","113.76","358.87","362.18","Course n∞2 | Finale A"
"Paul Gaillard","K1H","114.45","346.16","370.36","Course n∞2 | Finale A"
"Sebastien Lepaulard","K1H","114.48","310.66","370.72","Course n∞2 | Finale A"
"Florian Sauvage","K1H","114.58","315.02","371.9","Course n∞2 | Finale A"
"Jules Heurtin","K1H","115.69","313.17","385.06","Course n∞2 | Finale A"
"Victor Paulais","K1H","117.97","308.26","412.08","Course n∞2 | Finale A"
"Yoni Beghoura","K1H","122.04","-","460.33","Course n∞2 | Finale A"
"Mikael Clanchin","K1H","133.36","304.17","594.51","Course n∞2 | Finale A"
"Arthur Lagleyze","K1H","135.34","331.17","617.98","Course n∞2 | Finale A"
"Matthieu Le Gall","K1H","153.07","178.77","828.14","Course n∞2 | Finale A"
"Raphael Lassechere","K1H","156.58","214.58","869.74","Course n∞2 | Finale A"
"Leo Fournier","K1H","197.11","161.12","1350.16","Course n∞2 | Finale A"
"Guillaume Affortit","K1H","455.36","324.57","4411.27","Course n∞2 | Finale A"
"Nicolas Rouleaud","K1H","Abs","-","-","Course n∞2 | Finale A"
"Djendy Simeant","K1HM","111.63","292.03","336.93","Course n∞2 | Finale A"
"Loœc Winiarski","K1HM","113.73","326.11","361.83","Course n∞2 | Finale A"
"Batiste Ansaldi","K1HM","118.29","-","415.88","Course n∞2 | Finale A"
"Gino Benini","K1HM","121.23","489.38","450.73","Course n∞2 | Finale A"
"Thomas Ukalovic","K1HM","124.27","452.02","486.76","Course n∞2 | Finale A"
"Noe Monier","K1HM","125.55","377.93","501.93","Course n∞2 | Finale A"
"Maxence Jehan","K1HM","131.72","421.69","575.07","Course n∞2 | Finale A"
"Theo Zembalia","K1HM","132.11","573.65","579.69","Course n∞2 | Finale A"
"Kilian Cottet","K1HM","133.7","533.18","598.54","Course n∞2 | Finale A"
"Yazid Koraichi","K1HM","133.99","-","601.98","Course n∞2 | Finale A"
"Erwann Buthod","K1HM","134.64","515.67","609.68","Course n∞2 | Finale A"
"Clement Couchoud","K1HM","136.12","-","627.22","Course n∞2 | Finale A"
"Matthew Vuillard","K1HM","139.76","620.05","670.37","Course n∞2 | Finale A"
"Mohamed Saœd Bekkadour","K1HM","142.2","507.63","699.29","Course n∞2 | Finale A"
"Arthur Contamine","K1HM","144.33","536.16","724.54","Course n∞2 | Finale A"
"Benjamin Guyon","K1HM","151.89","584.39","814.15","Course n∞2 | Finale A"
"Lucas Augu","K1HM","157.66","277.44","882.54","Course n∞2 | Finale A"
"Lucas Dominguez","K1HM","220.26","479.98","1624.56","Course n∞2 | Finale A"
"Nicolas Meyer","K1HM","288.82","-","2437.22","Course n∞2 | Finale A"
"Tiphaine Drouin","C1D","132.05","237.05","323.11","Course n∞2 | Finale B"
"Laurene Roisin","C1D","143.99","271.34","441.05","Course n∞2 | Finale B"
"Lea Wetzel","C1D","144.81","-","449.15","Course n∞2 | Finale B"
"Camille Berson","C1D","152.87","739.48","528.77","Course n∞2 | Finale B"
"Margot Blanc","C1D","163.65","584.41","635.25","Course n∞2 | Finale B"
"Cendres Le Floch","C1DM","Abs","-","-","Course n∞2 | Finale B"
"Gauthier Gonseth","C1H","107.37","263.58","230.83","Course n∞2 | Finale B"
"Maxime Vallin","C1H","109.99","318.07","260.41","Course n∞2 | Finale B"
"Nil Georgel","C1H","113.84","342.04","303.87","Course n∞2 | Finale B"
"Nikolas Stanik","C1H","115.21","391.42","319.34","Course n∞2 | Finale B"
"Florian Sauvage","C1H","116.42","425.66","333","Course n∞2 | Finale B"
"Olivier Barriere","C1H","118.97","310.08","361.79","Course n∞2 | Finale B"
"Maxime Kabir","C1H","119.52","383.87","368","Course n∞2 | Finale B"
"Ronan Cordier","C1H","119.96","338.88","372.97","Course n∞2 | Finale B"
"Guillaume Gonseth","C1H","123.25","362.43","410.1","Course n∞2 | Finale B"
"Francis Gaillard","C1H","129.02","-","475.24","Course n∞2 | Finale B"
"Paul Gaillard","C1H","136.76","426.01","562.62","Course n∞2 | Finale B"
"Arthur Viallard","C1H","141.12","691.1","611.83","Course n∞2 | Finale B"
"Paul Farrugio","C1H","156.75","678.79","788.28","Course n∞2 | Finale B"
"Reginald Grossin","C1H","163.46","-","864.03","Course n∞2 | Finale B"
"Frederic Morand","C1H","172.15","-","962.12","Course n∞2 | Finale B"
"Quentin Laplace","C1H","406.8","871.62","3611.07","Course n∞2 | Finale B"
"Cedric Mace","C1H","Abs","-","-","Course n∞2 | Finale B"
"Pierre Poizat","C1H","Abs","-","-","Course n∞2 | Finale B"
"Yasin Gulay","C1H","Abs","-","-","Course n∞2 | Finale B"
"Etienne Wiche","C1HM","129.55","485.15","481.22","Course n∞2 | Finale B"
"Gino Benini","C1HM","151.36","-","727.43","Course n∞2 | Finale B"
"Julien Lambert","C1HM","164.39","759.64","874.53","Course n∞2 | Finale B"
"Gauthier Gonseth-Guillaume Gonseth","C2H","135.22","348.57","475.84","Course n∞2 | Finale B"
"Florian Sauvage-Jules Heurtin","C2H","146.77","641.05","600.3","Course n∞2 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","172.83","610.6","881.12","Course n∞2 | Finale B"
"Caroline Bourry-Renaud Doby","C2M","127.36","-","276.78","Course n∞2 | Finale B"
"Tiphaine Drouin-Benjamin Harreau","C2M","151.03","433.03","510.58","Course n∞2 | Finale B"
"Marion Delorme-Cyril Audoit","C2M","199.2","-","986.4","Course n∞2 | Finale B"
"Angele Hug","K1D","115.23","186.21","227.47","Course n∞2 | Finale B"
"Laura Rocher","K1D","119.11","285.56","268.17","Course n∞2 | Finale B"
"Juliette Rousset","K1D","127.1","396.26","351.99","Course n∞2 | Finale B"
"Alice Rietzmann","K1D","132.42","-","407.79","Course n∞2 | Finale B"
"Laetitia Odermatt","K1D","140.24","-","489.82","Course n∞2 | Finale B"
"Lea Riera","K1D","144.89","449.54","538.59","Course n∞2 | Finale B"
"Elke Saragas","K1D","146.13","534.41","551.61","Course n∞2 | Finale B"
"Estelle Friconneau","K1D","150.29","411.55","595.24","Course n∞2 | Finale B"
"Emilie Armani","K1D","150.61","507.99","598.59","Course n∞2 | Finale B"
"Carla Cerrutti - Bozzola","K1D","152.27","525.34","616.01","Course n∞2 | Finale B"
"Lucie Adisson","K1D","153.56","373.31","629.54","Course n∞2 | Finale B"
"Clara Jannic","K1D","153.71","604.52","631.12","Course n∞2 | Finale B"
"Camille Berson","K1D","156.31","496.95","658.38","Course n∞2 | Finale B"
"Marion Pasquali","K1D","156.61","342.23","661.54","Course n∞2 | Finale B"
"Tifenn Primet","K1D","156.69","361.72","662.38","Course n∞2 | Finale B"
"Annie Ughetto","K1D","157.94","559.94","675.49","Course n∞2 | Finale B"
"Juliette Ribault","K1D","162.59","648.06","724.26","Course n∞2 | Finale B"
"Elise Carbon","K1D","165.42","729.42","753.94","Course n∞2 | Finale B"
"Emma Miton","K1D","169.89","500.67","800.84","Course n∞2 | Finale B"
"Alicia Roux","K1D","173.13","-","834.82","Course n∞2 | Finale B"
"Juliette Piot","K1D","194.83","-","1062.45","Course n∞2 | Finale B"
"Lucie Fromentoux","K1D","227.26","588.81","1402.63","Course n∞2 | Finale B"
"Lea Hubert","K1D","387.46","605.91","3083.07","Course n∞2 | Finale B"
"Sarah Monod","K1D","Abs","-","-","Course n∞2 | Finale B"
"Kesia Georgel","K1DM","141.37","572.31","501.67","Course n∞2 | Finale B"
"Callista Grange","K1DM","366.89","2019.04","2867.3","Course n∞2 | Finale B"
"Emma Blanc","K1DM","473.72","-","3987.91","Course n∞2 | Finale B"
"Cendres Le Floch","K1DM","Abs","-","-","Course n∞2 | Finale B"
"Bertrand Bercon","K1H","102.97","235.12","239.29","Course n∞2 | Finale B"
"Guillaume Gery","K1H","109.16","-","312.66","Course n∞2 | Finale B"
"Loic Joly","K1H","109.66","326.16","318.58","Course n∞2 | Finale B"
"Thomas Denais","K1H","110.76","330.98","331.62","Course n∞2 | Finale B"
"Loic Bouvier","K1H","111.9","431.03","345.14","Course n∞2 | Finale B"
"Louis Mazoyer","K1H","112.02","383.73","346.56","Course n∞2 | Finale B"
"Luca Barone","K1H","113.14","433.44","359.83","Course n∞2 | Finale B"
"Alexandre Goujon","K1H","114.98","379.4","381.64","Course n∞2 | Finale B"
"Yann Leruste","K1H","115.21","390.95","384.37","Course n∞2 | Finale B"
"Frederic Morand","K1H","115.25","-","384.84","Course n∞2 | Finale B"
"Florent Cossou","K1H","115.84","409.51","391.84","Course n∞2 | Finale B"
"Bertrand Dubiez","K1H","115.92","330.43","392.79","Course n∞2 | Finale B"
"Nathan Pavot","K1H","116.33","402.03","397.65","Course n∞2 | Finale B"
"Tino Forgues","K1H","118.41","358.9","422.3","Course n∞2 | Finale B"
"Yanis Clerc","K1H","118.64","452.84","425.03","Course n∞2 | Finale B"
"Nino Chailan","K1H","119.98","430.03","440.91","Course n∞2 | Finale B"
"Jacques Roisin","K1H","120.66","385.72","448.97","Course n∞2 | Finale B"
"Cyril Audoit","K1H","121.2","345.46","455.37","Course n∞2 | Finale B"
"Francis Gaillard","K1H","121.49","-","458.81","Course n∞2 | Finale B"
"Aymeric Rivier","K1H","123.59","585.14","483.7","Course n∞2 | Finale B"
"Anselm Arnaud","K1H","123.66","445.03","484.53","Course n∞2 | Finale B"
"Denis Cote","K1H","124.31","-","492.23","Course n∞2 | Finale B"
"Dominique Polard","K1H","124.69","534.15","496.74","Course n∞2 | Finale B"
"Lucas Barriere","K1H","125.24","365.16","503.26","Course n∞2 | Finale B"
"Emmanuel Triomphe","K1H","125.25","359.22","503.38","Course n∞2 | Finale B"
"Gawaine Chikh","K1H","125.6","323.52","507.53","Course n∞2 | Finale B"
"Remi Vallin","K1H","126.65","588.15","519.97","Course n∞2 | Finale B"
"Nicolas Monzerian","K1H","126.82","-","521.99","Course n∞2 | Finale B"
"Remy Beal","K1H","127.36","696.46","528.39","Course n∞2 | Finale B"
"Hugo Lelieur","K1H","127.63","-","531.59","Course n∞2 | Finale B"
"Matthieu Rousseau","K1H","128.88","536.98","546.4","Course n∞2 | Finale B"
"Valentin Affortit","K1H","129.27","465.04","551.03","Course n∞2 | Finale B"
"Kilian Godart","K1H","129.64","376.54","555.41","Course n∞2 | Finale B"
"Arthur Viallard","K1H","133.05","553.69","595.83","Course n∞2 | Finale B"
"Yann Zaepffel","K1H","133.45","243.01","600.57","Course n∞2 | Finale B"
"Charles Culine","K1H","134.69","556.37","615.27","Course n∞2 | Finale B"
"Hugo Avril","K1H","134.88","552.3","617.52","Course n∞2 | Finale B"
"Erwan Degreve","K1H","135","494.01","618.95","Course n∞2 | Finale B"
"Nayl Tazi-sidqui","K1H","136.11","326.25","632.1","Course n∞2 | Finale B"
"Tom Mazouat","K1H","136.43","590.01","635.9","Course n∞2 | Finale B"
"Ronan Emery","K1H","143.25","853.68","716.74","Course n∞2 | Finale B"
"Marc Jungling","K1H","143.63","556.75","721.24","Course n∞2 | Finale B"
"Florent Vallier","K1H","143.82","1635.97","723.49","Course n∞2 | Finale B"
"Paul Farrugio","K1H","147.76","626.02","770.2","Course n∞2 | Finale B"
"Matthias Jauvin","K1H","148.32","-","776.83","Course n∞2 | Finale B"
"Come Champurney","K1H","152.25","570.01","823.42","Course n∞2 | Finale B"
"Romain Berthon","K1H","153.95","678.62","843.57","Course n∞2 | Finale B"
"Quentin Laplace","K1H","153.99","573.42","844.04","Course n∞2 | Finale B"
"Alban Crochet","K1H","155.3","-","859.57","Course n∞2 | Finale B"
"Valentin Capel","K1H","161.3","905.32","930.69","Course n∞2 | Finale B"
"Teo Bouvier","K1H","162.81","319.53","948.59","Course n∞2 | Finale B"
"Charlie Genovese","K1H","163.14","499.75","952.5","Course n∞2 | Finale B"
"Mathieu Buono-michel","K1H","164.8","739.04","972.18","Course n∞2 | Finale B"
"Benjamin Gonthier","K1H","179.61","733.63","1147.72","Course n∞2 | Finale B"
"Philippe Bigard","K1H","180.83","596.21","1162.18","Course n∞2 | Finale B"
"Jocelyn Locatelli","K1H","201.52","1382.09","1407.43","Course n∞2 | Finale B"
"Bastien Cothenet","K1H","206.98","766.62","1472.15","Course n∞2 | Finale B"
"Yasin Gulay","K1H","207.4","1045.64","1477.13","Course n∞2 | Finale B"
"Kevin Vienny","K1H","305.14","754.05","2635.67","Course n∞2 | Finale B"
"Serge Doby","K1H","402.43","-","3788.88","Course n∞2 | Finale B"
"Hugo Martin -laemle","K1H","469.93","426.42","4588.98","Course n∞2 | Finale B"
"Laurent Brossat","K1H","Abd","-","-","Course n∞2 | Finale B"
"Arthur Brune","K1H","Abd","-","-","Course n∞2 | Finale B"
"Frederic Caillet","K1H","Abs","-","-","Course n∞2 | Finale B"
"Etienne Wiche","K1HM","117.48","372.17","411.28","Course n∞2 | Finale B"
"Edouard Chenal","K1HM","121.25","528.94","455.96","Course n∞2 | Finale B"
"Corentin Georgeon","K1HM","131.09","665.2","572.6","Course n∞2 | Finale B"
"Tanguy Adisson","K1HM","136.62","527.52","638.15","Course n∞2 | Finale B"
"Luca Gabelli","K1HM","136.86","602.41","640.99","Course n∞2 | Finale B"
"Yann Mercier","K1HM","140.83","996.67","688.05","Course n∞2 | Finale B"
"Theo Soulier","K1HM","144.47","704.66","731.2","Course n∞2 | Finale B"
"Arthur Talarmain","K1HM","144.92","-","736.53","Course n∞2 | Finale B"
"Aymeric Fumex","K1HM","149.29","668.52","788.33","Course n∞2 | Finale B"
"Oscar Pasteur","K1HM","153.25","839.5","835.27","Course n∞2 | Finale B"
"Daniel Chambert","K1HM","158.14","-","893.23","Course n∞2 | Finale B"
"Cyril Borelli","K1HM","159.93","-","914.45","Course n∞2 | Finale B"
"Louis Lacroix","K1HM","192.34","-","1298.62","Course n∞2 | Finale B"
"Nicolas Demofsqui","K1HM","193.11","665.08","1307.74","Course n∞2 | Finale B"
"Tom Dubourd","K1HM","198.88","-","1376.14","Course n∞2 | Finale B"
"Esteban Reder-issartel","K1HM","239.64","-","1859.28","Course n∞2 | Finale B"
"Jonathan Ferreira","K1HM","257.21","1056.53","2067.54","Course n∞2 | Finale B"
"Eloœc Porte","K1HM","Abd","-","-","Course n∞2 | Finale B"
"Julien Ojard-chillet","K1HM","Abd","-","-","Course n∞2 | Finale B"
