"Compétition Régionale de Slalom - 64390 Sauveterre De Bearn - Finale - 2019-04-22","Finale","2019-04-22","Régional","95"
"Marius Larenaudie-danton","K1HM","109.54","626.24","658.78","Finale A"
"Paul Brochard","K1HM","119","870.88","800.87","Finale A"
"Jonah Hanrahan","K1HM","120.03","801.21","816.35","Finale A"
"Tao Gautier-araspin","K1HM","126.52","781","913.83","Finale A"
"Leo Theil","K1HM","129.68","1006.35","961.3","Finale A"
"Leo Theil","OUV","138.02","-","-","Finale A"
"Antton Erdois","C1H","102.64","416.05","486.72","Finale B"
"Emeric Nieser","C1H","104.78","592.07","517.33","Finale B"
"Thomas TerrÉ","C1H","110.26","553.07","595.74","Finale B"
"Julien Coric","C1H","113.44","578.56","641.22","Finale B"
"Tristan Ruiz","C1H","127.9","1134.01","848.08","Finale B"
"Fabrice Le Bras","C1H","211.19","1597.44","2039.57","Finale B"
"Mila Dastugue Lavignasse-Charlotte De Salettes","C2DM","366.48","1357.26","3252.86","Finale B"
"Esteban Bidegain-Ethan Da Gloria","C2HM","160.9","-","1215.53","Finale B"
"Solene Lafitte","K1D","114.47","522.99","540.02","Finale B"
"Pauline Rouilhet","K1D","120.07","587.17","614.47","Finale B"
"Daphnee Vuilleumier","K1D","130.49","662.75","752.97","Finale B"
"Emma Angladette","K1D","130.63","621","754.83","Finale B"
"Alexia Cazala","K1D","139.8","1203.11","876.73","Finale B"
"Mila Dastugue Lavignasse","K1DM","144.56","734.79","939.99","Finale B"
"Adrien Mesmoudi","K1H","89.78","256.53","366.97","Finale B"
"Julien Dubarry","K1H","97.76","426.54","486.84","Finale B"
"KÉziah Lecomte","K1H","99.7","563.34","515.98","Finale B"
"Clement Brotier","K1H","101.43","451.17","541.96","Finale B"
"Leo Arriau","K1H","104.65","669.87","590.33","Finale B"
"Thierry Pucheu","K1H","110.52","694.77","678.5","Finale B"
"Esteban Bidegain","K1H","110.9","520.78","684.21","Finale B"
"Mateo Destruel","K1H","112.28","732.38","704.94","Finale B"
"Tristan Ruiz","K1H","112.56","430.65","709.14","Finale B"
"Bastien Darmayan","K1H","124.38","831.9","886.69","Finale B"
"Daniel Lafitte","K1H","132.33","779.87","1006.1","Finale B"
"Lucas Theil","K1H","138.6","1054.22","1100.28","Finale B"
"Bruno Lecomte","K1H","148.25","1398.7","1245.23","Finale B"
"Hugo Larenjeiro","K1H","151.37","962.09","1292.09","Finale B"
"Robin Genty","K1H","159.11","654.75","1408.35","Finale B"
"Jean Francois Mervant","K1H","195.77","1358.52","1959.01","Finale B"
"Matthieu Desbons","K1H","230.87","972.67","2486.24","Finale B"
"Liam Jacquot","K1H","238.48","1406.93","2600.55","Finale B"
"Iban Vicassiau","K1H","267.68","1372.19","3039.15","Finale B"
"Nicolas Peyroux","K1H","Des","-","-","Finale B"
"Ethan Da Gloria","K1HM","133.64","1125.11","1025.78","Finale B"
"Quentin Arnaudin","K1HM","144.92","1257.7","1195.21","Finale B"
"Rudy Samaran","K1HM","164.04","3318.48","1482.41","Finale B"
"Eric Vicassiau","K1HM","186.03","1418.03","1812.71","Finale B"
"Victorien Thomas","K1HM","401.87","2127.7","5054.78","Finale B"
"Clement Laureys","K1HM","Des","-","-","Finale B"
"Louis Labarthe","K1HM","Abs","-","-","Finale B"
