"Finale de la Coupe de France National 1 Slalom - 57050 Longeville Les Metz - Demi-finale - 2019-07-28","Demi-finale","2019-07-28","Nationale 1","107"
"Nicolas Ducrocq","C1H","101.28","140.75","232.69",""
"Benjamin Reig-Cyril Boulet","C2H","118.15","316.86","360.52",""
"Gireg Hamoniaux-Nicolas Gestin","C2H","119.79","385.57","377.93",""
"Tom Babin-Arnaud Verrons","C2H","129.87","331.03","484.89",""
"Florian Busson-Alex Louveau","C2H","132.53","433.98","513.11",""
"Etienne Daille-Carole Bouzidi","C2M","124.42","246.16","317.03",""
"Silvere Desongins-Angelique Guilcher","C2M","136.56","509.96","435.12",""
"Luc Sarramea-Carla Lacroix","C2M","142.44","359.78","492.31",""
"Melenn Aubry-Estelle Hellard","C2M","146.35","473.23","530.34",""
"Bertrand Avril-Chloe Gatuingt","C2M","149.95","603.68","565.36",""
"Thibault Blaise-Julia Budzinski","C2M","199.88","387.17","1051.02",""
"Romane Bronchet-Romain Bruneau","C2M","271.51","624.19","1747.73",""
"Marjorie Delassus","K1D","92.51","47.69","62.4",""
"Pauline Guiet","K1D","93.72","68.87","74.9",""
"Angele Hug","K1D","96.07","54.17","99.17",""
"Coline Charel","K1D","96.97","77.24","108.47",""
"Carole Bouzidi","K1D","97.43","38.96","113.22",""
"Alixe Degremont","K1D","97.92","94.1","118.28",""
"Fanchon Janssen","K1D","100.97","102.84","149.79",""
"Emma Vuitton","K1D","101.35","93.41","153.71",""
"Solene Graille","K1D","102.89","131.92","169.62",""
"Viviana Daille","K1D","104.07","143.75","181.81",""
"Joey Bercon","K1D","105.68","116.76","198.44",""
"Lea Wetzel","K1D","106.33","176.14","205.15",""
"Caroline Bourry","K1D","106.38","168.84","205.67",""
"Joana Palermo","K1D","107.22","135.8","214.34",""
"Laurene Roisin","K1D","108.13","142.39","223.74",""
"Alexane Galmiche","K1D","108.47","178.25","227.25",""
"Eva Pietracha","K1D","111.24","138.11","255.87",""
"Charline Berger Martin","K1D","116.08","159.33","305.86",""
"Doriane Delassus","K1D","119.13","129.47","337.37",""
"Berenice Kolenc","K1D","152.76","52.11","684.74",""
"Malo Quemeneur","K1H","78.24","14.89","20.06",""
"Vincent Delahaye","K1H","79.28","56.93","32.2",""
"Yves Prigent","K1H","79.62","41.12","36.17",""
"Benjamin Renia","K1H","79.97","14.18","40.26",""
"Martin Dougoud","K1H","80.09","29.72","41.66",""
"Mathieu Biazizzo","K1H","80.26","42.46","43.64",""
"Mathieu Doby","K1H","81.88","77.54","62.55",""
"Mathis Soudi","K1H","82.97","91.13","75.27",""
"Anatole Delassus","K1H","83.1","50.99","76.79",""
"Noe Perreau","K1H","83.91","90.56","86.24",""
"Loic Bertoia","K1H","84.13","86.59","88.81",""
"Jean Charles Hacquart","K1H","84.23","107.82","89.98",""
"Etienne Daille","K1H","84.29","32.31","90.68",""
"Thomas Durand","K1H","84.36","30.19","91.5",""
"Hugo Regnier","K1H","85.06","63.84","99.67",""
"Thomas Bersinger","K1H","85.49","76.95","104.69",""
"Pol Oulhen","K1H","85.85","35.71","108.89",""
"Hugo Crepeau","K1H","85.99","121.41","110.52",""
"Clement Travert","K1H","86.47","66.61","116.12",""
"Pierre-louis Saussereau","K1H","86.63","55.67","117.99",""
"Gregoire Guerin","K1H","86.71","135.1","118.93",""
"Edgar Prigent","K1H","87.67","67.03","130.13",""
"Maxime Bottex","K1H","88.07","88.19","134.8",""
"Gurgen Brun","K1H","88.5","110.48","139.82",""
"Leo Vuitton","K1H","90.71","115.65","165.61",""
"Paul Cornut-chauvinc","K1H","91.21","56.97","171.45",""
"Thomas Rosset","K1H","94.23","101.51","206.7",""
"Benoit Guillaume","K1H","98.83","108.59","260.39",""
"Quentin Burgi","K1H","129.01","3.75","612.65",""
"Simon Hene","K1H","130.26","16.18","627.24",""
"Pierre Bourliaud","K1H","130.41","56.15","628.99",""
"Benjamin Jacon","K1H","133.89","55.41","669.61",""
"Martin Daviet","K1H","134.04","78.26","671.36",""
"Lukas Werro","K1H","136.71","78.21","702.53",""
"Pierre Giudicelli","K1H","136.78","68.95","703.34",""
"Nicolas Baudoin","K1H","138.34","91.33","721.55",""
"Benjamin Travostino","K1H","144.34","77.66","791.58",""
"Theo Desvignes","K1H","144.5","86.37","793.45",""
"Pierre Grapotte","K1H","183.07","75.57","1243.64",""
"Charlie Barbier","K1H","238.74","80.96","1893.42",""
