"Sélectif Régional de Slalom - 94500 Champigny Sur Marne - Finale - 2019-11-24","Finale","2019-11-24","Régional","177"
"Florian Perenchio","K1H","93.41","497.66","489.94","Finale A"
"Erwan Laloux","K1H","93.8","560.51","495.99","Finale A"
"Francois Durand","K1H","94.96","435.43","513.99","Finale A"
"Theo Siguret","K1H","95.95","534.05","529.36","Finale A"
"Benjamin Fourmet","K1H","96.46","546.14","537.27","Finale A"
"Florent Bernard","K1H","96.95","402.79","544.88","Finale A"
"Samuel Tahaafe","K1H","96.96","459.82","545.03","Finale A"
"Louis Marvillet","K1H","97.3","574.51","550.31","Finale A"
"Basile Drapier","K1H","98.66","424.45","571.42","Finale A"
"Beranger Doulle","K1H","99.6","481.65","586.01","Finale A"
"Philippe Piat","K1H","99.77","502.79","588.65","Finale A"
"Axel Girard","K1H","100.27","419.8","596.41","Finale A"
"Gerard Lafargue","K1H","102.96","589.07","638.16","Finale A"
"Robin Le Mazurier","K1H","105.16","559.06","672.3","Finale A"
"Maxime Kerbrat","K1H","106.42","506.04","691.86","Finale A"
"Hector Combes","K1H","131.32","238.38","1078.31","Finale A"
"Leni Perreau","K1HM","88.03","377.86","406.44","Finale A"
"Pierric Clipet","K1HM","95.57","464.83","523.46","Finale A"
"Loic Dufour","K1HM","96.37","576.08","535.88","Finale A"
"Joris Bonine","K1HM","101.59","1227.08","616.89","Finale A"
"Kavishan Kulatunga","K1HM","101.69","954.06","618.44","Finale A"
"Hugo Hernoux","K1HM","103.99","686.39","654.14","Finale A"
"Thomas Gaud","K1HM","104.93","606.07","668.73","Finale A"
"Clement Brault","K1HM","105.24","715.86","673.54","Finale A"
"Nouredine Zerouga","K1HM","106.21","901.11","688.6","Finale A"
"Teo Tester","K1HM","110.77","800.19","759.37","Finale A"
"Kyllian Leroux Senac","K1HM","116.31","821.67","845.35","Finale A"
"Matis Hernu","K1HM","120.51","1332.34","910.54","Finale A"
"Souhayla Khattabi","C1D","118.13","577.29","573.03","Finale B"
"Julie Dupas","C1D","122.39","566.52","628.13","Finale B"
"Laura Demuru","C1D","129.68","704.46","722.42","Finale B"
"Lisa Manach","C1D","138.54","835.84","837","Finale B"
"Maelle Bedoin","C1D","151.03","1023.2","998.54","Finale B"
"Celine Kalwarowski","C1D","168.02","1348.67","1218.29","Finale B"
"Ludovic Cravoisier","C1H","111.17","753.77","688.41","Finale B"
"Jacques Nardeau","C1H","114.44","596.3","736.74","Finale B"
"Beranger Doulle","C1H","114.68","744.32","740.3","Finale B"
"Theo Siguret","C1H","115.35","759.75","750.2","Finale B"
"Antoine Huger","C1H","117.45","801.48","781.24","Finale B"
"Robin Le Mazurier","C1H","117.59","807.45","783.3","Finale B"
"Xavier Perreau","C1H","122.02","905.62","848.8","Finale B"
"Erwan Laloux","C1H","123.53","989.83","871.12","Finale B"
"Mathieu Benkaroun","C1H","124.48","893.68","885.15","Finale B"
"Maxime Kerbrat","C1H","125.09","832.99","894.16","Finale B"
"Louis Marvillet","C1H","125.6","1079.05","901.71","Finale B"
"Alain Brucher","C1H","129.16","1524.85","954.34","Finale B"
"Gauthier Masson","C1H","136.76","1050.23","1066.67","Finale B"
"Frederic Henry","C1H","139.66","1025.57","1109.54","Finale B"
"Enzo Marchand","C1HM","125.98","831.23","907.33","Finale B"
"Kyllian Leroux Senac","C1HM","131.74","1146.56","992.47","Finale B"
"Kavishan Kulatunga","C1HM","133.84","984.5","1023.51","Finale B"
"Qeis Khalfaoui","C1HM","136.86","1028.38","1068.15","Finale B"
"Yuna Pernet","K1D","112.42","493.66","589.25","Finale B"
"Karelle Payen","K1D","114.56","733.2","618.65","Finale B"
"Florence Marchal","K1D","118.08","583.23","666.99","Finale B"
"Coralie Delmotte","K1D","121.84","805.79","718.63","Finale B"
"Laura Demuru","K1D","123.62","603.4","743.07","Finale B"
"Noemie Tchoua","K1D","125.29","656.4","766.01","Finale B"
"Maelle Bedoin","K1D","126.04","973.79","776.32","Finale B"
"Sophie Roye","K1D","127.9","618.61","801.87","Finale B"
"Celine Garcia","K1D","132.19","817.89","860.78","Finale B"
"Amelie Gonzalez","K1D","135.77","792.86","909.95","Finale B"
"Sylvie Da Silva","K1D","159.67","1967.16","1238.22","Finale B"
"Sylvie Devalloir","K1D","163.32","1346.61","1288.35","Finale B"
"Camille Brugvin","K1DM","109.16","633.89","544.47","Finale B"
"Jade Cascarino","K1DM","121.2","630.55","709.85","Finale B"
"Lou Ann Dabin","K1DM","147.51","1055.07","1071.21","Finale B"
"Paul Cascarino","K1H","99.19","406.68","584.64","Finale B"
"Garvan Boulben","K1H","102.51","685.96","636.17","Finale B"
"Mathieu Benkaroun","K1H","104.94","743.37","673.89","Finale B"
"Theophile Vincent","K1H","105.65","679.61","684.9","Finale B"
"Philippe Valeri","K1H","105.86","590.88","688.16","Finale B"
"Alain Brucher","K1H","106.24","764.47","694.06","Finale B"
"Emrys Meddour","K1H","109.26","594.2","740.93","Finale B"
"Charles Dampeyrou","K1H","109.31","641.91","741.71","Finale B"
"Claude Breuzard","K1H","111.47","673.49","775.23","Finale B"
"Hugo Pereira","K1H","111.5","683.21","775.7","Finale B"
"Michel Joly","K1H","111.54","722.61","776.32","Finale B"
"Remi Hervieux","K1H","111.86","789.76","781.29","Finale B"
"Ibrahim Ben-belgacem","K1H","113.46","835.12","806.12","Finale B"
"Francois Vuillermot","K1H","114.89","831.14","828.31","Finale B"
"Axel Tempier","K1H","114.94","826.7","829.09","Finale B"
"Lucas Franetich","K1H","115.31","766.81","834.83","Finale B"
"Yves Souchal","K1H","115.36","941.62","835.61","Finale B"
"Jacques Nardeau","K1H","116.13","844.28","847.56","Finale B"
"Barnabe Sennelier","K1H","116.25","946.13","849.42","Finale B"
"Fabien Lemaitre","K1H","116.81","879.37","858.11","Finale B"
"Bruno Brousselle","K1H","118.21","1141.91","879.84","Finale B"
"Victor Cauet","K1H","118.24","1106.56","880.31","Finale B"
"Martin Vey","K1H","120.87","878.03","921.12","Finale B"
"Marc-olivier Dufour","K1H","121.11","963.69","924.85","Finale B"
"Theo Griffit","K1H","121.2","873.68","926.25","Finale B"
"Othis Dabin","K1H","123.09","1111.72","955.58","Finale B"
"Hugo Favrelle","K1H","128.7","1053.86","1042.65","Finale B"
"Denis Marrocos","K1H","131.58","892.42","1087.35","Finale B"
"Thibault Wurceldorf","K1H","132.89","1013.07","1107.68","Finale B"
"Jorge Govea Martinez","K1H","137.05","1284.66","1172.24","Finale B"
"Amir Bouazza","K1H","143.11","1338.37","1266.3","Finale B"
"Axel Colin","K1HM","83.47","319.21","340.66","Finale B"
"Pierre-louis Mingasson","K1HM","94.45","735.71","511.08","Finale B"
"Axel Linssen","K1HM","111.59","1011.51","777.1","Finale B"
"Antonin Costa","K1HM","113.86","872.42","812.33","Finale B"
"Qeis Khalfaoui","K1HM","114.5","686.7","822.26","Finale B"
"Eugene Pataut Ghez","K1HM","116.29","1004.25","850.04","Finale B"
"Souleymane Ndoye","K1HM","124.07","1064.18","970.79","Finale B"
"Marc Sanchez","K1HM","130.17","1150.8","1065.46","Finale B"
"Victor Berland Laporte","K1HM","132.21","1083.11","1097.12","Finale B"
"Leandre Richard","K1HM","135.71","1050.24","1151.45","Finale B"
"Ziad Ben Bella","K1HM","155.43","2153.24","1457.51","Finale B"
