"SELECTIF DE CERGY - Cergy Neuville - 2002-10-20","Course 1","2002-10-20","Régional","173"
"Bomboy Alice","K1D","230.62","76","246",""
"Besch Eulalie","K1D","257.06","321","388",""
"Paoletti Camille","K1D","264.42","333","427",""
"Caroline Bourry","K1D","275.23","327","485",""
"Melina Letellier","K1D","278.93","282","504",""
"Tifenn Van Delft","K1D","288.89","350","558",""
"Cassier Cecile","K1D","291.61","325","572",""
"Defoix Angelique","K1D","298.23","-","608",""
"Cochard Isabelle","K1D","328.87","599","772",""
"Anne Sophie Le Bailly","K1D","349.80","385","883",""
"Celia Jodar","K1D","383.00","-","1061",""
"Heckmann Steffi","K1D","489.55","1038","1631",""
"Alexandra Dubreuil","K1D","503.39","874","1704",""
"Charlotte Hay","K1D","517.78","-","1781",""
"Cheutin Jean-Yves","K1H","182.32","15","86",""
"Boulesteix Ludovic","K1H","182.88","43","89",""
"Christophe Augu","K1H","184.44","40","98",""
"Jean Philippe Winiarski","K1H","189.63","-","129",""
"Leproult Jonathan","K1H","191.06","128","138",""
"Xavier Jourdain","K1H","191.70","146","141",""
"Trzeciak Vincent","K1H","192.53","167","146",""
"Bluy Alexandre","K1H","198.57","99","181",""
"Benjamin Thouvignon","K1H","198.80","154","182",""
"Romain Bove","K1H","199.37","210","186",""
"Sarazin Emmanuel","K1H","199.83","240","188",""
"Benoit Letellier","K1H","202.29","184","204",""
"Ciaran Heurteau","K1H","202.86","271","207",""
"Vincent Reiter","K1H","203.33","261","210",""
"Chaise Thomas","K1H","204.90","197","219",""
"Stern Guillaume","K1H","206.80","179","230",""
"Philippe Daumont","K1H","208.21","203","238",""
"Cedric Mace","K1H","210.24","208","250",""
"Pascal Marrec","K1H","210.30","307","250",""
"Julien Darees","K1H","210.53","262","251",""
"Kevine Cliquet","K1H","211.88","237","260",""
"Antoine Lebastard","K1H","212.39","222","263",""
"Sebastien Racault","K1H","213.06","225","267",""
"Thibault Bellembois","K1H","213.18","212","268",""
"Barbier Julien","K1H","213.27","319","268",""
"David Breton","K1H","215.00","264","278",""
"Yves Lecointe","K1H","216.47","364","287",""
"Lemoule Pierre","K1H","217.61","360","293",""
"Florian Gosselin","K1H","218.16","236","297",""
"Vaillant Tiphaine","K1H","218.82","379","300",""
"Chantry Xavier","K1H","221.29","352","315",""
"Lambert Olivier","K1H","222.17","-","321",""
"Nicolas Arnoult","K1H","222.89","344","325",""
"Laroque Jeanchristophe","K1H","223.05","296","326",""
"Quentin Bove","K1H","223.62","-","329",""
"Fabien Tournadre","K1H","225.00","279","337",""
"Nicolas Dupres","K1H","225.24","398","338",""
"Oswald Besch","K1H","225.26","-","339",""
"Stephane Sagnier","K1H","225.30","434","339",""
"Viellard Amaury","K1H","226.17","329","344",""
"Alexandre Guerinet","K1H","228.11","323","355",""
"Goulwen Chapelier","K1H","228.29","354","356",""
"Aurel Sebastien","K1H","228.71","336","359",""
"Mathieu Godin","K1H","229.39","316","363",""
"Jerome Talbot","K1H","231.95","295","377",""
"Noble Aurelien","K1H","232.43","406","380",""
"Sebastien Serot","K1H","233.71","317","389",""
"Philippe Valeri","K1H","236.17","364","403",""
"Deletang Mathieu","K1H","236.22","-","403",""
"Childeric Thoreau","K1H","238.91","349","419",""
"Nedelec Etienne","K1H","241.49","-","434",""
"Bechade Olivier","K1H","241.87","563","436",""
"Alliaume Antoine","K1H","245.40","570","457",""
"Julien Daumont","K1H","245.54","-","458",""
"Gerard Lafargue","K1H","245.58","-","458",""
"Olivier Roussel","K1H","245.74","442","459",""
"Florian Perenchio","K1H","246.66","279","464",""
"Raphael Reveche","K1H","247.03","183","467",""
"Laurent Bes","K1H","247.09","-","467",""
"Dubu Alain","K1H","249.49","448","481",""
"Dubost Antoine","K1H","250.19","501","485",""
"Malderez Sebastien","K1H","252.14","409","496",""
"Ferrand Luc","K1H","252.62","657","499",""
"Landa Thomas","K1H","253.28","344","503",""
"Gadois Jacques","K1H","254.61","-","510",""
"Vieillard Alexis","K1H","256.30","376","521",""
"Jodar Sebastien","K1H","256.37","413","522",""
"Coiffe Florion","K1H","257.82","233","530",""
"Soete Arnaud","K1H","259.24","211","538",""
"Bertrand Avril","K1H","259.97","292","542",""
"Knibbe Vivien","K1H","260.76","472","547",""
"Thenon Gregori","K1H","260.77","431","547",""
"Yves Moreno","K1H","276.24","-","638",""
"Sadrin Kilian","K1H","278.60","-","652",""
"Peduzzi Thibaud","K1H","282.25","-","673",""
"Pascal Sallot","K1H","283.58","639","681",""
"Ursot Olivier","K1H","283.67","684","682",""
"Debruyere Benjamin","K1H","288.47","433","710",""
"Aurelien Leroy","K1H","288.52","246","711",""
"Senechal Alexis","K1H","289.34","648","715",""
"Fievez Guillaume","K1H","291.66","-","729",""
"Malboze Jerome","K1H","297.15","549","761",""
"Viratelle Vincent","K1H","312.84","442","853",""
"Lejeune Olivier","K1H","313.26","444","856",""
"Noury Maxime","K1H","316.38","548","874",""
"Bolzani Fabien","K1H","318.16","-","884",""
"Alban Planchais","K1H","319.16","451","890",""
"Sebastien Masseline","K1H","322.28","546","909",""
"Boivin Xavier","K1H","323.70","-","917",""
"Ospitalier Vincent","K1H","335.95","682","989",""
"Serra Thibault","K1H","341.23","635","1020",""
"Di Majo Romain","K1H","343.36","784","1033",""
"Hetier Louis","K1H","345.80","564","1047",""
"Benjamin Defrocourt","K1H","346.00","752","1048",""
"Gilles Lucas","K1H","355.51","521","1104",""
"Vuillermoz Romain","K1H","361.50","-","1139",""
"Goguely Pierre","K1H","363.61","-","1151",""
"Lantenois Mickael","K1H","365.97","760","1166",""
"Guilhem Goubert","K1H","369.98","-","1189",""
"Morvan Antoine","K1H","371.82","-","1200",""
"Julien Vetele","K1H","372.14","602","1202",""
"Lacour Jerome","K1H","379.96","307","1248",""
"Lebar Johnny","K1H","380.20","853","1249",""
"Tonnelle Gregoire","K1H","380.33","-","1250",""
"Facchini Thomas","K1H","399.88","462","1365",""
"Marcen Thomas","K1H","418.62","-","1476",""
"Olivier Cornu","K1H","422.76","590","1500",""
"Dominique Odile","K1H","423.24","-","1502",""
"Dreux Damien","K1H","424.96","-","1512",""
"Nicolas Girault","K1H","433.70","-","1564",""
"Patrick Pierrot","K1H","451.43","-","1668",""
"Contreras Julien","K1H","464.44","-","1745",""
"Barnavon Guillaume","K1H","494.54","-","1921",""
"Dejonghe Valentin","K1H","509.39","-","2009",""
"Thomas-Chollier Gael","K1H","535.04","-","2159",""
"Barnavon Nicolas","K1H","572.73","-","2381",""
"Sassatelli Nicolas","K1H","578.75","-","2416",""
"Roussin Michel","K1H","596.49","-","2521",""
"Emmanuel Despont","K1H","607.89","-","2588",""
"Crette Thibault","K1H","641.75","-","2787",""
"Granger Terence","K1H","733.27","-","3325",""
"Morin Thomas","K1H","834.79","-","3922",""
"Sury Quentin","K1H","1635.07","-","8626",""
