"Manche de la Coupe de France National 2 Slalom - 54000 Nancy - Finale - 2019-05-19","Finale","2019-05-19","Nationale 2","205"
"Laurine Naveau","K1D","149.59","418.56","430.51","Finale B"
"Barbara Gibert","K1D","149.86","419.68","432.99","Finale B"
"Clara Delahaye","K1D","151.24","339.09","445.7","Finale B"
"Tifenn Primet","K1D","152.94","327.21","461.36","Finale B"
"Lucie Cecile","K1D","155.09","363.75","481.16","Finale B"
"Solen Friconneau","K1D","155.57","331.57","485.58","Finale B"
"Adeline Roux","K1D","155.59","259.04","485.76","Finale B"
"Celia Grandadam","K1D","156.61","350.91","495.16","Finale B"
"Marion Gillet","K1D","166.14","540.98","582.93","Finale B"
"Pauline Clerc","K1D","166.42","437.79","585.5","Finale B"
"Auregane Philip","K1D","169.39","282.71","612.86","Finale B"
"Jessica Joyau","K1D","176.82","435.15","681.28","Finale B"
"Alina Rassel","K1D","179.51","428.87","706.05","Finale B"
"Alize Bachelot","K1D","194.6","493.57","845.02","Finale B"
"Anais Mouhoub","K1D","207.18","373.97","960.88","Finale B"
"Lison Gautrelet","K1D","224.68","437.54","1122.04","Finale B"
"Loan Battistuzzi","K1D","236.05","329.84","1226.76","Finale B"
"Chloe Gatuingt","K1D","237.96","448.26","1244.34","Finale B"
"Charlotte Abba","K1D","346","418.38","2239.34","Finale B"
"Marie Hilger","K1D","390.07","327.13","2645.2","Finale B"
"Sophie Staudt","K1D","Abs","-","-","Finale B"
"Manon Le Lay","K1D","Abs","-","-","Finale B"
"Andreas Dupuy","K1H","110.31","176.71","200.82","Finale B"
"Victor Hennin","K1H","111.63","381.91","214.56","Finale B"
"Romain Bruneau","K1H","112.45","217.71","223.09","Finale B"
"Lucas Correia","K1H","113.12","225.43","230.07","Finale B"
"Antoine Saul","K1H","113.53","251.9","234.33","Finale B"
"Davy Egraz","K1H","113.7","301.07","236.1","Finale B"
"Alexis Pacholak","K1H","113.94","287.92","238.6","Finale B"
"Charles Edouard Dherment","K1H","114.82","285.73","247.76","Finale B"
"Yvan Leblond","K1H","115.98","204.07","259.83","Finale B"
"Julien Dosse","K1H","117.01","317.59","270.55","Finale B"
"Clement Dubois","K1H","117.12","272.87","271.69","Finale B"
"Hugo Latimier","K1H","117.44","292.92","275.02","Finale B"
"Romain Branjauneau","K1H","117.97","195.19","280.54","Finale B"
"Erwan Rouch","K1H","118.41","224.68","285.12","Finale B"
"Theo Reby","K1H","118.45","271.85","285.53","Finale B"
"Silvere Desongins","K1H","119","222.07","291.26","Finale B"
"Antonin Barraud","K1H","119.08","295.43","292.09","Finale B"
"Emilien Kempf","K1H","119.19","270.33","293.24","Finale B"
"Simon Dubosc","K1H","119.19","186.69","293.24","Finale B"
"Lucas Dominguez","K1H","119.83","267.5","299.9","Finale B"
"Loic Trenchant","K1H","120.04","250.62","302.08","Finale B"
"Damien Ganthier","K1H","120.46","291.68","306.45","Finale B"
"Vincent Laclide","K1H","120.6","275.17","307.91","Finale B"
"Loic Thielen","K1H","121.95","304.74","321.96","Finale B"
"Nicolas Mangeolle","K1H","122.23","261.9","324.87","Finale B"
"Jean Philippe Roche","K1H","122.27","298.92","325.29","Finale B"
"Martin Dubois","K1H","122.55","304.54","328.2","Finale B"
"Arthur Contamine","K1H","122.81","286.12","330.91","Finale B"
"Arthur Lagleyze","K1H","123.22","322.31","335.17","Finale B"
"Thibaud Collaert","K1H","123.42","229.28","337.26","Finale B"
"Lorin Dumont","K1H","123.99","289.44","343.19","Finale B"
"Alexandre Marin","K1H","124.24","300.18","345.79","Finale B"
"Nathan Flageul","K1H","124.24","264.64","345.79","Finale B"
"Thibaud Chevalier","K1H","124.33","338.87","346.73","Finale B"
"Samuel Lhote","K1H","124.43","291.25","347.77","Finale B"
"Fabien Tournadre","K1H","124.77","187.92","351.3","Finale B"
"Denis Parizia","K1H","125.23","283.22","356.09","Finale B"
"Simon Cognard","K1H","125.58","267","359.73","Finale B"
"Paul Bostoen","K1H","128.8","236.17","393.24","Finale B"
"Yann Zaepffel","K1H","130.46","273.88","410.52","Finale B"
"Clement Le Collinet","K1H","135.52","306.05","463.18","Finale B"
"Timothee Le Mort","K1H","136.53","277.33","473.69","Finale B"
"Loric Bertrand Delorme","K1H","162.58","263.98","744.78","Finale B"
"Louis Debureaux","K1H","172.18","259.17","844.68","Finale B"
"Thomas L'huillier","K1H","172.26","274.22","845.52","Finale B"
"Antonin Robert","K1H","180.92","237.04","935.64","Finale B"
"Titouan Castryck","K1H","231.84","163.42","1465.55","Finale B"
