"Sélectif National 3 Slalom Ouest - Bras De La Marbrerie - Finale - 2016-04-24","Finale","2016-04-24","Nationale 3","212"
"Arthur Chaumet","K1H","103.08","313.7","327.27","Finale A"
"Gwenael Marquer","K1H","103.4","251.86","331.36","Finale A"
"Emmanuel Cosse","K1H","103.48","322.55","332.38","Finale A"
"Loan Queffelec","K1H","103.54","342.5","333.15","Finale A"
"Leo Tasset","K1H","103.55","284.3","333.27","Finale A"
"Killian Flegeau","K1H","103.61","350.77","334.04","Finale A"
"Brieuc Richard","K1H","103.67","329.52","334.81","Finale A"
"Steven Henry","K1H","104.01","313.36","339.15","Finale A"
"Lorin Dumont","K1H","104.1","261.22","340.3","Finale A"
"Vincent Laclide","K1H","104.15","350.68","340.94","Finale A"
"Clement Dubois","K1H","104.42","296.82","344.39","Finale A"
"Florian Sauvage","K1H","105.66","347.48","360.23","Finale A"
"Quentin Brillaut","K1H","105.86","391.71","362.78","Finale A"
"Jules Chaumet","K1H","106.02","395.92","364.82","Finale A"
"Melenn Aubry","K1H","106.49","342.73","370.83","Finale A"
"Lucas Soudi","K1H","106.77","327.8","374.41","Finale A"
"Yann Le Bourser","K1H","106.78","310.22","374.53","Finale A"
"Erwan Jonin","K1H","107.09","319.63","378.49","Finale A"
"Gregory Metayer","K1H","107.14","345.26","379.13","Finale A"
"Simon Seuru","K1H","107.75","296.85","386.92","Finale A"
"Julien Richard","K1H","107.91","389.8","388.97","Finale A"
"Jules Heurtin","K1H","107.95","461.07","389.48","Finale A"
"Emeric Bussonnais","K1H","107.96","261.96","389.61","Finale A"
"Francois Poirier","K1H","108.56","372.5","397.27","Finale A"
"Timothee Cornu","K1H","108.57","385.71","397.4","Finale A"
"Guillaume Maillot","K1H","108.93","313.5","402","Finale A"
"Quentin Robin","K1H","109.07","337.95","403.79","Finale A"
"Samuel Le Dean","K1H","109.15","342.18","404.81","Finale A"
"Benoit Ricard","K1H","109.68","326.11","411.58","Finale A"
"Keliann Le Breton","K1H","110.12","347.1","417.2","Finale A"
"Malo Marquet","K1H","110.68","453.46","424.35","Finale A"
"Mathis Daniel","K1H","110.87","311.76","426.78","Finale A"
"Ewen Berrest","K1H","111.4","446.23","433.55","Finale A"
"Samuel Flament","K1H","111.84","357.34","439.17","Finale A"
"Jeremy Bretteville","K1H","111.93","401.17","440.32","Finale A"
"Theo Renaud","K1H","112.15","309.79","443.13","Finale A"
"Jonas Flament","K1H","112.59","404.46","448.75","Finale A"
"David Ravache","K1H","113.02","441.7","454.24","Finale A"
"Loic Froissard","K1H","113.09","394.73","455.14","Finale A"
"Brice Derrien","K1H","113.38","432.31","458.84","Finale A"
"Lilian Bald","K1H","113.77","449.29","463.82","Finale A"
"Vincent Salmon","K1H","115.07","458.62","480.43","Finale A"
"Lucas Godevin","K1H","115.66","491.99","487.97","Finale A"
"Flavien Portier","K1H","115.91","434.84","491.16","Finale A"
"Lucas Augu","K1H","116.27","315.52","495.76","Finale A"
"Christophe Gergaud","K1H","116.72","434.01","501.51","Finale A"
"Arthur Lagleyze","K1H","116.74","385.26","501.76","Finale A"
"Romain Bruneau","K1H","117.91","471.81","516.71","Finale A"
"Thomas Floch","K1H","118.56","498.82","525.01","Finale A"
"Lubin Huet","K1H","118.86","361.93","528.84","Finale A"
"Louis Forgeard","K1H","119.39","421.02","535.61","Finale A"
"Gaetan Robin","K1H","121.89","402.71","567.55","Finale A"
"Leri Muller","K1H","127.24","367.7","635.89","Finale A"
"Nicolas Maurel","K1H","127.74","442.28","642.27","Finale A"
"Nicolas Le Belleguic","K1H","157.15","358.26","1017.96","Finale A"
"Maela Le Corre","C1D","142.1","383.32","528.18","Finale B"
"Anais Pignet","C1D","143.47","406.74","542.76","Finale B"
"Jann Le Corre","C1D","154.25","526.1","657.52","Finale B"
"Garance Dalaine","C1D","207.28","868.8","1222.01","Finale B"
"Samuel Vallienne","C1H","115.6","538.47","421.88","Finale B"
"Olivier Leboeuf","C1H","117.62","502.59","446.46","Finale B"
"Timothee Le Mort","C1H","119.75","502.84","472.37","Finale B"
"Hugo Eouzan-chaffotec","C1H","121.3","530.06","491.23","Finale B"
"Loan Queffelec","C1H","122.75","643.98","508.87","Finale B"
"Lucas Godevin","C1H","123.25","611.58","514.95","Finale B"
"Romain Bruneau","C1H","123.54","635.87","518.47","Finale B"
"Erwan Jonin","C1H","123.93","450.13","523.23","Finale B"
"Gwenael Coadou","C1H","129.04","424.42","585.38","Finale B"
"Martin Barbier","C1H","130.02","487.28","597.32","Finale B"
"Awen Le Paih","C1H","131.65","490.85","617.14","Finale B"
"Glen Le Meur","C1H","135.44","770.15","663.24","Finale B"
"Yannick Courtay","C1H","135.96","604.88","669.58","Finale B"
"Thomas Ollivo","C1H","146.06","657.39","792.45","Finale B"
"Simon Seuru","C1H","146.75","491.73","800.84","Finale B"
"Tanguy Odot","C1H","149.4","952.52","833.08","Finale B"
"Younes Kismi","C1H","150.93","814.26","851.7","Finale B"
"Killian Perrier","C1H","160.43","861.64","967.26","Finale B"
"Leo Paillat-Samuel Flament","C2H","168.45","709.19","971.68","Finale B"
"Marie Duval","K1D","124.25","433.59","420.1","Finale B"
"Garance Dalaine","K1D","129.08","575.88","474.7","Finale B"
"Julie Dequeant","K1D","132.11","494.05","508.96","Finale B"
"Pauline Guenery","K1D","137.12","502.31","565.59","Finale B"
"Romane Bronchet","K1D","140.35","534.18","602.11","Finale B"
"Mathilde Le Verge","K1D","148.11","571.61","689.82","Finale B"
"GaËlle Bail","K1D","152.38","621.25","738.1","Finale B"
"Gwendoline Hall","K1D","153.89","728.06","755.16","Finale B"
"Caroline Froissard","K1D","158.62","714.91","808.63","Finale B"
"Anais Robineau","K1D","179.66","739.55","1046.47","Finale B"
"Clement Collardez","K1H","98.48","547.51","273.51","Finale B"
"Loann Le Guyader","K1H","110.25","299.51","423.86","Finale B"
"Charles Temple","K1H","111.15","387.65","435.36","Finale B"
"Maxime Lignereux","K1H","111.9","608.49","444.94","Finale B"
"Erwann Le Jeune","K1H","111.97","404.09","445.83","Finale B"
"Come Le Gal","K1H","113.06","465.17","459.75","Finale B"
"Antoine Repussard","K1H","113.97","495.41","471.38","Finale B"
"Yoann Donval","K1H","115.5","496.62","490.92","Finale B"
"Samuel Vallienne","K1H","116.06","479.15","498.07","Finale B"
"Baptiste Loy","K1H","116.19","500.85","499.74","Finale B"
"Aurelien Le Duc","K1H","116.3","503.82","501.14","Finale B"
"Nicolas Leconte","K1H","116.37","495.92","502.03","Finale B"
"Killian Perrier","K1H","116.54","579.6","504.21","Finale B"
"Leo Hachair","K1H","117.28","489.48","513.66","Finale B"
"Aubin Davaic","K1H","117.6","547.51","517.75","Finale B"
"Gurvan Huet","K1H","117.9","543.85","521.58","Finale B"
"Vincent Torzec","K1H","118.1","425.71","524.13","Finale B"
"Adrien Pierre","K1H","118.25","654.07","526.05","Finale B"
"Vincent Rival","K1H","118.59","497.04","530.39","Finale B"
"Younes Kismi","K1H","118.73","616.69","532.18","Finale B"
"Francois Bonthonnou","K1H","118.73","536.62","532.18","Finale B"
"Elouan Le Fournis","K1H","119.43","524.92","541.12","Finale B"
"Olivier Brochard","K1H","119.56","459.62","542.78","Finale B"
"Daneric Ollivier","K1H","120.07","521.31","549.3","Finale B"
"Leo Paillat","K1H","120.25","485.94","551.6","Finale B"
"Yoann Turowsky","K1H","120.75","489.68","557.98","Finale B"
"Matheo Coquel","K1H","122.09","452.61","575.1","Finale B"
"Awen Le Paih","K1H","122.23","484.8","576.89","Finale B"
"Alexis Bizon","K1H","122.31","565.34","577.91","Finale B"
"Malo Hery","K1H","122.33","481.35","578.17","Finale B"
"Mael Monjaret","K1H","123.46","660.74","592.6","Finale B"
"Valentino Le Guesclou","K1H","123.63","441.17","594.77","Finale B"
"Thomas Salch","K1H","124.34","506.86","603.84","Finale B"
"Nathan Dalaine","K1H","125.07","485.29","613.17","Finale B"
"Tom Seguillon","K1H","125.28","554.3","615.85","Finale B"
"Louis-felix Marchand","K1H","125.78","748.47","622.24","Finale B"
"Hugo Robert","K1H","127.62","623.35","645.74","Finale B"
"Malo Querre","K1H","128.11","598.29","652","Finale B"
"Elouan Pennors","K1H","128.44","691.59","656.22","Finale B"
"Tanguy Odot","K1H","129.17","799.48","665.54","Finale B"
"Lois Moreau","K1H","129.43","613.99","668.86","Finale B"
"Glen Le Meur","K1H","129.91","608.33","674.99","Finale B"
"Regis Navinel-dubois","K1H","131.29","543.65","692.62","Finale B"
"GaËtan De Greef","K1H","131.32","683.67","693","Finale B"
"Theo Anton  Heteau","K1H","132.12","462.85","703.22","Finale B"
"Gerard Lemonnier","K1H","133.35","637.04","718.94","Finale B"
"Cyriac Rolland","K1H","134.09","925.72","728.39","Finale B"
"Deverig Cardiec","K1H","134.15","603.38","729.16","Finale B"
"Simon Diogo","K1H","134.71","626.98","736.31","Finale B"
"Arthur Millet","K1H","134.85","646.9","738.1","Finale B"
"Yohan Dupont","K1H","134.87","508.19","738.35","Finale B"
"Liam Esteffe","K1H","135.59","769.33","747.55","Finale B"
"Louis Gane","K1H","136.41","782.91","758.02","Finale B"
"Nicolas Petipez","K1H","136.81","654.8","763.13","Finale B"
"Alexandre Bourliaud","K1H","138.84","683.23","789.06","Finale B"
"Antonin Leray","K1H","142.5","535.42","835.82","Finale B"
"Benjamin Borgne","K1H","142.53","853.18","836.2","Finale B"
"Ewen Ferey","K1H","143.06","725.65","842.97","Finale B"
"Enzo Lemaitre","K1H","145.64","824.08","875.93","Finale B"
"Corentin Val","K1H","146.59","840.61","888.06","Finale B"
"Youenn Peloil","K1H","152.1","556.91","958.45","Finale B"
"Jerome Saliou","K1H","153.18","461.72","972.24","Finale B"
"Yannis Houze","K1H","161.97","590.54","1084.53","Finale B"
"Jean-christophe Dubois","K1H","182.02","753.38","1340.64","Finale B"
"Raphael Gomez","K1H","189.62","943.94","1437.72","Finale B"
"Yann Dhieux","K1H","199.32","675.68","1561.63","Finale B"
"Luck Thomas","K1H","205.45","759.69","1639.94","Finale B"
"Simon Rolland","K1H","Des","-","-","Finale B"
"Yohann Taillandier","K1H","Abd","-","-","Finale B"
