"SÈlectif RÈgional Slalom (Double) - Double Slalom De Pau - Course n∞1 | Finale - 2017-10-28","Course n∞1 | Finale","2017-10-28","RÈgional","312"
"Boris Neveu","K1H","131.97","21.39","722.19","Course n∞1 | Finale A"
"Alan Dollo","K1H","137.38","85.45","790.4","Course n∞1 | Finale A"
"Jonas Turmeau","K1H","138.99","76.63","810.7","Course n∞1 | Finale A"
"Leo Vuitton","K1H","140.45","214.96","829.1","Course n∞1 | Finale A"
"Gael Adisson","K1H","140.75","214.09","832.89","Course n∞1 | Finale A"
"Vincent Delahaye","K1H","141.26","108.05","839.32","Course n∞1 | Finale A"
"Tanguy Zaninotto","K1H","145.85","226.87","897.19","Course n∞1 | Finale A"
"Nicolas Feuillard","K1H","147.42","186.13","916.98","Course n∞1 | Finale A"
"Raphael Lassechere","K1H","148.37","178.69","928.96","Course n∞1 | Finale A"
"Ulysse Giel","K1H","151.31","345.27","966.03","Course n∞1 | Finale A"
"Loan Queffelec","K1H","151.52","233.18","968.68","Course n∞1 | Finale A"
"Theo Ducasse","K1H","152.54","327.95","981.54","Course n∞1 | Finale A"
"Florian Busson","K1H","190.45","146.61","1459.52","Course n∞1 | Finale A"
"Titouan Castryck","K1HM","103.93","351.64","368.65","Course n∞1 | Finale A"
"Alex Baldoni","K1HM","105.44","487.91","387.69","Course n∞1 | Finale A"
"Baptiste Delemotte","K1HM","106.04","484.26","395.25","Course n∞1 | Finale A"
"Hugo Crespo","K1HM","107.11","488.41","408.74","Course n∞1 | Finale A"
"Mael Bernes","K1HM","112.01","397.79","470.52","Course n∞1 | Finale A"
"Yon Dandonneau","K1HM","113.51","549.57","489.44","Course n∞1 | Finale A"
"Guillaume Malmezac","K1HM","120.83","518.67","581.73","Course n∞1 | Finale A"
"Adrien Pardoux","K1HM","126.9","451.1","658.26","Course n∞1 | Finale A"
"Matt Vidou","K1HM","127.19","550.17","661.92","Course n∞1 | Finale A"
"Cyprien Cail","K1HM","128.09","433.42","673.27","Course n∞1 | Finale A"
"K…ziah Lecomte","K1HM","137.82","682.31","795.94","Course n∞1 | Finale A"
"Cl…ment Corbeil","K1HM","171.16","464.58","1216.31","Course n∞1 | Finale A"
"Lohan Wyon","K1HM","206.96","731.7","1667.68","Course n∞1 | Finale A"
"Julien Doumecq","K1HM","326.49","594.32","3174.76","Course n∞1 | Finale A"
"Lea Grison","C1D","118.79","240.93","311.38","Course n∞1 | Finale B"
"Charline Berger Martin","C1D","120.9","281.92","333.55","Course n∞1 | Finale B"
"Laura Pellicer","C1D","131.94","241.07","449.55","Course n∞1 | Finale B"
"Amaurie Guilleret","C1D","134.49","302.33","476.34","Course n∞1 | Finale B"
"Viviana Daille","C1D","182.79","410.24","983.83","Course n∞1 | Finale B"
"Perrine Joubert","C1D","200.91","442.24","1174.21","Course n∞1 | Finale B"
"Elorri Erdois","C1D","225.57","382.14","1433.31","Course n∞1 | Finale B"
"Elena Hugues","C1D","238.45","248.76","1568.64","Course n∞1 | Finale B"
"Joana Palermo","C1D","Des","-","-","Course n∞1 | Finale B"
"Laurine Salesse","C1DM","275.43","398.87","1957.19","Course n∞1 | Finale B"
"Thomas Rosset","C1H","93.08","153.24","180.96","Course n∞1 | Finale B"
"Guillaume Graille","C1H","95.47","294.93","209.66","Course n∞1 | Finale B"
"Johan Pucheou","C1H","99.8","200.8","261.66","Course n∞1 | Finale B"
"Anthony Roux","C1H","101.77","174.48","285.31","Course n∞1 | Finale B"
"Clement Travert","C1H","103.95","463.3","311.49","Course n∞1 | Finale B"
"Galaad Pereyron","C1H","104.72","167.74","320.73","Course n∞1 | Finale B"
"Timothee Cornu","C1H","104.94","278.59","323.38","Course n∞1 | Finale B"
"Antoine Demateis","C1H","106.84","391.97","346.19","Course n∞1 | Finale B"
"Raphael Lassechere","C1H","111.3","338.85","399.75","Course n∞1 | Finale B"
"Marc Sarramea","C1H","111.74","330.41","405.03","Course n∞1 | Finale B"
"Dominik Gosset","C1H","117.49","307.89","474.07","Course n∞1 | Finale B"
"Jonathan Suc","C1H","120.83","447.92","514.18","Course n∞1 | Finale B"
"Paul Gobert","C1H","133.02","686.22","660.56","Course n∞1 | Finale B"
"Tomy Dandonneau","C1H","139.1","346.91","733.57","Course n∞1 | Finale B"
"Dyclan Plessis","C1H","153.18","488.07","902.64","Course n∞1 | Finale B"
"Nathan Hossin","C1H","153.53","153.64","906.84","Course n∞1 | Finale B"
"Julien Coric","C1H","160.44","715.42","989.82","Course n∞1 | Finale B"
"Natan Brule","C1H","170.07","392.67","1105.45","Course n∞1 | Finale B"
"Theo Laudrin","C1H","194.22","671.25","1395.44","Course n∞1 | Finale B"
"Adrien Mesmoudi","C1H","198.71","502.44","1449.36","Course n∞1 | Finale B"
"Logan Stenton","C1H","Abs","-","-","Course n∞1 | Finale B"
"Hugo Crespo","C1HM","118.3","1404.58","483.81","Course n∞1 | Finale B"
"Theo Jeanlouis","C1HM","130.38","517.68","628.85","Course n∞1 | Finale B"
"Emilien Courtiade","C1HM","136.6","513.78","703.54","Course n∞1 | Finale B"
"Yon Dandonneau","C1HM","232.88","1046.29","1859.66","Course n∞1 | Finale B"
"Clement Gillaizeau","C1HM","236.49","561.27","1903.02","Course n∞1 | Finale B"
"Clement Riera-Maxime Blondeau","C2HM","Des","-","-","Course n∞1 | Finale B"
"Berenice Kolenc","K1D","94.11","70.5","113.33","Course n∞1 | Finale B"
"Flora Huvelin","K1D","94.6","87.49","118.79","Course n∞1 | Finale B"
"Emeline Oudet","K1D","102.85","132.01","210.85","Course n∞1 | Finale B"
"Charline Berger Martin","K1D","106.47","189.73","251.24","Course n∞1 | Finale B"
"Eva Pietracha","K1D","109.88","186.44","289.28","Course n∞1 | Finale B"
"Emilie Delahaye","K1D","113.25","256.12","326.88","Course n∞1 | Finale B"
"Lea Baldoni","K1D","115.81","289.96","355.45","Course n∞1 | Finale B"
"Oceane Baylacq","K1D","122.46","295.04","429.65","Course n∞1 | Finale B"
"Perrine Joubert","K1D","124.89","357.92","456.76","Course n∞1 | Finale B"
"Carla Lacroix","K1D","125.2","344.37","460.22","Course n∞1 | Finale B"
"Lise Denat","K1D","128.1","281.85","492.58","Course n∞1 | Finale B"
"Stephanie Kaczmarek","K1D","128.41","213.39","496.04","Course n∞1 | Finale B"
"Violaine Truche","K1D","130.85","257.05","523.26","Course n∞1 | Finale B"
"Laurence Pessoni","K1D","131.88","410.55","534.76","Course n∞1 | Finale B"
"Helene Courtel","K1D","134.94","440.94","568.9","Course n∞1 | Finale B"
"Oceane Dorval","K1D","135.16","287.41","571.36","Course n∞1 | Finale B"
"Camille Santa Cruz","K1D","141.83","379.99","645.77","Course n∞1 | Finale B"
"Lyse Brichet","K1D","154.87","617.35","791.27","Course n∞1 | Finale B"
"Solene Lafitte","K1D","158.38","398.75","830.43","Course n∞1 | Finale B"
"Elorri Erdois","K1D","184.9","303.19","1126.34","Course n∞1 | Finale B"
"Cleo Santini","K1D","193.77","526.03","1225.31","Course n∞1 | Finale B"
"Zoe Waeles","K1D","257.84","491.17","1940.19","Course n∞1 | Finale B"
"Emma Angladette","K1D","351.43","602.53","2984.45","Course n∞1 | Finale B"
"Lea Hubert","K1D","Des","-","-","Course n∞1 | Finale B"
"Amelie Leclercq","K1DM","134.69","459.48","566.11","Course n∞1 | Finale B"
"Nahia Oteiza","K1DM","179.28","368.63","1063.64","Course n∞1 | Finale B"
"Clara Delahaye","K1DM","248.74","387.21","1838.66","Course n∞1 | Finale B"
"Malo Quemeneur","K1H","83.01","54.83","109.88","Course n∞1 | Finale B"
"Dylan Sourbe","K1H","91.14","235.72","212.39","Course n∞1 | Finale B"
"Luc Sarramea","K1H","92.13","226.45","224.87","Course n∞1 | Finale B"
"Sam Traquet","K1H","92.29","278.42","226.89","Course n∞1 | Finale B"
"Romain Branjauneau","K1H","92.29","265.16","226.89","Course n∞1 | Finale B"
"Jeanmichel Regnier","K1H","93.91","281.2","247.31","Course n∞1 | Finale B"
"Tom Zanfini","K1H","95.51","307.49","267.49","Course n∞1 | Finale B"
"Didier Baylacq","K1H","96.25","271.55","276.82","Course n∞1 | Finale B"
"Matheo Gillaizeau","K1H","98.73","249.78","308.08","Course n∞1 | Finale B"
"Tomy Dandonneau","K1H","99.68","394.9","320.06","Course n∞1 | Finale B"
"Nicolas Saurat","K1H","99.69","293.47","320.19","Course n∞1 | Finale B"
"Ludovic Gaignon","K1H","101.41","372.25","341.88","Course n∞1 | Finale B"
"Thibault Alcaras","K1H","102.49","292.76","355.49","Course n∞1 | Finale B"
"Esteban Illido","K1H","104.03","355.08","374.91","Course n∞1 | Finale B"
"Nathan Pavot","K1H","104.62","350.54","382.35","Course n∞1 | Finale B"
"Maxime Charron","K1H","105","370.1","387.14","Course n∞1 | Finale B"
"Herve Clerc","K1H","106.06","348.98","400.5","Course n∞1 | Finale B"
"Pablo Chaminade","K1H","106.5","392.01","406.05","Course n∞1 | Finale B"
"Cedric Landreau","K1H","106.64","369.47","407.82","Course n∞1 | Finale B"
"Nour Ait Kaddour","K1H","106.98","328.23","412.1","Course n∞1 | Finale B"
"Quentin Clerc","K1H","108.24","241.09","427.99","Course n∞1 | Finale B"
"Paul Gobert","K1H","108.58","463.8","432.28","Course n∞1 | Finale B"
"Thibault Clerc","K1H","109.67","352.39","446.02","Course n∞1 | Finale B"
"Benoit Dandonneau","K1H","110.47","526.21","456.11","Course n∞1 | Finale B"
"Gedeon Cothias-faure","K1H","111.92","436.57","474.39","Course n∞1 | Finale B"
"Guillaume Viguier","K1H","112.84","365.69","485.99","Course n∞1 | Finale B"
"Antoine Bouby","K1H","113.84","882.48","498.6","Course n∞1 | Finale B"
"Tom Delens","K1H","115.13","445.13","514.86","Course n∞1 | Finale B"
"Jonathan Suc","K1H","115.21","387.38","515.87","Course n∞1 | Finale B"
"Jacques Roisin","K1H","115.33","460.76","517.38","Course n∞1 | Finale B"
"Pascal Dongarra","K1H","115.42","338.84","518.52","Course n∞1 | Finale B"
"Antonin Maystre","K1H","117.01","362.45","538.56","Course n∞1 | Finale B"
"Louis Foissac","K1H","118.06","348.62","551.8","Course n∞1 | Finale B"
"Marc Sarramea","K1H","118.77","365.95","560.76","Course n∞1 | Finale B"
"Romain Bruneau","K1H","119.45","374.2","569.33","Course n∞1 | Finale B"
"Yoan Dalla Longa","K1H","123.1","876.93","615.35","Course n∞1 | Finale B"
"Simon Metra","K1H","123.75","475.66","623.55","Course n∞1 | Finale B"
"Sebastien Larenaudie","K1H","123.78","537.1","623.92","Course n∞1 | Finale B"
"Paul Commenges","K1H","124.97","289.93","638.93","Course n∞1 | Finale B"
"Yannis Dast","K1H","126.55","512.39","658.85","Course n∞1 | Finale B"
"Maxime Reubrez","K1H","131.2","576.15","717.48","Course n∞1 | Finale B"
"Alexandre Dubrous","K1H","134.84","640.82","763.37","Course n∞1 | Finale B"
"Tom Scianimanico","K1H","135.99","64.43","777.87","Course n∞1 | Finale B"
"Martin Daviet","K1H","138.69","73.52","811.91","Course n∞1 | Finale B"
"Thomas Moret","K1H","142.26","526.19","856.92","Course n∞1 | Finale B"
"Charles Billon","K1H","142.5","547.8","859.95","Course n∞1 | Finale B"
"Tino Forgues","K1H","146.45","304.8","909.75","Course n∞1 | Finale B"
"Angus Cruickshank","K1H","148.15","414.97","931.19","Course n∞1 | Finale B"
"Abel Boidron","K1H","149.44","564.26","947.45","Course n∞1 | Finale B"
"Felix Praderie","K1H","150.09","333.46","955.65","Course n∞1 | Finale B"
"Nathaniel Levy","K1H","154.08","389.24","1005.96","Course n∞1 | Finale B"
"Cedric Gerbet","K1H","158.29","385.42","1059.04","Course n∞1 | Finale B"
"Etienne Saint Picq","K1H","159.21","439.54","1070.64","Course n∞1 | Finale B"
"Jean Christophe Erdois","K1H","160.74","331.89","1089.93","Course n∞1 | Finale B"
"Tristan Ruiz","K1H","166.2","666.54","1158.77","Course n∞1 | Finale B"
"Kevin Sponem","K1H","166.35","337.23","1160.66","Course n∞1 | Finale B"
"Quentin Escudero","K1H","168.64","721.47","1189.53","Course n∞1 | Finale B"
"Baptiste San Nicolas","K1H","176.46","503.63","1288.13","Course n∞1 | Finale B"
"Marc Cordier","K1H","177.51","331.49","1301.37","Course n∞1 | Finale B"
"Julien Dubarry","K1H","178.18","841.83","1309.82","Course n∞1 | Finale B"
"Valentin Berland","K1H","178.54","335.3","1314.35","Course n∞1 | Finale B"
"Nicolas Neveu","K1H","182.44","546","1363.53","Course n∞1 | Finale B"
"Compton Cruickshank","K1H","198.83","612.48","1570.18","Course n∞1 | Finale B"
"Baptiste Riviere","K1H","202.18","441.13","1612.42","Course n∞1 | Finale B"
"Eric Vidou","K1H","221.68","402.99","1858.28","Course n∞1 | Finale B"
"Carl Rainaud","K1H","223.1","525.93","1876.18","Course n∞1 | Finale B"
"Otello Willmann Rosso","K1H","223.36","200.24","1879.46","Course n∞1 | Finale B"
"Lucas Dongarra","K1H","238.89","534.67","2075.27","Course n∞1 | Finale B"
"Tonin Desmet","K1H","247.77","524.78","2187.23","Course n∞1 | Finale B"
"Th…o Palumbo","K1H","264.83","979.68","2402.33","Course n∞1 | Finale B"
"Renaud Clerc","K1H","322.92","542.5","3134.74","Course n∞1 | Finale B"
"Felix Floriot","K1H","Des","-","-","Course n∞1 | Finale B"
"Fantin Delage-garez","K1HM","115.01","418.32","513.35","Course n∞1 | Finale B"
"Loris Shayam Affre","K1HM","116.39","382.65","530.75","Course n∞1 | Finale B"
"Antton Erdois","K1HM","125.54","524.28","646.11","Course n∞1 | Finale B"
"Mewen Debliquy","K1HM","126.97","424.58","664.14","Course n∞1 | Finale B"
"Guillaume Pradalie","K1HM","137.31","700.6","794.51","Course n∞1 | Finale B"
"Thomas Terr…","K1HM","145.91","562.84","902.95","Course n∞1 | Finale B"
"Emilien Courtiade","K1HM","173.59","440.76","1251.94","Course n∞1 | Finale B"
"Matheo Nassieu","K1HM","190.88","1464.24","1469.94","Course n∞1 | Finale B"
"Noa Lorand","K1HM","196.96","723.86","1546.6","Course n∞1 | Finale B"
"Timeo Canonico","K1HM","213.37","1921.02","1753.5","Course n∞1 | Finale B"
"Emeric Nieser","K1HM","267.88","855.71","2440.78","Course n∞1 | Finale B"
"Maxime Blondeau","K1HM","289.14","666.32","2708.83","Course n∞1 | Finale B"
"Matt…o Rainaud","K1HM","303.61","773.81","2891.28","Course n∞1 | Finale B"
"Leo Metro","K1HM","Abd","-","-","Course n∞1 | Finale B"
"Clement Riera","K1HM","Abs","-","-","Course n∞1 | Finale B"
