"SÈlectif RÈgional de Slalom - Vallon Pont D Arc - Finale - 2018-02-11","Finale","2018-02-11","RÈgional","117"
"Raphael Massot","K1H","90.8","343.07","533.45","Finale A"
"Francis Gaillard","K1H","95.25","530.46","604.71","Finale A"
"Mathieu Monier","K1H","123.26","152.04","1053.22","Finale A"
"Mohamed Saœd Bekkadour","K1H","137.66","407.35","1283.8","Finale A"
"Erwan Quellec","K1H","158.91","490.31","1624.07","Finale A"
"Theo Brun","K1HM","84.76","413.09","436.73","Finale A"
"Clement Dancette","K1HM","90.22","619.14","524.16","Finale A"
"Gabin Chenal","K1HM","92.33","580.85","557.95","Finale A"
"Clement Raul","K1HM","104.75","733.27","756.83","Finale A"
"Axel Brossat","K1HM","127.64","958.41","1123.35","Finale A"
"Gabin Siau","C1H","91.95","410.21","486.75","Finale B"
"Antoine Saul","C1H","96.4","638.34","554.61","Finale B"
"Baptiste Saul","C1H","99.95","685.26","608.75","Finale B"
"Raphael Wiche","C1H","105.90","656.91","699.54","Finale B"
"Gabriel Saul","C1H","108.15","810.61","733.8","Finale B"
"Valentin Jossemit","C1H","113.91","2367.56","821.65","Finale B"
"Yanniss Aghanine","C1H","127.7","1079.79","1031.94","Finale B"
"Alexis Mercoirol","C1H","Nt","-","-","Finale B"
"Zora Grosclaude","K1D","96.72","579.41","455.07","Finale B"
"Chloe Faverjon","K1D","101.98","443.46","529.61","Finale B"
"Jocelyne Roupioz","K1D","126.35","869.75","874.94","Finale B"
"Aurore Durris","K1D","147.04","1539.53","1168.13","Finale B"
"Eva Silvester","K1D","159.31","1129.22","1341.99","Finale B"
"Goundo Palibrk Doucoure","K1D","216.4","4648.94","2150.98","Finale B"
"Naia Roser","K1D","Des","-","-","Finale B"
"Lux Debruyne","K1D","Des","-","-","Finale B"
"Nicolas Demofsqui","K1H","84.65","450.02","439.97","Finale B"
"Arnaud Lejeune","K1H","88.3","424.23","498.42","Finale B"
"Arthur Vernede","K1H","88.81","639.5","506.58","Finale B"
"Matthieu Rousseau","K1H","89.29","555.14","514.27","Finale B"
"Daniel Chambert","K1H","90.15","719.3","528.04","Finale B"
"Romain Hautecouverture","K1H","90.3","418.25","530.44","Finale B"
"Alexei Evlachev","K1H","92.41","469.01","564.23","Finale B"
"Ulysse Brunel","K1H","92.91","580.88","572.24","Finale B"
"Valentin Affortit","K1H","93.17","502.51","576.4","Finale B"
"Thibaud Chovin","K1H","95.75","595.75","617.71","Finale B"
"Laurent Brossat","K1H","96.28","650.66","626.2","Finale B"
"Thijs Duvillard","K1H","96.33","447.47","627","Finale B"
"Sander Duvillard","K1H","96.9","534.73","636.13","Finale B"
"Matthieu Fontanez","K1H","97.61","591.15","647.5","Finale B"
"Mathieu Meilier","K1H","98.16","902.29","656.3","Finale B"
"Pierre Escuret","K1H","98.56","641.78","662.71","Finale B"
"Jean-marc Suarez","K1H","99.24","611.95","673.6","Finale B"
"Arthur Brune","K1H","100.67","608.96","696.49","Finale B"
"Florent Vallier","K1H","107.07","568.73","798.97","Finale B"
"Damien Chamblay","K1H","111.08","976.81","863.19","Finale B"
"Yanniss Aghanine","K1H","111.49","3189.94","869.75","Finale B"
"Guillaume Mele","K1H","113.68","927.69","904.82","Finale B"
"Simon Lescaut","K1H","115.75","1019.68","937.96","Finale B"
"Erwan Fagon","K1H","119.42","1769.08","996.73","Finale B"
"Marc Roussel","K1H","126.5","954.04","1110.1","Finale B"
"Hugo Ausseresse","K1H","129.42","943.66","1156.86","Finale B"
"Yasin Gulay","K1H","149.55","632.14","1479.19","Finale B"
"Justin Murphy","K1H","152.57","641.6","1527.55","Finale B"
"Vincent Chataigne","K1H","253.32","1217.94","3140.82","Finale B"
"Bastien Guitton","K1H","297.17","3036.34","3842.97","Finale B"
"Guillaume Leturcq","K1H","Abd","-","-","Finale B"
"Alexis Mercoirol","K1H","Abs","-","-","Finale B"
"Thibaud Gonzalez","K1HM","110.52","660.57","854.22","Finale B"
"Elie Sutra","K1HM","124.65","1149.39","1080.48","Finale B"
"Baptiste Guillaubez","K1HM","127.85","1301.95","1131.72","Finale B"
"Tinael Yahiaoui","K1HM","Abs","-","-","Finale B"
"Amon Rebatel","K1HM","Des","-","-","Finale B"
