"Sélectif Régional - Servon sur Vilaine (La Mecque1) - Finale - 2014-12-14","Finale","2014-12-14","Régional","174"
"Hugo Regnier","K1HM","93.65","341.85","392.99","Finale A"
"Arthur Mizzi","K1HM","100.75","410.38","492.16","Finale A"
"Hugo Philippe","K1HM","104.39","-","543.01","Finale A"
"Leo Hachair","K1HM","107.2","-","582.26","Finale A"
"Jonas Flament","K1HM","118.71","-","-","Finale A"
"Timothee Cornu","K1HM","119.05","-","-","Finale A"
"Valentin Crenn","K1HM","119.18","593.86","749.61","Finale A"
"Erwann Le Jeune","K1HM","128.5","592.64","879.8","Finale A"
"Mateo Aligon","K1HM","139.74","-","-","Finale A"
"Gautier Abiven","K1HM","182.62","569.09","1635.8","Finale A"
"Theo Rose","K1HM","Abd","-","-","Finale A"
"Alice Azam","C1DM","Abs","-","-","Finale B"
"Gaetan Cougoulat","C1H","105.83","350.2","497.72","Finale B"
"Pol Hamon","C1H","106.35","-","504.65","Finale B"
"Jerome Fouille","C1H","110.01","-","553.33","Finale B"
"Herve Busson","C1H","112.89","418.29","591.65","Finale B"
"Hugo Robin","C1H","116.33","336.71","637.41","Finale B"
"Youn Aubry","C1H","118.25","588.14","662.96","Finale B"
"Patrick Jegou","C1H","125.39","494.47","757.95","Finale B"
"Luc Boisnard","C1H","127.2","503.47","782.03","Finale B"
"Paul Gestin","C1H","222.59","-","2051.06","Finale B"
"Jean Yves Prigent","C1H","Abs","-","-","Finale B"
"Anthony Drouhin","C1H","Abs","-","-","Finale B"
"Johann Loiseau","C1H","Abs","-","-","Finale B"
"Alan Olivo-Mathis Daniel","C2H","Abs","-","-","Finale B"
"Lucie Bercon","K1D","124.56","372.35","629.59","Finale B"
"Camille Grasland","K1D","136.57","466.11","778.05","Finale B"
"Sarah Desnos","K1D","140.78","330.32","830.1","Finale B"
"Anais Pignet","K1D","141.13","449.6","834.43","Finale B"
"Nolwenn Le Mehaute","K1D","151.3","467.12","960.15","Finale B"
"Christine Le Gall","K1D","157.56","405.17","1037.54","Finale B"
"Marie Duval","K1D","183.01","345.34","1352.14","Finale B"
"Thiphaine Ruellan","K1D","302.98","389.01","2835.19","Finale B"
"Aziliz Quintin","K1DM","125.29","440.5","638.61","Finale B"
"Romane Bronchet","K1DM","257.02","-","-","Finale B"
"Bleuenn Le Foll","K1DM","285.76","-","2622.32","Finale B"
"Josephine Farges","K1DM","302.09","692.33","2824.18","Finale B"
"Anais Robineau","K1DM","438.4","-","-","Finale B"
"Nicolas Mevel","K1H","91.11","235.82","362.5","Finale B"
"Leo Tasset","K1H","94.03","373.13","403.29","Finale B"
"Gwenael Marquer","K1H","94.06","267.66","403.71","Finale B"
"Ludovic Le Cointre","K1H","94.36","348.04","407.9","Finale B"
"Maxime Jean","K1H","94.83","-","414.47","Finale B"
"Julien Dosse","K1H","95.69","209.97","426.48","Finale B"
"Stephane Odot","K1H","96.42","230.71","436.68","Finale B"
"Clement Le Collinet","K1H","96.93","319.64","443.8","Finale B"
"Arthur Chaumet","K1H","97.81","256.2","456.1","Finale B"
"Jean Yves Prigent","K1H","98.55","337.72","466.43","Finale B"
"Thibault Gautherot","K1H","101.95","375.54","513.93","Finale B"
"Patrick Jegou","K1H","102.6","342.72","523.01","Finale B"
"Melenn Aubry","K1H","102.78","377.91","525.52","Finale B"
"Nathan Leretrif","K1H","105.09","441.26","557.79","Finale B"
"Fabien Dulyse","K1H","106.54","-","578.04","Finale B"
"Mathis Daniel","K1H","106.89","480.07","582.93","Finale B"
"Pierre-amaury Duclau","K1H","107.54","591.4","592.01","Finale B"
"Alan Olivo","K1H","109.01","406.88","612.55","Finale B"
"David Hamon","K1H","109.58","-","620.51","Finale B"
"Valentin Rault","K1H","110.34","416.25","631.13","Finale B"
"Samuel Flament","K1H","110.97","414.21","639.93","Finale B"
"Paul Guegan","K1H","111.99","-","654.17","Finale B"
"Yannick Faguet","K1H","114.08","531.55","683.37","Finale B"
"Aymeric Poirier","K1H","116.77","370.3","720.95","Finale B"
"Samuel Le Dean","K1H","118.16","578.27","740.36","Finale B"
"Francois Biron","K1H","120.76","-","776.68","Finale B"
"Luc Le Diouron","K1H","127.09","441.9","865.1","Finale B"
"Aubin Davaic","K1H","129.54","648.2","899.33","Finale B"
"Gerard Lemonnier","K1H","143.39","614.94","1092.8","Finale B"
"Maxence Guiziou","K1H","152.82","806.68","1224.52","Finale B"
"Mathis Busnel","K1H","164.83","516.75","1392.29","Finale B"
"Leo Paillat","K1H","168.06","557.79","1437.41","Finale B"
"Antonin Collobert","K1H","173.92","1016.89","1519.27","Finale B"
"Sebastien Mustiere","K1H","178.87","-","1588.41","Finale B"
"Jordan Daniel","K1H","180.73","498.6","1614.39","Finale B"
"Jean-christophe Dubois","K1H","182.22","-","1635.21","Finale B"
"Mathieu Bercegeay","K1H","215.77","-","2103.86","Finale B"
"Galahad Aubert","K1H","218.31","-","2139.34","Finale B"
"Thierry Dugue","K1H","Abd","-","-","Finale B"
"Philip Millet","K1H","Abs","-","-","Finale B"
"Ali Kismi","K1H","Abs","-","-","Finale B"
"Nathanael Pedron","K1HM","120.55","624.87","773.75","Finale B"
"Come Le Gal","K1HM","124.62","-","-","Finale B"
"Matheo Coquel","K1HM","128.25","-","-","Finale B"
"Francois Bonthonnou","K1HM","141.8","-","-","Finale B"
"Roman Busnel","K1HM","150.4","-","-","Finale B"
"Malo Hery","K1HM","181.82","-","1629.62","Finale B"
"Charles Temple","K1HM","207.64","1007.31","1990.3","Finale B"
"Regis Navinel-dubois","K1HM","214.84","-","-","Finale B"
"Baptiste Loy","K1HM","249.84","-","2579.78","Finale B"
"Amaury Bioteau","K1HM","268.11","-","-","Finale B"
"Julien Buors","K1HM","361.7","1460.51","4142.34","Finale B"
"Loann Chretien","K1HM","503.52","-","6123.41","Finale B"
