"SELECTION CHAMPIONNAT DE FRANCE NATIONALE 2 - Lannion - 2008-04-06","Course 1","2008-04-06","Nationale 2","148"
"Didier Niel","K1H","292.67","205","452",""
"Melen Pilorge","K1H","294.95","222","461",""
"Patrick Jegou","K1H","300.65","251","485",""
"Manuel Coquelin","K1H","301.81","195","490",""
"Thomas Monvoisin","K1H","307.69","186","515",""
"Sarazin Emmanuel","K1H","322.56","160","577",""
"Franck Delachair","K1H","324.27","133","584",""
"Thomas Dauvet","K1H","324.37","140","585",""
"Florian Ordonneau","K1H","330.93","111","612",""
"Simon Philibert","K1H","340.05","175","650",""
"Remy Faucon","K1H","341.28","173","656",""
"Julien Daumont","K1H","373.20","116","790",""
"Axel Mulle","K1H","374.17","121","794",""
"Romain Richard","K1H","384.01","160","835",""
"Loic Monbel","K1H","515.66","143","1389",""
