"Sélectif National 3 Slalom Nord - La Canche - Qualification - 2017-05-14","Qualification","2017-05-14","Nationale 3","229"
"Jean Aussant","C1H","105.53","495.01","552.43",""
"Louis Marescot","C1H","105.66","501.78","554.32",""
"Nathan Boudaillez","C1H","106.36","466.56","564.46",""
"Simon Dubosc","C1H","107.11","506.01","575.35",""
"Geoffroy Schwentzel","C1H","108.83","439.32","600.3",""
"Quentin Angot","C1H","108.99","524","602.61",""
"Fabien Bonvalet","C1H","109.83","622.56","614.79",""
"Theo Moalic","C1H","110.24","703.68","620.73",""
"Amaury Brucher","C1H","110.73","646.72","627.85",""
"Sebastien Masseline","C1H","112.78","737.95","657.59",""
"Geoffroy Lauth","C1H","113.22","518.52","663.97",""
"Isidore Dubuisson","C1H","114.32","560.22","679.92",""
"Dimitry Vandenabeele","C1H","116.46","658.83","710.96",""
"Baptiste Duboc","C1H","117.49","748.16","725.9",""
"Dimitri Houlier","C1H","118.95","740.8","747.08",""
"Yohan Marck","C1H","119.29","536.15","752.02",""
"Estephe Decarsin","C1H","119.29","780.42","752.02",""
"Thibaut Evrard","C1H","126.06","877.52","850.21",""
"Dante Bourlet De La Vallee","C1H","134.21","879.79","968.42",""
"Axel Kottelanne","C1H","138.82","806.88","1035.3",""
"Mathieu Aussant","C1H","139.46","645.35","1044.57",""
"Remi Blaud","C1H","141.06","804.49","1067.78",""
"Benjamin Soroka","C1H","148.9","393.5","1181.51",""
"LoÏc Pottier","C1H","151.32","511.51","1216.6",""
"Thibault Bigeon","C1H","Abs","-","-",""
"Manon Le Lay-Emma Leroux","C2D","156.56","1116.11","855.9",""
"Chloe Gatuingt-Alize Bachelot","C2D","198.2","485.69","1343.74",""
"Catherine Boulan-Nathalie Guelton","C2D","231.18","756.28","1730.11",""
"Mikael Maupin-Vincent Hannedouche","C2H","101.2","414.6","422.9",""
"Eloi Seemann-Quentin Mannier","C2H","103.25","-","451.28",""
"Nicolas Ducrocq-Michael Philibert","C2H","107.35","572.21","508.04",""
"Lucas Jacob-Benoit Guernic","C2H","110.03","433.2","545.15",""
"Theo Moalic-Marceau Decarsin","C2H","112.87","491.62","584.47",""
"Yohann Senechault-Paul Cascarino","C2H","113.7","505","595.97",""
"Teddy Poulard-Benjamin Soroka","C2H","115.53","-","621.3",""
"Nicolas Candieu-Simon Dubosc","C2H","119.37","-","674.47",""
"Thomas Martinet-Lucas Walbreq","C2H","122.38","561.02","716.15",""
"Louison Laumondais-Charles Bre","C2H","123.69","544.77","734.27",""
"Romain Bezies-Ianis Fleury","C2H","126.57","-","774.16",""
"Nicolas Dupres-Samuel Bonvalet","C2H","128.23","-","797.14",""
"Hugo Baillet-Thibaut Evrard","C2H","142.3","889.68","991.95",""
"Tom Armand-Thomas Gossieaux","C2H","154.93","-","1166.81",""
"Fabien Bonvalet-Mathis Pomares","C2H","159.75","829.31","1233.55",""
"Dimitri Houlier-Jason Leroy","C2H","160.9","-","1249.48",""
"Alberic Carpentier-Lucien Louchez","C2H","184.79","998.14","1580.25",""
"Theo Zilber-Melvin Queudeville","C2H","Dsq","-","-",""
"Thibaud Vielliard-Noemie Ramet","C2M","111.8","402.4","440.66",""
"Tiphaine Duboc-Michael Philibert","C2M","112.54","367.58","450.05",""
"Teddy Poulard-Alize Bachelot","C2M","116.52","-","500.57",""
"Theodora Seemann-Eloi Seemann","C2M","117.72","390.13","515.8",""
"Catherine Boulan-Xavier Jourdain","C2M","118.33","414.23","523.54",""
"Emilie Delahaye-Nicolas Feuillard","C2M","121.28","481.08","560.99",""
"Quentin Mannier-Chloe Gatuingt","C2M","124.66","543.78","603.87",""
"Matteo Figueiredo Alves-Elise Weilbach","C2M","140.09","726.3","799.72",""
"Gabrielle Kugler-Maxence Galy","C2M","147.87","843.63","898.45",""
"Clement Font-boinel-Anna Dufay Leneveu","C2M","152.96","669.11","963.06",""
"Leontine Dubuisson-Nicolas Candieu","C2M","153.89","-","974.86",""
"Geoffroy Lauth-Rachel Broin","C2M","156.02","598.49","1001.9",""
"Estephe Decarsin-Eloise Riviere","C2M","163.43","758.42","1095.94",""
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","164.68","891.63","1111.8",""
"Clemence Douche-Lucas Ferloni","C2M","252.86","-","2230.97",""
"Manon Le Lay","K1D","100.11","417.02","371",""
"Emma Leroux","K1D","103.42","486.26","415.62",""
"Nelia Barbosa","K1D","105","376.9","436.91",""
"Mathilde Guillot-le Goff","K1D","106.14","452.33","452.28",""
"Loan Battistuzzi","K1D","106.82","479.86","461.44",""
"Margaux Fabijan","K1D","109.37","403.27","495.81",""
"Elise Weilbach","K1D","110.71","429.08","513.87",""
"Melina Letellier","K1D","110.87","467.23","516.03",""
"Eloise Riviere","K1D","112.44","545.38","537.19",""
"Zoe Waeles","K1D","112.93","599.45","543.79",""
"Yuna Pernet","K1D","112.95","633.29","544.06",""
"Lison Gautrelet","K1D","114.6","473.9","566.3",""
"Gabrielle Kugler","K1D","117.01","525.52","598.79",""
"Mylene Despres","K1D","119.85","516.24","637.06",""
"Lea Feuillard","K1D","120.78","564.64","649.6",""
"Catherine Boulan","K1D","123.34","550.6","684.09",""
"Elise Sergio","K1D","126.06","584.34","720.77",""
"Anouk Hadad","K1D","129.49","723.31","766.99",""
"Sandrine Arnal","K1D","130.04","653.83","774.41",""
"Julie Dupas","K1D","130.37","774.79","778.85",""
"Anna Marvillet","K1D","134.4","516.45","833.16",""
"Charline Dole","K1D","141.25","771.87","925.49",""
"Marion Matura","K1D","141.44","654.48","928.05",""
"Coralie Delmotte","K1D","145.69","692.05","985.33",""
"Delphine Brunet","K1D","222.5","882.84","2020.58",""
"Maryse Viseur","K1D","Abs","-","-",""
"Marine Calenda","K1D","Abs","-","-",""
"Thibaud Vielliard","K1H","80.29","410.29","244.55",""
"Noe Perreau","K1H","82.14","294.57","272.73",""
"Vincent Hannedouche","K1H","82.97","266.43","285.37",""
"Yohann Senechault","K1H","83.32","298.96","290.7",""
"Julien Antide","K1H","84.23","247.7","304.56",""
"Yvan Leblond","K1H","84.68","308.38","311.41",""
"Louis Debureaux","K1H","85.89","334.09","329.84",""
"Lucas Correia","K1H","86.16","301.64","333.95",""
"Mikael Maupin","K1H","86.49","416.51","338.98",""
"Thibaud Collaert","K1H","86.51","332.34","339.28",""
"Clement Font-boinel","K1H","87.12","350.59","348.57",""
"Ianis Fleury","K1H","87.41","367.94","352.99",""
"LoÏc Pottier","K1H","87.81","348.3","359.08",""
"Samuel Lhote","K1H","87.94","320.44","361.06",""
"Quentin Angot","K1H","88.32","350.15","366.85",""
"Nicolas Ducrocq","K1H","88.78","353.97","373.85",""
"Michael Philibert","K1H","88.99","646.65","377.05",""
"Eloi Seemann","K1H","89.42","349.03","383.6",""
"Eden Quevremont","K1H","89.59","387.39","386.19",""
"Dimitry Vandenabeele","K1H","90.03","339.63","392.89",""
"Quentin Mannier","K1H","90.43","330.6","398.98",""
"Jean Aussant","K1H","90.55","379.01","400.81",""
"Amaury Brucher","K1H","90.59","424.4","401.42",""
"Hugo Pidoux","K1H","90.72","377.61","403.4",""
"Florent Bernard","K1H","90.9","338.3","406.14",""
"Theo Loury","K1H","91.11","351.38","409.34",""
"Enzo Cozette","K1H","91.14","325.09","409.8",""
"Louison Laumondais","K1H","91.14","384.78","409.8",""
"Guillaume Doutreix","K1H","91.21","339.99","410.86",""
"Bastien Belembert","K1H","91.24","338.45","411.32",""
"Jeremie Hepner","K1H","91.36","472.65","413.15",""
"Arnaud Delattre","K1H","91.85","424.67","420.61",""
"Valentin Fleury","K1H","92.58","424.53","431.73",""
"Baptiste Duboc","K1H","92.78","497.22","434.77",""
"Benoit Guernic","K1H","92.96","377","437.52",""
"Romain Bezies","K1H","93.64","394.86","447.87",""
"Martin Rohaut","K1H","93.77","474.45","449.85",""
"Melvin Queudeville","K1H","94.3","398.3","457.92",""
"Jeremy Huguenin","K1H","94.46","359.28","460.36",""
"Gaspard Perrio","K1H","94.81","388.28","465.69",""
"Alan Le Goff","K1H","95.36","434.84","474.07",""
"Maxime Poupart","K1H","95.51","389.82","476.35",""
"Hugo Baillet","K1H","95.59","553.4","477.57",""
"Thomas Martinet","K1H","95.85","377.59","481.53",""
"Simon Philibert","K1H","96.01","397.66","483.97",""
"Nicolas Dupres","K1H","96.32","433.27","488.69",""
"Alexis Agent","K1H","96.36","545.77","489.3",""
"Marceau Decarsin","K1H","96.37","384.46","489.45",""
"Isidore Dubuisson","K1H","96.46","394.92","490.82",""
"Basile Drapier","K1H","96.86","524.88","496.91",""
"Mathieu Aussant","K1H","97.03","435.56","499.5",""
"Vladimir Krsmanovic","K1H","97.8","522.57","511.23",""
"Estephe Decarsin","K1H","97.9","450.79","512.75",""
"Nicolas Candieu","K1H","98.06","352.76","515.19",""
"Benjamin Soroka","K1H","98.41","388.24","520.52",""
"Theo Zilber","K1H","98.58","402.45","523.11",""
"Remi Blaud","K1H","99.05","474.93","530.27",""
"Alberic Carpentier","K1H","100.01","513.49","544.89",""
"Thibaut Evrard","K1H","100.01","561.23","544.89",""
"Enzo Claeys","K1H","101.22","486.42","563.32",""
"Guillaume Munoz","K1H","101.55","539.73","568.34",""
"Eric Beaumont","K1H","101.75","600.05","571.39",""
"Mathis Piepho","K1H","102.18","593.43","577.94",""
"Philippe Valeri","K1H","102.26","533.04","579.16",""
"Maxence Galy","K1H","102.68","644.82","585.55",""
"Noe Vannier","K1H","102.73","645.94","586.31",""
"Fabien Bonvalet","K1H","103.09","522.68","591.8",""
"Lucas Walbreq","K1H","103.19","510.93","593.32",""
"Roman Vivier","K1H","103.97","501.21","605.2",""
"Johann Sacleux","K1H","104.27","582.88","609.77",""
"Sebastien Masseline","K1H","107.52","658.72","659.27",""
"Lucien Louchez","K1H","107.93","749.7","665.51",""
"Elouan Fouquier","K1H","108.4","539.78","672.67",""
"Dante Bourlet De La Vallee","K1H","108.99","632.59","681.65",""
"Dimitri Houlier","K1H","110.68","561.38","707.39",""
"Samy Serrakh","K1H","110.88","737.23","710.44",""
"Helwann Rachdi","K1H","110.94","602.2","711.35",""
"Gaetan Laperle","K1H","110.98","731.32","711.96",""
"Louis Vanbersel","K1H","111.18","602.04","715.01",""
"Julien Duahaut","K1H","111.79","538.14","724.3",""
"Thomas Gossieaux","K1H","112.32","778.75","732.37",""
"Gabriel Benoit","K1H","113.19","668.31","745.62",""
"Matteo Figueiredo Alves","K1H","114.42","784.68","764.35",""
"Damien Marcq","K1H","114.66","527.44","768.01",""
"Philippe Podvin","K1H","114.84","641.67","770.75",""
"Mathis Andrieu","K1H","115.42","788.05","779.58",""
"Pierre Yves Tempier","K1H","116.84","790.33","801.21",""
"Ilan Foulongani","K1H","118.94","947.8","833.19",""
"Lucas Ferloni","K1H","119.23","761.25","837.61",""
"Paul Lecomte","K1H","121.57","733.04","873.25",""
"Mathis Pomares","K1H","126.22","945.43","944.07",""
"Alexandre Mauger","K1H","131.82","714.22","1029.36",""
"Mickael Dubois","K1H","132.1","717.72","1033.62",""
"Bruno Brousselle","K1H","133.26","863.44","1051.29",""
"Axel Kottelanne","K1H","135.92","767.38","1091.8",""
"Fabien De Almeida","K1H","137.75","305.04","1119.67",""
"Kilian Marais","K1H","138.45","863.58","1130.33",""
"Vincent Dorchat","K1H","153.64","901.26","1361.68",""
"Tom Armand","K1H","171.63","744.35","1635.67",""
"Jason Leroy","K1H","180.27","830.88","1767.26",""
"Eric Bernard","K1H","Abs","-","-",""
"Gerard Lafargue","K1H","Abs","-","-",""
