"SLALOM REGIONAL DE L'ISLE DE LA SERRE - Espace Eau Vive - Isle De La Serre - 2005-03-13","Course 1","2005-03-13","Régional","147"
"Julien Dekarczyk","K1H","206.09","23","119",""
"Patrice Fischer","K1H","206.29","52","120",""
"Hafiz Ali Hassan","K1H","207.40","155","126",""
"Yann Gudefin","K1H","208.73","169","133",""
"Thomas Monier","K1H","211.13","-","145",""
"Jonathan Chapatte","K1H","213.17","156","155",""
"Bertrand Bercon","K1H","213.19","145","155",""
"Guillaume Provost","K1H","213.59","167","157",""
"Luc Doye","K1H","215.08","154","165",""
"Andy Pajani","K1H","215.78","183","169",""
"Jeremy Wagner","K1H","216.04","165","170",""
"Guillaume Bandelier","K1H","216.74","193","174",""
"Etienne Daille","K1H","216.82","220","174",""
"Jules Bevalot","K1H","219.29","168","187",""
"Hugo Hager","K1H","219.32","189","188",""
"Mathieu Bandelier","K1H","221.96","164","201",""
"Boris Lutinier","K1H","222.11","177","202",""
"Pascal Ferry","K1H","222.16","185","203",""
"Sebastien Lepaulard","K1H","222.26","188","203",""
"Gregory Booth","K1H","223.25","-","208",""
"Benjamin Travostino","K1H","223.54","179","210",""
"Lebourgeois Alexis","K1H","223.73","204","211",""
"Chirez Pierre","K1H","224.44","247","215",""
"Martelet Romain","K1H","224.92","276","217",""
"Jeremiah Mosch","K1H","225.64","212","221",""
"Renaud Metereau","K1H","227.57","172","231",""
"Kevin Schultz","K1H","227.61","162","231",""
"Laurent Brissaud","K1H","228.37","-","235",""
"Capietto Louis","K1H","229.21","266","240",""
"Frederic Tinchant","K1H","229.96","199","244",""
"Thomas Rosset","K1H","230.79","214","248",""
"Jeremy Vibert","K1H","231.04","264","249",""
"Benjamin Wagner","K1H","232.09","268","255",""
"Pascal Hunault","K1H","232.71","271","258",""
"Viallon Hugo","K1H","233.56","319","263",""
"Delfs Yann","K1H","233.58","196","263",""
"Bertrand Lamy","K1H","236.45","198","278",""
"Alain Ferry","K1H","236.74","234","280",""
"Medjeberg Jeremy","K1H","236.80","190","280",""
"Jimy Bercon","K1H","237.57","378","284",""
"Florent Tamburini","K1H","238.72","263","290",""
"Rety Simon","K1H","247.30","375","335",""
"Olivier Bourgey","K1H","248.34","291","341",""
"Romain Hager","K1H","259.40","473","398",""
"Lois Desroches","K1H","260.45","392","404",""
"Faivre-Pierret Nicolas","K1H","262.05","428","412",""
"Baude Francois","K1H","264.73","330","426",""
"Vibert Guillaume","K1H","266.08","410","434",""
"Dimitriou Alexandre","K1H","266.20","149","434",""
"Bessiere Florian","K1H","268.78","373","448",""
"Matthieu Basset","K1H","268.96","687","449",""
"Wadel Florian","K1H","269.36","155","451",""
"Besancon David","K1H","269.44","-","451",""
"Guillaume Bertrand","K1H","270.74","470","458",""
"Guilhem Courduries","K1H","271.29","538","461",""
"Yoann Aupee","K1H","271.59","408","463",""
"Balhat Youcef","K1H","273.18","441","471",""
"Dalex Karl","K1H","275.85","483","485",""
"Bajolet Julien","K1H","280.77","354","511",""
"Gaillard Thomas","K1H","281.37","1112","514",""
"Girardet Julien","K1H","281.39","564","514",""
"Pahin Thomas","K1H","282.61","820","521",""
"Francony Bastien","K1H","282.79","353","522",""
"Froissard Jonathan","K1H","284.26","268","530",""
"Chirez Frederic","K1H","286.26","276","540",""
"Laurent Wolf","K1H","290.09","397","560",""
"Florent Delhommel","K1H","290.65","-","563",""
"Thomas Rollot","K1H","291.88","281","570",""
"Sylvain Ferry","K1H","297.09","523","597",""
"Olivier Urbain","K1H","298.63","312","605",""
"Fatou Clement","K1H","303.74","562","631",""
"Morel Jeremie","K1H","312.85","406","680",""
"Robert Quentin","K1H","322.31","743","730",""
"Ballini Yoann","K1H","324.85","242","743",""
"Ludwig Thierry","K1H","325.47","-","746",""
"Thomas Burnoud","K1H","338.54","548","815",""
"Cnapelynck Aurélien","K1H","339.63","1136","821",""
"Pradeau Xavier","K1H","341.65","440","832",""
"Jeremy Pitton","K1H","354.31","827","898",""
"Dekerleau Sebastien","K1H","356.33","551","908",""
"Esnault Philippe","K1H","357.52","449","915",""
"Guillois Ugo","K1H","360.53","624","930",""
"Pierre Alexandre Facon","K1H","363.67","673","947",""
"Yanis Burdet","K1H","375.97","910","1012",""
"Olivier Bret","K1H","377.89","831","1022",""
"Nicolas Gwénolé","K1H","384.75","720","1058",""
"Bergougnoux Anthony","K1H","404.38","1549","1161",""
"Guerrairi Robert","K1H","424.28","916","1266",""
"Cabanes Berend","K1H","452.78","-","1416",""
"John Leger","K1H","486.94","1053","1595",""
