"Slalom Régional de Voray sur l'Ognon - Voray Sur L'ognon - 2006-10-22","Course 1","2006-10-22","Régional","110"
"Emmanuel Triomphe","K1H","247.11","333","311",""
"Philippe Devillers","K1H","249.02","309","322",""
"Clement Martin","K1H","249.25","301","325",""
"Pahin Thomas","K1H","249.92","344","328",""
"Eddy Cassard","K1H","251.20","317","335",""
"Dougoud Adrien","K1H","251.85","399","340",""
"Jean Guyot","K1H","253.44","354","350",""
"Guilhem Courduries","K1H","254.41","287","354",""
"Sylvain Ferry","K1H","254.92","373","358",""
"Rety Simon","K1H","261.26","373","396",""
"Xavier Rat","K1H","263.83","299","411",""
"Roman Duprey","K1H","264.63","443","415",""
"Alexandre Diemert","K1H","265.06","-","419",""
"Maxime Lambert","K1H","268.06","-","437",""
"Pascal Garnier","K1H","268.16","405","437",""
"Frederic Caillet","K1H","271.37","441","456",""
"Inouk Berguer","K1H","271.76","-","459",""
"Pierre Rat","K1H","274.51","-","475",""
"Jeanpierre Patard","K1H","274.95","401","478",""
"Roland Aristide","K1H","274.96","794","478",""
"Becker Benjamin","K1H","279.73","-","506",""
"Tom Jackson","K1H","280.36","-","510",""
"Gael Wassmer","K1H","281.74","485","518",""
"Baudry Pierre Luc","K1H","284.55","524","535",""
"Fernandes De Oliveira Charles","K1H","285.67","723","542",""
"Dupriez Julien","K1H","288.42","548","558",""
"Stephane Ferrignio","K1H","292.11","403","581",""
"Laurent Guyot","K1H","295.60","397","601",""
"Cheval Kevin","K1H","298.68","615","620",""
"Kournwsky Alexis","K1H","304.84","-","656",""
"Pierre Berberat","K1H","309.49","677","685",""
"Jonathan Matern","K1H","319.75","782","746",""
"Romain Musy","K1H","323.77","410","770",""
"Romain Magnolo","K1H","325.46","-","779",""
"Paul Morland","K1H","333.53","799","829",""
"Alain David","K1H","334.20","-","832",""
"Dorian Perrin-mazier","K1H","337.51","448","852",""
"David Pierson","K1H","337.88","774","855",""
"Silvere Desongins","K1H","345.35","-","899",""
"Yann Maignant","K1H","347.98","-","915",""
"Luc Dole","K1H","469.19","-","1640",""
"Luc Goujon","K1H","498.01","-","1813",""
