"Championnat Régional de Slalom - 72300 Sable Sur Sarthe - Finale - 2019-11-24","Finale","2019-11-24","Régional","140"
"Myriam Le Joncourt-Nicolas Rouleaud","C2M","157.14","523.21","636.2","Finale A"
"Manon Deloison-Kevin Mousserion","C2M","199.35","-","1070.64","Finale A"
"Romain Margerie-Lise Guenery","C2M","258.64","2312.22","1680.88","Finale A"
"Romane Bronchet","K1D","120.36","342.08","334.37","Finale A"
"Lea Grison","K1D","125.38","441.3","389.25","Finale A"
"Myriam Le Joncourt","K1D","127.07","349.31","407.71","Finale A"
"Coralie Belnoue","K1D","134.62","521.01","490.24","Finale A"
"Zoe Marchand","K1D","155.53","922.87","718.79","Finale A"
"Alexine Torche","K1D","170.15","1006.21","878.58","Finale A"
"Louise Lefebvre","K1D","307.13","1882.6","2375.79","Finale A"
"Valerie Sibioude","K1D","Abs","-","-","Finale A"
"Zoe Malval","K1DM","124.69","401.63","381.7","Finale A"
"Aurore Gobin","K1DM","165.57","1167.6","828.53","Finale A"
"Manon Go","K1DM","190.52","1067.17","1101.24","Finale A"
"Alex Louveau","K1H","96.55","152.97","211.32","Finale A"
"Romain Branjauneau","K1H","97.94","169.06","228.49","Finale A"
"Alexis Bobon","K1H","97.94","199.58","228.49","Finale A"
"Gael Prodeau","K1H","98.75","209.29","238.49","Finale A"
"GaËtan De Greef","K1H","99.28","221.23","245.04","Finale A"
"Romain Bruneau","K1H","99.68","163.77","249.98","Finale A"
"Theo Foucher","K1H","101.27","207.95","269.62","Finale A"
"Max Derame","K1H","101.9","232.65","277.4","Finale A"
"Nicolas Rouleaud","K1H","102.05","232.3","279.25","Finale A"
"Maxence Davy","K1H","102.18","273.6","280.86","Finale A"
"Herve Busson","K1H","102.28","256.72","282.09","Finale A"
"Vincent Laclide","K1H","102.97","272.61","290.61","Finale A"
"Alexis Carpentey","K1H","103.47","298.95","296.79","Finale A"
"Tom Marchand","K1H","104.24","368.06","306.3","Finale A"
"Estephe Decarsin","K1H","106.9","301.7","339.15","Finale A"
"Thibaud Chevalier","K1H","106.97","343.57","340.02","Finale A"
"Romain Margerie","K1H","107.58","456.86","347.55","Finale A"
"Samuel Vallienne","K1H","110.92","445.43","388.8","Finale A"
"Jacques Despierres","K1H","112.87","466.86","412.89","Finale A"
"Denis Guilmard","K1H","113.15","330.8","416.35","Finale A"
"Vincent Froger","K1H","113.2","551.79","416.96","Finale A"
"Mathis Odot","K1H","115.62","475.88","446.85","Finale A"
"Armand Fougere","K1H","115.85","385.3","449.69","Finale A"
"Loic Froissard","K1H","116.78","495.06","461.18","Finale A"
"Bastien Mailly","K1H","116.96","537.13","463.4","Finale A"
"Axel Brin","K1H","118.37","533.95","480.82","Finale A"
"Stephane Odot","K1H","118.47","437.83","482.05","Finale A"
"Philippe Rocher","K1H","120.32","481.92","504.9","Finale A"
"Christian Auvolat","K1H","120.71","455.12","509.72","Finale A"
"Lois Lebranchu","K1H","121.37","539.93","517.87","Finale A"
"ClÉment Louveau","K1HM","108.23","469.73","355.58","Finale A"
"Theodore Favreau","K1HM","119.25","501.03","491.69","Finale A"
"Marwan Bazot","K1HM","121.6","594.43","520.71","Finale A"
"Matteo Weinegaessel","K1HM","122.6","595.61","533.06","Finale A"
"Yann Vergelin","K1HM","129.9","800.96","623.23","Finale A"
"Sacha Menard","K1HM","134.49","1069.88","679.92","Finale A"
"Emile Landerretche","K1HM","135.61","1273.42","693.75","Finale A"
"Noe Boidin","K1HM","177.26","618.66","1208.17","Finale A"
"Jade Guenery","OUV","149.48","-","-","Finale A"
"Niels Le Monnier De Loriere","OUV","156.47","-","-","Finale A"
"Romain Branjauneau","C1H","122.42","644.24","463.83","Finale B"
"Tanguy Odot","C1H","128.91","606.8","540.18","Finale B"
"Alexandre Raine","C1H","134.44","682.7","605.23","Finale B"
"Nathan Andre","C1H","151.93","1251.21","810.96","Finale B"
"Cecile Chiron","K1D","130.42","452.29","449.33","Finale B"
"Laurine Naveau","K1D","131.13","463.56","457.09","Finale B"
"Pauline Guenery","K1D","154.34","617.97","710.78","Finale B"
"Manon Deloison","K1D","199.75","1217.72","1207.12","Finale B"
"Gaston Guilmard","K1H","109.23","372.61","372.93","Finale B"
"Tanguy Odot","K1H","115.51","487.99","450.5","Finale B"
"Noe Caillet","K1H","118.2","582.84","483.72","Finale B"
"Mael Segaud","K1H","120.08","513.13","506.94","Finale B"
"Louison Laumondais","K1H","122.8","622.99","540.53","Finale B"
"Olivier Brochard","K1H","123.01","599.92","543.13","Finale B"
"Emilien Gobin","K1H","123.39","1245.5","547.82","Finale B"
"Alexis Brule","K1H","123.9","566.92","554.12","Finale B"
"Baptiste Souchu","K1H","127.68","641.84","600.81","Finale B"
"Christophe Gergaud","K1H","129.77","623.41","626.62","Finale B"
"Matheo Cailleau","K1H","129.83","797.1","627.36","Finale B"
"Quentin Monot","K1H","132.03","1271.85","654.53","Finale B"
"Alexis Daniel","K1H","133","967.77","666.51","Finale B"
"Mallory Brochard","K1H","135.13","819.35","692.82","Finale B"
"Nathan Andre","K1H","137.74","695.03","725.06","Finale B"
"Briac Le Pinic","K1H","140.81","746.46","762.98","Finale B"
"Gerard Lemonnier","K1H","144.35","921.96","806.7","Finale B"
"Ludovic Garnier","K1H","144.58","744.02","809.54","Finale B"
"Arold Pietrain","K1H","148.56","976.71","858.7","Finale B"
"Corentin Bourneuf","K1H","151.85","1272.5","899.33","Finale B"
"BenoÎt Barsacq","K1H","152.96","976.39","913.04","Finale B"
"GaÊtan Le Roy","K1H","153.05","1332.52","914.15","Finale B"
"Maxime Go","K1H","163.4","736.22","1041.99","Finale B"
"Thierry Dugue","K1H","167.42","1109.38","1091.64","Finale B"
"Mathieu Gayral","K1H","170.16","851.3","1125.48","Finale B"
"Kevin Mousserion","K1H","183.05","701.9","1284.68","Finale B"
"Noe De Rivals-mazeres","K1HM","138.72","724.35","737.16","Finale B"
"Louis Garon","K1HM","141.66","731.84","773.47","Finale B"
"Nicolas Girardeau","K1HM","157.72","1059.02","971.83","Finale B"
"Simon Lefebvre","K1HM","158.27","905.53","978.63","Finale B"
"Alexandre Gillard","K1HM","168.27","982.8","1102.14","Finale B"
"Gaetan Daniel","K1HM","239.79","1323.37","1985.48","Finale B"
"Thomas Auvolat","K1HM","240.19","1595.88","1990.42","Finale B"
"Mathis Barre","OUV","138.21","-","-","Finale B"
"Maxence Segaud","OUV","150.81","-","-","Finale B"
"Honorine Pichard","OUV","154.27","-","-","Finale B"
"Remi Launay","OUV","173.99","-","-","Finale B"
"Yoann Brochard","OUV","194.83","-","-","Finale B"
