"Compétition Régionale de Slalom - Mirande - Finale - 2015-03-01","Finale","2015-03-01","Régional","118"
"Emmanuelle Monguillet","K1D","135.3","594.42","633.56","Finale B"
"CÉcilia Bourgeois","K1D","136.12","639.34","643.11","Finale B"
"Clea Tasserit","K1D","136.62","585.41","648.95","Finale B"
"Pierrine Sallefranque","K1D","138.65","-","672.6","Finale B"
"Marine Sambugaro","K1D","148.9","-","792.1","Finale B"
"Clarisse Hoogland","K1D","192.57","669.68","1301.17","Finale B"
"Ismaella Khattou","K1D","214.95","-","1562.06","Finale B"
"Jeremy Rouchereau","K1H","102.72","406.16","409.42","Finale B"
"Jean Christophe Erdois","K1H","103.67","309.04","421.94","Finale B"
"Pierre Adrien Plantion","K1H","106.41","-","458.03","Finale B"
"Kenae Brassier","K1H","107","470.51","465.8","Finale B"
"Pierre Gaydier","K1H","107.1","516.41","467.12","Finale B"
"Jean Bernard Lacave","K1H","107.86","-","477.13","Finale B"
"Simon Bedes","K1H","108.8","-","489.51","Finale B"
"Theo Dunie","K1H","113.31","497.87","548.92","Finale B"
"Louis Decoopman","K1H","114.49","-","564.47","Finale B"
"Thiefaine Verge","K1H","114.96","591.27","570.66","Finale B"
"Gauthier Sanchou","K1H","116.4","-","589.63","Finale B"
"Nicolas Saurat","K1H","116.57","502.64","591.87","Finale B"
"Maxime Pourret","K1H","119.27","649.58","627.43","Finale B"
"Vincent Gardere","K1H","119.82","350.33","634.68","Finale B"
"Lucas Mauer","K1H","121.89","-","661.95","Finale B"
"Franck Vanhoutteghem","K1H","122.46","597.67","669.46","Finale B"
"Thomas Moity","K1H","124.58","-","697.38","Finale B"
"Jean Luc Pessoni","K1H","128.11","612.1","743.88","Finale B"
"Jean Lemire","K1H","130.13","-","770.49","Finale B"
"Alexandre Dubrous","K1H","131.25","638.66","785.25","Finale B"
"GrÉgory Navail","K1H","134.54","-","828.58","Finale B"
"Bastien Darmayan","K1H","138.2","820.51","876.8","Finale B"
"Malo Laumenerch","K1H","149.57","-","1026.57","Finale B"
"Ismael Geisser","K1H","168.33","-","1273.7","Finale B"
"Loan Jioux","K1H","181.54","881.91","1447.71","Finale B"
"Theophile Prunetfoch","K1H","197.67","-","1660.19","Finale B"
"Nicolas Peyroux","K1H","200.09","1592.2","1692.07","Finale B"
"Antonin Maystre","K1HM","130.32","-","-","Finale B"
"Maxime Reubrez","K1HM","202.04","-","-","Finale B"
"Tom Gonzales","K1HM","270.35","-","-","Finale B"
"Baptiste San Nicolas","K1HM","278.02","-","-","Finale B"
"Julien Coric","K1HM","Abs","-","-","Finale B"
"Marius Dipaolantonio","K1HM","Abs","-","-","Finale B"
"Antonin Beyneix","K1HM","Abd","-","-","Finale B"
"Renaud Clerc","K1HM","Abd","-","-","Finale B"
"Jean Monpouillan","K1HM","Abd","-","-","Finale B"
"Gabin Allard","K1HM","Abs","-","-","Finale B"
