"Challenge du printemps 1ére Manche - Nancy - 2011-04-03","Course 2","2011-04-03","Régional","156"
"Charlotte Lubineau","K1D","185.14","193.33","810.87",""
"Maurilia Cartier","K1D","188.75","502.22","843.06",""
"Salome Ritter","K1D","196.49","329.8","912.1",""
"Manon Galmiche","K1D","228.88","362.67","1200.98",""
"Claire Marie Peltier","K1D","360.52","510.33","2375.07",""
"Marion Hacquart","K1D","368.98","330.98","2450.52",""
"Emma Maujean","K1D","377.83","278.74","2529.46",""
"Elisa Venet","K1D","Nt","-","-",""
"Frederic Walczak","K1H","89.69","7.73","63.55",""
"Jerome Olhagaray","K1H","90.87","67.55","75.44",""
"Bertrand Gutierrez","K1H","92.84","78.46","95.29",""
"Antoine Colas","K1H","94.58","86.71","112.83",""
"Martin Daviet","K1H","95.43","91.53","121.4",""
"Nicolas Burgi","K1H","97.8","158.88","145.28",""
"Nicolas Mangeolle","K1H","98.43","161.04","151.63",""
"Nathan Barbier","K1H","99.48","148.32","162.22",""
"Nizar Samlal","K1H","100.41","146.08","171.59",""
"Silvere Desongins","K1H","100.53","123.79","172.8",""
"Thibaut Chariot","K1H","101.18","174.31","179.35",""
"Julien Arribe","K1H","101.6","90.33","183.58",""
"Maxime Faivre","K1H","102.28","141.13","190.43",""
"Nikolas Stanik","K1H","102.56","127.35","193.26",""
"Lucas Ferraina","K1H","102.97","141.68","197.39",""
"Billel Khenchouche","K1H","103.35","159.61","201.22",""
"Maxime Di Lauro","K1H","104.29","177.78","210.69",""
"Michel Ragot","K1H","104.54","208","213.21",""
"Thomas Stutzmann","K1H","105.9","207.39","226.92",""
"Enzo Seker","K1H","106.27","181.37","230.65",""
"Jonathan Matern","K1H","106.72","223.91","235.18",""
"Arnaud Delattre","K1H","108.29","196.25","251.01",""
"Matthieu Duval","K1H","108.84","207.61","256.55",""
"Simon Barthelemy","K1H","109.75","256.71","265.72",""
"Florent Tamburini","K1H","109.91","180","267.33",""
"Even Perot","K1H","111.44","314.33","282.75",""
"Jeremy Poux","K1H","112.32","200","291.62",""
"Julian Othenin-girard","K1H","113.55","296.62","304.02",""
"Philippe Devillers","K1H","114.09","238.17","309.46",""
"Patrick Gass","K1H","117.79","284.7","346.75",""
"Felix Jeanningros","K1H","118.09","311.95","349.77",""
"Thibaut Evrot","K1H","119.41","348.8","363.08",""
"Florian Soulon","K1H","120.04","299.04","369.43",""
"Damien Burteaux","K1H","120.6","177.61","375.07",""
"Thomas Barraco","K1H","120.7","216.43","376.08",""
"Maxime Poupart","K1H","121.82","369.27","387.37",""
"Gerard Lafargue","K1H","123.81","319.64","407.42",""
"Therence Bernard","K1H","126.24","234.57","431.91",""
"Lucas Vancon","K1H","126.59","-","435.44",""
"Robin Pilard","K1H","127.76","363.02","447.23",""
"Valentin Bordenet","K1H","128.53","413.52","454.99",""
"Christophe Billaud","K1H","128.82","209.88","457.92",""
"Guillaume Goury","K1H","131.52","558.58","485.13",""
"Nathan Robert","K1H","132.21","384.35","492.08",""
"Pierre Francois","K1H","137.07","462.11","541.06",""
"Sebastien Varin","K1H","141.3","403.38","583.69",""
"Jeremy Peltier","K1H","143.91","527.81","610",""
"Romain Faurie","K1H","144.16","87.67","612.52",""
"Florient Tagnon","K1H","146.29","100.4","633.98",""
"Laurent Starck","K1H","152.74","167.11","698.99",""
"Mael Othenin Girard","K1H","156.87","119","740.61",""
"Florent Bronchain","K1H","160.75","268.31","779.72",""
"Antoine Leroy","K1H","166.1","304.55","833.64",""
"Michael Ullrich","K1H","167.3","330.17","845.73",""
"Quentin Robert","K1H","176.2","252.65","935.43",""
"Paul-andre Montemont","K1H","192.89","526.24","1103.64",""
"Joe Cook","K1H","203.26","481.65","1208.15",""
"Francois Dupont","K1H","257.11","-","1750.87",""
"Batiste Duwatez","K1H","299.09","-","2173.96",""
"Jocelyn Racape","K1H","377.66","-","2965.82",""
"Paul Parisot","K1H","388.56","-","3075.68",""
"Stephane Peltier","K1H","573.89","-","4943.5",""
"Louis Depuydt","K1H","619.29","-","5401.06",""
"Alexis Hebinger","K1H","Nt","-","-",""
"Maxime Dubuisson","K1H","Nt","-","-",""
"Amelien Marchal","K1H","Nt","-","-",""
"Maxime Pilard","K1H","Nt","-","-",""
"Pierre Baudoin","K1H","Nt","-","-",""
"Jean Noel Degraeve","K1H","Nt","-","-",""
"Aurelien Hiroux","K1H","Nt","-","-",""
"Samuel Bonvalet","K1H","Nt","-","-",""
"Eric Beaumont","K1H","Nt","-","-",""
"Charlie Barbier","K1H","Nt","-","-",""
"Olivier Dulouard","K1H","Nt","-","-",""
"Antoine Potier","K1H","Nt","-","-",""
"Louis Savart","K1H","Nt","-","-",""
"Laurent Graillot","K1H","Nt","-","-",""
"Marc Biazizzo","K1H","Nt","-","-",""
"Bertrand Avril","K1H","Nt","-","-",""
"Jean Christophe Boivin","K1H","Nt","-","-",""
"Paul Aubert","K1H","Nt","-","-",""
"Johan De Mareuil","K1H","Nt","-","-",""
