"Coupe de France N1 - Manche 1 - Lannion - stade d'eaux vives - Qualification - 2014-03-01","Qualification","2014-03-01","Nationale 1","147"
"Antoine Roux-Gurgen Brun","C2H","124.43","179.02","143.98",""
"Kilian Foulon-Alexandre Paulais","C2H","124.64","126.51","145.49",""
"Jonathan Chapatte-Sebastien De Kerleau","C2H","127.63","158.18","167.05",""
"Thomas Schmitt-Yann Rivallant","C2H","130.2","118.98","185.58",""
"Louis Bouclier-Martin Mottais","C2H","130.53","149.21","187.96",""
"Nicolas Coudert-Yann Le Govic","C2H","131.29","175.65","193.44",""
"Loic Brunel-Medhi Deguil","C2H","132.83","134.32","204.54",""
"Baptiste Delaplace-Renaud Doby","C2H","134.33","108.14","215.35",""
"Malo Poles-Baptiste Le Poncin","C2H","136.08","151.8","227.97",""
"Antoine Giudicelli-Francois Giudicelli","C2H","Nt","-","-",""
"Pauline Guiet","K1D","111.76","31.91","31.25",""
"Carole Bouzidi","K1D","112.93","37.63","39.46",""
"Estelle Hellard","K1D","114.3","60.01","49.07",""
"Caroline Loir","K1D","114.4","33.31","49.77",""
"Berenice Kolenc","K1D","119.45","85.22","85.22",""
"Lucie Baudu","K1D","119.48","66.31","85.43",""
"Estelle Mangin","K1D","119.61","30.5","86.34",""
"Lucie Prioux","K1D","119.91","118.94","88.44",""
"Clementine Geoffray","K1D","121.03","68.95","96.3",""
"Camille Prigent","K1D","121.49","58.15","99.53",""
"Josepha Longa","K1D","122.49","62.31","106.55",""
"Melanie Ragaru","K1D","122.8","77.02","108.73",""
"Margaux Henry","K1D","123.45","82.78","113.29",""
"Julie Neime","K1D","123.91","98.92","116.52",""
"Laura Combot","K1D","125.89","71.37","130.41",""
"Julia Cuchi Vila","K1D","126.41","-","134.06",""
"Flora Huvelin","K1D","126.99","97.86","138.13",""
"Claire Gaigeot","K1D","127.3","99.33","140.31",""
"Maria Ferekidi","K1D","128.94","79.29","151.81",""
"Elise Pierron","K1D","129.04","103.56","152.52",""
"Claire Moal","K1D","129.55","140.77","156.1",""
"Claire Jacquet","K1D","130.94","104.51","165.85",""
"Lea Wetzel","K1D","134.68","125.48","192.1",""
"Lea Gaigeot","K1D","134.97","101.68","194.13",""
"Sebastien Combot","K1H","98.58","7.51","28.69",""
"Thomas Bersinger","K1H","98.98","14.91","31.86",""
"Benoit Guillaume","K1H","99.19","25.6","33.52",""
"Janos Peterlin","K1H","100.63","100.36","44.94",""
"Mathieu Biazizzo","K1H","100.99","10.63","47.8",""
"Bastien Damiens","K1H","102.07","12.19","56.36",""
"Yann Le Govic","K1H","102.29","46.66","58.11",""
"Goulwen Chapelier","K1H","102.64","60.46","60.88",""
"Quentin Burgi","K1H","102.74","22.33","61.68",""
"Enrick Cunsolo","K1H","102.79","30.17","62.07",""
"Vivien Colober","K1H","103.17","22.59","65.09",""
"Benoit Peschier","K1H","103.35","14.35","66.52",""
"Renaud Doby","K1H","103.52","26.05","67.86",""
"Pierre Bourliaud","K1H","103.64","32.92","68.82",""
"William Desnos","K1H","104.34","54.96","74.37",""
"Jimy Bercon","K1H","104.55","33.47","76.03",""
"Benjamin Buys","K1H","104.75","32.38","77.62",""
"Hugo Cailhol","K1H","104.81","26.38","78.09",""
"Antoine Launay","K1H","104.93","34.55","79.05",""
"Bertrand Gutierrez","K1H","105.28","70.4","81.82",""
"Mathieu Desnos","K1H","105.33","35.39","82.22",""
"Christophe Marechal","K1H","105.47","78.38","83.33",""
"Benjamin Renia","K1H","105.49","20.3","83.49",""
"Pol Oulhen","K1H","105.49","78.38","83.49",""
"Ewen Legrand","K1H","106.01","55.25","87.61",""
"Martin Dougoud","K1H","106.44","54.82","91.02",""
"Frederic Walczak","K1H","106.76","46.04","93.56",""
"Benjamin Travostino","K1H","106.79","30.17","93.8",""
"Nicolas Abbal","K1H","106.88","52.32","94.51",""
"Ludovic Di Nisi","K1H","106.98","18.58","95.3",""
"Kevin Schultz","K1H","107.04","53.31","95.78",""
"Benjamin Thiboust","K1H","107.05","96.66","95.86",""
"Aubry Bertin","K1H","107.21","90.62","97.13",""
"Tom Scianimanico","K1H","107.28","42.94","97.68",""
"Thomas Schmitt","K1H","107.8","64.48","101.81",""
"Jonas Turmeau","K1H","108.77","83.14","109.5",""
"Jonathan Chapatte","K1H","109.2","104.02","112.91",""
"Mathurin Madore","K1H","109.5","99.57","115.29",""
"Thomas Rosset","K1H","109.63","28.06","116.32",""
"Nathanael Renia","K1H","109.97","50.4","119.01",""
"Louison Turmeau","K1H","110.29","83.46","121.55",""
"Gael Prodeau","K1H","110.81","94.6","125.68",""
"Quentin Mignard","K1H","111.17","59.85","128.53",""
"Bryan Seiler","K1H","111.53","99.68","131.39",""
"Jonathan Delagnes","K1H","111.63","66.49","132.18",""
"James Duvernoy","K1H","112.15","83.44","136.3",""
"Romain Guyomard","K1H","112.64","85.95","140.19",""
"Fabien Tournadre","K1H","113.35","112.36","145.82",""
"Mathys Huvelin","K1H","113.59","63.83","147.72",""
"Martin Daviet","K1H","113.95","63.46","150.58",""
"Valentin Brindeau","K1H","115.32","99.27","161.44",""
"Quentin Bove","K1H","117.41","66.77","178.02",""
"Andy Pajani","K1H","123.39","74.72","225.44",""
"Emmanuel Walczak","K1H","156.25","76.79","486.03",""
"Boris Chenal","K1H","159.08","73.05","508.48",""
"Samuel Lhegu","K1H","162.63","69.77","536.63",""
"Nicolas Baudoin","K1H","167.41","93.8","574.54",""
"Mathieu Douillet","K1H","168.71","108.65","584.85",""
"Gurgen Brun","K1H","213.4","73.01","939.26",""
"Alexandre Dherbilly","K1H","216.13","77.46","960.91",""
