"SELECTIF REGIONAL LANNION -  - 2001-11-18","Course 1","2001-11-18","Régional","226"
"Berree Guillaume","K1H","247.14","-","561",""
"Maze Ronan","K1H","247.45","584","563",""
"Deffay Axel","K1H","249.89","555","579",""
"Marrec Pierre-Yves","K1H","250.23","-","581",""
"Chapel Mikael","K1H","250.69","536","584",""
"Le Garrec Julien","K1H","253.69","-","604",""
"Rose Morvan","K1H","255.84","-","618",""
"Nado Julien","K1H","256.67","675","624",""
"Debray Damien","K1H","257.11","-","627",""
"Guillotin Simon","K1H","257.36","-","628",""
"Le Tulzo Jean","K1H","258.34","-","635",""
"Guyomard Julien","K1H","259.59","-","643",""
"Rivallain Ludovic","K1H","259.64","-","643",""
"Mahe Alan","K1H","260.26","-","647",""
"Le Vourch Alexandre","K1H","261.57","-","656",""
"Le Blevec Stephane","K1H","261.99","-","659",""
"Rivoal Yoann","K1H","266.87","-","691",""
"Nicolas Romain","K1H","273.21","-","733",""
"Champfailly Sebastien","K1H","273.25","-","733",""
"Decurey Franck","K1H","274.76","-","743",""
"Horowitz Philippe","K1H","276.2","-","752",""
"Martin Simon","K1H","282.19","-","792",""
"Stephen Le Diagon","K1H","283.98","-","804",""
"Mathieu Bourdet","K1H","284.23","-","805",""
"Flageul Pierre","K1H","284.72","-","809",""
"Beyou Franck","K1H","291.92","-","856",""
"Couedic Vincent","K1H","297.44","-","893",""
"Marmier Jerome","K1H","300.58","-","913",""
"Colombert Yann","K1H","300.67","-","914",""
"Legout Kevin","K1H","301.3","-","918",""
"Josse Nicolas","K1H","302.25","817","924",""
"Cadoudal Vincent","K1H","306.61","-","953",""
"Laurent Rigaud","K1H","313.58","-","999",""
"Giguet Valentin","K1H","314.6","-","1006",""
"Anthony Cadoret","K1H","316.99","-","1021",""
"Priol Yoann","K1H","324.12","-","1068",""
"Cleraux Antoine","K1H","328.13","-","1095",""
"Rogue Clement","K1H","339.48","-","1170",""
"Pedron Jessy","K1H","341.29","-","1182",""
"Georgin Etienne","K1H","357.14","-","1286",""
"Garzuel Erwan","K1H","361.52","-","1315",""
"Leclaire Pierre Louis","K1H","363.87","-","1331",""
"Coutely Gauthier","K1H","398.58","-","1559",""
"Brieuc Cadic","K1H","449.59","-","1896",""
"Le Gallic Thomas","K1H","453.74","-","1923",""
"Panaget Ludovic","K1H","458.22","-","1953",""
"Gacogne Yves","K1H","488.48","-","2152",""
