"41ème Grand Prix - Pau - 2009-11-01","Course 2","2009-11-01","Régional","324"
"Armand Rauturier-Nicolas Labat","C2H","105.60","193","161",""
"Boris Nedelec-Thibaud Couetil","C2H","107.57","173","178",""
"Antoine Giudicelli-Francois Giudicelli","C2H","109.65","154","196",""
"Charly Chassigneux-Fabien Tournadre","C2H","111.31","227","211",""
"Nicolas Marcus-Sylvain Le Roux","C2H","111.38","310","212",""
"Frederic Descot-Yoan Dalla Longa","C2H","121.53","231","300",""
"Antoine Roux-Gurgen Brun","C2H","172.12","264","741",""
"Benjamin Renia-Nathanael Renia","C2H","Nt","-","-",""
"Nicolas Scianimanico-Guillaume Bernis","C2H","Nt","-","-",""
"Hugo Cailhol-Bastien Salame","C2H","Nt","-","-",""
"Loic Brunel-Medhi Deguil","C2H","Nt","-","-",""
"Mathieu Fougere-Thomas Fougere","C2H","Nt","-","-",""
"Fabien Lefevre-Denis Gargaud","C2H","Nt","-","-",""
"Nouria Newman-Martin Thomas","C2M","115.58","-","179",""
"Celia Jodar-Ludovic Di Nisi","C2M","Nt","-","-",""
"Carole Bouzidi","K1D","95.54","27","51",""
"Caroline Loir","K1D","95.80","12","53",""
"Clotilde Miclo","K1D","100.21","30","91",""
"Marie-zelia Lafont","K1D","100.47","14","93",""
"Laura Combot","K1D","101.87","38","105",""
"Claire Landrin","K1D","102.08","38","107",""
"Nouria Newman","K1D","102.54","31","111",""
"Laure Udari","K1D","105.15","77","133",""
"Lucie Baudu","K1D","106.13","89","141",""
"Lea Martin","K1D","106.71","60","146",""
"Sarah Despres","K1D","106.97","52","148",""
"Oriane Rebours","K1D","109.51","47","170",""
"Estelle Hellard","K1D","109.82","109","172",""
"Berenice Kolenc","K1D","112.17","142","192",""
"Cecile Tixier","K1D","113.08","168","200",""
"Laurence Pessoni","K1D","114.21","214","209",""
"Peggy Dickens","K1D","114.91","-","216",""
"Annaelle Meheut","K1D","115.42","127","220",""
"Sarah Lyphout","K1D","115.54","134","221",""
"Alice Cailhol","K1D","117.34","193","236",""
"Laetitia Thueux","K1D","117.45","209","237",""
"Elise Escourrou","K1D","119.70","78","256",""
"Zoe Guillerm","K1D","121.05","283","268",""
"Marlene Rio","K1D","122.03","233","276",""
"Emeline Oudet","K1D","124.80","213","299",""
"Emma Jacob","K1D","124.91","356","300",""
"Berangere Baudart","K1D","126.28","153","312",""
"Lucie Boutonnet","K1D","127.36","230","322",""
"Anais Coudrin","K1D","127.68","215","324",""
"Harmony Thery","K1D","127.69","250","324",""
"Alice Janecek","K1D","131.20","296","354",""
"Marie Cassar","K1D","132.83","270","367",""
"Camille Salgues","K1D","133.45","286","373",""
"Audrey Picco","K1D","133.99","213","378",""
"Violaine Truche","K1D","135.34","207","389",""
"Solene Graille","K1D","137.20","257","405",""
"Armelle Canali","K1D","146.25","-","482",""
"Lisa Le-naour","K1D","150.12","-","514",""
"Camille Grezard","K1D","161.52","212","612",""
"Celia Jodar","K1D","194.31","230","890",""
"Anais Peyron","K1D","208.90","-","1014",""
"Helena Heysch De La Borde","K1D","294.03","371","1737",""
"Cindy Coat","K1D","335.75","-","2091",""
"Maeva Salvador","K1D","Nt","-","-",""
"Elodie Janotto","K1D","Nt","-","-",""
"Anouk Desbieys","K1D","Nt","-","-",""
"Manon Prioux","K1D","Nt","-","-",""
"Fanny Kerambrun","K1D","Nt","-","-",""
"Jenny Chevalier","K1D","Nt","-","-",""
"Anneline Triomphe","K1D","Nt","-","-",""
"Fabien Lefevre","K1H","84.06","16","47",""
"Samuel Hernanz","K1H","86.46","15","70",""
"Thomas Bersinger","K1H","86.63","4","71",""
"Frederic Walczak","K1H","86.69","12","72",""
"Boris Neveu","K1H","86.73","3","72",""
"Vivien Colober","K1H","86.89","11","73",""
"Benjamin Renia","K1H","87.04","4","75",""
"Julien Billaut","K1H","87.29","17","77",""
"Pierre Bourliaud","K1H","87.30","9","77",""
"Louis Georges Lafont","K1H","87.57","37","80",""
"Benjamin Buys","K1H","87.57","11","80",""
"Thomas Rosset","K1H","87.60","28","81",""
"Renaud Doby","K1H","87.67","11","81",""
"Ludovic Di Nisi","K1H","87.73","22","81",""
"Bryan Seiler","K1H","87.97","81","84",""
"Sebastien Combot","K1H","88.42","4","88",""
"Julien Dekarczyk","K1H","88.68","15","91",""
"Virgile Pigache-donnet","K1H","89.01","108","94",""
"Emmanuel Walczak","K1H","89.81","36","102",""
"Aurelien Maynadier","K1H","90.02","22","103",""
"Hugo Cailhol","K1H","90.18","32","105",""
"Arnaud Lapeze","K1H","90.28","34","106",""
"Denis Gargaud","K1H","90.31","-","107",""
"Quentin De Fierville","K1H","90.37","119","107",""
"Andy Pajani","K1H","90.40","32","107",""
"Loris Minvielle","K1H","90.69","36","110",""
"Fabien Tournadre","K1H","90.73","81","111",""
"Julien Haberland","K1H","91.01","49","113",""
"Florian Berail","K1H","91.09","18","114",""
"Yann Le Govic","K1H","91.44","61","117",""
"Jeremy Lehning","K1H","91.85","114","121",""
"Nicolas Labat","K1H","92.20","27","125",""
"Michael Guyon","K1H","92.60","114","128",""
"Mathieu Biazizzo","K1H","93.44","60","137",""
"Benjamin Travostino","K1H","93.49","17","137",""
"Nicolas Abbal","K1H","93.51","75","137",""
"Nathanael Renia","K1H","93.61","135","138",""
"Stephane Labouille","K1H","93.69","132","139",""
"Benoit Jouan","K1H","94.25","126","144",""
"Jean Baptiste Morera","K1H","94.28","133","145",""
"Adrien Roussel","K1H","94.48","165","146",""
"Franck Peyrical","K1H","95.07","129","152",""
"Louis-maxime Main","K1H","95.10","146","152",""
"Romain Chabrol","K1H","95.19","86","153",""
"Thibault Gibert","K1H","95.28","112","154",""
"Quentin Burgi","K1H","95.37","59","155",""
"Lucas Kelifaoui","K1H","95.59","78","157",""
"Enrick Cunsolo","K1H","95.65","60","157",""
"Guillaume Bernis","K1H","95.75","124","159",""
"Sylvain Dandel","K1H","95.75","119","159",""
"Yves Prigent","K1H","96.16","162","163",""
"Guillaume Picco","K1H","96.44","105","165",""
"Yann Gudefin","K1H","96.70","23","168",""
"Nicolas Coudert","K1H","96.71","81","168",""
"Alexis Caspar","K1H","96.71","33","168",""
"Romain Lecrenais-perrel","K1H","96.87","139","169",""
"Pierre Labarelle","K1H","96.94","-","170",""
"Mael Othenin Girard","K1H","97.17","124","172",""
"Tom Scianimanico","K1H","97.22","154","173",""
"Nicolas Caussanel","K1H","97.29","174","173",""
"Paul Aubert","K1H","97.39","120","175",""
"Yoann Gottardo","K1H","97.45","-","175",""
"Antoine Launay","K1H","97.64","78","177",""
"Loic Kervella","K1H","97.68","175","177",""
"Lionel Tinevez","K1H","97.83","158","179",""
"Franck Delachair","K1H","97.86","133","179",""
"Yannick Besse","K1H","98.54","163","186",""
"Jonathan Delagnes","K1H","98.63","52","186",""
"Mathieu Haberland","K1H","98.68","99","186",""
"Jean Messialle","K1H","98.89","183","189",""
"Bertrand Gourrat","K1H","98.90","135","189",""
"Tanguy Le Marec","K1H","99.25","185","192",""
"Thomas Dauvet","K1H","99.62","180","196",""
"Thibaud Delaunay","K1H","99.71","162","197",""
"Quentin Lyphout","K1H","99.90","163","198",""
"Remi Baudot","K1H","100.28","116","202",""
"Jean Yves Prigent","K1H","101.08","162","209",""
"Alexandre Di Nisi","K1H","101.29","119","212",""
"Alexandre Ittel","K1H","101.56","172","214",""
"Mael Rogard","K1H","102.13","262","220",""
"Bastien Salame","K1H","102.16","134","220",""
"Maxime Le Henaff","K1H","102.30","262","221",""
"Thibault Dufour","K1H","102.39","183","222",""
"Cedric Mace","K1H","102.56","223","224",""
"Riwal Chardon","K1H","103.15","179","230",""
"Matthieu Basset","K1H","103.33","165","232",""
"Colin Beziade","K1H","103.53","154","233",""
"Jean-francois Souville","K1H","103.89","158","237",""
"Edouard Grosjean","K1H","103.90","243","237",""
"Fernando Denninger","K1H","104.57","191","243",""
"Bastien Dantin","K1H","104.61","468","243",""
"Philippe Niquet","K1H","104.72","218","245",""
"Felix Merzeau","K1H","104.78","209","245",""
"Etienne Hubert","K1H","105.12","-","248",""
"Nicolas Honzatko","K1H","105.13","-","249",""
"Nicolas Scianimanico","K1H","105.28","231","250",""
"Jerome Trousson","K1H","105.46","182","252",""
"Valentin Lesseau","K1H","105.55","219","253",""
"Nicolas Baudoin","K1H","105.90","214","256",""
"Matthias Besse","K1H","106.19","231","258",""
"Frederic Descot","K1H","106.23","227","259",""
"Valentin Pahon","K1H","106.82","217","265",""
"Nicolas Fayol","K1H","106.90","401","266",""
"Marc Darribere","K1H","106.91","190","266",""
"Valentin Grollemund","K1H","107.19","223","269",""
"Anthony Themines","K1H","107.19","165","269",""
"Gurgen Brun","K1H","107.60","161","273",""
"Etienne Chauvin","K1H","107.63","264","273",""
"Manuel Legros","K1H","107.79","-","274",""
"Valerian Boulet","K1H","107.91","314","275",""
"Laurent Starck","K1H","108.06","205","277",""
"Philippe Esnault","K1H","108.08","218","277",""
"Damien Gaillard","K1H","108.10","169","277",""
"Boris Lesimple","K1H","108.17","202","278",""
"Stanislas Pradeleix","K1H","108.50","173","281",""
"Herve Mars","K1H","108.65","291","282",""
"Brice Desbieys","K1H","108.76","331","284",""
"Mathieu Pouchet","K1H","108.80","226","284",""
"Nicolas Herr","K1H","108.85","314","284",""
"Remi Parayre","K1H","108.95","293","285",""
"Pierre Portais","K1H","109.22","208","288",""
"James Duvernoy","K1H","109.67","248","292",""
"Florian Balhuizen","K1H","109.82","245","294",""
"Pierre Moreau","K1H","109.90","275","295",""
"Thibault Le Henaff","K1H","110.06","240","296",""
"Tony Deshayes","K1H","110.14","290","296",""
"Mathieu Charliac","K1H","110.19","300","297",""
"Hugues Lesimple","K1H","110.38","173","299",""
"Sebastien Martel","K1H","110.82","401","303",""
"Vincent Froger","K1H","110.90","149","304",""
"Ewen Legrand","K1H","110.94","240","304",""
"Remy Cassar","K1H","111.17","293","307",""
"Quentin Mignard","K1H","111.25","-","307",""
"Clement Guiraud","K1H","112.08","279","315",""
"Fabrice Poueyto","K1H","112.19","-","316",""
"Pierrealain Clerc","K1H","112.34","254","318",""
"Jolan Konig","K1H","112.55","379","320",""
"Damien Launay","K1H","112.64","220","321",""
"Herve Clerc","K1H","112.75","-","322",""
"Caryck Bouladjat","K1H","112.93","291","323",""
"Joris Santoro","K1H","112.94","361","323",""
"Julien Lenaour","K1H","113.26","219","326",""
"Nowan Bertin","K1H","114.68","209","341",""
"Damien Caillon","K1H","114.82","210","341",""
"Anthony Jonot","K1H","114.87","-","342",""
"Florian Campagnole","K1H","116.26","333","356",""
"Jean-philippe Rome","K1H","116.41","291","357",""
"Nicolas Neveu","K1H","116.57","455","359",""
"Antony Alves","K1H","117.43","358","367",""
"Maxime Krzyzyk","K1H","118.50","-","377",""
"Marc Cailhol","K1H","118.62","394","378",""
"Matthieu Duval","K1H","118.66","307","379",""
"Jan Baudet","K1H","118.94","211","381",""
"Marc Lalande","K1H","119.48","477","386",""
"Pierrick Gaudin","K1H","120.15","226","393",""
"Aurelien Penicaud","K1H","120.82","372","399",""
"Louis Bouchiat","K1H","120.97","433","401",""
"Jeancharles Bernis","K1H","121.05","323","401",""
"Thomas Wingerter","K1H","121.06","388","401",""
"Komlangan Gassou","K1H","121.31","429","404",""
"Olivier Cain","K1H","122.84","264","419",""
"Antoine Roux","K1H","122.95","183","420",""
"Sylvain Thouvenot","K1H","123.24","523","422",""
"Alain Minvielle","K1H","123.74","418","428",""
"Alexis Reigne","K1H","124.16","456","431",""
"Roman Gastaud","K1H","124.69","-","436",""
"Xavier Auneau","K1H","125.97","327","449",""
"Sebastien Mathieu","K1H","127.96","572","468",""
"Luc Formet","K1H","129.24","400","480",""
"Romain Foulon","K1H","130.10","381","488",""
"Stann Savels","K1H","131.46","-","501",""
"Loic Pierre","K1H","132.46","510","510",""
"Eric Vidou","K1H","133.87","439","525",""
"Gregoire Olivier","K1H","134.96","402","535",""
"Olivier Ramos","K1H","138.02","566","564",""
"Guillaume Pitre","K1H","147.35","454","654",""
"Thomas Dandel","K1H","151.86","135","697",""
"Maxime Lignereux","K1H","153.21","475","710",""
"Erwan Marchais","K1H","159.90","-","774",""
"Gaetan Coat","K1H","165.95","310","832",""
"Guillaume Chainier","K1H","175.63","220","925",""
"Pierre Berenguel","K1H","204.07","-","1198",""
"Christophe Paturey","K1H","300.94","-","2127",""
"Vincent Gardere","K1H","Nt","-","-",""
"Alexandre Charrier","K1H","Nt","-","-",""
"Jean Yves Courtiade","K1H","Nt","-","-",""
"Pascal Dongarra","K1H","Nt","-","-",""
"Nasser Belabdi","K1H","Nt","-","-",""
"Aymeric Maynadier","K1H","Nt","-","-",""
"Emmanuel Triomphe","K1H","Nt","-","-",""
