"Championnats de France Universitaire - Stade D'eaux Vives De Lannion - Finale - 2016-03-10","Finale","2016-03-10","Championnats de France","90"
"Paul Gestin","K1H","102.57","262.51","276.49","Finale A"
"Ludovic Ngo","K1H","103.41","237.39","286.52","Finale A"
"Guillaume Maillot","K1H","104.34","326.97","297.62","Finale A"
"Maxime Tilhet","K1H","140.36","143.52","727.63","Finale A"
"Nicolas Rouleaud","K1H","144.63","191.9","778.61","Finale A"
"Mehdi Rouich","K1H","149.48","154.77","836.5","Finale A"
"Ewen Legrand","K1H","Abs","-","-","Finale A"
"Margaux Henry","C1D","107.89","126.15","130.34","Finale B"
"Emilie Delahaye","C1D","130.3","341.3","353.28","Finale B"
"Chloe Gatuingt","C1D","150.22","467.14","551.45","Finale B"
"Jules Chaumet","C1H","104.78","203.73","248.31","Finale B"
"Corentin Oulhen","C1H","105.4","148.54","255.36","Finale B"
"Nathan Rene Corail","C1H","112.33","162.82","334.15","Finale B"
"Romain Bertrand","C1H","116.14","285.38","377.47","Finale B"
"Clement Dubois","C1H","135.77","474.06","600.66","Finale B"
"Loic Kervella","C1H","157.56","220.48","848.39","Finale B"
"Nicolas Rouleaud","C1H","163.55","436.02","916.5","Finale B"
"Louison Turmeau-Thibaut Perroteau","C2H","116.42","267.97","320.48","Finale B"
"Margaux Henry-Lucas Hives - Sorin","C2M","107.51","-","126.56","Finale B"
"Yves Prigent-Phenicia Dupras","C2M","176.49","542.19","812.79","Finale B"
"Theo Quenouillere-Justine Geffroy","C2M","204.65","-","1092.94","Finale B"
"Clothilde Le Louarn","K1D","118.73","293.97","311.35","Finale B"
"Lisa Lebouc","K1D","130.71","-","437.92","Finale B"
"Suzanne Ridoux","K1D","136.63","-","500.46","Finale B"
"Emma Maujean","K1D","139.41","515.38","529.83","Finale B"
"Christine Le Gall","K1D","152.59","324.76","669.06","Finale B"
"Justine Geffroy","K1D","264.92","428.56","1855.78","Finale B"
"Sami Rocher","K1H","92.84","82.66","165.34","Finale B"
"Clement Cierocki","K1H","98.33","203.37","230.88","Finale B"
"Lucas Galmiche","K1H","102.6","191.77","281.85","Finale B"
"Timothee Le Mort","K1H","103","260.57","286.63","Finale B"
"Martin Belliot","K1H","103.59","267.82","293.67","Finale B"
"Clement Dubois","K1H","104.41","305.18","303.46","Finale B"
"Leo Zouggari","K1H","104.51","-","304.65","Finale B"
"Clement Carbonnel","K1H","107.54","352.83","340.82","Finale B"
"Guillaume De Fierville","K1H","107.94","283.63","345.6","Finale B"
"Arthur Chaumet","K1H","108.86","307.51","356.58","Finale B"
"Benjamin Dubert","K1H","114","461.24","417.94","Finale B"
"Ludovic Le Cointre","K1H","114.24","321.87","420.81","Finale B"
"Cedric Papin","K1H","117.99","-","465.58","Finale B"
"Thibaud Le Corre","K1H","120.66","-","497.45","Finale B"
"Arnaud Robert","K1H","121.65","-","509.27","Finale B"
"Theo Zilber","K1H","125.02","403.74","549.5","Finale B"
"Louis Savart","K1H","152.25","325.58","874.57","Finale B"
"Antoine Leroy","K1H","181.58","403.36","1224.72","Finale B"
"Clement Guest","K1H","280.48","-","2405.38","Finale B"
