"SÈlectif rÈgional SLALOM & Manche 2 sur B ""Coupe rÈgionale Grand-Est""  - 67600 Selestat - Course n∞1 | Qualification - 2019-09-21","Course n∞1 | Qualification","2019-09-21","RÈgional","238"
"Yann Becker","K1H","115.98","348.92","491.37",""
"Philippe Potier","K1H","118.13","-","518.37",""
"Thomas Michel","K1H","118.29","436.44","520.38",""
"Simon Drouart","K1H","119.33","-","533.44",""
"Philippe Koffel","K1H","120.28","616.04","545.37",""
"Frederic Caillet","K1H","121.91","643.99","565.84",""
"Jean Guyot","K1H","123.12","664.41","581.03",""
"Philipp Hector","K1H","129.7","2795.22","663.66",""
"Robin Giurlando","K1H","129.98","626.74","667.18",""
"Patrick Thevenin","K1H","132.6","830.66","700.08",""
"Aloys Morel","K1H","134.29","803.91","721.3",""
"Antoine Schroetter","K1H","136.74","1803.64","752.07",""
"Kenzo Garnier","K1H","140.31","1905.78","796.9",""
"Thomas Danjou","K1H","147.06","-","881.66",""
"Baptiste Podor","K1H","147.43","444.83","886.31",""
"Joris Schaffner","K1H","148.77","225.58","903.14",""
"Jules Latimier","K1H","159.64","502.4","1039.64",""
"Stephane Cassin","K1H","162.53","-","1075.93",""
"Alexis Sevrez","K1H","171.73","522.67","1191.46",""
"Maxence Raymond","K1H","179.06","718.87","1283.51",""
"Victor Mocochain","K1H","189.28","-","1411.85",""
"Thibaut Chariot","K1H","Abs","-","-",""
"Cyril Bonmarchand","K1H","Abs","-","-",""
"Guillaume Louis","K1H","Abs","-","-",""
"Timothee Foltz","K1H","Abs","-","-",""
"Thomas Metzinger","K1H","Abs","-","-",""
"Edy Gasser","K1H","Abs","-","-",""
"Alexandre Lambert","K1H","Abs","-","-",""
"Nolan Lequesne","K1H","Abs","-","-",""
"Gilles Barthelemy","K1H","Abs","-","-",""
"Valentin Bostoen","K1H","Abs","-","-",""
"Christophe Godinat","K1H","Abs","-","-",""
"Arnaud Jamet","K1H","Abs","-","-",""
"Gael Ettwiller","K1H","Abs","-","-",""
"David Monnet","K1H","Abs","-","-",""
"Mathieu Douillet","K1H","Abs","-","-",""
"Matthieu Koffel","K1H","Abs","-","-",""
"Lucas Galmiche","K1H","Abs","-","-",""
"Salim Jemai","K1HM","107.06","409.81","379.36",""
"Jan Gabin Pischek","K1HM","110.16","-","418.29",""
"Victor Frumholtz","K1HM","120.58","-","549.14",""
"Leon Beyreuther","K1HM","122.59","1395.19","574.38",""
"Matth…o Waltz","K1HM","128.22","-","645.08",""
"Quentin Dierstein","K1HM","130.89","797.59","678.61",""
"Teo Mullerheddar","K1HM","130.91","-","678.86",""
"Nathan Drouet","K1HM","131.35","-","684.38",""
"Victor Scheffzek","K1HM","138.15","-","769.77",""
"Zakaria Radouani","K1HM","139.95","893.77","792.38",""
"Noam Bennour","K1HM","146.68","-","876.89",""
"Adrian Bubel","K1HM","149.01","-","906.15",""
"Achille Napoli","K1HM","155.8","-","991.42",""
"Mathys Henry","K1HM","175.05","-","1233.15",""
"Diego Depays","K1HM","180.34","-","1299.58",""
"Emile Babel","K1HM","207.57","-","1641.53",""
"Etienne Ermel","K1HM","Abs","-","-",""
"Theo Didier","K1HM","Abs","-","-",""
"Sacha Tonuccibance","K1HM","Abd","-","-",""
"Simon Bouchot","K1HM","Abs","-","-",""
"Thibaud Korn","OUVM","Abs","-","-",""
"Gregory Waltz","OUVM","136.53","-","-",""
"Charli Rudinger","OUVM","140.9","-","-",""
