"Sélectif Régional de Slalom - Ile De Pont Authou - Finale - 2016-11-06","Finale","2016-11-06","Régional","190"
"Lucas Jacob-Benoit Guernic","C2H","122.24","452.38","435.46","Finale A"
"Simon Dubosc-Quentin Angot","C2H","124.46","475.69","461.33","Finale A"
"Theo Moalic-Marceau Decarsin","C2H","126.14","584.47","480.92","Finale A"
"Louison Laumondais-Charles Bre","C2H","128.4","-","507.25","Finale A"
"Tom Allio-Estephe Decarsin","C2HM","151.58","-","777.41","Finale A"
"Fabien Bonvalet-Mathis Pomares","C2HM","156.18","-","831.02","Finale A"
"Hugo Lecointe-Leo Leveque","C2HM","161.9","-","897.69","Finale A"
"Teo Durand-Loan Guyomarch","C2HM","164.05","-","922.74","Finale A"
"Theodora Seemann-Eloi Seemann","C2M","127.02","369.16","367.8","Finale A"
"Benoit Letellier-Melina Letellier","C2M","134.02","-","442.58","Finale A"
"Alize Bachelot-Guillaume Doutreix","C2M","134.54","-","448.15","Finale A"
"Anne Lambert-Louison Laumondais","C2M","138.93","632.41","495.04","Finale A"
"Quentin Angot-Leontine Dubuisson","C2M","139.52","625.13","501.35","Finale A"
"Geoffroy Lauth-Rachel Broin","C2M","142.55","599.25","533.72","Finale A"
"Clement Font-boinel-Anna Dufay Leneveu","C2M","160.07","-","720.9","Finale A"
"Lison Gautrelet-Dimitri Houlier","C2MM","156.08","-","678.27","Finale A"
"Dorine Mouillard-Clement Hamel","C2MM","180.34","2123.03","937.44","Finale A"
"Thomas Leblond-Elza Horlock","C2MM","188.11","-","1020.45","Finale A"
"Chloe Gatuingt","K1D","119.3","314.04","364.28","Finale A"
"Leontine Dubuisson","K1D","121.02","345.97","383.79","Finale A"
"Alize Bachelot","K1D","127.71","441.8","459.7","Finale A"
"Ninon Ladam","K1D","142.32","-","625.45","Finale A"
"Theodora Seemann","K1D","143.21","625.17","635.55","Finale A"
"Eloise Riviere","K1D","143.49","570.48","638.72","Finale A"
"Margaux Fabijan","K1DM","129.34","491.56","478.19","Finale A"
"Lison Gautrelet","K1DM","130.43","558.34","490.56","Finale A"
"Mylene Despres","K1DM","138.71","642.57","584.49","Finale A"
"Marine Calenda","K1DM","145.16","653.73","657.67","Finale A"
"Julianne Brosse","K1DM","147.87","-","688.41","Finale A"
"Anthony Mottais","K1H","93.68","222.03","211.78","Finale A"
"Xavier Jourdain","K1H","93.74","177.27","212.55","Finale A"
"Benjamin Thiboust","K1H","95.83","183.21","239.35","Finale A"
"Lucas Jacob","K1H","95.9","268.35","240.24","Finale A"
"Yohan Marck","K1H","101.43","257.14","311.14","Finale A"
"Mickael Louchard","K1H","101.84","364.76","316.4","Finale A"
"Florian Pean","K1H","103.16","-","333.32","Finale A"
"Thomas Martinet","K1H","104.27","433.71","347.55","Finale A"
"Louis Bouclier","K1H","105.34","-","361.27","Finale A"
"Guillaume Doutreix","K1H","105.55","319.97","363.96","Finale A"
"Quentin Angot","K1H","106.11","353.04","371.14","Finale A"
"Marceau Decarsin","K1H","106.71","411.42","378.83","Finale A"
"Nicolas Candieu","K1H","106.78","357.87","379.73","Finale A"
"Baptiste Brunet","K1H","106.95","343.4","381.91","Finale A"
"Louison Laumondais","K1H","108.68","388.89","404.09","Finale A"
"Thibaud Collaert","K1H","109.27","408.27","411.65","Finale A"
"Clement Font-boinel","K1H","109.62","342.55","416.14","Finale A"
"Alan Le Goff","K1H","110.21","446.01","423.7","Finale A"
"Benjamin Soroka","K1H","110.24","376.07","424.08","Finale A"
"Nicolas Dupres","K1H","111.3","417.59","437.67","Finale A"
"Romain Bouillon","K1H","111.9","405.27","445.37","Finale A"
"Gaspard Perrio","K1H","114.08","-","473.31","Finale A"
"Teddy Poulard","K1H","114.81","376.74","482.67","Finale A"
"Lucas Walbreq","K1H","116.81","479.53","508.31","Finale A"
"Antoine Martin","K1H","116.96","478.6","510.24","Finale A"
"Theo Moalic","K1H","117.99","444.85","523.44","Finale A"
"Yves Boudon","K1H","118.55","794.16","530.62","Finale A"
"Estephe Decarsin","K1HM","114.99","551.67","484.98","Finale A"
"Clement Hamel","K1HM","115.87","550.91","496.26","Finale A"
"Fabien Bonvalet","K1HM","119.24","532.79","539.47","Finale A"
"Hugo Lecointe","K1HM","120.93","-","561.13","Finale A"
"Benjamin Georgin","K1HM","124.84","787.15","611.26","Finale A"
"Titouan Jouet","K1HM","126.52","-","632.8","Finale A"
"Dimitri Houlier","K1HM","130.58","747.42","684.85","Finale A"
"Matisse Jouet","K1HM","132.93","-","714.97","Finale A"
"Matthis Leroux","K1HM","137.81","974.08","777.54","Finale A"
"Tom Allio","K1HM","138.19","-","782.41","Finale A"
"Teo Durand","K1HM","142.07","-","832.15","Finale A"
"Mathis Andrieu","K1HM","149.11","897.54","922.4","Finale A"
"Mathis Pomares","K1HM","156.3","1200.97","1014.58","Finale A"
"Isaac Bowring","K1HM","181.78","-","1341.24","Finale A"
"Clemence Douche","C1D","170.93","862.16","841.92","Finale B"
"Anna Dufay Leneveu","C1D","250.52","-","1692.21","Finale B"
"Marie Claude Lamoureux","C1D","345.11","2429.3","2702.76","Finale B"
"Simon Dubosc","C1H","124.87","708.73","540.41","Finale B"
"Theo Moalic","C1H","124.93","636.15","541.15","Finale B"
"Geoffroy Lauth","C1H","126.58","570.46","561.29","Finale B"
"Yohan Marck","C1H","126.99","548.04","566.3","Finale B"
"Louis Marescot","C1H","127.27","848.66","569.72","Finale B"
"Quentin Angot","C1H","128.02","538.52","578.88","Finale B"
"Romain Bouillon","C1H","128.21","-","581.2","Finale B"
"Samuel Bonvalet","C1H","131.27","631.15","618.55","Finale B"
"Thomas Martinet","C1H","133.65","683.62","647.62","Finale B"
"Nicolas Candieu","C1H","135.52","642.58","670.45","Finale B"
"Donatien Lamoureux","C1H","136.24","693.92","679.23","Finale B"
"Isidore Dubuisson","C1H","137.22","689.67","691.21","Finale B"
"Sebastien Masseline","C1H","140.4","722.91","730.02","Finale B"
"Yves Boudon","C1H","144.68","-","782.28","Finale B"
"Dante Bourlet De La Vallee","C1H","156.08","-","921.48","Finale B"
"Axel Kottelanne","C1H","191.68","949.77","1356.13","Finale B"
"Benjamin Meziere","C1H","241.24","-","1961.24","Finale B"
"Matthis Leroux","C1HM","165.71","-","1039.05","Finale B"
"Loan Guyomarch","C1HM","166.49","-","1048.58","Finale B"
"Steven Vannier","C1HM","Abs","-","-","Finale B"
"Jeremy Bretteville-Guillaume Doutreix","C2H","129.34","547.96","523.21","Finale B"
"Thomas Martinet-Lucas Walbreq","C2H","130.34","595.89","534.86","Finale B"
"Nicolas Dupres-Eric Beaumont","C2H","130.93","562.49","541.74","Finale B"
"Antoine Martin-Romain Bouillon","C2H","140.18","657.12","649.54","Finale B"
"Clement Font-boinel-Alexis Pitres","C2H","151.11","-","776.93","Finale B"
"Nicolas Candieu-Niels Beaumont","C2H","153.18","-","801.06","Finale B"
"Benjamin Meziere-Louis Marescot","C2H","Dsq","-","-","Finale B"
"Matisse Jouet-Titouan Jouet","C2HM","160.78","-","889.64","Finale B"
"Mathias Felix-Clement Hamel","C2HM","162.58","-","910.61","Finale B"
"Isaac Bowring-Steven Vannier","C2HM","Des","-","-","Finale B"
"Quentin Mannier-Chloe Gatuingt","C2M","143.62","-","550.15","Finale B"
"Teddy Poulard-Sandra Poulard","C2M","153.21","-","652.6","Finale B"
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","163.81","-","765.84","Finale B"
"Damien Jacques-Laetitia Pelcat","C2M","168.81","871.89","819.27","Finale B"
"Eve Goicoechea-Jeremy Bretteville","C2M","173.46","-","868.94","Finale B"
"Marion Matura-Pierre Sotto","C2M","263.48","1723.64","1830.67","Finale B"
"Anne Lambert","K1D","140.02","568.61","604.36","Finale B"
"Marion Matura","K1D","142.05","696.21","627.39","Finale B"
"Daphnee Mouchelet","K1D","142.65","728.99","634.19","Finale B"
"Dominique Badie-kallou","K1D","151.14","-","730.51","Finale B"
"Melanie Brunet","K1D","214.55","885.7","1449.91","Finale B"
"Elza Horlock","K1DM","151.65","-","736.31","Finale B"
"Dorine Mouillard","K1DM","160.78","1250.75","839.88","Finale B"
"Albertine Binard","K1DM","171.78","1247.58","964.68","Finale B"
"Barbara Bethembos","K1DM","Des","-","-","Finale B"
"Isidore Dubuisson","K1H","108.14","385.97","402.16","Finale B"
"Charles Bre","K1H","108.99","-","413.06","Finale B"
"Jeansebastien Simonklein","K1H","113.27","-","467.93","Finale B"
"Valentin Fleury","K1H","114.29","417.84","481.01","Finale B"
"Benoit Guernic","K1H","115.58","377","497.54","Finale B"
"Damien Jacques","K1H","117.18","545.68","518.06","Finale B"
"Jeremy Bretteville","K1H","119.58","416.73","548.82","Finale B"
"Jess Masson","K1H","119.87","-","552.54","Finale B"
"Niels Beaumont","K1H","124.02","478.76","605.75","Finale B"
"Dante Bourlet De La Vallee","K1H","127.3","795.34","647.8","Finale B"
"Sebastien Masseline","K1H","128.68","625.48","665.49","Finale B"
"Samuel Bonvalet","K1H","130.18","645.61","684.72","Finale B"
"Jerome Bourlet","K1H","131.24","704.33","698.31","Finale B"
"Axel Kottelanne","K1H","131.62","853.06","703.18","Finale B"
"Wilhelm Heimburger","K1H","132.05","566.94","708.69","Finale B"
"Alexis Pitres","K1H","132.74","473.45","717.54","Finale B"
"Tom Armand","K1H","133.99","1083.36","733.56","Finale B"
"Antoine Gossieaux","K1H","134.4","1229.51","738.82","Finale B"
"Gregoire Paillard","K1H","136.3","716.96","763.18","Finale B"
"Thomas Gossieaux","K1H","145.62","-","882.66","Finale B"
"Leo Demazeau","K1H","153.91","360.95","988.94","Finale B"
"Jacky Bachelot","K1H","156.68","-","1024.45","Finale B"
"Jules Charuel","K1H","160.62","-","1074.96","Finale B"
"Nicolas Villaume","K1H","214.81","-","1769.69","Finale B"
"Kilian Marais","K1H","269.18","-","2466.72","Finale B"
"Quentin Mannier","K1H","Abs","-","-","Finale B"
"Mathias Felix","K1HM","138.4","1195.96","790.1","Finale B"
"Thomas Perrier","K1HM","139.33","-","802.02","Finale B"
"Matteo Figueiredo Alves","K1HM","141.24","843.85","826.51","Finale B"
"Leo Leveque","K1HM","141.93","1241.38","835.35","Finale B"
"Thomas Leblond","K1HM","144.32","-","865.99","Finale B"
"Loan Guyomarch","K1HM","145.55","-","881.76","Finale B"
"Maxence Galy","K1HM","146.99","-","900.22","Finale B"
"Lucas Ferloni","K1HM","151.65","989.14","959.97","Finale B"
"Jason Leroy","K1HM","158.02","-","1041.63","Finale B"
"Leo Tellier","K1HM","211.45","-","1726.61","Finale B"
"Thomas Brunet","K1HM","260.02","-","2349.28","Finale B"
"Thomas Bertrand","K1HM","274.55","-","2535.56","Finale B"
"Bastien Bethembos","K1HM","Abs","-","-","Finale B"
