"Sélectif régional - St Pierre De Boeuf - 2010-09-26","Course 2","2010-09-26","Régional","349"
"Marianne Beaumont","K1D","192.73","499.79","701.59",""
"Carla Cerrutti - Bozzola","K1D","217.27","490.07","911.69",""
"Louise Seban","K1D","217.87","320.67","916.82",""
"Justine Traversa","K1D","227.79","386.45","1001.76",""
"Annie Ughetto","K1D","231.96","422.24","1037.46",""
"Nathalie Chapuis","K1D","236.27","365","1074.37",""
"Laura Ligeon","K1D","248.06","245.46","1175.3",""
"Caroline Incardona","K1D","262.75","371.67","1301.07",""
"Marion Gezequel","K1D","299.62","-","1616.74",""
"Leonie Gachon","K1D","309.7","-","1703.04",""
"Marie Boyer","K1D","324.93","660.14","1833.44",""
"Marine Tournier","K1D","326.56","675.08","1847.39",""
"Coline Vulliet","K1D","331.85","-","1892.68",""
"Zoe Chinal","K1D","375.23","-","2264.08",""
"Delphine Vandenberghe","K1D","506.94","-","3391.73",""
"Pavla Kasparova","K1D","Nt","-","-",""
"Claire Semelin","K1D","Nt","-","-",""
"Alice Rivoal","K1D","Nt","-","-",""
"Melanie Palazy","K1D","Nt","-","-",""
"Delphine Palmier","K1D","Nt","-","-",""
"Clementine Ageron","K1D","Nt","-","-",""
"Audrey Astier Perret","K1D","Nt","-","-",""
"Jimy Bercon","K1H","101.14","0","30",""
"Benoit Peschier","K1H","103.37","3","51.57",""
"Lukas Werro","K1H","106.08","92.38","77.79",""
"Yann Gudefin","K1H","106.24","5","79.34",""
"Jonathan Chapatte","K1H","106.48","95.99","81.66",""
"Thibaud Lacour","K1H","108.2","75.67","98.3",""
"Nicolas Abbal","K1H","109.81","53.33","113.88",""
"Cedric Bron","K1H","109.9","44.33","114.75",""
"Adrien Chabbey","K1H","110.07","86.33","116.39",""
"Kevin Schultz","K1H","110.54","92.33","120.94",""
"Romain Chabrol","K1H","110.58","63.67","121.33",""
"Martin Dougoud","K1H","110.98","64.67","125.2",""
"Virgile Pigache-donnet","K1H","111.08","73.33","126.17",""
"Remi Baudot","K1H","111.24","100.33","127.71",""
"Jeremy Lehning","K1H","111.5","78.33","130.23",""
"Jeremy Vibert","K1H","111.82","124.7","133.32",""
"Sebastien De Kerleau","K1H","112.14","118.99","136.42",""
"Tristan Bronsard","K1H","112.6","104.67","140.87",""
"Jeremy Wagner","K1H","113.68","119","151.32",""
"Bertrand Bercon","K1H","113.77","105","152.19",""
"Jean Philippe Winiarski","K1H","114.06","163.59","155",""
"Julien Haberland","K1H","114.13","18.33","155.67",""
"Charles Edouard Dherment","K1H","114.35","126.4","157.8",""
"Kendaor Le Huitou","K1H","114.44","77.33","158.67",""
"Maxime Faivre","K1H","114.72","138.33","161.38",""
"Vincent Gerdeaux","K1H","114.73","165.23","161.48",""
"Sylvain Dandel","K1H","114.9","119.16","163.12",""
"Boris Chenal","K1H","115.1","72.51","165.06",""
"Thibault Gibert","K1H","115.53","93.33","169.22",""
"Alexis Lozachmeur","K1H","115.71","196.11","170.96",""
"Pierre Bontoux","K1H","116.28","115.94","176.47",""
"Gregory Lebourgeois","K1H","116.34","157.35","177.05",""
"Pascal Ferry","K1H","116.78","115","181.31",""
"Emmanuel Moreau","K1H","116.86","177.33","182.09",""
"Enzo Seker","K1H","117","206.5","183.44",""
"Jonas Le Morvan","K1H","117.08","157.55","184.21",""
"Sebastien Lepaulard","K1H","117.17","174.92","185.08",""
"Thomas Neime","K1H","117.53","172.47","188.57",""
"Julien Jeanningros","K1H","117.9","196.07","192.15",""
"Edouard Grosjean","K1H","118.24","171.77","195.44",""
"Laurent Starck","K1H","118.39","183.33","196.89",""
"Loic Sieber","K1H","118.53","183.69","198.24",""
"Mathieu Haberland","K1H","118.74","89.33","200.27",""
"Emeric Vibert","K1H","118.77","166.62","200.56",""
"Quentin Moreaux","K1H","118.83","130","201.14",""
"Cyril Gisbert","K1H","118.91","191.67","201.92",""
"Willy Hugedet","K1H","119.21","136.33","204.82",""
"Alexandre Lismonde","K1H","119.76","158.33","210.14",""
"George Meysner","K1H","119.78","85.33","210.34",""
"Thibault Le Henaff","K1H","119.82","216.65","210.72",""
"Eric Labarelle","K1H","119.88","261.34","211.3",""
"Thomas Janeriat","K1H","119.94","261.25","211.88",""
"Valentin Grollemund","K1H","120.11","199.6","213.53",""
"Nicolas Detheve","K1H","120.29","186.45","215.27",""
"Gregoire Stigler","K1H","120.68","-","219.04",""
"Jeremy Poux","K1H","120.71","200","219.33",""
"Gary Allemann","K1H","120.78","200.67","220.01",""
"Cedric Mace","K1H","120.92","218","221.36",""
"Thomas Schmitt","K1H","121.06","163.01","222.72",""
"Armand Rakowski","K1H","121.12","194.33","223.3",""
"Jean Baptiste Thiel","K1H","121.12","183.53","223.3",""
"Frederic Blanrue","K1H","121.28","261.33","224.85",""
"Guillaume Gery","K1H","121.28","194.33","224.85",""
"Yannick Besse","K1H","121.34","132.67","225.43",""
"Remi Wolf","K1H","121.38","160.1","225.81",""
"Jan Kaspar","K1H","121.39","180.19","225.91",""
"Jean Messialle","K1H","121.7","126","228.91",""
"Matthieu Basset","K1H","121.71","144.33","229.01",""
"Quentin Raissac","K1H","121.75","238.92","229.39",""
"Thibault Gache","K1H","121.81","147.67","229.97",""
"Anthony Deschamps","K1H","121.86","182.43","230.46",""
"Nicolas Durand","K1H","121.98","248.55","231.62",""
"Nizar Samlal","K1H","122","161.67","231.81",""
"Adrien Tappero","K1H","122.21","218.38","233.84",""
"Maxime Le Henaff","K1H","122.33","187.67","235.01",""
"Loic Jeanningros","K1H","122.58","58.33","237.42",""
"Baptiste Provost","K1H","122.66","250.33","238.2",""
"Dimitri Durannot","K1H","122.83","215.68","239.84",""
"Olivier Hardonniere","K1H","122.89","185.04","240.42",""
"Theo Moquet","K1H","123.01","195","241.58",""
"Thomas Dandel","K1H","123.5","135.85","246.32",""
"Camille Sahuc","K1H","123.65","274.29","247.78",""
"Thibaut Bernot","K1H","123.85","223.28","249.71",""
"Davy Egraz","K1H","123.89","56","250.1",""
"Arthur Bernot","K1H","124.05","176.69","251.65",""
"Mathieu Dumoulin","K1H","124.14","-","252.52",""
"Mathieu Zorn","K1H","124.45","292.22","255.52",""
"Alexandre Allemang","K1H","124.52","328.32","256.19",""
"Pierre-adrien Vignal","K1H","124.86","204","259.48",""
"Antoine Beguer","K1H","125.16","253.95","262.38",""
"Marc Jegou","K1H","125.35","240.67","264.22",""
"Nicolas Pinot","K1H","125.53","294.9","265.96",""
"Anthony Colin","K1H","126.16","258.58","272.06",""
"Herve Gouard","K1H","126.3","254.33","273.41",""
"Clement Gourmelon","K1H","126.65","305.65","276.8",""
"Youcef Bahlat","K1H","126.69","224.63","277.19",""
"Leo Bernard","K1H","127.43","323.41","284.35",""
"Olivier Bourgey","K1H","127.69","218.83","286.86",""
"Paul Jean","K1H","127.87","289.42","288.6",""
"Romain Musy","K1H","128.12","206.67","291.02",""
"Maxime Le Morvan","K1H","128.15","305.24","291.31",""
"Lois Guillermond","K1H","128.2","206","291.8",""
"Hippolyte Brunier","K1H","128.7","250.52","296.63",""
"Benoit Parisato","K1H","128.93","332","298.86",""
"Yoann Mourier","K1H","128.93","240.33","298.86",""
"Guillaume Pit","K1H","129.08","247.97","300.31",""
"Julien Guillerault","K1H","129.09","276","300.41",""
"Alexis Reigne","K1H","129.27","316.83","302.15",""
"Sylvain Ferry","K1H","129.32","225","302.63",""
"Alexandre Montabonnet","K1H","129.4","268","303.4",""
"Sylvain Viallon","K1H","129.86","179.33","307.86",""
"Florent Lagorio","K1H","130.29","-","312.02",""
"Titouan Dupras","K1H","130.43","253.42","313.37",""
"Frederic Morand","K1H","130.56","207.22","314.63",""
"Fabian Crequi","K1H","130.72","374.6","316.18",""
"Ludovic Smal","K1H","130.77","286.49","316.66",""
"Sebastien Thevard","K1H","130.78","239.38","316.76",""
"Robin Dupras","K1H","131.01","234.89","318.98",""
"Morgan Merel","K1H","131.03","321.5","319.17",""
"Inouk Berguer","K1H","131.14","317.86","320.24",""
"Tom Jackson","K1H","131.21","301.07","320.92",""
"Jules Goutte-toquet","K1H","131.23","346.24","321.11",""
"William Gettliffe","K1H","131.46","278.44","323.33",""
"Hugues Parisse","K1H","131.67","379.7","325.37",""
"Guillaume Gonzalez","K1H","132.18","241.09","330.3",""
"Martin Rombi","K1H","132.31","-","331.56",""
"Pierre Rat","K1H","133.01","266.67","338.33",""
"Gabin Repellin","K1H","133.08","353.54","339.01",""
"Elie Miquel","K1H","133.28","-","340.94",""
"Clement Martin","K1H","133.92","311.09","347.13",""
"Jolan Konig","K1H","134.43","291.33","352.07",""
"Yan Labeye","K1H","134.66","317.93","354.29",""
"Alexis Cordier","K1H","134.72","280.58","354.87",""
"Xavier Rat","K1H","134.92","289.67","356.81",""
"Axel Kournwsky","K1H","135.08","-","358.36",""
"Marc Janeriat","K1H","135.15","332.78","359.03",""
"Emmanuel Triomphe","K1H","135.3","259.09","360.49",""
"Adrien Picco","K1H","136.67","340.67","373.74",""
"Simon Bonnet","K1H","136.69","208.46","373.93",""
"Liam Jegou","K1H","136.8","-","375",""
"Luka Neel","K1H","136.96","343.99","376.55",""
"Clement Rombi","K1H","137.12","273","378.09",""
"Antoine Potier","K1H","137.19","-","378.77",""
"Jimmy Peisey","K1H","137.58","499.31","382.54",""
"Vincent Rat","K1H","138.12","-","387.77",""
"Damien Ferraud","K1H","138.61","298.56","392.51",""
"Yoann Aupee","K1H","138.78","-","394.15",""
"Gilles Barthelemy","K1H","139.05","629.17","396.77",""
"Dariuch Bodin","K1H","139.29","370.67","399.09",""
"Gery Kautzmann","K1H","139.44","-","400.54",""
"Yann Burgod-derrier","K1H","140.36","321.16","409.44",""
"Valentin Bigonet","K1H","141.44","478.12","419.89",""
"Henrique Almeida","K1H","141.96","289","424.92",""
"Baptiste Podor","K1H","142.58","-","430.92",""
"Nolan Miton","K1H","142.6","504.49","431.11",""
"Vincent Maire","K1H","143.5","459.74","439.82",""
"Stephane Helle","K1H","144.64","460.33","450.85",""
"Thomas Denais","K1H","145.39","540.98","458.1",""
"Adrien Kaiser","K1H","146.28","335.48","466.71",""
"Jonathan Courduries","K1H","147.19","451.68","475.52",""
"Nathael Pajani","K1H","147.46","422.96","478.13",""
"Dylan Bard","K1H","148.25","424.33","485.77",""
"Marc Le Morvan","K1H","148.63","459.19","489.45",""
"Axel Aillet","K1H","148.88","593.48","491.87",""
"Pierre Alexandre Facon","K1H","149.08","355.36","493.8",""
"Sebastien Costa","K1H","149.17","-","494.67",""
"Antoine Montabonnet","K1H","150.88","436.76","511.22",""
"Arthur Gentes","K1H","151.57","432.48","517.89",""
"Julien Mayoux","K1H","151.78","563.74","519.92",""
"Claude Peschier","K1H","152.75","-","529.31",""
"Guillaume Affortit","K1H","153.01","431.26","531.82",""
"Anthony Oudot","K1H","154.02","409.34","541.59",""
"Mathias Guillot","K1H","154.63","677.35","547.5",""
"Alex Piotte","K1H","155.04","-","551.46",""
"Eric Danneyrolles","K1H","155.33","-","554.27",""
"Herve Valentin","K1H","158.88","436.95","588.61",""
"Alexandre Gambin","K1H","160.34","-","602.74",""
"Loic Bartolomeu","K1H","163.36","1000.4","631.96",""
"Manuel Starck","K1H","164.18","-","639.89",""
"Benoit Dubath","K1H","164.48","165.07","642.79",""
"Orion Ragnini","K1H","165.26","410.64","650.34",""
"Yannick Grizaud","K1H","168.15","-","678.3",""
"Jerome Urbanczyk","K1H","168.83","445","684.88",""
"Victorien Lombard","K1H","172.3","-","718.45",""
"Gregoire Cabaret","K1H","172.51","-","720.48",""
"Nicolas Caussanel","K1H","174.31","138","737.89",""
"Matthias Meyer","K1H","174.51","277.81","739.83",""
"Matteo Dardonville","K1H","175.38","-","748.24",""
"Theophile Gaillard","K1H","177.39","856.48","767.69",""
"Remy Beule Dauzat","K1H","187.75","701.33","867.92",""
"Julien Duclaux","K1H","190.85","-","897.91",""
"Sylvain Saigne","K1H","199.33","-","979.95",""
"Colas Geier","K1H","200.58","314.81","992.04",""
"Olivier Mercier","K1H","202.38","-","1009.46",""
"Alexis Migliaccio","K1H","205.38","-","1038.48",""
"Arturo Maeder","K1H","206.58","-","1050.09",""
"Jorys Plissot","K1H","233.17","389.51","1307.34",""
"Tristan Teulon","K1H","236.4","-","1338.59",""
"Aurelien Fualdes","K1H","255.53","440","1523.67",""
"Frederic Bordier","K1H","265.12","498.33","1616.44",""
"Louis Chabert","K1H","268.57","-","1649.82",""
"Philippe Esnault","K1H","270","197.33","1663.66",""
"Georges Rey","K1H","279.83","-","1758.76",""
"Emilien Senneret","K1H","280.14","638","1761.76",""
"Julien Burgat","K1H","315.2","-","2100.95",""
"Elie Miton","K1H","336.64","875.17","2308.37",""
"Jean-emile Couturier","K1H","341.37","-","2354.14",""
"Paul Beteille","K1H","463.82","824","3538.79",""
"Victor Lamy","K1H","Nt","-","-",""
"Vincent Polo","K1H","Nt","-","-",""
"Yohan Hervo","K1H","Nt","-","-",""
"Thomas Bersinger","K1H","Nt","-","-",""
