"Nationale 3 - Chateauneuf sur Cher - 2013-05-11","Course 1","2013-05-11","Nationale 3","263"
"Yves Bourhis","C1H","194.95","230.16","1066.22",""
"Thibaut Chadeyron","C1H","264.71","489.4","1733.66",""
"Lucas Di Martino","C1H","Nt","-","-",""
"Cyril Leblond","C1H","Nt","-","-",""
"Yoann Turowsky","C1H","Nt","-","-",""
"Jimmy Besson","C1H","Nt","-","-",""
"Bernard Santoro","C1H","Nt","-","-",""
"Adrien Reinard","C1H","Nt","-","-",""
"Nathan Hossin","C1H","Nt","-","-",""
"Antoine Roux-Gurgen Brun","C2H","116.42","158.39","264.24",""
"Pierre Hellard-Malo Quemeneur","C2H","124.23","258.29","335.57",""
"Julien Money-Joe-marie Abousleiman","C2H","134.52","216.07","429.55",""
"Basile Desclos-Victor Desclos-le Peley","C2H","140.36","250.35","482.87",""
"Paul Tallet Pinet-Nicolas Leconte","C2H","142.45","359.33","501.97",""
"Nicolas Boulesteix-Raphael Merlet","C2H","146.14","397.38","535.67",""
"Pierre Le Gall-Maxime Barrault","C2H","156.29","405.2","628.37",""
"Allan Cousset-Alexandre Lucas","C2H","206.16","392.34","1083.81",""
"Nino Louineau-Wilfried Truffy","C2H","211.1","552.92","1128.93",""
"Faysal Ali Zazou-Pierre Giudicelli","C2H","Nt","-","-",""
"Christophe Einsargueix-Sylvain Gaude","C2H","Nt","-","-",""
"Herve Clerc-Pierrealain Clerc","C2H","Nt","-","-",""
"Thomas Thieblemont-Lorene Scalbert","C2M","177.22","765.36","709.77",""
"Raphael Cuillerdier-Manon Moreau","C2M","258.55","618.58","1402.19",""
"Charlene Tabourin","K1D","130.28","260.44","359.23",""
"Adele Renard","K1D","130.97","219.68","365.37",""
"Pauline Richard","K1D","132.88","216.09","382.34",""
"Alice Lachaudru","K1D","133.87","231.95","391.15",""
"Emma Jacob","K1D","134.86","264.58","399.95",""
"Noa Bouchardon","K1D","135.39","268.62","404.66",""
"Oriane Pottier","K1D","136.22","215.24","412.05",""
"Sylviane Quemerais","K1D","137.09","209.33","419.78",""
"Jessica Joyau","K1D","137.53","345.62","423.68",""
"Elsa Cailhol","K1D","138.75","324.18","434.54",""
"Lea Grison","K1D","139.13","272.76","437.91",""
"Lucie Freyssinet","K1D","141.24","270.27","456.67",""
"Tifenn Van Delft","K1D","144.63","194.99","486.8",""
"Melanie Palazy","K1D","145.94","228.32","498.45",""
"Delia Forgues","K1D","149.48","311.31","529.93",""
"Lorene Scalbert","K1D","166.97","456.91","685.42",""
"Julie Dequeant","K1D","167.35","500.78","688.79",""
"Angele Picco","K1D","168.05","413.79","695.02",""
"Astrid Coste","K1D","177.79","402.69","781.61",""
"Violaine Vennin","K1D","182.8","273.98","826.16",""
"Oceane Mechinaud","K1D","210.15","454.23","1069.29",""
"Christine Le Gall","K1D","232.3","543.86","1266.21",""
"Barbara Lassechere","K1D","253.13","285.9","1451.4",""
"Anais Pignet","K1D","273.18","391.66","1629.65",""
"Melanie Connes-lessard","K1D","Nt","-","-",""
"Maud Sourbes","K1D","Nt","-","-",""
"Lou Galliot","K1D","Nt","-","-",""
"Elyn Besse","K1D","Nt","-","-",""
"Manon Moreau","K1D","Nt","-","-",""
"Alexandre Lucas","K1H","99.56","151.92","201.19",""
"Manuel Savels","K1H","102.62","138.99","231.92",""
"Jacques Precigout","K1H","103.15","189.82","237.25",""
"Adrien Picco","K1H","103.64","152.74","242.17",""
"Gaetan Drouin","K1H","103.75","145.74","243.28",""
"Maxence Auvray","K1H","104.55","163.13","251.31",""
"Julien Dosse","K1H","104.66","142","252.43",""
"Nicolas Ciemniewski","K1H","104.83","164.85","254.13",""
"Quentin Chauvin","K1H","104.95","152.2","255.33",""
"Jeanmichel Regnier","K1H","105.09","139.83","256.74",""
"Manuel Coquelin","K1H","105.59","148.21","261.77",""
"Pierre Hellard","K1H","105.75","147.84","263.37",""
"Vincent Garcia","K1H","105.89","132.63","264.78",""
"Allan Cousset","K1H","106.29","223.56","268.8",""
"Adrien Verite","K1H","106.3","174.27","268.9",""
"Dimitri Durannot","K1H","106.41","145.92","270",""
"Remi Vinet","K1H","106.69","160.6","272.82",""
"Julien Money","K1H","107.11","157.43","277.04",""
"Timothee Le Mort","K1H","107.21","163.07","278.04",""
"Nicolas Mignon","K1H","107.58","175.74","281.76",""
"Jacques Despierres","K1H","107.61","149.69","282.06",""
"Pierre Giudicelli","K1H","107.79","185.32","283.86",""
"Cyril Combreau","K1H","107.81","181.75","284.07",""
"Jordan Rocdunos","K1H","108.05","160.93","286.47",""
"Leo Fournier","K1H","108.09","145.17","286.88",""
"Pierre De La Morinerie","K1H","108.35","166.98","289.49",""
"Clement Le Moal","K1H","108.37","149.1","289.7",""
"Ludovic Gaignon","K1H","108.73","183.2","293.31",""
"Antoine Dumaye","K1H","108.9","229.43","295.02",""
"Etienne Chauvin","K1H","109","151.87","296.02",""
"Corentin Douady","K1H","109.35","213.73","299.54",""
"Morgan Le Friec","K1H","109.35","158.08","299.54",""
"Johann Loiseau","K1H","109.77","211.58","303.76",""
"Raphael Merlet","K1H","109.78","205.54","303.85",""
"Nathan Hossin","K1H","109.81","224.31","304.16",""
"Yoann Turowsky","K1H","109.84","135.16","304.46",""
"Hugues Moret","K1H","109.87","143.92","304.76",""
"Corentin Moriniaux","K1H","110.25","164.08","308.58",""
"Jerome Trousson","K1H","110.54","162.48","311.49",""
"Simon Seuru","K1H","110.75","137.75","313.61",""
"David Pordoy","K1H","110.79","216.24","314",""
"Arthur Chaumet","K1H","111.24","188.25","318.52",""
"Mathieu Delorme","K1H","111.56","179.74","321.73",""
"Antoine Delcourt","K1H","111.6","234.23","322.14",""
"Theo Lecomte","K1H","111.88","197.19","324.96",""
"Eadwin Famechon","K1H","111.97","213.93","325.86",""
"Francois Faguet","K1H","112.06","180.57","326.76",""
"Paul Fauchet","K1H","112.24","132.18","328.57",""
"Antonin Dalaine","K1H","112.74","171.45","333.6",""
"Theo Renaud","K1H","112.9","236.36","335.2",""
"Ronan Nedelec","K1H","112.9","193.52","335.2",""
"Hugo Guilleray","K1H","113.63","167.13","342.53",""
"Vincent Gourmel","K1H","113.75","180.57","343.74",""
"Ludovic Le Cointre","K1H","114.72","244.06","353.49",""
"Xavier Le Gallic","K1H","114.78","194.87","354.09",""
"Arthur Traquet","K1H","115.13","241.76","357.61",""
"Nathan Flageul","K1H","115.31","266.99","359.41",""
"Manuel Legros","K1H","115.63","243.22","362.63",""
"Joris Santoro","K1H","116.16","191.52","367.95",""
"Clement Brumont","K1H","116.51","271.3","371.47",""
"Quentin Sablayrolles","K1H","117.14","320.51","377.79",""
"Melaine Colin","K1H","117.49","216.86","381.31",""
"Vincent Pelgrin","K1H","117.72","292.62","383.63",""
"Pierre Dehaudt","K1H","117.75","269.09","383.92",""
"Matheo Lebaindre","K1H","118.07","303.92","387.14",""
"Theo Desvignes","K1H","118.2","262.53","388.44",""
"Francois Poirier","K1H","118.37","328.29","390.16",""
"Thibault Lefebvre","K1H","118.56","324.09","392.06",""
"Jerome Blanchet","K1H","118.6","258.68","392.46",""
"Jeremy Lecollinet","K1H","118.72","266.23","393.66",""
"Tom Le Goff","K1H","119.19","244.17","398.39",""
"Maxime Lignereux","K1H","119.24","155.79","398.9",""
"Alexandre Nesonson","K1H","119.5","443.42","401.51",""
"Victor Morisset","K1H","119.71","179.93","403.61",""
"Cyril Launay","K1H","119.72","270.23","403.71",""
"Jonathan De Coninck","K1H","119.98","248.48","406.32",""
"Nicolas Boulesteix","K1H","120.12","279.92","407.73",""
"Quentin Le Duc","K1H","120.36","310.89","410.15",""
"Lucas Soudi","K1H","120.4","241.26","410.55",""
"Thibaud Chevalier","K1H","120.64","266.82","412.95",""
"Thomas Thieblemont","K1H","120.77","363.48","414.26",""
"Nicolas Foulon","K1H","121.23","222.44","418.89",""
"Jules Reix","K1H","121.62","242.41","422.81",""
"Jean Baptsite Cans","K1H","121.68","309.95","423.41",""
"Maxime Barrault","K1H","121.75","232.16","424.11",""
"Louis Midy","K1H","121.9","278.09","425.61",""
"Kevin Wos","K1H","123.09","268.96","437.57",""
"Nathan Rene Corail","K1H","123.44","320.42","441.08",""
"Vincent Acou","K1H","123.73","244.32","444",""
"Anthony Randisi","K1H","123.87","279.89","445.41",""
"Florian Vinet","K1H","124.31","-","449.83",""
"Augustin Thomas","K1H","125.34","320.31","460.17",""
"Samuel Flament","K1H","126.45","328.08","471.33",""
"Charles Beaumont","K1H","126.71","-","473.94",""
"Gregoire Moury","K1H","127.02","296.2","477.05",""
"Jerome Saliou","K1H","127.17","327.83","478.56",""
"Fabien Leist","K1H","127.91","470.64","486",""
"Maxence Briand","K1H","127.94","255.07","486.29",""
"Alexandre Buchet","K1H","128.23","267.97","489.21",""
"Brice Guintard","K1H","128.39","375.27","490.81",""
"Lucas Lavit","K1H","129.11","347.85","498.05",""
"Thomas Le Gall","K1H","129.15","364.93","498.45",""
"Pablo Guillem","K1H","129.78","327.53","504.77",""
"Nicolas Leconte","K1H","129.93","338.16","506.28",""
"Paul Roubaud","K1H","130.27","523.08","509.7",""
"Martin Grezard","K1H","130.33","308.9","510.3",""
"Ollivier Paumier","K1H","130.48","358.46","511.81",""
"Axel Delage","K1H","130.88","526.52","515.83",""
"Nathaniel Levy","K1H","130.92","428.25","516.23",""
"Thibault Gautherot","K1H","130.93","318","516.33",""
"Raphael Cuillerdier","K1H","133.03","285.94","537.42",""
"David Couture","K1H","133.63","342.85","543.45",""
"Maxime Benay","K1H","134.19","479.89","549.08",""
"Pierre Louis Ferre","K1H","134.23","-","549.48",""
"Clement Bosc","K1H","134.46","329.94","551.8",""
"Benoit Jacquot-bertrand","K1H","135.89","202.83","566.16",""
"Nathan Dalaine","K1H","136.01","371.19","567.36",""
"Matthieu Demarty","K1H","136.42","386.28","571.48",""
"Quentin Famechon","K1H","137.7","401.1","584.34",""
"Luc Le Diouron","K1H","138.27","503.22","590.07",""
"Guillaume Affortit","K1H","139.66","196.99","604.03",""
"Paul Ballery","K1H","140.45","492.23","611.97",""
"Pioerre-calixte Gaydon-ohl","K1H","140.86","547.06","616.09",""
"Alex Piotte","K1H","141.11","199.4","618.6",""
"Pierrick Meheust","K1H","141.99","361.79","627.44",""
"Anthony Burgos","K1H","147.07","427.66","678.47",""
"Emilien Senneret","K1H","148.11","516.32","688.92",""
"Jean Christophe Olivo","K1H","149.3","400.7","700.88",""
"Nicolas Petipez","K1H","152.03","509.29","728.31",""
"Valentin Rault","K1H","152.7","560.22","735.03",""
"Morgan Hoarau","K1H","153.69","481.7","744.98",""
"Theo Ducasse","K1H","154.94","705.24","757.54",""
"Mathieu Cheze","K1H","155.49","171.96","763.06",""
"Romain Gaillard","K1H","157.97","169.32","787.98",""
"Pol Hamon","K1H","162.14","164.18","829.87",""
"Gijs Zoetbrood","K1H","163.1","223.79","839.52",""
"Alexandre Nardi","K1H","163.7","535.56","845.54",""
"Martin Belliot","K1H","167.17","155.6","880.4",""
"Gerard Lemonnier","K1H","167.72","508.51","885.93",""
"Romain Delpui","K1H","169.23","281.91","901.09",""
"Jeremy Tabourin","K1H","174.59","578.43","954.94",""
"Guillaume De Fierville","K1H","178.39","248.76","993.12",""
"Etienne Klatt","K1H","180.07","301.93","1009.99",""
"Quentin Gaule","K1H","184.39","518.62","1053.39",""
"Ludovic Couture","K1H","185.52","-","1064.74",""
"Marc Cailhol","K1H","189.29","359.29","1102.62",""
"Lucas Maurin","K1H","196.4","442.77","1174.05",""
"Steve Bruniquel","K1H","205.34","514.03","1263.86",""
"Guillaume Itou","K1H","215.69","271.2","1367.84",""
"Thierry Le Bonniec","K1H","226.08","614.31","1472.21",""
"Baptiste Podor","K1H","269.82","200.15","1911.63",""
"Gwenael Coadou","K1H","273.01","546.81","1943.67",""
"Luc Ciappara","K1H","314.02","-","2355.66",""
"Micael Rodriguez Alves Lato","K1H","449.83","378.6","3720.02",""
"Aurelien Dupreuilh","K1H","Nt","-","-",""
"Lucas Di Martino","K1H","Nt","-","-",""
"Florian Perdriau","K1H","Nt","-","-",""
"Anthony Broc","K1H","Nt","-","-",""
"Wilfried Truffy","K1H","Nt","-","-",""
"Jerome Muller","K1H","Nt","-","-",""
"Vincent Laulhe","K1H","Nt","-","-",""
"Jonas Mignard","K1H","Nt","-","-",""
"Flavien San Augustin","K1H","Nt","-","-",""
"Jules Chaumet","K1H","Nt","-","-",""
"Christophe Sorin","K1H","Nt","-","-",""
"Marc Laborde","K1H","Nt","-","-",""
"Florian Fargier","K1H","Nt","-","-",""
"Theo Celjo","K1H","Nt","-","-",""
"Christophe Einsargueix","K1H","Nt","-","-",""
"Julien Richard","K1H","Nt","-","-",""
"Pierrealain Clerc","K1H","Nt","-","-",""
"Stephane Debliquy","K1H","Nt","-","-",""
"Sylvain Gaude","K1H","Nt","-","-",""
"Antoine Beguer","K1H","Nt","-","-",""
"Herve Clerc","K1H","Nt","-","-",""
