"Sélectif régional d'Angouleme - Angouleme - 2003-10-12","Course 1","2003-10-12","Régional","157"
"Detollenaere Manon","K1D","263.56","-","533",""
"Niord Julie","K1D","266.25","-","551",""
"Blanloeuil Sandra","K1D","267.22","-","557",""
"Tessier Fanny","K1D","300.14","482","775",""
"Quesada Barbara","K1D","303.41","1113","796",""
"Quesada Maud","K1D","347.27","-","1086",""
"Muller Dominique","K1D","362.03","-","1184",""
"Delanette Ophélie","K1D","366.06","-","1211",""
"Lefevre Mathilde","K1D","373.42","-","1259",""
"Gauvin Adélaïde","K1D","373.94","-","1263",""
"Christophe Marechal","K1H","174.45","34","59",""
"Thibaud Delaunay","K1H","179.93","59","99",""
"Leproult Jonathan","K1H","182.45","114","117",""
"Dardilhac Anthony","K1H","183.24","130","123",""
"Cordonnier Raphael","K1H","184.25","108","131",""
"Yoann Gottardo","K1H","184.94","174","135",""
"Raphael Reveche","K1H","185.17","97","138",""
"David Riffaud","K1H","190.13","179","174",""
"Antoine Egreteau","K1H","190.72","235","178",""
"Nogues Tony","K1H","191.77","276","185",""
"Pascal Poitiers","K1H","191.78","205","185",""
"Chasseloup Christophe","K1H","196.69","274","221",""
"Maelstaf Jeremy","K1H","196.72","335","221",""
"Borde Stephane","K1H","196.79","267","222",""
"Olivier Mourasse","K1H","197.21","214","225",""
"Philippe Niquet","K1H","199.24","282","239",""
"Jean-francois Souville","K1H","202.05","255","260",""
"Stephane Labouille","K1H","202.05","323","260",""
"Paul Storez","K1H","203.21","390","268",""
"Delahaie Emmanuel","K1H","203.35","363","269",""
"Dubost Antoine","K1H","203.91","354","273",""
"Thibault Dufour","K1H","204.51","309","278",""
"Clement Praille","K1H","204.88","276","280",""
"Ducom Mathieu","K1H","205.98","331","289",""
"Charles Mangeard","K1H","206.03","-","289",""
"Deguil Alexandre","K1H","206.16","-","290",""
"Ludovic Di Nisi","K1H","206.45","-","292",""
"Thibaud Rottier","K1H","206.77","379","295",""
"Paul Brier","K1H","206.78","-","295",""
"Bouyat Alexandre","K1H","208.98","387","311",""
"Lecluse Arnaud","K1H","209.00","-","311",""
"Pomies Raphael","K1H","210.30","281","320",""
"Damien Caillon","K1H","210.50","414","321",""
"Barbier Julien","K1H","211.27","291","328",""
"Guillaume Chasseriault","K1H","212.14","-","334",""
"Julien Riffaud","K1H","212.68","-","337",""
"Yohann Courouble","K1H","213.26","435","342",""
"Philippe Metran","K1H","215.37","351","357",""
"Herry Yohan","K1H","216.39","402","365",""
"David Peigne","K1H","216.40","471","365",""
"Xavier Flatreau","K1H","217.11","362","370",""
"Olivier Tony","K1H","218.57","467","381",""
"Lac Germain","K1H","218.59","-","381",""
"Pierre Dehaudt","K1H","219.97","407","390",""
"Jean-noel Biteau","K1H","220.85","419","396",""
"Demouy Grégoire","K1H","220.90","1663","398",""
"Tristan Gaboriau","K1H","221.04","587","398",""
"Herve Launay","K1H","221.68","520","402",""
"Lionel Blank","K1H","222.83","449","411",""
"Merrant Yves Gabriel","K1H","222.99","503","412",""
"Sebastien Chauvet","K1H","223.87","-","419",""
"Feuillet Etienne","K1H","223.92","428","419",""
"Mouroux Jeff","K1H","224.57","430","424",""
"Benoit Couturier","K1H","227.74","700","447",""
"Gourdin Nicolas","K1H","227.83","1265","447",""
"Lucas Kelifaoui","K1H","228.72","-","454",""
"Cariou Benjamin","K1H","228.89","-","456",""
"Dupuy Julien","K1H","229.01","-","456",""
"Fallou Etienne","K1H","230.79","509","469",""
"Rolando Thomas","K1H","235.83","-","505",""
"Pierrealexis Gabriel","K1H","237.42","526","517",""
"Mariaux Sebastien","K1H","239.02","736","529",""
"Caillaud Adrien","K1H","239.02","-","529",""
"Duclos Maxime","K1H","239.36","710","532",""
"Marc Robert","K1H","239.62","-","533",""
"Rivet Martial","K1H","240.85","-","543",""
"Egreteau Thomas","K1H","241.02","-","544",""
"Coquet Florent","K1H","241.08","-","544",""
"Arthur Feraud","K1H","241.39","-","546",""
"Micouraud Yohan","K1H","241.75","1157","549",""
"De Teyssiere Thomas","K1H","242.24","-","552",""
"Jaffray Erwan","K1H","243.07","539","558",""
"Herve Maxime","K1H","243.11","868","558",""
"Etourneau Matthias","K1H","243.54","-","562",""
"Fayoux Pierrick","K1H","246.14","-","580",""
"Guerard Lucas","K1H","249.52","-","605",""
"Guillaume Scire","K1H","253.84","846","637",""
"Sellay Anthony","K1H","254.88","556","644",""
"Dutilloy Jonas","K1H","256.61","592","656",""
"Thibaud Soumagne","K1H","256.62","-","656",""
"Gatard Pierre","K1H","257.10","-","660",""
"Hocking William","K1H","257.12","-","660",""
"Emmanuel Despont","K1H","263.26","1516","705",""
"Carter Daniel Olivier","K1H","265.04","1667","718",""
"Maziere Bruno","K1H","265.38","-","720",""
"Marcelly Kevin","K1H","265.47","2798","721",""
"Tricot Marinko","K1H","265.85","-","724",""
"Mignotte Jean","K1H","273.79","-","782",""
"Colin Jean-Etienne","K1H","274.25","-","786",""
"Remy Faucon","K1H","275.00","346","790",""
"Vanboktael Xavier","K1H","280.24","1055","829",""
"Gerard Nicolas","K1H","287.04","-","877",""
"Dieusard Thomas","K1H","296.52","-","946",""
"Dubreuil Romain","K1H","331.34","-","1200",""
"Polle Emmanuel","K1H","342.64","-","1282",""
"Huet Sylvain","K1H","391.87","-","1640",""
"Julien Stephane","K1H","397.54","-","1681",""
"Muller Jean Michel","K1H","530.77","-","2649",""
