"SÈlectif RÈgional de Slalom - 22200 Guingamp - Qualification - 2020-01-19","Qualification","2020-01-19","RÈgional","113"
"Ewen Berrest","K1H","97.5","226.87","313.41",""
"Luc Hellard","K1H","98.53","204.42","326.91",""
"Yannis Houze","K1H","98.77","341.51","330.06",""
"Pierre Hellard","K1H","100.51","257.72","352.87",""
"Nathan Flageul","K1H","101.58","267.88","366.89",""
"Jonas Le Guen","K1H","102.76","369.71","382.36",""
"Clement Le Collinet","K1H","102.98","406","385.25",""
"Elouan Le Fournis","K1H","103.49","412.67","391.93",""
"Nicolas Bidault","K1H","104.32","437.66","402.81",""
"Lionel Tinevez","K1H","104.56","377.73","405.96",""
"Alan Olivo","K1H","104.97","403.3","411.33",""
"Laurent Le Touze","K1H","106.23","384.42","427.85",""
"Gwenael Marquer","K1H","106.65","423.71","433.36",""
"Clement Olivier","K1H","106.89","314.72","436.5",""
"Gwenole Noyalet","K1H","107.13","389.34","439.65",""
"Alan Le Goff","K1H","107.72","460.49","447.39",""
"Dante Bourlet De La Vallee","K1H","107.75","371.63","447.78",""
"Louis Brocard","K1H","107.89","1075.94","449.61",""
"Gurvan Huet","K1H","108.66","348.54","459.71",""
"Franck Delachair","K1H","109.78","310.78","474.39",""
"Benoit Ricard","K1H","111","481.16","490.38",""
"Alain Droniou","K1H","111.48","446.55","496.68",""
"Hugo Robert","K1H","111.55","479.21","497.59",""
"Adrien Le Collinet","K1H","111.69","457.05","499.43",""
"Adrien Brigant","K1H","114.03","472.01","530.11",""
"Stephane Gallerne","K1H","115.72","-","552.26",""
"Riwal Bourdoulous","K1H","116.31","728.29","560",""
"Juan Riu","K1H","116.56","523.81","563.27",""
"Hugo Guilleray","K1H","117.18","493.11","571.4",""
"Alexis Pernelle","K1H","117.35","1046.59","573.63",""
"Yoann Le Guyader","K1H","117.71","544.16","578.35",""
"Jeremy Lecollinet","K1H","120.55","-","615.58",""
"Milio Le Touze","K1H","121.4","535.86","626.72",""
"Romain Guillo","K1H","123.17","-","649.93",""
"Riwan Le Roy","K1H","124.37","786.53","665.66",""
"Ethan Robert","K1H","124.6","1047.39","668.67",""
"Erwann Le Jeune","K1H","126.24","647.63","690.17",""
"Jean Christophe Olivo","K1H","128.43","904","718.88",""
"Julien Pommerol","K1H","128.75","668.38","723.08",""
"Victor Robert","K1H","129.05","596.25","727.01",""
"Damien Guilloux","K1H","130.57","735.92","746.94",""
"Leo Vatant","K1H","132.77","-","775.78",""
"Timoth… Le Beuvant","K1H","137.47","849.92","837.39",""
"Yanis Milin","K1H","147.81","991.13","972.94",""
"Flavien Coutard","K1H","160.54","3895.83","1139.83",""
"Leo Le Druillennec","K1H","160.76","-","1142.71",""
"Ewen Fauque","K1H","207.53","1536.78","1755.84",""
"Yoann Le Corre","K1H","342.27","-","3522.2",""
"Romain Guyomard","K1H","Abs","-","-",""
"Brice Derrien","K1H","Abs","-","-",""
"Aurelien Le Duc","K1H","Abs","-","-",""
"Dorian Ollivier","K1H","Abs","-","-",""
"Samuel Piton","K1H","Abs","-","-",""
"Mathys Etendart","K1H","Des","-","-",""
"Florian Vincent","K1H","Abs","-","-",""
"Cesar Le Berder","K1H","Abs","-","-",""
"Martin Cornu","K1HM","103.25","316.3","388.79",""
"Julien Fournier","K1HM","118.23","695.63","585.17",""
"Madec Gezequel","K1HM","121.31","738.26","625.54",""
"Victor Julou","K1HM","122.88","706.32","646.12",""
"Zelio Goater","K1HM","124.19","950.76","663.3",""
"Celio Chevallier","K1HM","125.06","526.2","674.7",""
"Nathan Guilleray","K1HM","128.1","879.61","714.56",""
"Mat…o Delachair","K1HM","128.63","581.22","721.5",""
"Mael Thebault","K1HM","130.03","723.81","739.86",""
"Pierre Le Corvaisier","K1HM","134.73","-","801.47",""
"Mewen Coadou","K1HM","142.97","950.94","909.49",""
"Sohann Huet","K1HM","143.84","-","920.9",""
"Gurvan Piton","K1HM","145.28","-","939.78",""
"Noah Ropers","K1HM","150.21","-","1004.41",""
"Malik Mahe","K1HM","152.1","905.35","1029.18",""
"Loan Beaucourt","K1HM","157.4","1199.28","1098.66",""
"Luis Riu","K1HM","157.53","-","1100.37",""
"Marin Moreau","K1HM","199.12","-","1645.59",""
"Florian Manceau","K1HM","207.61","970.15","1756.89",""
"Ethan Renaud","K1HM","243.89","892.27","2232.5",""
"Amali Manteau","K1HM","406.24","-","4360.81",""
"Lenny Derrien","K1HM","Abs","-","-",""
