"Championnat RÈgional de Slalom - 16600 Ruelle Sur Touvre - Qualification - 2019-06-23","Qualification","2019-06-23","RÈgional","239"
"Malo Girardie","C1HM","153.35","-","800.46",""
"Paul Brochard","C1HM","155.62","1142.51","826.78",""
"Jules Rathier","C1HM","157.72","-","851.14",""
"Simon Francois","C1HM","163.51","-","918.28",""
"Geraud Gallais","C1HM","166.16","-","949.01",""
"Antonin Normandin","C1HM","190.05","-","1226.04",""
"Raphael Balsera","C1HM","190.79","-","1234.63",""
"Justinien Yvonnet-joubert","C1HM","199.61","-","1336.91",""
"Nathan Gibaud","C1HM","313.15","-","2653.57",""
"Romaric Ingremeau","C1HM","Abs","-","-",""
"Ronan Viroulaud-salle","C1HM","Abs","-","-",""
"Cerise Babin-Juliette Derouineau","C2D","151.44","663.41","440.57",""
"Clara Brard-Babette Ingenluyff","C2DM","176.12","-","671.74",""
"Suzel Cayrat-Adele Rambaldi","C2DM","185.65","-","761.01",""
"Christian Boob-Frederic Boob","C2H","119.1","339.59","340.5",""
"Louis Rathier-Titouan Conseil","C2H","120.52","410.05","356.22",""
"Dylan Sourbe-Zeph Scamps","C2H","126.03","-","417.21",""
"Clement Riera-Maxime Blondeau","C2H","130.71","620.46","469.01",""
"Edouard Patry-Marius Larenaudie-danton","C2H","153.1","-","716.86",""
"Lucas Deleplancque-Adrien Favennec","C2H","159.97","804.28","792.9",""
"Martin Thermidor-Theo Haulbert","C2H","164.14","-","839.06",""
"Simon Tourtois-Antoine Raby","C2H","223.62","-","1497.47",""
"Theo Suire-Baptiste Barat","C2H","Abs","-","-",""
"Hugo Pellissier-Antonin Normandin","C2HM","179.89","-","1013.4",""
"Simon Francois-Jules Mauget","C2HM","184","-","1058.9",""
"Mael Sicard-Geraud Gallais","C2HM","187.64","2453.59","1099.19",""
"Emilie Chamouleau-Christophe Marechal","C2M","126.94","774.83","310.18",""
"Frederic Boob-Frederique Merle","C2M","131.16","794.87","353",""
"Cerise Babin-Clement Brotier","C2M","133.66","454.71","378.37",""
"Pauline Clerc-Arnaud Caillet","C2M","139.82","552.14","440.88",""
"Alice Bureau-Gaspard Trichard","C2M","149.29","745.44","536.96",""
"Gabrielle Chenu-Jules Rathier","C2MM","172.51","-","772.57",""
"Laurine Salesse","K1D","111.61","218.3","224.78",""
"Zoe Waeles","K1D","117.4","351.66","287.18",""
"Frederique Merle","K1D","118.63","275.74","300.42",""
"Cerise Babin","K1D","119.66","325.17","311.53",""
"Perrine Joubert","K1D","119.77","250.24","312.71",""
"Emilie Chamouleau","K1D","120.1","383.01","316.27",""
"Cecile Grehan","K1D","122.17","399.59","338.57",""
"Carla Lacroix","K1D","123.13","279.97","348.92",""
"Youlia Estanguet","K1D","124.76","337.03","366.48",""
"Cindy Coat","K1D","125.71","362.02","376.72",""
"Juliette Derouineau","K1D","126.02","423.9","380.06",""
"Alice Bureau","K1D","127.9","439.38","400.32",""
"Laurence Pessoni","K1D","128.89","450.26","410.99",""
"Ana Thoraux","K1D","132.09","588.2","445.47",""
"Soline Delage","K1D","133.58","-","461.52",""
"Louise Turgis","K1D","142.09","647.71","553.22",""
"Daphnee Vuilleumier","K1D","143.52","662.75","568.63",""
"Stephanie Campas","K1D","155.84","-","701.38",""
"Noemie Genet","K1D","Abs","-","-",""
"Noeline Pierre","K1DM","127.78","469.28","399.03",""
"Oceane Sedrue","K1DM","128.72","459.53","409.16",""
"Elea Mathieu-noel","K1DM","129.27","505.63","415.08",""
"Avril Saut","K1DM","133.35","570.45","459.05",""
"Manon Joubert","K1DM","135.82","-","485.66",""
"Adele Rambaldi","K1DM","135.91","1011.79","486.63",""
"Rozmarina Estanguet","K1DM","135.98","704.26","487.38",""
"Gabrielle Chenu","K1DM","138.85","1051.71","518.31",""
"Melody Gireaud","K1DM","139.73","647.66","527.79",""
"Suzel Cayrat","K1DM","142.15","752.17","553.86",""
"Margot Zaninotto","K1DM","144.44","588.95","578.54",""
"Clara Brard","K1DM","148.48","723.14","622.07",""
"Maelle Gerbet","K1DM","154.66","1475.04","688.67",""
"Alice Daniels","K1DM","186.68","-","1033.71",""
"Jeanne Thermidor","K1DM","187.26","-","1039.95",""
"Charlotte Bouron","K1DM","192.8","-","1099.64",""
"Babette Ingenluyff","K1DM","197.7","892.74","1152.45",""
"Edgar Prigent","K1H","91.86","67.03","140.65",""
"Theo Desvignes","K1H","94.09","77.63","167.8",""
"Isaac Dufrene","K1H","94.76","68.37","175.96",""
"Tom Babin","K1H","96.7","110.92","199.58",""
"NaÀl Rajoub","K1H","96.87","268.4","201.65",""
"Cedric Landreau","K1H","97.02","242.01","203.48",""
"Zeph Scamps","K1H","97.77","184.51","212.61",""
"Pierre Giudicelli","K1H","98.96","68.95","227.1",""
"Baptiste Delemotte","K1H","99.33","255.79","231.6",""
"Sam Traquet","K1H","100.51","161.11","245.97",""
"Damien Launay","K1H","100.57","268.24","246.7",""
"Christophe Marechal","K1H","102.01","196.81","264.24",""
"Adrien Pardoux","K1H","102.52","311.41","270.45",""
"Titouan Conseil","K1H","102.79","294.42","273.73",""
"Fantin Delage-garez","K1H","104.19","296.49","290.78",""
"Louis Rathier","K1H","105.84","413.34","310.87",""
"Anthony Roux","K1H","106.16","1316.6","314.77",""
"Thibault Dufour","K1H","106.37","319.26","317.33",""
"Adrien Mesmoudi","K1H","106.45","225.66","318.3",""
"Dylan Sourbe","K1H","106.5","216.09","318.91",""
"Nathan Hossin","K1H","106.55","263.83","319.52",""
"Antoine Roux","K1H","106.72","353.84","321.59",""
"Quentin Robert","K1H","107.16","358.65","326.94",""
"Matt…o Rainaud","K1H","107.79","405.69","334.62",""
"Julien Doumecq","K1H","108.88","382.39","347.89",""
"Benjamin Georges","K1H","108.9","458.2","348.13",""
"Clement Riera","K1H","109.15","434.95","351.18",""
"Owen Merpillat","K1H","109.43","394.27","354.58",""
"Maxime Blondeau","K1H","109.74","334.47","358.36",""
"Edouard Patry","K1H","110.05","426.06","362.13",""
"Simon Tourtois","K1H","111.62","390.95","381.25",""
"Thibault Marque","K1H","111.94","478.11","385.15",""
"Dyclan Plessis","K1H","111.97","430.85","385.51",""
"Adrien Ricaud","K1H","112.25","444.34","388.92",""
"Matt Vidou","K1H","112.58","449.96","392.94",""
"Emeric Nieser","K1H","113.4","446.51","402.92",""
"Christophe Billaud","K1H","114.19","486.79","412.54",""
"Olivier Cain","K1H","114.39","384.76","414.98",""
"Antoine Raby","K1H","115.17","342.09","424.48",""
"Tristan Ruiz","K1H","116.33","437.1","438.6",""
"Raphael Grehan","K1H","116.73","785.39","443.47",""
"Clement Brotier","K1H","117.36","443.27","451.14",""
"Aurele Neveu","K1H","119.01","469.13","471.23",""
"Gaspard Trichard","K1H","122.25","567.41","510.69",""
"Nicolas Cappy","K1H","122.69","466.48","516.04",""
"Adrien Favennec","K1H","122.95","528.24","519.21",""
"Mathys Maniet","K1H","123.86","530.78","530.29",""
"Lucas Deleplancque","K1H","124.86","655.15","542.47",""
"Mael Verheyde","K1H","125.3","-","547.82",""
"Tom Delens","K1H","125.3","345.82","547.82",""
"Malo Fevin","K1H","125.78","571.68","553.67",""
"Etienne Lewkowiez","K1H","126.38","-","560.97",""
"Martin Thermidor","K1H","128.89","887.08","591.54",""
"Theo Suire","K1H","130.52","-","611.38",""
"Jean Luc Pessoni","K1H","134.43","690.96","658.99",""
"Killian Dal-cin","K1H","134.46","734.01","659.36",""
"Clement Turgis","K1H","135.1","921.78","667.15",""
"Baptiste Le Gal-dutheil","K1H","135.87","875.99","676.53",""
"Theo Papin","K1H","140.62","-","734.36",""
"Baptiste Barat","K1H","143.38","-","767.97",""
"Thierry Dugue","K1H","147.23","1103.19","814.85",""
"Louison Masse","K1H","148.7","835.67","832.75",""
"Sylvain Pellegrin","K1H","164.33","1551.7","1023.07",""
"Tristan Gueguen","K1H","165.72","-","1039.99",""
"Dominique Gireaud","K1H","190.2","1495.1","1338.07",""
"Loœck Vidal","K1H","242.39","1124","1973.55",""
"Jonathan Bourdier","K1H","Abs","-","-",""
"Florient Charmillon","K1H","Abs","-","-",""
"Hugues Lesimple","K1H","Abs","-","-",""
"Sebastien Larenaudie","K1H","Abs","-","-",""
"Arthur Huet","K1H","Abs","-","-",""
"Quentin Bonniol","K1H","Abs","-","-",""
"Tom Charles","K1H","Abs","-","-",""
"Niels Comte","K1HM","111.33","531.99","377.72",""
"Benjamin Roy","K1HM","116.83","771.15","444.69",""
"Hicham Domti","K1HM","117.5","590.04","452.85",""
"Nolann Lacoudre","K1HM","118.36","794.02","463.32",""
"Theo Haulbert","K1HM","126.75","917.8","565.48",""
"Axel Plumereau","K1HM","128.27","644.69","583.99",""
"Hugo Pellissier","K1HM","128.46","918.33","586.3",""
"Paul Brochard","K1HM","128.58","818.02","587.76",""
"Lorys Autin","K1HM","129.13","725.34","594.46",""
"Jonah Hanrahan","K1HM","129.17","762.99","594.95",""
"Amaury Sokolik","K1HM","129.29","749.65","596.41",""
"Malo Girardie","K1HM","130.93","635.93","616.38",""
"Marius Larenaudie-danton","K1HM","132.7","634.38","637.93",""
"Geraud Gallais","K1HM","136.06","880.04","678.84",""
"Simon Francois","K1HM","136.75","1416.15","687.24",""
"Jules Rathier","K1HM","138.85","-","712.81",""
"Mathis Gomez","K1HM","140.06","1892.11","727.55",""
"Ronan Viroulaud-salle","K1HM","141.96","1189.9","750.68",""
"Camille Luciotto Ribeiro","K1HM","143.6","1044.08","770.65",""
"Alexandre Lambert","K1HM","146.92","1119.22","811.08",""
"Louis Labarthe","K1HM","146.93","1253.26","811.2",""
"Xavier Pelliser","K1HM","147.45","879.56","817.53",""
"Jules Mauget","K1HM","147.68","-","820.33",""
"Justinien Yvonnet-joubert","K1HM","150.66","-","856.61",""
"Antonin Normandin","K1HM","152.08","1698.81","873.91",""
"Johan Massavie","K1HM","158.55","-","952.69",""
"Raphael Balsera","K1HM","169.85","-","1090.28",""
"Mael Sicard","K1HM","197.49","1915.81","1426.83",""
"Nathan Gibaud","K1HM","245.88","-","2016.04",""
