"Sélectif Régional de Slalom - Stade D'eaux Vives De Servon sur vilaine (la Mecque-1) - Finale - 2017-10-15","Finale","2017-10-15","Régional","255"
"Herve Busson","K1H","125.24","233.11","328.08","Finale A"
"Denis Guilmard","K1H","125.42","275.75","329.94","Finale A"
"Maxime Jean","K1H","126.49","312.7","341.04","Finale A"
"Lorin Dumont","K1H","126.99","265.23","346.22","Finale A"
"Melaine Pichard","K1H","127.48","285.21","351.3","Finale A"
"Cedric Jegouzo","K1H","127.64","237.39","352.96","Finale A"
"Nicolas Maurel","K1H","128.06","-","357.31","Finale A"
"Gregory Metayer","K1H","129.31","307.36","370.27","Finale A"
"Thibaud Chevalier","K1H","129.45","339","371.72","Finale A"
"Samuel Le Dean","K1H","129.68","325.2","374.11","Finale A"
"Samuel Vallienne","K1H","130.41","385.18","381.68","Finale A"
"Simon Seuru","K1H","131.02","366.73","388","Finale A"
"Maxime Berthaut","K1H","131.04","365.64","388.21","Finale A"
"Pierre Yves Tanguy","K1H","131.13","376.26","389.14","Finale A"
"Lubin Huet","K1H","131.15","390.27","389.35","Finale A"
"Romain Bruneau","K1H","132.54","374.2","403.76","Finale A"
"Brice Merienne","K1H","134.77","-","426.88","Finale A"
"Adrien Pierre","K1H","135.61","446.35","435.58","Finale A"
"Emmanuel Cosse","K1H","136.11","363.8","440.77","Finale A"
"Pierre Giudicelli","K1H","161.98","104.74","708.96","Finale A"
"David Mingasson","K1H","164.51","168.59","735.19","Finale A"
"Nicolas Bernardy","K1H","165.77","142","748.26","Finale A"
"Antoine Hirbec","K1H","168.27","-","774.17","Finale A"
"Loan Queffelec","K1H","170.04","221.74","792.52","Finale A"
"Lucas Soudi","K1H","173.81","328.64","831.61","Finale A"
"Aubry Bertin","K1H","272.17","252.55","1851.31","Finale A"
"Mewen Debliquy","K1HM","133.42","418.61","412.88","Finale A"
"Julien Mizzi","K1HM","134.45","482.15","423.56","Finale A"
"Titouan Castryck","K1HM","135.31","365.68","432.47","Finale A"
"Armand Fougere","K1HM","136.7","399.2","446.89","Finale A"
"Nathan Corfmat","K1HM","140.48","494.14","486.07","Finale A"
"Max Derame","K1HM","141.5","489.4","496.65","Finale A"
"Noe Gorvo","K1HM","144.34","756.23","526.09","Finale A"
"Tom Marchand","K1HM","146.59","667.28","549.42","Finale A"
"Rafael Lerusse","K1HM","148.86","542.13","572.95","Finale A"
"Romain Margerie","K1HM","149.1","679.21","575.44","Finale A"
"Corentin Beaumois","K1HM","150.19","622.71","586.74","Finale A"
"Thomas Heslouis","K1HM","151.99","720.74","605.4","Finale A"
"Matisse Anfray","K1HM","153.94","744.79","625.61","Finale A"
"Matheo Morin","K1HM","180.62","772.23","902.21","Finale A"
"Alice Azam","C1D","155.44","390.17","377.58","Finale B"
"Maela Le Corre","C1D","162.63","-","439.7","Finale B"
"Lou Boisnard","C1D","167.98","-","485.92","Finale B"
"Jann Le Corre","C1D","176.18","526.83","556.77","Finale B"
"Emma Chevallier","C1D","Abs","-","-","Finale B"
"Arthur Mizzi","C1H","139.12","-","408.29","Finale B"
"Gaspard Perrio","C1H","140.12","319.56","418.17","Finale B"
"Lorin Dumont","C1H","143.88","435.23","455.3","Finale B"
"Medhi Deguil","C1H","144.81","338.63","464.47","Finale B"
"Florian Lohezic","C1H","147.95","501","495.48","Finale B"
"Anthony Drouhin","C1H","149.96","-","515.32","Finale B"
"Guillaume Caron","C1H","152.23","465.48","537.73","Finale B"
"Thibault Lamour","C1H","154.5","513.96","560.15","Finale B"
"Louis Beaumois","C1H","157.31","567.77","587.89","Finale B"
"Regis Navinel-dubois","C1H","165.63","686.79","670.04","Finale B"
"Thomas Salch","C1H","166.97","622.6","683.27","Finale B"
"Elouan Pennors","C1H","169.64","644.83","709.63","Finale B"
"Yannick Courtay","C1H","169.91","635.46","712.3","Finale B"
"Herve Busson","C1H","Abs","-","-","Finale B"
"Thomas Heslouis","C1HM","169.68","-","710.02","Finale B"
"Armand Fougere","C1HM","173.46","812.88","747.35","Finale B"
"Corentin Beaumois","C1HM","183.33","-","844.8","Finale B"
"Nino Poisson","C1HM","196.5","-","974.83","Finale B"
"Tristan Lacroix","C1HM","214.88","-","1156.31","Finale B"
"Martin Dubois-Simon Cognard","C2H","162.75","-","568.57","Finale B"
"Samuel Le Dean-Guillaume Maillot","C2H","163.74","573.77","577.9","Finale B"
"Florian Lohezic-Joris Hello","C2H","169.12","-","628.59","Finale B"
"Gaston Guilmard-Matheo Coquel","C2H","176.68","-","699.84","Finale B"
"Adrien Pierre-Louis Beaumois","C2H","182.35","-","753.29","Finale B"
"Elodie Morin - SÉrot","K1D","158.68","-","490.5","Finale B"
"Enora Bronsard","K1D","160.44","509.56","506.64","Finale B"
"Jann Le Corre","K1D","160.82","369.91","510.14","Finale B"
"Elena Spindler","K1D","164.96","-","548.11","Finale B"
"Marie-francoise Prigent","K1D","165.61","447.69","554.08","Finale B"
"Pauline Guenery","K1D","166.81","483.75","565.08","Finale B"
"CloÉ Curti","K1D","169.98","1300.3","594.17","Finale B"
"Zoe Marchand","K1D","186.4","619.34","744.82","Finale B"
"Oceane Nicolas","K1D","187.22","-","752.33","Finale B"
"Lucie Lemetayer","K1D","192.43","699.04","800.14","Finale B"
"Emma Chevallier","K1D","244.26","-","1275.64","Finale B"
"Auria Lamande","K1D","244.64","-","1279.13","Finale B"
"Maina Maligorne","K1DM","156.56","-","471.05","Finale B"
"Claire Chaussadas","K1DM","169.78","636.92","592.34","Finale B"
"Chan Bessuejouls","K1DM","170.89","1107.52","602.52","Finale B"
"Sebastien Routhier","K1H","119.03","247.15","268.7","Finale B"
"Valentin Marteil","K1H","126.36","-","344.69","Finale B"
"Elias Blais","K1H","129.08","428.06","372.89","Finale B"
"Thomas Brochard","K1H","129.63","291.08","378.59","Finale B"
"GaËtan De Greef","K1H","129.72","390.59","379.52","Finale B"
"Thibault Lamour","K1H","132.94","392.44","412.9","Finale B"
"Corentin Makosso","K1H","133.66","407.86","420.37","Finale B"
"Gaston Guilmard","K1H","134.06","423.37","424.52","Finale B"
"Clement Collardez","K1H","134.52","406.15","429.28","Finale B"
"Leo Grollier","K1H","135.74","392.57","441.93","Finale B"
"Yann Le Bourser","K1H","136.61","341.35","450.95","Finale B"
"Fabien Dulyse","K1H","137.39","432.21","459.04","Finale B"
"Vincent Torzec","K1H","137.67","438.89","461.94","Finale B"
"Stephane Debliquy","K1H","138.72","371.88","472.83","Finale B"
"Aubin Davaic","K1H","139.6","473.97","481.95","Finale B"
"Alexandre Fafin","K1H","139.95","460.03","485.58","Finale B"
"Louis Beaumois","K1H","140.54","489.82","491.69","Finale B"
"Malo Hery","K1H","141.62","459.77","502.89","Finale B"
"Loic Froissard","K1H","141.98","440.02","506.62","Finale B"
"Alexis Carpentey","K1H","142.47","523.05","511.7","Finale B"
"Regis Navinel-dubois","K1H","142.78","495.41","514.92","Finale B"
"Yann Curti","K1H","142.89","506.36","516.06","Finale B"
"Elouan Pennors","K1H","142.9","492.13","516.16","Finale B"
"Bastien Demorieux","K1H","143.39","-","521.24","Finale B"
"Thibault Ravarino","K1H","143.88","-","526.32","Finale B"
"Romain Malard","K1H","143.94","477.84","526.94","Finale B"
"Younes Kismi","K1H","144.47","459.98","532.44","Finale B"
"Tom Lallican","K1H","145.81","722.31","546.33","Finale B"
"Jean Yves Prigent","K1H","146.07","469.39","549.02","Finale B"
"Matheo Coquel","K1H","147.28","407.78","561.57","Finale B"
"Mael Le Goff","K1H","147.42","479.67","563.02","Finale B"
"Glen Le Meur","K1H","148.95","497.32","578.88","Finale B"
"Antoine Aubert","K1H","149.23","582.95","581.78","Finale B"
"Baptiste Madic","K1H","149.97","599.01","589.46","Finale B"
"Deverig Cardiec","K1H","152.54","535.13","616.1","Finale B"
"Valentin Soullard","K1H","153.52","551.6","626.26","Finale B"
"Tom Milon","K1H","156.98","619.58","662.13","Finale B"
"Victor Perebaskine","K1H","158.81","-","681.1","Finale B"
"Christian Le Parc","K1H","159","685.73","683.07","Finale B"
"Pierre Rochon","K1H","160.75","622.94","701.21","Finale B"
"Matheo Courgeon","K1H","161.27","948.19","706.6","Finale B"
"Christian Belouin","K1H","162.26","659.87","716.87","Finale B"
"Pierre Zeo","K1H","162.29","717.4","717.18","Finale B"
"Fabiano Roma","K1H","166.16","-","757.3","Finale B"
"Gerard Lemonnier","K1H","168.68","700.88","783.42","Finale B"
"Charles Depontieu","K1H","169.06","-","787.36","Finale B"
"Benjamin Pagerie","K1H","169.36","749.83","790.47","Finale B"
"Bertrand Henot","K1H","173.44","-","832.77","Finale B"
"Clement Ezanno","K1H","173.74","1677.94","835.88","Finale B"
"Tudual Telbois","K1H","176.96","805.82","869.26","Finale B"
"Hugo Quistrebert","K1H","177.7","-","876.93","Finale B"
"Simon Murzeau","K1H","178.84","-","888.75","Finale B"
"Thibaut Nohe","K1H","194.31","-","1049.13","Finale B"
"Oderic Mahieu Eyraud","K1H","199.77","-","1105.74","Finale B"
"Antoine Dehennault","K1H","202.79","1750.37","1137.04","Finale B"
"Amaury Bioteau","K1H","203.25","725.76","1141.81","Finale B"
"Killian Emery","K1H","216.77","-","1281.98","Finale B"
"Gwendal Le Calvez","K1H","233.28","-","1453.14","Finale B"
"Jean-christophe Dubois","K1H","Abs","-","-","Finale B"
"Mathieu Menier","K1H","Abs","-","-","Finale B"
"Alexandre Bourliaud","K1H","Abs","-","-","Finale B"
"Logan Toubel","K1HM","157.97","793.21","672.39","Finale B"
"Nino Simon","K1HM","160.41","818.21","697.69","Finale B"
"Nino Poisson","K1HM","160.9","-","702.77","Finale B"
"Mael Calvez","K1HM","168.28","-","779.28","Finale B"
"Theodore Mahyaoui","K1HM","171.49","-","812.56","Finale B"
"Tristan Lacroix","K1HM","176.73","-","866.88","Finale B"
"Charly Maherault","K1HM","177.69","-","876.83","Finale B"
"Ambroise Perier","K1HM","203.75","-","1147","Finale B"
"Paul Perret","K1HM","206.98","-","1180.48","Finale B"
"Nolann Maudet","K1HM","210.85","-","1220.6","Finale B"
"Cyriaque Sorin","K1HM","225.77","-","1375.28","Finale B"
"Ismail Moumin","K1HM","232.93","-","1449.51","Finale B"
"Steeve Protais","K1HM","260.54","-","1735.74","Finale B"
