"CHAMPIONNAT DE BRETAGNE - Cesson Sévigné - 2005-04-02","Course 1","2005-04-02","Régional","223"
"Clothilde Rocher","K1D","268.11","275","309",""
"Kristell Bervet","K1D","278.37","332","358",""
"Annabelle Garnier","K1D","279.88","358","365",""
"Laetitia Odermatt","K1D","280.59","329","368",""
"Fouille Aline","K1D","280.71","340","369",""
"Melina Letellier","K1D","284.27","206","385",""
"Rocher Laura","K1D","287.23","398","399",""
"Pauline Soenen","K1D","293.78","302","430",""
"Josepha Longa","K1D","293.98","361","431",""
"Julie Quesne","K1D","304.55","413","479",""
"Zoungrana Annececile","K1D","304.75","386","480",""
"Gallot Lavallee Edith","K1D","309.89","428","505",""
"Sabri Myriam","K1D","312.93","480","519",""
"Claire Pichon","K1D","316.16","553","534",""
"Chevalier Yvane","K1D","320.17","479","553",""
"Deborah Larsonneur","K1D","322.44","524","563",""
"Camille Le Coq","K1D","326.74","715","583",""
"Reveillere Fleur Anne","K1D","327.93","680","589",""
"Le Bourser Magali","K1D","333.15","520","613",""
"Aziliz Le Paih","K1D","334.80","544","621",""
"Bertho Laura","K1D","336.62","563","630",""
"Charlene Le Corvaisier","K1D","347.21","404","678",""
"Breton Enora","K1D","356.15","762","720",""
"Sarah Despres","K1D","370.47","283","787",""
"Ferec Caroline","K1D","373.90","577","803",""
"Logan Lucy","K1D","374.62","-","806",""
"Natacha Richer","K1D","393.55","810","895",""
"Aurelie Le Fee","K1D","456.60","727","1189",""
"Cyrielle Pichard","K1D","535.22","637","1556",""
"Benoit Guillaume","K1H","198.83","134","108",""
"Matthieu Le Gall","K1H","199.25","38","110",""
"Sebastien Combot","K1H","199.64","66","112",""
"Erwan Cadio","K1H","201.37","94","120",""
"Thomas Masuy","K1H","201.43","113","121",""
"Nicolas Veillard","K1H","204.34","95","137",""
"Herve Busson","K1H","208.58","140","159",""
"Sullivan Porcher","K1H","209.46","107","163",""
"Mathieu Le Gal","K1H","210.35","83","168",""
"Sarazin Emmanuel","K1H","211.20","140","173",""
"Nicolas Coudert","K1H","212.00","78","177",""
"Laurent Rigaud","K1H","212.38","157","178",""
"Benoit Letellier","K1H","212.53","126","179",""
"Yoann Hautecloche","K1H","212.63","146","180",""
"Edern Le Ruyet","K1H","212.84","272","181",""
"Simon Despres","K1H","213.66","153","185",""
"Anthony Cadoret","K1H","217.81","180","208",""
"Pierre Marie Roussel","K1H","218.32","162","210",""
"Nicolas Carduner","K1H","218.38","143","211",""
"Adrien Ferec","K1H","219.37","127","215",""
"Christophe Le Mercier","K1H","219.37","173","215",""
"Kevin Gouabault","K1H","219.45","179","216",""
"Franck Delachair","K1H","219.91","191","218",""
"Jerome Le Hegarat","K1H","220.23","157","220",""
"Beaudoin Fabien","K1H","220.45","177","221",""
"Alain Droniou","K1H","221.18","191","225",""
"Lionel Tinevez","K1H","221.29","184","226",""
"Jerome Mainguy","K1H","221.43","231","226",""
"Julien Brouzes","K1H","221.47","231","227",""
"Berthe Christophe","K1H","221.72","172","228",""
"Brieuc Cadic","K1H","221.91","248","229",""
"Denis Voisin","K1H","223.34","-","237",""
"Vivien Colober","K1H","223.44","254","237",""
"Romain Guyomard","K1H","223.62","297","238",""
"Erwan Le Pen","K1H","223.66","231","238",""
"Regnier Jeanmichel","K1H","225.49","-","247",""
"Gardan Benjamin","K1H","226.32","273","252",""
"Goulwen Chapelier","K1H","226.57","155","253",""
"Gwenael Marquer","K1H","227.55","229","259",""
"Melaine Pichard","K1H","228.42","262","263",""
"Reveillere Pierrick","K1H","228.68","242","265",""
"Ludovic Gloaguen","K1H","228.81","199","265",""
"Benjamin Thiboust","K1H","230.02","234","272",""
"Jeremy Froger","K1H","230.26","315","273",""
"Lebreton Simon","K1H","230.35","277","274",""
"Jeremy Poux","K1H","230.69","209","276",""
"Valentin Brindeau","K1H","231.30","327","278",""
"Emmanuel Cosse","K1H","233.33","233","289",""
"Jean Yves Prigent","K1H","234.72","266","297",""
"Piton Romain","K1H","234.94","213","298",""
"Anthony Thuillier","K1H","235.16","268","299",""
"Guigo Luc","K1H","235.28","190","300",""
"Le Pesquer Yann","K1H","235.47","207","301",""
"Patrick Jegou","K1H","235.51","303","301",""
"Guillaume Huppert","K1H","235.54","303","301",""
"Nicolas Pinot","K1H","236.94","333","309",""
"Romain Richard","K1H","237.12","303","309",""
"Rosnarho Tanguy","K1H","238.22","350","315",""
"Fouquart Thierry","K1H","238.24","257","315",""
"Debray Damien","K1H","238.25","319","315",""
"Rossignol Yves","K1H","238.65","331","317",""
"Vincent Gourmel","K1H","238.91","270","318",""
"David Despierres","K1H","241.15","327","330",""
"Pierre Yves Tanguy","K1H","242.32","331","337",""
"Marrec Loic","K1H","243.14","402","341",""
"Le Garrec Julien","K1H","243.49","308","342",""
"Erwan Desbordes","K1H","243.75","289","344",""
"Guillotin Simon","K1H","243.79","-","344",""
"Corbeau Benjamin","K1H","244.20","331","346",""
"Pierre Le Clezio","K1H","244.53","368","348",""
"Chaumier Florian","K1H","245.36","331","352",""
"Pannetier Brice","K1H","246.56","354","359",""
"Martin Fabien","K1H","247.59","-","364",""
"Paul Fievet","K1H","248.61","356","370",""
"Benoit Lepage","K1H","249.83","50","376",""
"Pierre-yves Lebreton","K1H","249.93","363","376",""
"Vincent Salmon","K1H","251.45","401","384",""
"Hoel Carnot","K1H","256.82","389","413",""
"Fabien Le Nechet","K1H","257.99","344","419",""
"Fabien Le Bourser","K1H","259.32","443","426",""
"Garzuel Erwan","K1H","261.85","479","440",""
"Priol Yoann","K1H","263.89","483","450",""
"Descheres Erwan","K1H","264.16","466","451",""
"Lefort David","K1H","265.19","430","457",""
"Solen Le Bourles","K1H","265.25","434","457",""
"Didier Rouet","K1H","265.33","405","458",""
"Olivier Cornu","K1H","267.04","389","467",""
"Prigent Mathieu","K1H","267.42","426","469",""
"Charles Kerbellec","K1H","272.61","355","496",""
"Houel Nicolas","K1H","273.37","528","500",""
"Alexandre Plouzeau","K1H","273.51","434","501",""
"Le Bihan Yann","K1H","274.52","492","506",""
"Sinquin Gwenael","K1H","275.11","446","509",""
"Pierrick Meheust","K1H","275.45","542","511",""
"Melaine Caurant","K1H","276.73","512","518",""
"Verre Brendan","K1H","279.39","512","532",""
"Froger Alexandre","K1H","282.81","526","550",""
"Baradel Yann","K1H","283.40","-","553",""
"Emmanuel L'anton","K1H","283.94","-","556",""
"Frederi Mahieu","K1H","285.83","472","566",""
"William Basset","K1H","287.37","512","573",""
"Le Strat Philippe","K1H","293.76","-","607",""
"Joris Rocher","K1H","299.83","384","639",""
"Pierreyves Hellard","K1H","301.31","570","647",""
"Le Jacques François","K1H","301.64","572","649",""
"Matthieu Jonnart-baur","K1H","303.20","616","657",""
"Beguinel Simon","K1H","308.56","654","685",""
"Simon Joseph","K1H","310.18","383","694",""
"Ronan Gestin","K1H","310.79","544","698",""
"Alan Reveillere","K1H","310.92","558","698",""
"Lefeuvre Kevin","K1H","312.77","782","707",""
"Rouge Pierre","K1H","315.54","-","722",""
"Simon Even","K1H","317.27","404","732",""
"David Julou","K1H","321.42","-","753",""
"Pryen David","K1H","323.63","-","765",""
"Sylvain Martineau","K1H","330.87","814","803",""
"Nicolas Romain","K1H","334.98","566","825",""
"Jean Messialle","K1H","340.11","588","852",""
"Florian Lepretre","K1H","353.58","633","923",""
"Rouxel Adrien","K1H","373.54","799","1028",""
"Alexandre Rivolet","K1H","379.59","629","1060",""
"Guittier Guenole","K1H","407.09","890","1204",""
"Jordan Maubert","K1H","423.88","965","1294",""
"Le Mouillour Sylvain","K1H","467.67","643","1524",""
"Pennarun         * Kevin","K1H","475.82","358","1567",""
"Milbeo Nicolas","K1H","495.20","746","1669",""
"Chevallier Clément","K1H","564.85","512","2036",""
"Christofides Pierre Etienne","K1H","584.03","-","2137",""
"Regis Cabel","K1H","780.61","316","3173",""
