"SÈlectif RÈgional Slalom (Double) - St Pierre De Boeuf - Course n∞1 | Finale - 2018-10-13","Course n∞1 | Finale","2018-10-13","RÈgional","282"
"Robin Andre","C1H","131.33","484.08","634.61","Course n∞1 | Finale B"
"Arthur Contamine","C1H","133.92","739.18","666.75","Course n∞1 | Finale B"
"Oscar Pasteur","C1H","141.68","837.99","763.03","Course n∞1 | Finale B"
"Baptiste Gaillard","C1H","203.63","852.71","1531.65","Course n∞1 | Finale B"
"Gregory Menuat","C1H","330.01","602.49","3099.67","Course n∞1 | Finale B"
"Guillaume Mele","C1H","Abd","-","-","Course n∞1 | Finale B"
"Evan Trenchant","C1HM","144.56","733.52","798.76","Course n∞1 | Finale B"
"Chloe Faverjon","K1D","117.35","417.34","358.09","Course n∞1 | Finale B"
"Lucie Fromentoux","K1D","122.21","463.56","414.11","Course n∞1 | Finale B"
"Lucie Adisson","K1D","122.41","756.96","416.42","Course n∞1 | Finale B"
"Jessica Joyau","K1D","125.35","415.54","450.31","Course n∞1 | Finale B"
"Emilie Armani","K1D","126.8","412.96","467.03","Course n∞1 | Finale B"
"Pauline Clerc","K1D","128.16","412.84","482.71","Course n∞1 | Finale B"
"Emma Miton","K1D","130.34","435.42","507.84","Course n∞1 | Finale B"
"Camille Vion Delphin","K1D","132.15","592.12","528.71","Course n∞1 | Finale B"
"Emma Fauriel","K1D","134.38","785.06","554.42","Course n∞1 | Finale B"
"Juliette Ribault","K1D","137.12","670.1","586.01","Course n∞1 | Finale B"
"Marion Pasquali","K1D","137.6","301.46","591.55","Course n∞1 | Finale B"
"Clarisse Feramus","K1D","138.32","619.98","599.84","Course n∞1 | Finale B"
"Camille Berson","K1D","141.65","449.93","638.24","Course n∞1 | Finale B"
"Lux Debruyne","K1D","148.68","660.17","719.28","Course n∞1 | Finale B"
"Callista Grange","K1D","151.7","498.39","754.1","Course n∞1 | Finale B"
"Lisa Sadelli","K1D","152.61","776.82","764.59","Course n∞1 | Finale B"
"Louise Duterage","K1D","160.69","895.42","857.75","Course n∞1 | Finale B"
"Eva Silvester","K1D","168.07","1017.58","942.83","Course n∞1 | Finale B"
"Goundo Palibrk Doucoure","K1D","317.69","1223.01","2667.77","Course n∞1 | Finale B"
"Christel Pellicier","K1D","434.78","-","4017.67","Course n∞1 | Finale B"
"Zelie Ferraris","K1DM","115.78","504.82","339.98","Course n∞1 | Finale B"
"Fantine Hortolan","K1DM","158.96","659.19","837.8","Course n∞1 | Finale B"
"Marine Primet","K1DM","167.44","1056.45","935.56","Course n∞1 | Finale B"
"Aurelie Cabrera","K1DM","255.24","620.46","1947.79","Course n∞1 | Finale B"
"Leonie Reichert","K1DM","361.53","1769.81","3173.18","Course n∞1 | Finale B"
"Chlo… Guyon Blanc","K1DM","Abd","-","-","Course n∞1 | Finale B"
"Maxime Bottex","K1H","88.35","88.95","156.17","Course n∞1 | Finale B"
"Jean Charles Hacquart","K1H","92.37","178.45","208.54","Course n∞1 | Finale B"
"Julien Saguet","K1H","96.47","303.99","261.95","Course n∞1 | Finale B"
"Arthur Talarmain","K1H","103.82","420.16","357.7","Course n∞1 | Finale B"
"Olivier Hardonniere","K1H","104.76","380.64","369.95","Course n∞1 | Finale B"
"Benjamin Guyon","K1H","104.95","352.55","372.42","Course n∞1 | Finale B"
"Remy Beal","K1H","105.82","411.99","383.76","Course n∞1 | Finale B"
"Charles Vallet","K1H","106.56","460.23","393.4","Course n∞1 | Finale B"
"Romain Bourguignon","K1H","106.6","384.13","393.92","Course n∞1 | Finale B"
"Loic Bourgeois","K1H","107.99","474.49","412.03","Course n∞1 | Finale B"
"Raphael Bonnard","K1H","108.29","490.76","415.93","Course n∞1 | Finale B"
"Herve Vitali","K1H","109.2","452.37","427.79","Course n∞1 | Finale B"
"Virgile Bessot","K1H","109.62","545.1","433.26","Course n∞1 | Finale B"
"Esteban Reder-issartel","K1H","110.02","508.21","438.47","Course n∞1 | Finale B"
"Alexei Evlachev","K1H","110.16","472.05","440.3","Course n∞1 | Finale B"
"Philippe Couchoud","K1H","110.77","523.04","448.24","Course n∞1 | Finale B"
"Yves Masson","K1H","110.79","460.79","448.5","Course n∞1 | Finale B"
"Arnaud Lejeune","K1H","111.51","535.67","457.88","Course n∞1 | Finale B"
"Xavier Rat","K1H","111.8","512.27","461.66","Course n∞1 | Finale B"
"Thibaud Chovin","K1H","112.06","502.19","465.05","Course n∞1 | Finale B"
"Sebastien Chapatte","K1H","112.22","519.87","467.13","Course n∞1 | Finale B"
"Clement Coulon","K1H","112.94","548.1","476.51","Course n∞1 | Finale B"
"Gabriel Saul","K1H","113.14","429.61","479.12","Course n∞1 | Finale B"
"Matthieu Fontanez","K1H","113.82","634.21","487.98","Course n∞1 | Finale B"
"Florian Jarousse","K1H","114.83","505.77","501.13","Course n∞1 | Finale B"
"Luke Ribeyre","K1H","114.99","637.82","503.22","Course n∞1 | Finale B"
"Yorick Richioud","K1H","116.71","675.15","525.63","Course n∞1 | Finale B"
"Jonathan Ferreira","K1H","117.37","490.94","534.22","Course n∞1 | Finale B"
"Matthieu Rousseau","K1H","118.22","515.47","545.3","Course n∞1 | Finale B"
"Laurent Brossat","K1H","118.36","534.24","547.12","Course n∞1 | Finale B"
"Philippe Lelieur","K1H","118.53","493.26","549.34","Course n∞1 | Finale B"
"Oscar Pasteur","K1H","119.06","506.83","556.24","Course n∞1 | Finale B"
"Valentin Capel","K1H","119.74","589.42","565.1","Course n∞1 | Finale B"
"Samuel Tahaafe","K1H","120.86","437.24","579.69","Course n∞1 | Finale B"
"Tom Ollinet","K1H","121.26","647.79","584.9","Course n∞1 | Finale B"
"Claude Flouret","K1H","122.77","652.47","604.57","Course n∞1 | Finale B"
"Guillaume Mele","K1H","123.15","740.31","609.52","Course n∞1 | Finale B"
"Justin Murphy","K1H","123.78","626.54","617.73","Course n∞1 | Finale B"
"Florent Vallier","K1H","125.73","542.52","643.13","Course n∞1 | Finale B"
"Lucas Mancuso","K1H","126.37","564.91","651.47","Course n∞1 | Finale B"
"Corentin Mounier","K1H","127.23","576.62","662.68","Course n∞1 | Finale B"
"Daniel Chambert","K1H","133.94","444.3","750.09","Course n∞1 | Finale B"
"Theophile Vincent","K1H","134.09","658.26","752.04","Course n∞1 | Finale B"
"Hugo Ausseresse","K1H","134.13","807.35","752.57","Course n∞1 | Finale B"
"Maxime Pilard","K1H","134.87","562.37","762.21","Course n∞1 | Finale B"
"Fatih Frederick","K1H","135.91","810.64","775.75","Course n∞1 | Finale B"
"Jean-marc Suarez","K1H","137.25","607.9","793.21","Course n∞1 | Finale B"
"Eric Pouradier","K1H","139.64","801.13","824.35","Course n∞1 | Finale B"
"Corentin Amand","K1H","146.78","1628.76","917.36","Course n∞1 | Finale B"
"Raphael Maville","K1H","147.95","1277.28","932.61","Course n∞1 | Finale B"
"Ga l Bonnot","K1H","151.8","1171.99","982.76","Course n∞1 | Finale B"
"Lilian Querry","K1H","157.35","494.43","1055.06","Course n∞1 | Finale B"
"Alexis Lozachmeur","K1H","159.23","523.97","1079.56","Course n∞1 | Finale B"
"Jean Bonnet","K1H","159.54","1288.82","1083.59","Course n∞1 | Finale B"
"Leo Parnotte","K1H","159.97","515.94","1089.2","Course n∞1 | Finale B"
"Remi Hervieux","K1H","192.43","1033.23","1512.07","Course n∞1 | Finale B"
"Kevin Vienny","K1H","199.1","778.62","1598.96","Course n∞1 | Finale B"
"Maxence Violy","K1H","Abd","-","-","Course n∞1 | Finale B"
"Sacha Caron","K1HM","118.76","668.14","552.33","Course n∞1 | Finale B"
"Baptiste Guillaubez","K1HM","123.8","660.52","617.99","Course n∞1 | Finale B"
"Sabri Ayoune","K1HM","127.5","1629.5","666.19","Course n∞1 | Finale B"
"Evan Trenchant","K1HM","129.29","661.73","689.51","Course n∞1 | Finale B"
"Oscar Puc","K1HM","130.93","762.87","710.88","Course n∞1 | Finale B"
"Charlie Bouvier","K1HM","131.61","729.51","719.74","Course n∞1 | Finale B"
"Emilien Charrier","K1HM","133.89","741.09","749.44","Course n∞1 | Finale B"
"Louis Bouquet","K1HM","137.6","1009.42","797.77","Course n∞1 | Finale B"
"Titouan Gony","K1HM","138.27","753.65","806.5","Course n∞1 | Finale B"
"Rafael Parnotte","K1HM","146.32","747.8","911.37","Course n∞1 | Finale B"
"Quentin Meilier","K1HM","151.34","2062.25","976.77","Course n∞1 | Finale B"
"William Varela","K1HM","152.91","941.42","997.22","Course n∞1 | Finale B"
"Jules Roussel","K1HM","153.72","1788.35","1007.77","Course n∞1 | Finale B"
"Clement Roussel","K1HM","174.51","1601.01","1278.62","Course n∞1 | Finale B"
"Clement Innocenti","K1HM","278.15","1240.76","2628.79","Course n∞1 | Finale B"
"Olivier Mattana","K1HM","Abd","-","-","Course n∞1 | Finale B"
"Aloys Morel","K1HM","Abd","-","-","Course n∞1 | Finale B"
