"Manche de la Coupe de France National 3 Slalom Nord - 91100 Corbeil Essonnes - Finale - 2019-02-24","Finale","2019-02-24","Nationale 3","232"
"Philippe Piat","K1H","126.94","483.31","576.83","Finale A"
"Yunus Polat","K1H","128.92","1213.09","601.13","Finale A"
"Theo Siguret","K1H","132.06","523.15","639.66","Finale A"
"Timothee Clep","K1H","132.32","783.41","642.85","Finale A"
"Loic Dufour","K1H","133.03","584.48","651.56","Finale A"
"Thomas Gaud","K1H","136.49","610.92","694.02","Finale A"
"Pierric Clipet","K1H","183.46","502.05","1270.4","Finale A"
"Guillaume De Fierville","K1H","222.11","309.57","1744.68","Finale A"
"Fabien Bonvalet","K1H","Dsq","-","-","Finale A"
"Issam Chakir","K1H","Dsq","-","-","Finale A"
"Margaux Fabijan","C1D","139.3","492.63","448.6","Finale B"
"Wissal Mouinet","C1D","153.38","743.39","592.59","Finale B"
"Salome Huet","C1D","157.89","650.9","638.71","Finale B"
"Charline Dole","C1D","167.39","723.87","735.86","Finale B"
"Pauline Lybrecht","C1D","172.87","661.35","791.89","Finale B"
"Eloise Riviere","C1D","180.25","643.17","867.36","Finale B"
"Mathilde Guillot-le Goff","C1D","184.98","780.87","915.73","Finale B"
"Alexia Evrard","C1D","187.83","634.4","944.87","Finale B"
"Nicolas Feuillard","C1H","122.11","443.84","451.21","Finale B"
"Christophe Bachelot","C1H","127.93","491.42","519.22","Finale B"
"Estephe Decarsin","C1H","128.85","565.08","529.97","Finale B"
"Ludovic Roye","C1H","129.86","473.37","541.78","Finale B"
"Matheo Dupont","C1H","134.62","514.9","597.42","Finale B"
"Jacques Nardeau","C1H","136.56","586.34","620.08","Finale B"
"Axel Guilleret","C1H","137.84","527.37","635.04","Finale B"
"Romain Magnier","C1H","138.81","826.25","646.38","Finale B"
"Nathan Huguenin","C1H","140.83","583.56","669.99","Finale B"
"Bertrand Avril","C1H","141.76","676.63","680.86","Finale B"
"Adrien Gaillot","C1H","142.57","701.29","690.32","Finale B"
"Thibaut Evrard","C1H","143.58","667.8","702.13","Finale B"
"Samuel Bonvalet","C1H","145.74","667.09","727.37","Finale B"
"Jeremy Huguenin","C1H","147.89","623.64","752.5","Finale B"
"Esteban Olivier","C1H","150.32","881.34","780.89","Finale B"
"Thomas Martinet","C1H","151.2","700.3","791.18","Finale B"
"Robin Le Mazurier","C1H","154.67","789.14","831.73","Finale B"
"Arthur Lescarmontier","C1H","158.33","862.58","874.5","Finale B"
"Leo Tellier","C1H","169.39","888.97","1003.76","Finale B"
"Yunis Delahaye","C1H","180.57","993.97","1134.41","Finale B"
"Louis Marvillet","C1H","269.96","851.06","2179.11","Finale B"
"Romain Moret","C1H","Dsq","-","-","Finale B"
"Antoine Martin-Romain Bouillon","C2H","148.42","532.09","679.84","Finale B"
"Fabien Bonvalet-Mathis Pomares","C2H","152.2","689.09","722.02","Finale B"
"Loick Manoury-Antoine Huger","C2H","178.24","1911.43","1012.5","Finale B"
"Chloe Gatuingt-Quentin Angot","C2M","168.74","852.22","749.66","Finale B"
"Mathilde Guillot-le Goff-Romain Caupin","C2M","188.73","1421.57","954.08","Finale B"
"Delphine Brunet-Samuel Bonvalet","C2M","197.76","846.44","1046.42","Finale B"
"Lison Gautrelet-Thomas Martinet","C2M","227.11","999.66","1346.55","Finale B"
"Wissal Mouinet","K1D","149.21","612.46","644.46","Finale B"
"Alexia Evrard","K1D","153.13","631.66","687.03","Finale B"
"Maeva Firon","K1D","157.91","764.68","738.94","Finale B"
"Sandrine Arnal","K1D","164.33","607.35","808.66","Finale B"
"Charline Dole","K1D","166.92","767.9","836.79","Finale B"
"Catherine Boulan","K1D","168.83","706.62","857.53","Finale B"
"Elodie Thomasset","K1D","176.59","3686.65","941.79","Finale B"
"Eva Mainnemare","K1D","179.18","879.11","969.92","Finale B"
"Delphine Brunet","K1D","179.19","2559.67","970.03","Finale B"
"Ophelie Lailler","K1D","187.99","645.21","1065.6","Finale B"
"Helene Hincelin","K1D","188.9","825.09","1075.48","Finale B"
"Nine Meyer","K1D","189.07","654.26","1077.33","Finale B"
"Coralie Delmotte","K1D","264.07","767.96","1891.78","Finale B"
"Angele Sottolefevre","K1D","266.27","1344.32","1915.67","Finale B"
"Hugo Pidoux","K1H","116.3","369.92","451.27","Finale B"
"Leo Dos Santos","K1H","117.66","618.05","467.96","Finale B"
"Axel Girard","K1H","118.06","768.03","472.86","Finale B"
"Jess Masson","K1H","123.7","521.5","542.07","Finale B"
"Rayan Serrakh","K1H","125.04","627.93","558.52","Finale B"
"Ludovic Couture","K1H","125.13","501.74","559.62","Finale B"
"Felix Derumigny","K1H","125.17","603.3","560.11","Finale B"
"Antoine Huger","K1H","125.26","421.04","561.22","Finale B"
"Mathis Pomares","K1H","125.67","659.14","566.25","Finale B"
"Nicolas Leconte","K1H","125.82","481.07","568.09","Finale B"
"Fabian Loemie","K1H","125.97","603.38","569.93","Finale B"
"Adrien Gaillot","K1H","126.22","528.66","573","Finale B"
"Flavien Firon","K1H","126.61","663.84","577.78","Finale B"
"Philippe Valeri","K1H","127.29","558.44","586.13","Finale B"
"Romain Caupin","K1H","127.79","659.75","592.26","Finale B"
"Gerard Lafargue","K1H","128.62","530.29","602.45","Finale B"
"Benjamin Chausson","K1H","129.41","608.28","612.14","Finale B"
"Erwan Laloux","K1H","130.19","1408.62","621.71","Finale B"
"Arthur Lescarmontier","K1H","131.88","704.54","642.45","Finale B"
"Yann Castryck- -genereux","K1H","131.97","667.92","643.56","Finale B"
"Lucas Ferloni","K1H","132.08","726.49","644.91","Finale B"
"Maixent De Poucques","K1H","132.67","742.88","652.15","Finale B"
"Hugo Bardot","K1H","133.33","659.24","660.24","Finale B"
"Robin Le Mazurier","K1H","134.04","632.96","668.96","Finale B"
"Mathieu Benkaroun","K1H","136.12","732.1","694.48","Finale B"
"Nicolas Bougnon","K1H","136.16","683.79","694.97","Finale B"
"Yann Dhieux","K1H","136.74","654.25","702.09","Finale B"
"Esteban Olivier","K1H","137.1","645.71","706.51","Finale B"
"Arsene Boyer","K1H","137.54","762.8","711.91","Finale B"
"Leo Bayard","K1H","138.43","702.28","722.83","Finale B"
"Heino Leveque","K1H","139.6","730.74","737.18","Finale B"
"Romain Moret","K1H","139.62","726.51","737.43","Finale B"
"Pierre Yves Tempier","K1H","142.17","722.45","768.72","Finale B"
"Loic Merat","K1H","142.31","718.39","770.44","Finale B"
"Louis Marvillet","K1H","143.48","659.46","784.8","Finale B"
"Antoine Dusard","K1H","144.43","651.34","796.45","Finale B"
"Samuel Bonvalet","K1H","144.49","674.67","797.19","Finale B"
"Alain Brucher","K1H","144.85","767.43","801.61","Finale B"
"Robin Le Fellic","K1H","145.27","791.47","806.76","Finale B"
"Benjamin Marty Carpentier","K1H","146.87","774.34","826.4","Finale B"
"Lubin Brionne","K1H","147.47","765.56","833.76","Finale B"
"Yunis Delahaye","K1H","148.25","735.23","843.33","Finale B"
"Nicolas Petipez","K1H","148.91","730.41","851.43","Finale B"
"Steve Bruniquel","K1H","149.97","834.96","864.44","Finale B"
"Olivier Fournier","K1H","151.49","749.78","883.09","Finale B"
"Dylan Simon","K1H","154.8","652.19","923.71","Finale B"
"Axel Tempier","K1H","156.79","807.33","948.13","Finale B"
"Jason Leroy","K1H","157.56","730.43","957.57","Finale B"
"Thomas Brunet","K1H","157.8","828.89","960.52","Finale B"
"Enzo Hecquet","K1H","158","754.09","962.97","Finale B"
"Theo Griffit","K1H","160.03","873.29","987.88","Finale B"
"Leo Tellier","K1H","164.76","735.06","1045.93","Finale B"
"Nouredine Zerouga","K1H","168.73","854.78","1094.64","Finale B"
"Arnaud Grignon","K1H","169.99","954.73","1110.1","Finale B"
"Samuel Gornet","K1H","175.74","894.64","1180.66","Finale B"
"Yves Souchal","K1H","187.61","742.5","1326.32","Finale B"
"Elias Bouddour","K1H","201.28","767.81","1494.07","Finale B"
"Thibaut Jumetz","K1H","215.33","740.72","1666.48","Finale B"
