"Manche de la coupe de France National 3 Slalom Sud-Ouest - 64390 Sauveterre De Bearn - Qualification - 2019-04-21","Qualification","2019-04-21","Nationale 3","113"
"Flavien Portier","K1H","99.22","523.92","453.34",""
"Edgar Paleaubrasseur","K1H","99.69","399.08","460.2",""
"Marin Saint Macary","K1H","99.76","447.03","461.22",""
"Edouard Patry","K1H","100.02","534.05","465.01",""
"Timeo Canonico","K1H","100.24","447.75","468.22",""
"Arthur Caillaud-gault","K1H","100.6","449.36","473.48",""
"Julien Dubarry","K1H","100.66","435.06","474.35",""
"Thibault Marque","K1H","100.67","541.89","474.5",""
"Hoel Carnot","K1H","101.11","484.13","480.92",""
"Etienne Saint Picq","K1H","101.79","333.74","490.85",""
"Jeremy Bretteville","K1H","102.86","506.27","506.46",""
"Pablo Chaminade","K1H","103.69","317.69","518.58",""
"Lohan Wyon","K1H","103.83","478.58","520.62",""
"Jean Christophe Erdois","K1H","104.27","346.38","527.04",""
"Florian Malaval","K1H","104.29","472.29","527.33",""
"Bruno Lamothe","K1H","104.33","545.46","527.92",""
"KÉziah Lecomte","K1H","104.93","589.02","536.67",""
"Pierrealain Clerc","K1H","105.05","491.02","538.43",""
"Thomas Facchini","K1H","105.54","564.24","545.58",""
"Remi Dolcin Tillant","K1H","106.45","483.9","558.86",""
"Romain Guichet","K1H","106.79","573.51","563.82",""
"Tristan Ruiz","K1H","107.14","453.94","568.93",""
"Pascal Dongarra","K1H","108.31","399.06","586",""
"Sylvain Lauth","K1H","108.87","570.84","594.18",""
"Eric Vidou","K1H","109.2","576.22","598.99",""
"Sebastien Larenaudie","K1H","109.23","499.57","599.43",""
"Matheo Nassieu","K1H","109.58","552.64","604.54",""
"Matt Vidou","K1H","110.62","403","619.72",""
"Thomas Bisetto","K1H","111.99","560.83","639.71",""
"Mathys Maniet","K1H","112.85","579.43","652.27",""
"Leo Arriau","K1H","113.08","782.56","655.62",""
"Jean Luc Pessoni","K1H","115.34","952.7","688.61",""
"Arsene Labarthe","K1H","116.52","770.2","705.83",""
"Tao Gautier-araspin","K1H","122.58","843.87","794.27",""
"Fabrice Le Bras","K1H","126.59","1140.73","852.8",""
"Bastien Darmayan","K1H","127.86","886.06","871.34",""
"Martin Grzeskowiak","K1H","129.95","976.99","901.84",""
"Esteban Bidegain","K1H","137.74","514.78","1015.53",""
"Paul Brochard","K1H","144.72","786.95","1117.41",""
"Daniel Lafitte","K1H","145.6","779.87","1130.25",""
"Hugo Larenjeiro","K1H","146.36","1062.78","1141.34",""
"Miguel Irungaraylarronde","K1H","152.92","506.83","1237.08",""
"Lucas Dongarra","K1H","159.88","487.35","1338.67",""
"Lucas Mauer","K1H","163.52","684.93","1391.79",""
"Mateo Destruel","K1H","171.59","707.27","1509.57",""
"Alex Baldoni","K1H","191.74","368.2","1803.66",""
"Nicolas Peyroux","K1H","288.22","1538.85","3211.78",""
"Victor Hirschmann-rodriguez","K1H","Abs","-","-",""
