"Sélectif Régional de Slalom - Metz - Course n°1 | Finale - 2019-09-28","Course n°1 | Finale","2019-09-28","Régional","166"
"Julien Tassotti","C1HM","116.82","725.6","650.81","Course n°1 | Finale B"
"Antoine Dusard","C1HM","117.01","778.15","653.45","Course n°1 | Finale B"
"Jan Gabin Pischek","C1HM","118.72","629.6","677.24","Course n°1 | Finale B"
"Ludovic Kessler","C1HM","171.39","667.13","1409.57","Course n°1 | Finale B"
"Thomas L'huillier-Alexandre L'huillier","C2H","100.47","586.96","359.98","Course n°1 | Finale B"
"Tanguy Adisson-Antonin Robert","C2H","114.64","648.1","548.05","Course n°1 | Finale B"
"Theo Reby-Lucas Jamart","C2H","115.19","607.18","555.35","Course n°1 | Finale B"
"Yohan Marck-Charles Dampeyrou","C2H","127.43","556.93","717.79","Course n°1 | Finale B"
"Simon Bouchot-Diego Depays","C2HM","Abd","-","-","Course n°1 | Finale B"
"Carole Dolmaire-Alexandre L'huillier","C2M","147.06","894.33","815.68","Course n°1 | Finale B"
"Jessica Joyau","K1D","102.26","894.96","347.71","Course n°1 | Finale B"
"Zelie Wendling","K1D","106.75","431.32","405.72","Course n°1 | Finale B"
"Charlotte Chauvey","K1D","107.12","475.14","410.5","Course n°1 | Finale B"
"Julia Budzinski","K1D","113.34","377.83","490.86","Course n°1 | Finale B"
"Elodie Berrot","K1D","121.34","541.2","594.22","Course n°1 | Finale B"
"Carole Dolmaire","K1D","153.59","690.26","1010.87","Course n°1 | Finale B"
"Helene Hincelin","K1D","161.67","936.77","1115.27","Course n°1 | Finale B"
"Margaux Cornet","K1D","162.61","1339.24","1127.42","Course n°1 | Finale B"
"Charlotte Doucet","K1D","174.32","709.43","1278.7","Course n°1 | Finale B"
"Alyssa Lhomme","K1D","Abd","-","-","Course n°1 | Finale B"
"Clementine Thierus","K1D","Abd","-","-","Course n°1 | Finale B"
"Anthony Rouhier","K1H","94.2","275.65","401.79","Course n°1 | Finale B"
"Victor Henry","K1H","95.54","454.85","421.35","Course n°1 | Finale B"
"Adrien Gaillot","K1H","95.9","549.79","426.61","Course n°1 | Finale B"
"Vincent Morabito","K1H","96.25","456.88","431.72","Course n°1 | Finale B"
"Yann Becker","K1H","97.69","348.92","452.74","Course n°1 | Finale B"
"Jules Ferber","K1H","97.81","531.44","454.49","Course n°1 | Finale B"
"Alexandre L'huillier","K1H","98.11","627.55","458.87","Course n°1 | Finale B"
"Matthieu Walfard","K1H","98.61","421.77","466.17","Course n°1 | Finale B"
"Remy Perrin","K1H","100.43","500.38","492.74","Course n°1 | Finale B"
"Gauthier Principaud","K1H","100.97","574.5","500.63","Course n°1 | Finale B"
"Alexis Sevrez","K1H","104.31","515.91","549.39","Course n°1 | Finale B"
"Anthony Beaudoing","K1H","104.84","587.56","557.13","Course n°1 | Finale B"
"Damien Mantovani","K1H","105.46","676.75","566.18","Course n°1 | Finale B"
"Guillaume Cochut","K1H","106.73","718.22","584.72","Course n°1 | Finale B"
"Aymeric Dollat","K1H","109.02","637.97","618.15","Course n°1 | Finale B"
"Guillaume Goury","K1H","110.06","645.62","633.33","Course n°1 | Finale B"
"Andre Kempf","K1H","114.68","666.99","700.78","Course n°1 | Finale B"
"Thomas Descotes","K1H","115.22","1128.61","708.67","Course n°1 | Finale B"
"Robin Giurlando","K1H","116.07","615.93","721.08","Course n°1 | Finale B"
"Louis Guggenbuhl","K1H","116.75","668.81","731","Course n°1 | Finale B"
"Maxime Pein","K1H","118.31","705.47","753.78","Course n°1 | Finale B"
"Antoine Schroetter","K1H","120.39","768.2","784.15","Course n°1 | Finale B"
"Louis Descotes","K1H","124.49","819.19","844","Course n°1 | Finale B"
"Kevin Vienny","K1H","125.07","859.31","852.47","Course n°1 | Finale B"
"Max Cantenot","K1H","126.02","1405.19","866.34","Course n°1 | Finale B"
"Gauthier Lepolard","K1H","135.3","758.84","1001.82","Course n°1 | Finale B"
"Nathan Frison","K1H","140.14","356.08","1072.48","Course n°1 | Finale B"
"Jules Latimier","K1H","145.88","484.99","1156.28","Course n°1 | Finale B"
"Yohan Marck","K1H","148.99","330.32","1201.69","Course n°1 | Finale B"
"Paul Gstalter","K1H","163.39","538.23","1411.92","Course n°1 | Finale B"
"Stephane Cassin","K1H","188.04","974.08","1771.79","Course n°1 | Finale B"
"Adrien Andre","K1H","Abd","-","-","Course n°1 | Finale B"
"Michel Bert","K1H","Abs","-","-","Course n°1 | Finale B"
"Ludovic Kessler","K1HM","113.84","754.35","688.52","Course n°1 | Finale B"
"Julien Tassotti","K1HM","117.2","1172.02","737.57","Course n°1 | Finale B"
"Mael Thierus","K1HM","117.6","806.37","743.41","Course n°1 | Finale B"
"Antoine Dusard","K1HM","122.07","789.13","808.67","Course n°1 | Finale B"
"Simon Bouchot","K1HM","134.87","1032.55","995.54","Course n°1 | Finale B"
"Lilian Bayer","K1HM","136.14","877.84","1014.09","Course n°1 | Finale B"
"Gabriel Hubert","K1HM","199.31","1133.76","1936.33","Course n°1 | Finale B"
"Axel Marchand","K1HM","254.66","1396.49","2744.4","Course n°1 | Finale B"
"Hugo Bazin","K1HM","Abd","-","-","Course n°1 | Finale B"
"Landry Roussel","K1HM","Abd","-","-","Course n°1 | Finale B"
