"SÈlectif RÈgional Slalom (Double) - 35510 Cesson Sevigne - Course n∞1 | Finale - 2019-10-12","Course n∞1 | Finale","2019-10-12","RÈgional","297"
"Emeric Bertrand-Franck Cahagne","C2H","124.72","514.26","530.42","Course n∞1 | Finale A"
"Paul Gestin-Yvan Nicolas","C2H","126.33","634","549.66","Course n∞1 | Finale A"
"Tom Marchand-Romain Margerie","C2H","129.47","578.15","587.2","Course n∞1 | Finale A"
"Guillaume Maillot-Auria Lamande","C2M","153.26","1293.66","718.91","Course n∞1 | Finale A"
"Anne Boixel","K1D","105.05","237.53","261.95","Course n∞1 | Finale A"
"Anais Bernardy","K1D","105.08","211.74","262.3","Course n∞1 | Finale A"
"Sarah Despres","K1D","105.77","209.24","270.33","Course n∞1 | Finale A"
"Eva Marchand","K1D","108.74","252.97","304.89","Course n∞1 | Finale A"
"Estelle Hellard","K1D","108.89","292.22","306.64","Course n∞1 | Finale A"
"Margaux Fabijan","K1D","109.1","353.32","309.08","Course n∞1 | Finale A"
"Alice Azam","K1D","109.53","422.92","314.08","Course n∞1 | Finale A"
"Camille Castryck","K1D","110.57","246.69","326.19","Course n∞1 | Finale A"
"Nagwa Lanchec El Desouki","K1D","110.63","350.6","326.89","Course n∞1 | Finale A"
"Sarah Lyphout","K1D","111.71","351.4","339.45","Course n∞1 | Finale A"
"Morgane Quemerais","K1D","113.92","399.7","365.17","Course n∞1 | Finale A"
"Helene Raguenes","K1D","116.54","416.05","395.66","Course n∞1 | Finale A"
"Maela Le Corre","K1D","119.53","313.05","430.45","Course n∞1 | Finale A"
"Oriane Guichet","K1D","120.23","502.25","438.59","Course n∞1 | Finale A"
"Cecile Chiron","K1D","121.88","478.65","457.79","Course n∞1 | Finale A"
"Louna Beurel","K1D","122.46","386.21","464.55","Course n∞1 | Finale A"
"Mila Ghiringhelli","K1D","129.99","494.46","552.16","Course n∞1 | Finale A"
"L…na Quemerais","K1DM","118.59","424.54","419.51","Course n∞1 | Finale A"
"Juna Marquet","K1DM","123.54","524.45","477.1","Course n∞1 | Finale A"
"Alwena Piton","K1DM","148.9","1085.67","772.21","Course n∞1 | Finale A"
"Zoe Dronne","K1DM","158.68","909.57","886.01","Course n∞1 | Finale A"
"Joris Hello","K1H","86.7","165.45","179.58","Course n∞1 | Finale A"
"Loan Queffelec","K1H","87.34","169.52","188","Course n∞1 | Finale A"
"Matheo Lebaindre","K1H","87.82","136.58","194.31","Course n∞1 | Finale A"
"Arthur Mizzi","K1H","88.37","137.08","201.54","Course n∞1 | Finale A"
"Timothee Cornu","K1H","88.65","187.45","205.22","Course n∞1 | Finale A"
"Pol Euzenes","K1H","88.73","189.05","206.27","Course n∞1 | Finale A"
"Anthony Drouhin","K1H","89.16","176.65","211.93","Course n∞1 | Finale A"
"Paul Gestin","K1H","89.71","171.48","219.16","Course n∞1 | Finale A"
"Titouan Castryck","K1H","89.79","160.34","220.21","Course n∞1 | Finale A"
"Alex Louveau","K1H","89.89","144.58","221.53","Course n∞1 | Finale A"
"Killian Flegeau","K1H","90.56","207.97","230.34","Course n∞1 | Finale A"
"GaÀtan De Greef","K1H","92.97","236.01","262.03","Course n∞1 | Finale A"
"Clement Dubois","K1H","93.25","277.01","265.71","Course n∞1 | Finale A"
"Nicolas Mevel","K1H","93.35","191.16","267.02","Course n∞1 | Finale A"
"Romain Bruneau","K1H","93.72","163.77","271.89","Course n∞1 | Finale A"
"Max Derame","K1H","94.07","275.09","276.49","Course n∞1 | Finale A"
"Simon Cognard","K1H","94.19","296.36","278.07","Course n∞1 | Finale A"
"Luc Hellard","K1H","94.4","204.79","280.83","Course n∞1 | Finale A"
"Maxence Davy","K1H","94.6","287.62","283.46","Course n∞1 | Finale A"
"Gaspard Perrio","K1H","94.92","716.32","287.67","Course n∞1 | Finale A"
"Mewen Debliquy","K1H","94.99","224.33","288.59","Course n∞1 | Finale A"
"Boris Pernelle","K1H","95.55","288.98","295.95","Course n∞1 | Finale A"
"Melaine Pichard","K1H","95.99","309.35","301.74","Course n∞1 | Finale A"
"Noe Gorvo","K1H","96.07","369.35","302.79","Course n∞1 | Finale A"
"Antoine Hirbec","K1H","96.68","372.97","310.81","Course n∞1 | Finale A"
"Martin Dubois","K1H","96.73","313.91","311.47","Course n∞1 | Finale A"
"Clement Olivier","K1H","96.8","310.63","312.39","Course n∞1 | Finale A"
"Ewen Berrest","K1H","97.11","224.34","316.46","Course n∞1 | Finale A"
"Quentin Sablayrolles","K1H","97.8","413.42","325.53","Course n∞1 | Finale A"
"Julien Dosse","K1H","98.09","298.29","329.35","Course n∞1 | Finale A"
"Maxime Berthaut","K1H","98.18","295.69","330.53","Course n∞1 | Finale A"
"Quentin Le Duc","K1H","98.48","401.81","334.48","Course n∞1 | Finale A"
"Lorin Dumont","K1H","98.85","289.44","339.34","Course n∞1 | Finale A"
"Romain Guyomard","K1H","98.89","275.07","339.87","Course n∞1 | Finale A"
"Alexis Carpentey","K1H","98.98","309.08","341.05","Course n∞1 | Finale A"
"Brice Derrien","K1H","99.31","326.14","345.39","Course n∞1 | Finale A"
"Gwenole Noyalet","K1H","99.48","468.58","347.63","Course n∞1 | Finale A"
"Yannis Houze","K1H","100.39","354.52","359.59","Course n∞1 | Finale A"
"Estephe Decarsin","K1H","100.41","333.72","359.85","Course n∞1 | Finale A"
"Ylan Penvenne","K1H","100.83","393.4","365.38","Course n∞1 | Finale A"
"Yannis Dast","K1H","100.92","353.23","366.56","Course n∞1 | Finale A"
"Thibault Lamour","K1H","101.23","400.43","370.64","Course n∞1 | Finale A"
"Riwal Le Berre","K1H","101.66","320.48","376.29","Course n∞1 | Finale A"
"Julien Mizzi","K1H","101.67","312.2","376.42","Course n∞1 | Finale A"
"Elouan Le Fournis","K1H","101.75","430.94","377.47","Course n∞1 | Finale A"
"Glen Le Meur","K1H","101.87","403.62","379.05","Course n∞1 | Finale A"
"Gurvan Huet","K1H","101.93","339.76","379.84","Course n∞1 | Finale A"
"Daneric Ollivier","K1H","102.04","338.75","381.29","Course n∞1 | Finale A"
"Frederic Castryck","K1H","102.49","379.97","387.2","Course n∞1 | Finale A"
"Lionel Tinevez","K1H","102.56","376.6","388.12","Course n∞1 | Finale A"
"Vincent Froger","K1H","102.6","636.46","388.65","Course n∞1 | Finale A"
"Aurelien Le Duc","K1H","103.34","413.5","398.38","Course n∞1 | Finale A"
"Corentin Beaumois","K1H","104.29","427.34","410.87","Course n∞1 | Finale A"
"Samuel Vallienne","K1H","104.4","442.38","412.32","Course n∞1 | Finale A"
"Pierre Hellard","K1H","104.55","245.16","414.29","Course n∞1 | Finale A"
"Simon Seuru","K1H","105.02","434","420.47","Course n∞1 | Finale A"
"Benoit Ricard","K1H","106.32","478.32","437.56","Course n∞1 | Finale A"
"Guillaume Maillot","K1H","106.56","441.89","440.72","Course n∞1 | Finale A"
"Gregory Metayer","K1H","108.47","384.55","465.83","Course n∞1 | Finale A"
"Jules Roos","K1H","109.04","372.27","473.33","Course n∞1 | Finale A"
"Emmanuel Cosse","K1H","109.8","443.16","483.32","Course n∞1 | Finale A"
"Titouan Aussant","K1H","110.14","369.23","487.79","Course n∞1 | Finale A"
"Adrien Pierre","K1H","110.19","420.79","488.45","Course n∞1 | Finale A"
"Dante Bourlet De La Vallee","K1H","110.98","402.56","498.84","Course n∞1 | Finale A"
"Jacques Despierres","K1H","112.14","481.93","514.09","Course n∞1 | Finale A"
"Cesar Le Berder","K1H","112.84","463.34","523.3","Course n∞1 | Finale A"
"Stephane Debliquy","K1H","113.71","404.75","534.74","Course n∞1 | Finale A"
"Jean Aussant","K1H","115.99","368.35","564.72","Course n∞1 | Finale A"
"Thomas Hado","K1H","116.95","515.62","577.34","Course n∞1 | Finale A"
"Oscar Donval","K1H","151.47","372.57","1031.24","Course n∞1 | Finale A"
"Cl…ment Louveau","K1HM","98.06","487.66","328.95","Course n∞1 | Finale A"
"Martin Cornu","K1HM","101.05","396.06","368.27","Course n∞1 | Finale A"
"Elouan Debliquy","K1HM","103.41","454.66","399.3","Course n∞1 | Finale A"
"Milio Le Touze","K1HM","108.28","574.25","463.34","Course n∞1 | Finale A"
"Marwan Bazot","K1HM","109.93","600.77","485.03","Course n∞1 | Finale A"
"Maxence Gautier Grall","K1HM","110.19","551.3","488.45","Course n∞1 | Finale A"
"Jules Brisson","K1HM","110.6","525.93","493.84","Course n∞1 | Finale A"
"Louison Decarsin","K1HM","113.68","528.53","534.34","Course n∞1 | Finale A"
"Arthur Lescarmontier","K1HM","114.56","622.23","545.91","Course n∞1 | Finale A"
"Celio Chevallier","K1HM","114.61","709.73","546.57","Course n∞1 | Finale A"
"Jonas Le Guen","K1HM","118.35","420.96","595.75","Course n∞1 | Finale A"
"Mat…o Delachair","K1HM","120.83","692.16","628.36","Course n∞1 | Finale A"
"William Adeline","K1HM","123.95","870.56","669.38","Course n∞1 | Finale A"
"Lubin Brionne","K1HM","127.53","826.93","716.45","Course n∞1 | Finale A"
"Thomas Le Devehat","K1HM","132.67","927.84","784.04","Course n∞1 | Finale A"
"Duncan Coppens","K1HM","137.44","975.84","846.76","Course n∞1 | Finale A"
"Lenny Derrien","K1HM","141.5","733.05","900.15","Course n∞1 | Finale A"
"Nino Laronce Renard","K1HM","146.24","1079.04","962.47","Course n∞1 | Finale A"
"Iwen Robic","K1HM","150.9","805.58","1023.75","Course n∞1 | Finale A"
"Timoth… Le Beuvant","K1HM","182.15","950.36","1434.65","Course n∞1 | Finale A"
"Guillaume Cahagne","K1HM","197.96","886.88","1642.54","Course n∞1 | Finale A"
"Noe Bourges","K1HM","Des","-","-","Course n∞1 | Finale A"
"Helene Raguenes","C1D","130.72","502.03","476.92","Course n∞1 | Finale B"
"Estelle Brodin","C1D","149.61","924.15","683.91","Course n∞1 | Finale B"
"Aubane Leca","C1D","157.16","809.18","766.65","Course n∞1 | Finale B"
"Claire Chaussadas","C1D","161.03","1850.24","809.05","Course n∞1 | Finale B"
"Marin Salmon","C1H","105.29","377.43","363.09","Course n∞1 | Finale B"
"Vincent Froger","C1H","109.6","417.71","417.07","Course n∞1 | Finale B"
"Yvan Nicolas","C1H","111.08","524.75","435.6","Course n∞1 | Finale B"
"Solen Le Bourles","C1H","112.62","644.28","454.88","Course n∞1 | Finale B"
"Thomas Ollivo","C1H","117","441.85","509.74","Course n∞1 | Finale B"
"Antoine Martin","C1H","117.77","431.23","519.38","Course n∞1 | Finale B"
"Mael Monjaret","C1H","118.1","460.51","523.51","Course n∞1 | Finale B"
"Thomas Heslouis","C1H","119.19","478.49","537.16","Course n∞1 | Finale B"
"Jean Aussant","C1H","120.85","457.29","557.95","Course n∞1 | Finale B"
"Pascal Marrec","C1H","121.94","526.77","571.6","Course n∞1 | Finale B"
"Antoine Bizot","C1H","123.8","623.64","594.9","Course n∞1 | Finale B"
"Roman Souffez","C1H","126.3","651.47","626.2","Course n∞1 | Finale B"
"Brice Derrien","C1H","127.7","688.54","643.73","Course n∞1 | Finale B"
"Ylan Penvenne","C1H","129.21","605.42","662.64","Course n∞1 | Finale B"
"Titouan Aussant","C1H","130.09","519.83","673.66","Course n∞1 | Finale B"
"Estephe Decarsin","C1H","131.03","517.98","685.43","Course n∞1 | Finale B"
"Corentin Beaumois","C1H","133.8","840.38","720.13","Course n∞1 | Finale B"
"Clement Ezanno","C1H","134.83","908.91","733.03","Course n∞1 | Finale B"
"Esteban Olivier","C1H","146.24","741.61","875.9","Course n∞1 | Finale B"
"Kyliann Godin","C1H","149.38","1453.43","915.23","Course n∞1 | Finale B"
"Maxence Galy","C1H","168.74","900.36","1157.67","Course n∞1 | Finale B"
"Joris Hello","C1H","178.71","528.39","1282.52","Course n∞1 | Finale B"
"Tom Armand","C1H","Des","-","-","Course n∞1 | Finale B"
"Arthur Lescarmontier","C1HM","141.22","843.99","813.04","Course n∞1 | Finale B"
"Celio Chevallier","C1HM","157.52","897.94","1017.16","Course n∞1 | Finale B"
"Malik Mahe","C1HM","166.09","1145.93","1124.48","Course n∞1 | Finale B"
"Nino Lechevallier","C1HM","171.81","1494.52","1196.12","Course n∞1 | Finale B"
"Duncan Coppens","C1HM","204.69","2078.53","1607.87","Course n∞1 | Finale B"
"Zoe Dronne-Guillaume Cahagne","C2MM","231.73","1263.93","1583.74","Course n∞1 | Finale B"
"Sylviane Quemerais","K1D","124.71","406.97","495.73","Course n∞1 | Finale B"
"Gwendoline Hall","K1D","129.2","502.04","547.97","Course n∞1 | Finale B"
"Frederique Piton","K1D","130.9","482.57","567.76","Course n∞1 | Finale B"
"Lilou Le Roux Divanac'h","K1D","132.15","648.39","582.3","Course n∞1 | Finale B"
"Salome Huet","K1D","132.97","540.96","591.84","Course n∞1 | Finale B"
"Elodie Morin - S…rot","K1D","134.31","565.31","607.43","Course n∞1 | Finale B"
"Ilhame Siraj","K1D","134.71","641.37","612.08","Course n∞1 | Finale B"
"Jann Le Corre","K1D","137.35","420.48","642.81","Course n∞1 | Finale B"
"Aubane Leca","K1D","139.98","572.27","673.41","Course n∞1 | Finale B"
"Estelle Brodin","K1D","142.75","670.15","705.64","Course n∞1 | Finale B"
"Ilona Bluteau","K1D","146.55","953.33","749.86","Course n∞1 | Finale B"
"Bleuenn Le Foll","K1D","146.99","791.06","754.98","Course n∞1 | Finale B"
"Alexandra Rochard","K1D","152.04","534.84","813.75","Course n∞1 | Finale B"
"Nine Meyer","K1D","164.79","736.58","962.11","Course n∞1 | Finale B"
"Chlo… Jegoux","K1D","167.13","1728.73","989.34","Course n∞1 | Finale B"
"Bertille Nivet","K1D","197.35","656.81","1340.98","Course n∞1 | Finale B"
"Maiwenn Soulas","K1DM","170.7","-","1030.88","Course n∞1 | Finale B"
"Manon Ruz…","K1DM","175.13","2144.13","1082.42","Course n∞1 | Finale B"
"Aurelie Hall","K1DM","Des","-","-","Course n∞1 | Finale B"
"Tom Milon","K1H","99.33","421.25","350.65","Course n∞1 | Finale B"
"Antoine Sapin","K1H","102","396.52","385.76","Course n∞1 | Finale B"
"Yann Le Bourser","K1H","103.76","483.33","408.9","Course n∞1 | Finale B"
"Pascal Marrec","K1H","104.56","401.22","419.42","Course n∞1 | Finale B"
"Romain Margerie","K1H","105.63","461.9","433.49","Course n∞1 | Finale B"
"Clement Ezanno","K1H","106.04","488.51","438.88","Course n∞1 | Finale B"
"Tom Marchand","K1H","106.53","370.06","445.33","Course n∞1 | Finale B"
"Hugo Robert","K1H","106.59","465.93","446.11","Course n∞1 | Finale B"
"Yann Curti","K1H","106.77","510.74","448.48","Course n∞1 | Finale B"
"Tom Seguillon","K1H","107.18","434.27","453.87","Course n∞1 | Finale B"
"Adrien Le Collinet","K1H","107.32","478.89","455.71","Course n∞1 | Finale B"
"Antoine Aubert","K1H","108.1","556.2","465.97","Course n∞1 | Finale B"
"Alan Le Goff","K1H","108.68","454.93","473.6","Course n∞1 | Finale B"
"Franck Cahagne","K1H","109.22","640.51","480.7","Course n∞1 | Finale B"
"Loœg Massot","K1H","110.01","574.34","491.08","Course n∞1 | Finale B"
"Hugo Guilleray","K1H","110.23","510.21","493.98","Course n∞1 | Finale B"
"Mathieu Aussant","K1H","110.44","420.19","496.74","Course n∞1 | Finale B"
"Brieuc Reucheron","K1H","110.62","552.56","499.11","Course n∞1 | Finale B"
"Adrien Brigant","K1H","110.69","602.97","500.03","Course n∞1 | Finale B"
"Alan Olivo","K1H","110.77","412.84","501.08","Course n∞1 | Finale B"
"Laurent Echivard","K1H","111.93","418.91","516.33","Course n∞1 | Finale B"
"Nicolas Le Belleguic","K1H","112.48","533.78","523.56","Course n∞1 | Finale B"
"Valentin Rault","K1H","113.45","784.71","536.32","Course n∞1 | Finale B"
"Juan Riu","K1H","113.92","537.38","542.5","Course n∞1 | Finale B"
"Thomas Heslouis","K1H","115.12","501.91","558.28","Course n∞1 | Finale B"
"Mael Calvez","K1H","115.52","627.59","563.54","Course n∞1 | Finale B"
"Ewann Hervouet","K1H","117.15","676.7","584.97","Course n∞1 | Finale B"
"Vincent Salmon","K1H","117.62","519.76","591.15","Course n∞1 | Finale B"
"Louis Beaumois","K1H","118.54","591.2","603.25","Course n∞1 | Finale B"
"Logan Toubel","K1H","118.66","582.59","604.82","Course n∞1 | Finale B"
"Nicolas Laly","K1H","119.43","675.65","614.95","Course n∞1 | Finale B"
"Louison Laumondais","K1H","119.58","655.27","616.92","Course n∞1 | Finale B"
"Alexis Pernelle","K1H","120.11","1012.26","623.89","Course n∞1 | Finale B"
"Simon Beguinel","K1H","120.27","647.61","625.99","Course n∞1 | Finale B"
"Pierre Rochon","K1H","121.55","716.49","642.82","Course n∞1 | Finale B"
"Vincent Donval","K1H","122.59","547.96","656.5","Course n∞1 | Finale B"
"Riwal Ollivier","K1H","122.63","605.92","657.02","Course n∞1 | Finale B"
"Maxence Galy","K1H","122.83","693.99","659.65","Course n∞1 | Finale B"
"Erwann Le Jeune","K1H","123.58","591.05","669.52","Course n∞1 | Finale B"
"Yoann Turowsky","K1H","124.65","611.27","683.59","Course n∞1 | Finale B"
"Victor Perebaskine","K1H","127.96","932.08","727.11","Course n∞1 | Finale B"
"Hugo Quistrebert","K1H","128.21","631.06","730.4","Course n∞1 | Finale B"
"Tom Armand","K1H","129.7","1489.55","749.99","Course n∞1 | Finale B"
"Samuel Piton","K1H","130.28","710.2","757.61","Course n∞1 | Finale B"
"Arthur Hervieu","K1H","130.58","1115.23","761.56","Course n∞1 | Finale B"
"Esteban Olivier","K1H","130.83","592.75","764.85","Course n∞1 | Finale B"
"Ambroise Perier","K1H","131.16","1518.45","769.19","Course n∞1 | Finale B"
"Julien Pommerol","K1H","131.65","740.76","775.63","Course n∞1 | Finale B"
"Louis Nivet","K1H","134.65","642.37","815.08","Course n∞1 | Finale B"
"Florian Szabo","K1H","135.39","632.37","824.81","Course n∞1 | Finale B"
"Valentin Soullard","K1H","135.88","879.38","831.25","Course n∞1 | Finale B"
"Valentin Rolland","K1H","136.89","811.04","844.53","Course n∞1 | Finale B"
"Tom Allio","K1H","138.16","738.29","861.23","Course n∞1 | Finale B"
"Christian Le Parc","K1H","140.48","944.13","891.73","Course n∞1 | Finale B"
"Theo Le Roux","K1H","140.79","1012.33","895.81","Course n∞1 | Finale B"
"Brieuc Moreau","K1H","143.72","948.49","934.34","Course n∞1 | Finale B"
"Nathan Bruneau","K1H","144.06","874.53","938.81","Course n∞1 | Finale B"
"Gatien Bocage","K1H","144.3","825.85","941.96","Course n∞1 | Finale B"
"Max Lekeux","K1H","152.88","1266.44","1054.78","Course n∞1 | Finale B"
"Denis Coppens","K1H","155","992.8","1082.66","Course n∞1 | Finale B"
"Elias Schieber","K1H","155.2","1592.51","1085.29","Course n∞1 | Finale B"
"Thierry Dugue","K1H","158.14","1103.19","1123.95","Course n∞1 | Finale B"
"Mael Maugain","K1H","170.01","1061.55","1280.02","Course n∞1 | Finale B"
"Bertrand Lajoye","K1H","187.88","1084.66","1515","Course n∞1 | Finale B"
"Corentin Bourneuf","K1H","202.05","1925.42","1701.32","Course n∞1 | Finale B"
"Robinson Le Maillot","K1H","227.05","1968.99","2030.04","Course n∞1 | Finale B"
"Ewenn Le Louet","K1H","Dsq","-","-","Course n∞1 | Finale B"
"Victor Robert","K1H","Dsq","-","-","Course n∞1 | Finale B"
"Damien Guilloux","K1HM","120.99","756.56","635.46","Course n∞1 | Finale B"
"Victor Julou","K1HM","130.15","1024.78","755.91","Course n∞1 | Finale B"
"Maxence Quillere","K1HM","132.95","892.4","792.72","Course n∞1 | Finale B"
"Madec Gezequel","K1HM","133.96","1186.12","806","Course n∞1 | Finale B"
"Pacome Michel","K1HM","134.12","734.07","808.11","Course n∞1 | Finale B"
"Nathan Guilleray","K1HM","137.62","926.4","854.13","Course n∞1 | Finale B"
"Clement Le Naour","K1HM","138.52","1147.5","865.96","Course n∞1 | Finale B"
"Malik Mahe","K1HM","140.11","1015.03","886.87","Course n∞1 | Finale B"
"Nino Lechevallier","K1HM","144.73","1072.63","947.62","Course n∞1 | Finale B"
"Ewen Ulian","K1HM","146.5","1769.1","970.89","Course n∞1 | Finale B"
"Lucas Hado","K1HM","148.64","969.63","999.03","Course n∞1 | Finale B"
"Jonas Huet","K1HM","154.54","1224.69","1076.61","Course n∞1 | Finale B"
"Florian Manceau","K1HM","155.05","1570.58","1083.32","Course n∞1 | Finale B"
"Clement Hado","K1HM","155.89","3119.83","1094.36","Course n∞1 | Finale B"
"Mewen Coadou","K1HM","156","1461.4","1095.81","Course n∞1 | Finale B"
"Raphael Herve","K1HM","158.28","1085.35","1125.79","Course n∞1 | Finale B"
"Simon Le Nevez","K1HM","176.54","-","1365.89","Course n∞1 | Finale B"
"Loan Beaucourt","K1HM","176.72","3356.81","1368.25","Course n∞1 | Finale B"
"Yvann Bleunven","K1HM","192.77","1342.29","1579.3","Course n∞1 | Finale B"
