"Sélectif régional - Chelles - 2008-09-28","Course 2","2008-09-28","Régional","298"
"Jacques Nardeau","C1H","223.21","396","404",""
"Corentin Robin","C1H","225.13","-","417",""
"Gilles Gaud","C1H","228.10","438","437",""
"Charles Pain","C1H","229.84","511","449",""
"Adam Madad","C1H","231.01","-","457",""
"Etienne Nardeau","C1H","232.35","504","466",""
"Bastien Darcillon","C1H","236.82","-","496",""
"Louis Blasselle","C1H","237.41","-","500",""
"Thibault Dhennin","C1H","242.43","547","534",""
"Samuel Bonvalet","C1H","242.49","523","534",""
"Pierre Chassigneux","C1H","243.15","535","539",""
"Romain Bertrand","C1H","251.60","-","596",""
"Damien Jacques","C1H","259.27","-","648",""
"Romain Lemaire","C1H","260.43","-","656",""
"Timothee Venot","C1H","263.21","-","675",""
"Donatien Lamoureux","C1H","263.95","577","680",""
"Simon Philibert","C1H","265.02","-","686",""
"Olivier Cornu","C1H","266.53","635","697",""
"Yoann Turowsky","C1H","267.98","-","707",""
"Thomas Argentin","C1H","268.75","872","713",""
"Alexandre Lemaire","C1H","276.08","-","761",""
"Mehdi Rouich","C1H","287.53","-","839",""
"Frederic Henry","C1H","289.74","-","855",""
"Camille Mege","C1H","334.69","-","1158",""
"Pauline Cornu-Oriane Rebours","C2D","273.59","-","449",""
"Christelle Greuillet-Delphine Dhennin","C2D","987.40","-","4505",""
"Mathieu Voyemant-Damien Troquenet","C2H","190.08","23","89",""
"Sebastien Andrieu-Pierre Pans","C2H","198.32","95","140",""
"Thibaud Vielliard-Hugo Chauvary","C2H","211.86","-","225",""
"Claude Menissier-Gerard Menissier","C2H","214.06","245","240",""
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","216.45","215","255",""
"Vincent Richard-Xavier Jourdain","C2H","225.40","-","311",""
"Teddy Poulard-Jeremy Bretteville","C2H","227.58","-","324",""
"Frederic Momot-Michael Didier","C2H","230.46","303","342",""
"Martin Darees-Evence Granger","C2H","232.96","349","358",""
"Pierre Berthelot Kleck-Thomas Monvoisin","C2H","237.73","-","389",""
"Quentin Mannier-Didier Niel","C2H","239.74","-","401",""
"Clement Beauge-Dylan Lacaussade","C2H","242.26","422","417",""
"Simon Boulan-Axel Le Nevanic","C2H","246.63","-","445",""
"Gregory Busson-Louis Philippe Rigal","C2H","248.42","-","456",""
"Maxime Cousin-Lorrie Delattre","C2H","257.50","-","513",""
"Bastien Belembert-Eric Lamour","C2H","272.45","-","607",""
"Ludovic Lino-Nicolas Feuillard","C2H","273.38","-","613",""
"Julien Signarbieux-Ronan Lucas","C2H","274.21","-","617",""
"Nicolas Dupres-Simon Joudou","C2H","275.53","-","626",""
"Romain Bertrand-Julien Garin","C2H","276.37","-","631",""
"Gaetan Leroux-Luc Wojtasiak","C2H","287.33","-","700",""
"Louis Blasselle-Corentin Robin","C2H","292.33","-","732",""
"Xavier Montenoise-Samuel Bonvalet","C2H","320.73","-","910",""
"Aurelien Desgrez-Olivier Lebreton","C2H","324.16","-","932",""
"Romain Postaire-Vincent Gales","C2H","326.72","-","948",""
"Florian Souchaire-Loic Durand","C2H","338.33","-","1020",""
"Pierre Semenzato-Alexis Jallageas","C2H","617.70","-","2776",""
"Quentin Bove-Emmanuelle Delrue","C2M","255.62","-","473",""
"Samuel Hun-Lisa Tanet","C2M","267.59","-","547",""
"Pierre Chassigneux-Brigitte Passet","C2M","289.36","634","681",""
"Lancelot Meillier-Marie Candelier","C2M","328.96","-","926",""
"Jacques Nardeau-Christine Nardeau","C2M","365.36","-","1151",""
"Oriane Rebours","K1D","190.98","152","105",""
"Carole Bouzidi","K1D","191.02","24","106",""
"Ophelie Delaplace","K1D","200.70","56","167",""
"Flora Bove","K1D","202.06","154","175",""
"Anne Sophie Le Bailly","K1D","205.89","152","200",""
"Lisa Tanet","K1D","209.41","233","222",""
"Pauline Soenen","K1D","210.32","189","228",""
"Emilie Hernandez-brossard","K1D","210.46","236","229",""
"Camille Grezard","K1D","212.27","288","240",""
"Marion Gallois","K1D","218.09","276","278",""
"Clara Dos Santos","K1D","218.15","279","278",""
"Lea Feuillard","K1D","222.44","288","305",""
"Fiora Bourges","K1D","224.21","209","316",""
"Montaine Roumet","K1D","230.96","269","359",""
"Charlotte Lubineau","K1D","232.38","482","367",""
"Alize Bachelot","K1D","232.84","306","371",""
"Constance Martin","K1D","235.96","353","390",""
"Chloe Gatuingt","K1D","236.62","342","395",""
"Celia Jodar","K1D","237.39","358","399",""
"Sylvie Metz","K1D","238.25","371","405",""
"Stephanie Bender","K1D","239.26","-","412",""
"Adeline Gerardin","K1D","240.25","405","417",""
"Maryse Viseur","K1D","249.90","-","479",""
"Juliette Legendre","K1D","258.57","-","534",""
"Marie Candelier","K1D","258.97","-","537",""
"Alice Marquer","K1D","259.42","-","539",""
"Sandra Carisey","K1D","261.33","1395","551",""
"Celine Roulot","K1D","261.43","-","552",""
"Laurence Carrecabe","K1D","262.51","563","559",""
"Marie-helene Bruyen","K1D","264.07","545","568",""
"Marianne Herault","K1D","268.80","-","599",""
"Clothilde Charbeaux","K1D","272.30","636","621",""
"Nelly Delorme","K1D","274.43","751","634",""
"Natacha Richer","K1D","281.41","959","679",""
"Clementine Vuillermot-panthou","K1D","292.51","-","749",""
"Justine Cougnet","K1D","293.27","-","753",""
"Lola Altot","K1D","304.02","-","822",""
"Laurene Sanchez","K1D","304.36","-","824",""
"Angelina Dorleans","K1D","304.49","796","825",""
"Suzon Bachmann","K1D","313.92","1218","885",""
"Pauline Brideron","K1D","319.56","-","920",""
"Juliette Pitrey","K1D","325.54","-","959",""
"Elise Turowsky","K1D","326.26","-","964",""
"Lucie Bornier","K1D","333.18","-","1007",""
"Zubanghi Rasasegaram","K1D","333.82","-","1011",""
"Catherine Boulan","K1D","342.81","-","1068",""
"Meghan Devestel","K1D","535.96","-","2292",""
"Emilie Haillant","K1D","693.56","-","3292",""
"Oswald Besch","K1H","164.49","59","63",""
"Quentin Bove","K1H","167.54","34","85",""
"Loic Monbel","K1H","171.50","133","112",""
"Pierre Devaux","K1H","173.06","57","123",""
"Aurelien Leroy","K1H","173.45","76","127",""
"Gregory Busson","K1H","173.45","112","127",""
"Jeremy Cremonesi","K1H","173.57","83","127",""
"Joffrey Lemeux","K1H","173.76","161","129",""
"Julien Daumont","K1H","174.75","124","136",""
"Nicolas Feuillard","K1H","177.81","157","157",""
"Emile Devaux","K1H","178.21","67","159",""
"Samuel Lhegu","K1H","178.83","127","164",""
"Vincent Reiter","K1H","180.17","96","174",""
"Florian Perenchio","K1H","180.31","170","175",""
"Pierre Baux","K1H","180.82","121","179",""
"Loic Gobert","K1H","180.88","157","179",""
"Julien Signarbieux","K1H","181.57","180","183",""
"Thomas Monvoisin","K1H","182.88","182","194",""
"Bastien Belembert","K1H","183.08","217","195",""
"Simon Philibert","K1H","183.20","190","196",""
"Didier Niel","K1H","183.42","193","197",""
"Ludovic Lino","K1H","183.52","198","198",""
"Mathieu Godin","K1H","185.04","190","208",""
"Philippe Daumont","K1H","186.11","167","216",""
"Eric Lamour","K1H","186.18","223","216",""
"Valentin Casse","K1H","187.60","224","226",""
"Mehdi Rouich","K1H","188.58","249","233",""
"Romain Faurie","K1H","189.68","254","241",""
"Quentin Vallee","K1H","189.95","254","244",""
"Matthieu Walfard","K1H","189.97","229","244",""
"Emmanuel Moreau","K1H","190.65","200","248",""
"Charles Pain","K1H","190.88","265","250",""
"Bastien Darcillon","K1H","191.78","385","256",""
"Romain Lemaire","K1H","192.38","283","261",""
"Simon Boulan","K1H","192.51","192","262",""
"Simon Deboysson","K1H","192.57","254","262",""
"Kevin Lucas Mendes","K1H","193.33","305","267",""
"Denis Parizia","K1H","193.86","253","271",""
"Antoine Decambon","K1H","194.02","-","272",""
"Jeremy Bretteville","K1H","194.82","262","278",""
"Julien Fougeron","K1H","195.08","231","280",""
"Tristan Lejot","K1H","196.01","291","287",""
"Nicolas Dupres","K1H","196.63","268","291",""
"Guillaume Maraquin","K1H","197.31","316","296",""
"Samuel Hun","K1H","197.41","299","296",""
"Etienne Carpentier","K1H","197.45","300","297",""
"Guillaume Cochut","K1H","198.00","355","300",""
"Luc Wojtasiak","K1H","199.09","320","308",""
"Christophe Gosselin","K1H","199.74","287","313",""
"Timothee Venot","K1H","201.39","281","324",""
"Mathieu Monvoisin","K1H","202.28","356","331",""
"Philippe Valeri","K1H","202.98","301","336",""
"Jeremy Harel","K1H","203.72","369","341",""
"Jeremy Huguenin","K1H","204.97","445","350",""
"Jan Baudet","K1H","205.47","359","354",""
"Lorrie Delattre","K1H","206.02","342","357",""
"Mathieu Douillet","K1H","206.13","-","358",""
"Damien Jacques","K1H","206.17","364","358",""
"Franck Leray","K1H","208.08","-","372",""
"Hugo Francois","K1H","208.30","-","374",""
"Jean-loup Bachmann","K1H","208.64","386","376",""
"Thomas Dos Santos","K1H","208.88","-","378",""
"Vincent Richard","K1H","209.03","392","379",""
"Martin Sacleux","K1H","209.04","337","379",""
"Thomas Lesage","K1H","210.78","-","391",""
"Guilherme Goncalves Maghin","K1H","211.66","423","398",""
"Stephane Helle","K1H","212.26","398","401",""
"Victor Paulais","K1H","212.48","390","404",""
"Gilles Lucas","K1H","212.59","442","404",""
"William Ozanne","K1H","212.97","491","407",""
"Laurent Bes","K1H","213.04","-","407",""
"Nicolas Leclerc","K1H","213.39","-","409",""
"Romaric Baron","K1H","214.06","340","415",""
"Thomas Viratelle","K1H","214.15","368","415",""
"Gaetan Leroux","K1H","214.32","501","416",""
"Thibault Dhennin","K1H","216.16","346","430",""
"Nicolas Leconte","K1H","216.88","470","434",""
"Ronan Lucas","K1H","217.07","46","435",""
"Sami Fossat","K1H","217.22","-","437",""
"Olivier Cornu","K1H","217.88","542","441",""
"Simon Joudou","K1H","218.20","-","443",""
"Louis Philippe Rigal","K1H","218.45","47","446",""
"Camille Mege","K1H","219.27","-","451",""
"Quentin Chopart","K1H","221.14","-","465",""
"Lancelot Meillier","K1H","221.62","-","468",""
"Florian Souchaire","K1H","222.53","450","475",""
"Benoit Lecointe","K1H","222.84","-","477",""
"Marc Saliba","K1H","224.48","-","489",""
"Gaspard Gindt","K1H","224.64","517","490",""
"Maxime Boisgontier","K1H","226.02","507","499",""
"Quentin Charles","K1H","226.74","-","505",""
"Robin Guebey","K1H","227.47","-","509",""
"Maxime Huvelin","K1H","228.56","697","517",""
"Remy Daumont","K1H","229.45","431","524",""
"Hugo Chianale","K1H","229.58","-","525",""
"Matthieu Duval","K1H","229.95","-","527",""
"Tom Barthelemy","K1H","233.65","-","554",""
"Sylvain Pionnier","K1H","235.85","574","569",""
"Xavier Montenoise","K1H","236.03","5391","571",""
"Yoann Nurit","K1H","237.76","-","583",""
"Dominique Odile","K1H","240.30","576","601",""
"Thomas Letellier","K1H","241.17","-","607",""
"Patrick Hun","K1H","241.96","667","613",""
"Vincent Nicolosi","K1H","243.29","1267","622",""
"Olivier Ranucci","K1H","246.18","-","642",""
"Jeremy Denis","K1H","247.40","-","651",""
"Elie Mahfouz","K1H","247.59","815","652",""
"Corentin Marteau","K1H","248.24","800","657",""
"Damien Borlet","K1H","249.29","-","665",""
"Adrien Barlier","K1H","250.10","773","671",""
"Johann Sacleux","K1H","252.15","633","685",""
"Leo Roels","K1H","252.23","-","685",""
"Christophe Dufresne","K1H","253.82","990","697",""
"Laurent Ernou","K1H","254.34","645","700",""
"Mickael Lefuel","K1H","254.54","-","702",""
"Alexandre Degeeter","K1H","254.68","-","703",""
"Louka Bachmann","K1H","256.32","1924","715",""
"Gerard Cartier","K1H","257.28","643","722",""
"Paul Batrel","K1H","260.70","445","746",""
"Thomas Van Craenenbroeck","K1H","263.23","606","764",""
"Jean Marc Lejot","K1H","263.34","729","765",""
"Anthony Gillot","K1H","267.79","-","797",""
"Charles-henri Aube","K1H","272.02","-","826",""
"Hassan Zaryoh","K1H","272.87","904","832",""
"Francois Durand","K1H","273.05","-","833",""
"Sebastien Dupont","K1H","275.21","495","849",""
"Julien Garin","K1H","276.21","1635","856",""
"Morgan Candas","K1H","276.60","791","859",""
"Gerard Doucet","K1H","279.19","-","877",""
"Alexis Jallageas","K1H","279.64","-","881",""
"Christopher Deschamps-colonual","K1H","287.18","1781","934",""
"Vincent Gales","K1H","289.45","-","950",""
"Alexandre Becuwe","K1H","292.29","-","970",""
"Loic Durand","K1H","293.11","749","976",""
"Romain Postaire","K1H","294.38","-","985",""
"Hadrian Loreille","K1H","300.65","-","1029",""
"Maxime Hanique","K1H","302.93","-","1045",""
"Jeremy Delatour","K1H","304.55","-","1057",""
"Quentin Vimard","K1H","305.31","-","1062",""
"Alexandre Baron","K1H","305.74","-","1066",""
"Marc Ansel","K1H","317.65","-","1150",""
"Victor Moraine","K1H","332.48","-","1255",""
"Thomas Laverdure","K1H","350.37","-","1383",""
"Pierre Semenzato","K1H","372.04","-","1537",""
"Francois Dupont","K1H","378.81","-","1585",""
"Alexis Mansuy","K1H","382.04","-","1608",""
"Benjamin Faisy","K1H","397.17","-","1715",""
"Arnaud Allibert","K1H","419.11","-","1871",""
