"Sélectif Régional de Slalom - Le Bourget du Lac - Course n°1 | Finale - 2019-09-28","Course n°1 | Finale","2019-09-28","Régional","119"
"Stephane Abadie","K1H","117.06","558.62","646.59","Course n°1 | Finale B"
"Enki Georgel","K1H","117.92","595.33","658.33","Course n°1 | Finale B"
"Isaac Pinneau","K1H","119.08","672.62","674.18","Course n°1 | Finale B"
"Anael Audouin","K1H","121","620.73","700.4","Course n°1 | Finale B"
"Tom Ollinet","K1H","121.75","600.77","710.65","Course n°1 | Finale B"
"Clement Innocenti","K1H","124.75","698.26","751.62","Course n°1 | Finale B"
"Sebastien Cottrant","K1H","127.73","911.16","792.32","Course n°1 | Finale B"
"GaÊl Bonnot","K1H","129.06","931.3","810.49","Course n°1 | Finale B"
"Tom Kuntzinger","K1H","134.94","939.5","890.8","Course n°1 | Finale B"
"Victor Eduardo Carneiro Gomes","K1HM","113.56","742.19","598.78","Course n°1 | Finale B"
"Elie Sutra","K1HM","115.6","581.6","626.65","Course n°1 | Finale B"
"Livio Richard","K1HM","128.89","783.51","808.17","Course n°1 | Finale B"
"Gustave Gonseth","K1HM","131.43","762.92","842.86","Course n°1 | Finale B"
"Titouan Carbon","K1HM","136.76","914.98","915.66","Course n°1 | Finale B"
"Theo Traore","K1HM","166.33","1008.05","1319.54","Course n°1 | Finale B"
