"COURSE ESPOIR N°1 - CHAMPIONNAT REGIONAL - Sélestat - 2006-09-24","Course 1","2006-09-24","Régional","185"
"De Grandi Pierre Adrien","K1H","282.74","-","626",""
"Quentin Veith","K1H","284.81","-","638",""
"David Pierson","K1H","284.98","1596","640",""
"Gasser Daniel","K1H","286.75","-","650",""
"Jonathan Matern","K1H","291.39","-","679",""
"Grandin Berenger","K1H","291.70","-","681",""
"Silvere Desongins","K1H","300.13","-","734",""
"Alexandre Lambert","K1H","302.34","717","748",""
"Zahm Nicolas","K1H","303.12","-","752",""
"Jaegle Pierre","K1H","310.62","-","799",""
"Munschina Vincent","K1H","317.62","-","842",""
"Alain Rolling","K1H","318.90","-","850",""
"Otello Willmann Rosso","K1H","326.01","-","894",""
"De March Valentin","K1H","330.16","-","920",""
"Cervenka Paul","K1H","330.74","-","923",""
"Lonjon Philippe","K1H","333.28","-","940",""
"Luc Dole","K1H","340.27","-","983",""
"Benjamin Maubert","K1H","340.47","-","984",""
"Bernier Laurent","K1H","346.49","-","1022",""
"Ohnimus Lionel","K1H","357.85","-","1092",""
"Oueslati Pierre-Yves","K1H","384.73","-","1260",""
"Esteve Del Canto","K1H","386.18","-","1269",""
"Antoine Stadler","K1H","557.18","-","2332",""
