"Sélectif Régional - Cigné - Qualification - 2014-12-07","Qualification","2014-12-07","Régional","139"
"Dominique Badie-kallou","K1D","147.75","683.97","662.59",""
"Caroline Froissard","K1D","161.25","1223.96","814.45",""
"Manon Borde","K1D","Abs","-","-",""
"Lou Boisnard","K1DM","118.06","-","-",""
"Aziliz Quintin","K1DM","122.06","-","373.61",""
"Manon Chaumont","K1DM","136.19","1030.75","532.55",""
"Romane Bronchet","K1DM","142.19","-","-",""
"Josephine Farges","K1DM","147.93","-","664.61",""
"Garance Dalaine","K1DM","149.12","-","678.01",""
"GaËlle Bail","K1DM","158.15","-","779.58",""
"Orane Avry","K1DM","201.94","-","-",""
"Elisa Langlois","K1DM","Abs","-","-",""
"Gael Prodeau","K1H","90","70.58","144.58",""
"Samuel Lhegu","K1H","90.5","87.45","150.94",""
"Louison Turmeau","K1H","90.81","82.65","154.88",""
"Xavier Jourdain","K1H","93.03","149.07","183.1",""
"Thibault Marchand","K1H","93.31","115.25","186.66",""
"Matthieu Chauvel","K1H","94.03","198.33","195.81",""
"Benjamin Thiboust","K1H","94.94","100.99","207.38",""
"Nicolas Rouleaud","K1H","95.44","165.01","213.73",""
"Herve Busson","K1H","97.56","168.4","240.68",""
"Martin Belliot","K1H","97.75","261.8","243.09",""
"Remi Vinet","K1H","97.9","214.38","245",""
"Theo Lecomte","K1H","97.96","233.55","245.76",""
"Axel Meheust","K1H","98.16","301.25","248.31",""
"Guillaume De Fierville","K1H","99.19","278.15","261.4",""
"Denis Guilmard","K1H","100.37","253.17","276.4",""
"Gaetan Hamelin","K1H","100.5","227.37","278.05",""
"Hugues Moret","K1H","100.91","246.74","283.26",""
"Erwan Jonin","K1H","101.37","325.59","289.11",""
"Timothee Le Mort","K1H","103.63","261.57","317.84",""
"Manuel Moquet","K1H","103.69","287.66","318.6",""
"Jean Terasas","K1H","106.22","422.86","350.76",""
"Lucas Godevin","K1H","107.96","382.52","372.88",""
"Thomas Brochard","K1H","111.37","397.35","416.22",""
"Loic Froissard","K1H","111.68","384.72","420.16",""
"Alexis Belkheir","K1H","112.88","405.47","435.41",""
"Antonin Leray","K1H","113.91","464.31","448.51",""
"Pierre Huan","K1H","113.96","499.22","449.14",""
"Christophe Gergaud","K1H","114.25","458.96","452.83",""
"Jean Aussant","K1H","115.25","-","465.54",""
"Lucas Chancerel","K1H","117.5","853.61","494.14",""
"Francois Biron","K1H","118.88","-","511.68",""
"Antoine Repussard","K1H","120.44","661.61","531.51",""
"Alexis Brule","K1H","121.12","500.9","540.15",""
"Thibault Maniere","K1H","121.47","-","544.6",""
"Gilbert Lagneau","K1H","123.03","1266.61","564.43",""
"Thierry Dugue","K1H","124.81","711.07","587.06",""
"Christian Belouin","K1H","125.75","670.16","599.01",""
"Alexandre Catherine","K1H","127.5","682.74","621.25",""
"Clement Collardez","K1H","128.01","1146.11","627.73",""
"Scotty Lacroix","K1H","129.94","2493.14","652.27",""
"Lucas Berthelot","K1H","132.28","-","682.01",""
"Jean-christophe Dubois","K1H","135.5","-","722.94",""
"Leo Prel","K1H","142.06","-","806.33",""
"Olivier Brochard","K1H","161.25","417.47","1050.25",""
"Andy Barat","K1H","Abs","-","-",""
"Jacques Despierres","K1H","Abs","-","-",""
"Loann Le Guyader","K1H","Abs","-","-",""
"Antoine Richard","K1H","Abs","-","-",""
"Lois Moreau","K1H","Abs","-","-",""
"Jonas Godevin","K1HM","103.62","376.31","317.71",""
"Florian Busson","K1HM","105.88","-","-",""
"Pierre Bourdet","K1HM","107.56","451.77","367.79",""
"Vincent Laclide","K1HM","109.38","-","390.93",""
"Lucas Jacob","K1HM","111.5","599.86","417.87",""
"Alexis Bobon","K1HM","113.18","503.25","439.23",""
"Tom Suteau","K1HM","114.12","-","451.18",""
"Romain Branjauneau","K1HM","115.5","-","-",""
"Yoan Maillard","K1HM","115.69","-","471.13",""
"Alex Louveau","K1HM","115.72","-","-",""
"Gaetan Robin","K1HM","116.69","-","-",""
"Remi Catherine","K1HM","119.78","-","523.12",""
"Benoit Guernic","K1HM","121.47","-","544.6",""
"Theo Anton  Heteau","K1HM","122.31","-","-",""
"Augustin Francois","K1HM","122.62","-","559.22",""
"Samuel Vallienne","K1HM","123.31","-","-",""
"Louis Prezeau","K1HM","123.62","616.48","571.93",""
"Matheo Coquel","K1HM","124.25","-","-",""
"Mateo Aligon","K1HM","127.25","-","-",""
"Regis Navinel-dubois","K1HM","137.63","-","-",""
"Thibaud Collaert","K1HM","244.72","-","2111.26",""
"Baptiste Brunet","K1HM","Abs","-","-",""
