"Sélectif National 3 Slalom Ouest - Parc Des Eaux Vives Inzinzac-lochrist (la Mecque2) - Finale - 2017-03-19","Finale","2017-03-19","Nationale 3","279"
"Anais Robineau","K1D","163.97","660.41","892.27","Finale B"
"Aubane Leca","K1D","166.13","747.78","916.98","Finale B"
"Gwendoline Hall","K1D","166.78","442.57","924.41","Finale B"
"Claire Chaussadas","K1D","169.36","763.44","953.92","Finale B"
"Jeanne Bonthonnou","K1D","215.2","701.29","1478.26","Finale B"
"Caroline Froissard","K1D","220.17","810.36","1535.12","Finale B"
"Lucie Lemetayer","K1D","264.6","817.43","2043.33","Finale B"
"Corentin Makosso","K1H","107.59","497.77","407.35","Finale B"
"Jonas Flament","K1H","108.15","365.4","414.59","Finale B"
"Guillaume Cazee","K1H","108.48","543.64","418.85","Finale B"
"Brieg Le Paih","K1H","109.51","395.11","432.17","Finale B"
"Valentin Rault","K1H","109.79","381.11","435.79","Finale B"
"Gurvan Huet","K1H","110.32","461.08","442.64","Finale B"
"Guillaume Arnaud","K1H","110.5","431.55","444.96","Finale B"
"Malo Marquet","K1H","111.28","401.62","455.05","Finale B"
"Louis Brocard","K1H","113.16","-","479.35","Finale B"
"Julien Mizzi","K1H","113.81","544.31","487.75","Finale B"
"Guillaume Le Paih","K1H","114.66","555.49","498.73","Finale B"
"Romain Malard","K1H","115.35","530.46","507.65","Finale B"
"Collin Pouradier","K1H","115.42","419.99","508.56","Finale B"
"Matheo Coquel","K1H","115.52","483.31","509.85","Finale B"
"Regis Navinel-dubois","K1H","115.66","504.22","511.66","Finale B"
"Nicolas Leconte","K1H","116.52","467.17","522.78","Finale B"
"Pierre Guilchet","K1H","117.74","453.4","538.54","Finale B"
"Jean Yves Prigent","K1H","117.8","485.14","539.32","Finale B"
"Adrien Pierre","K1H","118.68","509.89","550.69","Finale B"
"Youenn Peloil","K1H","118.75","573.39","551.6","Finale B"
"Victor Lagleyze","K1H","118.82","634.2","552.5","Finale B"
"Gaston Canevet","K1H","119.06","563.47","555.61","Finale B"
"Olivier Brochard","K1H","120.19","509.08","570.21","Finale B"
"Samuel Piton","K1H","120.4","580.51","572.93","Finale B"
"Marius Benard","K1H","120.72","617.61","577.06","Finale B"
"Nathan Corfmat","K1H","121.2","602.58","583.27","Finale B"
"Ludovic Couture","K1H","121.36","493.42","585.34","Finale B"
"Jules Roos","K1H","122.71","601.04","602.78","Finale B"
"Ulysse Guillarm","K1H","123.12","737.69","608.08","Finale B"
"Louis Beaumois","K1H","123.13","553.09","608.21","Finale B"
"Etienne Chevrier","K1H","124.4","689.78","624.63","Finale B"
"Hugo Robert","K1H","124.67","536.07","628.12","Finale B"
"Mael Le Goff","K1H","124.93","527.48","631.48","Finale B"
"Romain Brouard","K1H","125.03","722.76","632.77","Finale B"
"Yoann Chipeau","K1H","125.18","622.81","634.71","Finale B"
"Tanguy Odot","K1H","125.64","508.94","640.66","Finale B"
"David Hamon","K1H","125.7","633.21","641.43","Finale B"
"Baptiste Madic","K1H","125.88","732.67","643.76","Finale B"
"Adrien Le Collinet","K1H","126.13","621.64","646.99","Finale B"
"Marin Salmon","K1H","126.16","605.82","647.38","Finale B"
"Tanguy Rolland","K1H","126.21","781.96","648.02","Finale B"
"Deverig Cardiec","K1H","126.41","617.5","650.61","Finale B"
"Tom Seguillon","K1H","127.27","422.03","661.73","Finale B"
"Luck Thomas","K1H","127.45","564.85","664.05","Finale B"
"Rafael Lerusse","K1H","127.86","627.28","669.35","Finale B"
"Elouan Pennors","K1H","128.32","548.74","675.3","Finale B"
"Cesar Le Berder","K1H","128.55","650.93","678.27","Finale B"
"Thomas Roy","K1H","128.75","616.55","680.86","Finale B"
"Valentin Soullard","K1H","130.11","572.33","698.43","Finale B"
"Ronan Le Fer","K1H","130.21","567.15","699.73","Finale B"
"Alexis Bizon","K1H","131.09","520.17","711.1","Finale B"
"Aubin Davaic","K1H","131.9","495.66","721.57","Finale B"
"Louis-felix Marchand","K1H","131.91","610.46","721.7","Finale B"
"Amael Samson","K1H","132.53","489.15","729.71","Finale B"
"Antoine Aubert","K1H","132.77","660.73","732.82","Finale B"
"Yann Dhieux","K1H","134.42","607.84","754.14","Finale B"
"Yohan Dupont","K1H","135.28","428.94","765.26","Finale B"
"Pierre-alexandre Lenain","K1H","135.43","845.71","767.2","Finale B"
"Noah Fresneda","K1H","136.37","619.38","779.35","Finale B"
"Eric Pouradier","K1H","137.28","812.06","791.11","Finale B"
"Tom Milon","K1H","138.1","873.6","801.71","Finale B"
"Romain Caburol","K1H","138.96","699.82","812.83","Finale B"
"Hugo Bardot","K1H","141.28","864.45","842.81","Finale B"
"Christian Le Parc","K1H","141.59","665.2","846.82","Finale B"
"Malo De Bermingham","K1H","141.94","738.96","851.34","Finale B"
"Yann Curti","K1H","142.04","641.59","852.64","Finale B"
"Olivier Fournier","K1H","142.11","877.72","853.54","Finale B"
"Alexis Carpentey","K1H","142.31","554.12","856.13","Finale B"
"Alexis Jarrige","K1H","143.03","764.72","865.43","Finale B"
"Kilian Berlu","K1H","143.19","834.33","867.5","Finale B"
"Simon Labet","K1H","143.86","831.64","876.16","Finale B"
"Benjamin Pagerie","K1H","145.95","857.12","903.18","Finale B"
"Baptiste Rolland","K1H","151.24","647.42","971.55","Finale B"
"Benjamin Borgne","K1H","151.62","723.02","976.46","Finale B"
"Gerard Lemonnier","K1H","155.22","705.6","1023","Finale B"
"Pierre Rochon","K1H","160.53","702.71","1091.63","Finale B"
"Nicolas Petipez","K1H","163.08","757.22","1124.59","Finale B"
"Logan Toubel","K1H","163.49","824.33","1129.89","Finale B"
"Mael Monjaret","K1H","165.22","505.25","1152.25","Finale B"
"Thierry Dugue","K1H","170.3","849.92","1217.91","Finale B"
"Louis Nivet","K1H","172.2","916.9","1242.47","Finale B"
"Jean-christophe Dubois","K1H","176.1","861.4","1292.88","Finale B"
"Sylvain Premel","K1H","177.78","460.63","1314.6","Finale B"
"Mathis Guilleray","K1H","187.02","752.79","1434.03","Finale B"
"Axel Barre","K1H","187.36","918.99","1438.42","Finale B"
"Mallory Brochard","K1H","188.77","885.39","1456.65","Finale B"
"Erwann Le Jeune","K1H","190.97","415.12","1485.08","Finale B"
"Julien Buors","K1H","191.43","607.41","1491.03","Finale B"
"Titouan Le Jeune","K1H","201.55","694.18","1621.84","Finale B"
"Victor Robert","K1H","207.54","716.51","1699.26","Finale B"
"Tudual Telbois","K1H","209.49","946.72","1724.47","Finale B"
"Corentin Beaumois","K1H","212.44","801.22","1762.6","Finale B"
"Anthony Guyomard","K1H","Des","-","-","Finale B"
