"SÈlectif Championnat National 2 Slalom - Tours - Finale - 2018-04-08","Finale","2018-04-08","Nationale 2","271"
"Bertrand Gutierrez","K1H","88.59","199.96","181.06","Finale A"
"Tom Deconchy","K1H","89.02","161.89","186.44","Finale A"
"Thibaud Lacour","K1H","89.85","189.56","196.83","Finale A"
"Luc Sarramea","K1H","90.1","211.2","199.96","Finale A"
"Laurent Starck","K1H","90.5","203.96","204.96","Finale A"
"Gael Adisson","K1H","90.58","215.13","205.97","Finale A"
"David Mingasson","K1H","90.67","168.59","207.09","Finale A"
"Samuel Bonella","K1H","91.18","219.79","213.48","Finale A"
"Fabien Le Nechet","K1H","91.26","216.91","214.48","Finale A"
"Xavier Jourdain","K1H","91.48","162.46","217.23","Finale A"
"Romain Branjauneau","K1H","91.94","243.58","222.99","Finale A"
"Benjamin Thiboust","K1H","91.99","174.28","223.61","Finale A"
"Nicolas Caussanel","K1H","92.07","210.29","224.62","Finale A"
"Jonathan Delagnes","K1H","92.09","233.11","224.87","Finale A"
"Sam Traquet","K1H","92.43","240.67","229.12","Finale A"
"Jeremie Palazy","K1H","92.78","172.56","233.5","Finale A"
"Tanguy Zaninotto","K1H","93.09","194.05","237.38","Finale A"
"Vincent Reiter","K1H","93.11","221.56","237.63","Finale A"
"Jules Cresp","K1H","93.21","195.44","238.88","Finale A"
"Loœc Winiarski","K1H","93.4","222.29","241.26","Finale A"
"Jean Charles Hacquart","K1H","93.48","224.89","242.26","Finale A"
"Lucas Augu","K1H","93.58","219.79","243.51","Finale A"
"Tom Babin","K1H","93.61","230.24","243.89","Finale A"
"Kawan Thomas","K1H","93.77","190.27","245.89","Finale A"
"Benoit Letellier","K1H","93.93","213.64","247.9","Finale A"
"Loric Bertrand Delorme","K1H","94.46","257.14","254.53","Finale A"
"Jules Bevalot","K1H","95.27","189.45","264.67","Finale A"
"Noe Perreau","K1H","95.61","214.68","268.92","Finale A"
"Pierre Audouin","K1H","96.02","238.34","274.06","Finale A"
"Vincent Hannedouche","K1H","96.61","249.1","281.44","Finale A"
"Etienne Wiche","K1H","96.62","256.25","281.57","Finale A"
"Hugo Simon","K1H","96.67","257.44","282.19","Finale A"
"Francois Gillot","K1H","97.18","250.78","288.57","Finale A"
"Lucas Galmiche","K1H","97.84","169.56","296.84","Finale A"
"Luc Hellard","K1H","98.08","193.99","299.84","Finale A"
"Johann Loiseau","K1H","98.11","200.19","300.21","Finale A"
"Anthony Mottais","K1H","98.53","259.52","305.47","Finale A"
"Benjamin Thouvignon","K1H","98.91","265.89","310.23","Finale A"
"Maxence Merpillat","K1H","98.95","219.95","310.73","Finale A"
"Silvere Desongins","K1H","99.14","244.69","313.11","Finale A"
"Florentin Saumon","K1H","99.16","215.38","313.36","Finale A"
"Sebastien Routhier","K1H","99.38","225.85","316.11","Finale A"
"Corentin Monasse","K1H","101.25","176.33","339.52","Finale A"
"Malo Legrand","K1H","103.32","200.36","365.43","Finale A"
"Nathan Boudaillez","K1H","105.49","228.03","392.59","Finale A"
"Florient Tagnon","K1H","107.87","251.02","422.38","Finale A"
"Alex Louveau","K1H","138.9","176.41","810.76","Finale A"
"Fabien Tournadre","K1H","139.48","171.2","818.02","Finale A"
"Luca Dos Santos","K1H","139.98","183.59","824.28","Finale A"
"Nicolas Feuillard","K1H","140.25","182.45","827.66","Finale A"
"Damien Launay","K1H","140.51","155.27","830.91","Finale A"
"Andreas Dupuy","K1H","141.01","196.92","837.17","Finale A"
"Nicolas Mevel","K1H","143.07","150.61","862.96","Finale A"
"Anthony Thuillier","K1H","143.12","171.8","863.58","Finale A"
"Dylan Sourbe","K1H","143.92","223.12","873.6","Finale A"
"Hector Combes","K1H","147.96","282.75","924.16","Finale A"
"Zeph Scamps","K1H","148.11","177.8","926.04","Finale A"
"Erwan Rouch","K1H","151.1","218.28","963.46","Finale A"
"Arnaud Verrons","K1H","184.28","194.75","1378.76","Finale A"
"Raphael Olla","K1H","188.04","202.12","1425.82","Finale A"
"Alexis Bobon","K1H","217.28","233.94","1791.81","Finale A"
"Matheo Gillaizeau","K1H","252.49","203.98","2232.51","Finale A"
"Perrine Joubert","C1D","138.89","415.26","525.91","Finale B"
"Elorri Erdois","C1D","142.56","402.65","564.18","Finale B"
"Lucille Meunier-cheyssac","C1D","145.24","396.27","592.13","Finale B"
"Alice Evlachev","C1D","202.92","377.49","1193.76","Finale B"
"C…cilia Bourgeois","C1D","272.87","384.81","1923.37","Finale B"
"Adrien Fischer","C1H","96.77","213.96","230.77","Finale B"
"Gaspard Perrio","C1H","97.85","310.51","243.64","Finale B"
"Aaron Penning","C1H","101.27","251.61","284.41","Finale B"
"Eloi Seemann","C1H","102.29","221.36","296.57","Finale B"
"Marvin Tulpin","C1H","106.7","286.68","349.14","Finale B"
"Philippe Thevenin","C1H","107.37","309.44","357.12","Finale B"
"Tomy Dandonneau","C1H","108.13","313.74","366.18","Finale B"
"Nicolas Baudoin","C1H","108.24","289.76","367.5","Finale B"
"Leo Dujourd'hui","C1H","109.7","318.36","384.89","Finale B"
"Paul Aubertin","C1H","110.39","285.22","393.12","Finale B"
"Maxime Kabir","C1H","110.62","306.03","395.86","Finale B"
"Lubin Huet","C1H","112.14","312.4","413.98","Finale B"
"Dominik Gosset","C1H","113.64","297.15","431.87","Finale B"
"Xavier Jourdain","C1H","114.84","267.65","446.16","Finale B"
"Matheo Lebaindre","C1H","115.26","318.24","451.17","Finale B"
"Silvere Desongins","C1H","121.83","837.79","529.5","Finale B"
"Hugo Eouzan-chaffotec","C1H","123.79","335.48","552.85","Finale B"
"Medhi Deguil","C1H","126.48","369.25","584.92","Finale B"
"Samuel Vallienne","C1H","131.93","318.04","649.89","Finale B"
"Robin Pottelette","C1H","159.61","373.43","979.85","Finale B"
"L…o Le Moigne","C1H","161.22","335.76","999.04","Finale B"
"Richard Davy","C1H","166.26","324.43","1059.12","Finale B"
"Herve Clerc-Pierrealain Clerc","C2H","151.96","369.09","806.31","Finale B"
"Timothee Le Mort-David Mingasson","C2H","227.22","845.6","1662.68","Finale B"
"Simon Dubosc-Quentin Angot","C2H","318.59","486.82","2702.34","Finale B"
"Frederic Boob-Frederique Merle","C2M","151.93","312.1","661.91","Finale B"
"Morgane Quemerais-Matheo Lebaindre","C2M","174.11","806.48","893.27","Finale B"
"Vincent Laclide-Romane Bronchet","C2M","236.98","952.66","1549.02","Finale B"
"Alice Azam","K1D","107.37","216.03","266.51","Finale B"
"Zoe Huet","K1D","111.09","309.39","307.71","Finale B"
"Morgane Quemerais","K1D","114.12","258.18","341.27","Finale B"
"Elena Hugues","K1D","117.68","250.86","380.71","Finale B"
"Sarah Lyphout","K1D","118.18","391.51","386.25","Finale B"
"Alice Evlachev","K1D","118.39","274.23","388.57","Finale B"
"Zoe Bruchon","K1D","121.83","268.32","426.67","Finale B"
"Tifenn Primet","K1D","124.11","323.25","451.93","Finale B"
"Adeline Roux","K1D","125.34","326.99","465.55","Finale B"
"Camille Berson","K1D","128.35","342.27","498.9","Finale B"
"Maela Le Corre","K1D","129.64","333.88","513.19","Finale B"
"Romane Bronchet","K1D","132.04","361.53","539.77","Finale B"
"Elke Saragas","K1D","132.95","316.49","549.85","Finale B"
"Lise Denat","K1D","136.64","437.43","590.72","Finale B"
"Perrine Joubert","K1D","137.63","325.91","601.68","Finale B"
"Carine Chapuis","K1D","139.27","332.93","619.85","Finale B"
"Celia Jodar","K1D","139.32","463.22","620.41","Finale B"
"Jessica Joyau","K1D","146.58","376.12","700.82","Finale B"
"Jann Le Corre","K1D","148.03","356.32","716.88","Finale B"
"Camille Santa Cruz","K1D","149.24","379.99","730.29","Finale B"
"Alina Rassel","K1D","152.45","522.62","765.83","Finale B"
"Solen Friconneau","K1D","156.45","372.75","810.14","Finale B"
"Marie Amelie Silvin","K1D","166.06","280.73","916.6","Finale B"
"Celia Grandadam","K1D","169.79","254.53","957.91","Finale B"
"Solene Lafitte","K1D","178.11","418.59","1050.06","Finale B"
"Jeanne Bernard","K1D","187.48","370.13","1153.85","Finale B"
"Manon Le Lay","K1D","187.99","394.09","1159.5","Finale B"
"Elorri Erdois","K1D","188.6","357.52","1166.26","Finale B"
"Jade Robin","K1D","197.06","424.75","1259.96","Finale B"
"Oceane Baylacq","K1D","207.7","298.73","1377.82","Finale B"
"Ilona Martin -laemle","K1D","208.11","284.97","1382.36","Finale B"
"Coline Bertin","K1D","216.31","306.93","1473.19","Finale B"
"Ilhame Siraj","K1D","219.03","348.37","1503.32","Finale B"
"Adele Charlaigre","K1D","228.41","331.05","1607.22","Finale B"
"Arnaud Lapeze","K1H","87.87","159.69","177.05","Finale B"
"Lucas Jacob","K1H","87.88","181.71","177.17","Finale B"
"Arthur Mizzi","K1H","88.06","181.19","179.42","Finale B"
"Valentin Brindeau","K1H","88.84","157.48","189.19","Finale B"
"Benoit Chantry","K1H","90.02","154.66","203.96","Finale B"
"Boris Chenal","K1H","91.51","412.94","222.61","Finale B"
"Hippolyte Cail","K1H","92.09","202.18","229.87","Finale B"
"Gawaine Chikh","K1H","92.42","261.62","234","Finale B"
"Joris Schaffner","K1H","93.37","199.44","245.89","Finale B"
"Leo Fournier","K1H","93.83","177.83","251.64","Finale B"
"Lorin Dumont","K1H","93.89","263.97","252.4","Finale B"
"Jerome Olhagaray","K1H","94.09","228.31","254.9","Finale B"
"Romain Guyomard","K1H","94.4","226.74","258.78","Finale B"
"Antonin Barraud","K1H","94.54","224.75","260.53","Finale B"
"Charles Edouard Dherment","K1H","94.71","225.81","262.66","Finale B"
"Nicolas Rouleaud","K1H","94.84","199.16","264.29","Finale B"
"Yann Zaepffel","K1H","94.89","306.64","264.91","Finale B"
"Paul Gestin","K1H","95.2","197.28","268.79","Finale B"
"Thomas Ukalovic","K1H","95.54","268.07","273.05","Finale B"
"Arthur Lagleyze","K1H","96.4","255.79","283.81","Finale B"
"Loan Queffelec","K1H","96.43","227.66","284.19","Finale B"
"Nicolas Mangeolle","K1H","96.78","275.52","288.57","Finale B"
"Luca Barone","K1H","97.43","243.38","296.7","Finale B"
"Remi Vinet","K1H","97.57","216.01","298.46","Finale B"
"Adrien Picco","K1H","97.67","252.34","299.71","Finale B"
"Youn Aubry","K1H","98.87","227.78","314.73","Finale B"
"Djendy Simeant","K1H","98.92","263.58","315.35","Finale B"
"Alan Mahe","K1H","100.39","211.61","333.75","Finale B"
"Damien Ganthier","K1H","100.4","233.33","333.88","Finale B"
"Herve Busson","K1H","101.61","228.66","349.02","Finale B"
"Edouard Chenal","K1H","101.65","289.87","349.52","Finale B"
"Noe Monier","K1H","101.67","273.5","349.77","Finale B"
"Jeanmichel Regnier","K1H","101.73","260.98","350.52","Finale B"
"Joris Rocher","K1H","101.8","275.82","351.4","Finale B"
"Guillaume De Fierville","K1H","102.03","310.68","354.28","Finale B"
"Maxime Aubertin","K1H","103.41","280.27","371.55","Finale B"
"Denis Guilmard","K1H","103.89","283.42","377.56","Finale B"
"Timothee Le Mort","K1H","104.32","261.38","382.94","Finale B"
"Baptiste Granger","K1H","104.37","248.19","383.57","Finale B"
"Julien Saguet","K1H","104.46","261.37","384.69","Finale B"
"Vincent Laclide","K1H","104.5","246.21","385.2","Finale B"
"Simon Dubosc","K1H","104.93","239.22","390.58","Finale B"
"Leo Tasset","K1H","106.03","284.03","404.35","Finale B"
"Florian Sauvage","K1H","106.3","288.78","407.72","Finale B"
"Fabien De Almeida","K1H","107.41","281.24","421.62","Finale B"
"Andy Barat","K1H","108.95","269.06","440.89","Finale B"
"Olivier Cain","K1H","110.35","318.09","458.42","Finale B"
"Adrien Mesmoudi","K1H","113.43","287.76","496.97","Finale B"
"Bertrand Bercon","K1H","113.51","315.16","497.97","Finale B"
"Antoine Saul","K1H","115.39","232.35","521.5","Finale B"
"Loœc Pottier","K1H","117.95","284.99","553.54","Finale B"
"Yohan Marck","K1H","133.6","378.59","749.43","Finale B"
"Valentin Courtiade","K1H","141.95","181.65","853.94","Finale B"
"Timothee Cornu","K1H","144.05","195.73","880.22","Finale B"
"Lucas Correia","K1H","144.18","252.51","881.85","Finale B"
"Valentin Vibert","K1H","147.97","239.4","929.29","Finale B"
"Nathan Flageul","K1H","148.32","265.74","933.67","Finale B"
"Otello Willmann Rosso","K1H","148.45","227.51","935.3","Finale B"
"Natan Brule","K1H","150.92","215.77","966.21","Finale B"
"Yvan Leblond","K1H","152.25","263.29","982.86","Finale B"
"Sebastien Mouyen Bie","K1H","154.27","281.96","1008.14","Finale B"
"Jean Philippe Roche","K1H","158.68","314.14","1063.34","Finale B"
"Benjamin Dodane","K1H","159.92","209.5","1078.86","Finale B"
"Quentin Clerc","K1H","159.97","266.51","1079.49","Finale B"
"Nathan Hossin","K1H","193.76","245.92","1502.42","Finale B"
"Alexis Dorey","K1H","204.17","229.6","1632.72","Finale B"
"Aubry Bertin","K1H","256.12","274.46","2282.95","Finale B"
