"Sélectif régional de Huningue - Huningue - 2007-03-11","Course 1","2007-03-11","Régional","126"
"Andrea De Azevedo","K1D","231.20","162","186",""
"Sarah Michel","K1D","239.92","232","228",""
"Gaelle Tosser-roussey","K1D","240.23","256","229",""
"Virginie Aubert","K1D","247.97","230","267",""
"Anne Traband","K1D","252.57","287","290",""
"Sylvaine Louis","K1D","254.33","287","299",""
"Apert Maia","K1D","259.70","-","325",""
"Wey Marie Linh","K1D","263.07","325","341",""
"Anne Fischer","K1D","270.81","169","378",""
"Cecile Meichel","K1D","275.62","394","403",""
"Marechal Brigitte","K1D","280.91","307","428",""
"Maud Thisse","K1D","286.57","383","456",""
"Rosalie Kempf","K1D","288.68","354","466",""
"Elodie Delavelle","K1D","290.28","340","474",""
"Sophie Balmossiere","K1D","292.09","406","482",""
"Florianne Gautier","K1D","292.48","328","484",""
"Lisa Elasri","K1D","298.42","345","514",""
"Marlene Devillez","K1D","313.06","139","585",""
"Christelle Gilg","K1D","315.43","447","596",""
"Stephanie Ansot","K1D","330.99","340","672",""
"Cassandre Sucker","K1D","341.18","394","722",""
"Sarah Rothenbuhler","K1D","377.52","503","900",""
"Marlene Dumoulin","K1D","392.01","451","970",""
"Bientz Camille","K1D","417.01","-","1092",""
"Amalia Mazzilli","K1D","472.17","803","1362",""
"Bergdoll Clemence","K1D","539.64","738","1691",""
"Frederic Walczak","K1H","190.78","18","109",""
"Di Lauro Maxime","K1H","197.45","115","146",""
"Jerome Olhagaray","K1H","200.28","126","161",""
"Emmanuel Walczak","K1H","200.90","111","165",""
"Jules Bevalot","K1H","205.60","145","191",""
"Alexis Caspar","K1H","207.00","147","198",""
"Kevin Burgi","K1H","208.05","156","204",""
"Julien Haberland","K1H","209.67","178","214",""
"Klauss Gauthier","K1H","210.28","-","217",""
"Mathieu Biazizzo","K1H","213.26","183","233",""
"Jeremy Poux","K1H","213.30","210","233",""
"Mathieu Haberland","K1H","213.66","225","235",""
"Fabien Hantz","K1H","213.86","176","236",""
"Sylvain Herrbach","K1H","214.14","180","238",""
"Douillet Guilhem","K1H","214.73","150","241",""
"Nathan Barbier","K1H","214.78","203","241",""
"Nicolas Ciemniewski","K1H","215.51","206","246",""
"Maxime Faivre","K1H","215.74","215","247",""
"Loic Sieber","K1H","215.77","350","247",""
"Herve Delamarre","K1H","216.39","-","251",""
"Romain Viry","K1H","217.09","229","255",""
"Jeremy Lehning","K1H","217.76","318","258",""
"Thomas Michel","K1H","219.05","254","265",""
"Mehdi Amini","K1H","220.81","134","275",""
"Nicolas Burgi","K1H","221.45","283","278",""
"Christophe Billaud","K1H","222.24","237","283",""
"Thibaut Chariot","K1H","223.05","313","287",""
"Florent Tamburini","K1H","223.48","206","290",""
"Ricci Miege Raphael","K1H","223.56","171","290",""
"Peche Matthieu","K1H","225.10","-","299",""
"William Boutet","K1H","225.63","279","301",""
"Pierson Cyril","K1H","227.28","294","310",""
"Olivier Urbain","K1H","230.08","235","326",""
"Paul Aubert","K1H","230.33","308","328",""
"Florian Balhuizen","K1H","230.78","412","330",""
"Leo Thomas","K1H","231.69","428","335",""
"Quentin Burgi","K1H","231.95","238","336",""
"Mael Othenin Girard","K1H","233.10","342","342",""
"Grandemange Arthur","K1H","235.10","-","354",""
"Philippe Devillers","K1H","236.34","309","361",""
"Eddy Cassard","K1H","237.05","328","365",""
"Yann Tosser  Roussey","K1H","239.02","363","375",""
"Jules Argentini","K1H","243.48","475","400",""
"Emmanuel Triomphe","K1H","243.55","334","401",""
"Gabriel Schnetz","K1H","246.23","416","415",""
"Arnaud Jamet","K1H","246.73","410","418",""
"Fabien Fritsch","K1H","246.85","306","418",""
"Pascal Garnier","K1H","247.00","423","419",""
"Frederic Caillet","K1H","249.46","447","433",""
"Guillaume Carpentier","K1H","251.63","264","444",""
"Pierre Cassin","K1H","265.14","473","519",""
"Maxime Lambert","K1H","278.78","447","594",""
"Marc Jegou","K1H","287.96","-","645",""
"Risser Arthur","K1H","289.01","803","651",""
"Jonathan Matern","K1H","302.28","678","724",""
"Philippe Thevenin","K1H","307.08","-","751",""
"Silvere Desongins","K1H","315.24","571","796",""
"Emmanuel Colajanni","K1H","317.61","569","808",""
"Thomann Simon","K1H","322.12","-","834",""
"Gasser Daniel","K1H","323.49","791","841",""
"Munschina Vincent","K1H","379.94","663","1153",""
"Cheval Kevin","K1H","426.09","607","1407",""
"David Pierson","K1H","452.85","779","1554",""
"Andre Kempf","K1H","465.47","669","1625",""
"Oueslati Pierre-Yves","K1H","539.37","1149","2031",""
