"Championnat de France Masters - Metz - Qualifications - 2014-07-23","Qualifications","2014-07-23","Championnats de France","112"
"Benoit Chantry-Stephanie Bender","C2M","131.16","291.32","307.91",""
"Catherine Boulan-Xavier Jourdain","C2M","140.78","339.11","399.38",""
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","159.4","361.91","576.41",""
"Sophie Delage-Christian Boob","C2M","207.83","546.41","1036.88",""
"Jacques Nardeau-Sandrine Arnal","C2M","360.14","993.95","2485.03",""
"Christine Poix-Emmanuel Del Rey","C2M","Nt","-","-",""
"Anneline Triomphe","K1D","110.11","128.44","172.62",""
"Claire Landrin","K1D","110.12","165.72","172.72",""
"Marianne Agulhon","K1D","121.62","-","288.83",""
"Fanny Mino-vercellio","K1D","126.79","318.93","341.04",""
"Sylviane Quemerais","K1D","132.55","303.77","399.2",""
"Marie-francoise Prigent","K1D","136.38","302.16","437.86",""
"Stephanie Kaczmarek","K1D","137.98","270.94","454.02",""
"Stephanie Bender","K1D","157.66","293.71","652.73",""
"Sandrine Arnal","K1D","167.33","469.88","750.37",""
"Florence Marchal","K1D","187.38","675.24","952.81",""
"Catherine Boulan","K1D","192.32","476.87","1002.69",""
"Sabine Kleinhenz","K1D","Nt","-","-",""
"Benoit Letellier","K1H","95.26","162.6","147.72",""
"Christophe Augu","K1H","95.35","153.43","148.75",""
"Benoit Chantry","K1H","96.48","97.32","161.64",""
"Nicolas Coudert","K1H","98.27","122.96","182.06",""
"Laurent Le Touze","K1H","98.33","171.62","182.75",""
"Julien Arribe","K1H","99.13","155.98","191.87",""
"Herve Busson","K1H","99.83","145.82","199.86",""
"Damien Ganthier","K1H","100.22","-","204.31",""
"Xavier Jourdain","K1H","100.84","109.33","211.38",""
"Jean Philippe Winiarski","K1H","101.65","189.62","220.63",""
"Franck Delachair","K1H","101.78","192.29","222.11",""
"Davy Egraz","K1H","103.31","120.11","239.57",""
"Jeanmichel Regnier","K1H","104.4","193.95","252",""
"Bertrand Bercon","K1H","104.83","168.22","256.91",""
"Mikael Maupin","K1H","105.61","195.56","265.81",""
"Bertrand Avril","K1H","106.1","229.16","271.4",""
"Denis Guilmard","K1H","106.71","248.54","278.36",""
"Christophe Siffert","K1H","107.9","293.25","291.94",""
"Nizar Samlal","K1H","108.42","194.18","297.87",""
"Olivier Urbain","K1H","108.43","279.44","297.98",""
"Gwenael Marquer","K1H","108.76","276.1","301.75",""
"Philippe Daumont","K1H","109.43","206.9","309.39",""
"Stephane Debliquy","K1H","109.98","301.59","315.67",""
"Philippe Niquet","K1H","110.03","239.54","316.24",""
"Patrice Fischer","K1H","110.19","-","318.06",""
"Alain Droniou","K1H","110.84","304.49","325.48",""
"Matthieu Walfard","K1H","111.36","310.46","331.41",""
"Pascal Marrec","K1H","111.41","350.88","331.98",""
"Francois Durand","K1H","111.66","245.63","334.84",""
"Christophe Prigent","K1H","112.48","326.62","344.19",""
"Herve Clerc","K1H","114.02","330.65","361.76",""
"Thomas Stutzmann","K1H","114.18","389.68","363.59",""
"Lionel Tinevez","K1H","114.75","218.36","370.09",""
"Jean Yves Prigent","K1H","116.57","302.49","390.86",""
"David Bernardeau","K1H","116.79","423.46","393.37",""
"Christophe Billaud","K1H","117.02","305.97","395.99",""
"Olivier Bachelot","K1H","117.67","358.47","403.41",""
"Jacques Roisin","K1H","119.98","410.9","429.76",""
"Xavier Rat","K1H","123.74","393.34","472.66",""
"Patrick Gass","K1H","124.02","350.24","475.86",""
"Gerard Lafargue","K1H","125.01","375.28","487.15",""
"Emmanuel Triomphe","K1H","125.92","319.72","497.53",""
"Pierrealain Clerc","K1H","131.21","347.01","557.89",""
"Philippe Valeri","K1H","133.3","400.29","581.74",""
"Jean Guyot","K1H","141.5","408.48","675.29",""
"Alexandre Lambert","K1H","155.53","607.34","835.37",""
"Ghislain Guyon","K1H","180.76","-","1123.23",""
"Andre Kempf","K1H","Nt","-","-",""
"Stephane Bechet","K1H","Nt","-","-",""
"Marc Cailhol","K1H","Nt","-","-",""
"Pierrick Meheust","K1H","Nt","-","-",""
"Christophe Godinat","K1H","Nt","-","-",""
"Emmanuel Cosse","K1H","Nt","-","-",""
"Olivier Hardonniere","K1H","Nt","-","-",""
"Sebastien Lepaulard","K1H","Nt","-","-",""
"Arnaud Delattre","K1H","Nt","-","-",""
