"Sélectif Régional de Slalom - 35530 Servon Sur Vilaine - Finale - 2019-03-17","Finale","2019-03-17","Régional","137"
"Clement Dubois","K1H","107.23","272.87","306.01","Finale A"
"Julien Dosse","K1H","107.51","313.8","309.33","Finale A"
"Nicolas Bernardy","K1H","107.91","218.37","314.08","Finale A"
"Nicolas Ducrocq","K1H","108.65","323.25","322.86","Finale A"
"Gaspard Perrio","K1H","109.52","330.54","333.19","Finale A"
"Samuel Le Dean","K1H","110.23","308.87","341.62","Finale A"
"Pierre Audouin","K1H","110.24","255.74","341.73","Finale A"
"Maxime Berthaut","K1H","114.8","361.81","395.86","Finale A"
"Alain Droniou","K1H","117.16","411.77","423.87","Finale A"
"Adrien Pierre","K1H","119.79","386.81","455.09","Finale A"
"Leo Grollier","K1H","121.68","418.14","477.52","Finale A"
"Guillaume Maillot","K1H","121.74","471.59","478.24","Finale A"
"Corentin Beaumois","K1H","124.37","462.59","509.45","Finale A"
"Jerome Talbot","K1H","125.64","428.14","524.53","Finale A"
"Matheo Morin","K1H","125.69","533.18","525.12","Finale A"
"Tom Lallican","K1H","129.28","511.4","567.73","Finale A"
"Bastien Demorieux","K1H","130.11","466.2","577.58","Finale A"
"Antoine Aubert","K1H","130.59","512.8","583.28","Finale A"
"Aubin Davaic","K1H","135.18","495.46","637.76","Finale A"
"Matheo Courgeon","K1H","140.24","623.39","697.82","Finale A"
"LoÏg Massot","K1H","141.27","569.16","710.05","Finale A"
"Nicolas Neveu","K1H","142.06","594.34","719.43","Finale A"
"Yves Prigent","K1H","145.58","37.75","761.21","Finale A"
"Boris Pernelle","K1H","Abs","-","-","Finale A"
"Martin Cornu","K1HM","114.66","408.15","394.2","Finale A"
"Elouan Debliquy","K1HM","127.33","462.46","544.59","Finale A"
"Jules Brisson","K1HM","132.22","544.24","602.63","Finale A"
"Celio Chevallier","K1HM","143.28","788.57","733.91","Finale A"
"Yann Vergelin","K1HM","145.58","1006.31","761.21","Finale A"
"William Adeline","K1HM","146.62","907.98","773.55","Finale A"
"Manech Berthelot","K1HM","148.58","761.38","796.82","Finale A"
"Landry De La Motte","K1HM","153.02","850.21","849.52","Finale A"
"Duncan Coppens","K1HM","166.77","899.35","1012.73","Finale A"
"Enzo Lallican","K1HM","172.97","1025.19","1086.32","Finale A"
"Medhi Deguil","C1H","121.02","383.68","406.28","Finale B"
"Louis Beaumois","C1H","126.62","496.71","469.59","Finale B"
"Nicolas Bernardy","C1H","130.03","496.85","508.14","Finale B"
"Corentin Beaumois","C1H","135.06","653.84","565.01","Finale B"
"Cedric Collet","C1H","136.29","530.21","578.91","Finale B"
"Clement Dubois","C1H","137.67","542.06","594.5","Finale B"
"Marin Guillouet","C1H","199.15","1104.49","1289.51","Finale B"
"Loan Queffelec","C1H","Abs","-","-","Finale B"
"Joris Hello","C1H","Abs","-","-","Finale B"
"Yann Vergelin","C1HM","227.43","-","1609.2","Finale B"
"Thibault Lamour-Tom Milon","C2H","169.53","983.07","867.55","Finale B"
"Martin Dubois-Nino Milon","C2H","191.76","-","1107.43","Finale B"
"Quentin Sablayrolles-Maxime Berthaut","C2H","281.76","846.55","2078.58","Finale B"
"Samuel Le Dean-Guillaume Maillot","C2H","Abs","-","-","Finale B"
"Zoe Marchand","K1D","171.08","769.7","835.27","Finale B"
"Katia Talbot","K1D","182.79","918.5","958.27","Finale B"
"Emma Chevallier","K1D","245.71","1907.25","1619.19","Finale B"
"Coline Beaudet","K1D","389.49","3075.83","3129.48","Finale B"
"Simon Cognard","K1H","105.16","267","286.44","Finale B"
"Quentin Sablayrolles","K1H","115.92","601.65","414.15","Finale B"
"Julien Mizzi","K1H","116.52","349.13","421.28","Finale B"
"Tom Milon","K1H","118","494.22","438.84","Finale B"
"Logan Toubel","K1H","127.91","650.48","556.47","Finale B"
"Jean Yves Prigent","K1H","135.21","578.32","643.12","Finale B"
"Thibault Lamour","K1H","135.54","352.91","647.04","Finale B"
"Nicolas Laly","K1H","136.2","712.99","654.87","Finale B"
"Valentin Soullard","K1H","138.96","603.3","687.63","Finale B"
"Nathan Weil","K1H","140.2","737.44","702.35","Finale B"
"Nino Simon","K1H","146.66","711.91","779.03","Finale B"
"Simon Beguinel","K1H","148.02","633.87","795.17","Finale B"
"Gerard Lemonnier","K1H","150.59","790.24","825.68","Finale B"
"Denis Coppens","K1H","159.22","964.54","928.11","Finale B"
"Charly Maherault","K1H","161.02","944.29","949.48","Finale B"
"Louis Forgeard","K1H","161.04","405.69","949.71","Finale B"
"Christian Le Parc","K1H","161.87","774.72","959.57","Finale B"
"Thierry Dugue","K1H","163.81","1145.51","982.59","Finale B"
"Marin Guillouet","K1H","165.99","1236.27","1008.47","Finale B"
"Cyril Mangeard","K1H","167.02","1082.71","1020.7","Finale B"
"Nicolas Ronzeau","K1H","229.25","1637.48","1759.35","Finale B"
"Luis Pereira Azevedo","K1H","238.56","2092.54","1869.85","Finale B"
"Quentin Monot","K1H","245.42","2122.02","1951.28","Finale B"
"Enzo Chapon","K1H","277.82","1320.13","2335.86","Finale B"
"Esteban Hubert","K1H","344.06","-","3122.11","Finale B"
"Ylan Kabanda","K1H","402.23","4763.19","3812.57","Finale B"
"Maxime Jarno","K1H","542.26","2479.88","5474.68","Finale B"
"Antoine Hubert","K1H","Abd","-","-","Finale B"
"Samuel De Preville","K1H","Abd","-","-","Finale B"
"Titouan Benoist","K1H","Abs","-","-","Finale B"
"Mewen Debliquy","K1H","Abs","-","-","Finale B"
"Melen Kervarec","K1HM","177.63","1038.49","1146.63","Finale B"
"Sacha Menard","K1HM","181.88","1211.19","1197.08","Finale B"
"Sacha Thomas","K1HM","226.02","1750.16","1721.01","Finale B"
"Ewen Ulian","K1HM","241.48","3003.85","1904.51","Finale B"
"Erwan Monnier-vos","K1HM","436.58","5554.41","4220.29","Finale B"
"Yoann Bulard","K1HM","Abd","-","-","Finale B"
"Florian Caciotti","K1HM","Abd","-","-","Finale B"
