"Compétition Régionale de Slalom - Servon Sur Vilaine (la Mecque1) - Qualification - 2015-10-11","Qualification","2015-10-11","Régional","147"
"Gael Bleunven","K1H","Abs","-","-",""
"Mael Crespel","K1H","Abs","-","-",""
"Manuel Coquelin","K1H","Abs","-","-",""
"Florian Busson","K1HM","116.8","-","384.39",""
"Jonas Flament","K1HM","121.46","-","437.93",""
"Timothee Cornu","K1HM","121.7","-","440.69",""
"Martin Dubois","K1HM","127.34","-","-",""
"Louis Forgeard","K1HM","131.63","-","554.78",""
"Regis Navinel-dubois","K1HM","133.93","-","581.2",""
"Younes Kismi","K1HM","137.28","-","-",""
"Adrien Pierre","K1HM","140.75","-","-",""
"Alexandre Bourliaud","K1HM","140.84","-","-",""
"Roman Busnel","K1HM","142.85","-","683.68",""
"Glen Le Meur","K1HM","143.61","-","-",""
"Baptiste Rolland","K1HM","147.67","-","739.06",""
"Antoine Aubert","K1HM","148.28","-","-",""
"Amaury Bioteau","K1HM","148.51","-","748.71",""
"Cyriac Rolland","K1HM","162.8","-","912.89",""
"Paul Onfray","K1HM","165.32","-","-",""
"Clement Dubois","K1HM","184.9","-","-",""
"Tanguy Odot","K1HM","194.69","-","-",""
"Elouan Pennors","K1HM","201.56","-","-",""
