"SÈlectif RÈgional de Slalom - Longeville Les Metz - Course n∞1 | Finale - 2018-09-29","Course n∞1 | Finale","2018-09-29","RÈgional","200"
"Loric Bertrand Delorme","K1H","86.76","269.93","261.33","Course n∞1 | Finale A"
"Joris Schaffner","K1H","87.05","200.06","265.41","Course n∞1 | Finale A"
"Axel Guilleret","K1H","88.15","319.7","280.91","Course n∞1 | Finale A"
"Antonin Robert","K1H","88.86","286.21","290.91","Course n∞1 | Finale A"
"Etienne Wiche","K1H","88.95","246.56","292.17","Course n∞1 | Finale A"
"Paul Bostoen","K1H","89.19","274.86","295.55","Course n∞1 | Finale A"
"Robin Pottelette","K1H","89.19","97.61","295.55","Course n∞1 | Finale A"
"Nicolas Mangeolle","K1H","90.33","266.52","311.61","Course n∞1 | Finale A"
"Leo Collard","K1H","91.08","280.03","322.18","Course n∞1 | Finale A"
"Jules Andrien","K1H","91.16","318.96","323.3","Course n∞1 | Finale A"
"Florient Tagnon","K1H","91.25","256.15","324.57","Course n∞1 | Finale A"
"Thomas L'huillier","K1H","91.28","289","324.99","Course n∞1 | Finale A"
"Silvere Desongins","K1H","91.49","226.96","327.95","Course n∞1 | Finale A"
"Simon Munch","K1H","91.74","360.54","331.47","Course n∞1 | Finale A"
"Tanguy Malingre","K1H","91.8","303.86","332.32","Course n∞1 | Finale A"
"Louis Gasser","K1H","91.91","386.59","333.87","Course n∞1 | Finale A"
"Yann Becker","K1H","91.99","347.85","334.99","Course n∞1 | Finale A"
"Anthony Rouhier","K1H","92.93","310.43","348.23","Course n∞1 | Finale A"
"Lucas Dominguez","K1H","94.04","239.25","363.87","Course n∞1 | Finale A"
"Loic Thielen","K1H","94.39","310.39","368.8","Course n∞1 | Finale A"
"Anthony Ulrich","K1H","94.82","304.7","374.86","Course n∞1 | Finale A"
"Matthieu Koffel","K1H","95.93","380.62","390.49","Course n∞1 | Finale A"
"Baptiste Podor","K1H","96.07","278.43","392.46","Course n∞1 | Finale A"
"Loic Trenchant","K1H","98.62","310.98","428.38","Course n∞1 | Finale A"
"Alexis Pacholak","K1H","139.95","262.3","1010.54","Course n∞1 | Finale A"
"Pierre Biagui","K1H","139.99","321.57","1011.1","Course n∞1 | Finale A"
"Hugo Monasse","K1HM","89.02","279.29","293.16","Course n∞1 | Finale A"
"Theo Reby","K1HM","94.66","293.39","372.6","Course n∞1 | Finale A"
"Oskar Hillion","K1HM","97.37","417.22","410.77","Course n∞1 | Finale A"
"Nathan Frison","K1HM","107.45","437.52","552.76","Course n∞1 | Finale A"
"Valentin Bostoen","K1HM","108.18","639.32","563.04","Course n∞1 | Finale A"
"Remy Perrin","K1HM","113.8","557.28","642.2","Course n∞1 | Finale A"
"Maxime Forcadette","K1HM","116.69","830.63","682.91","Course n∞1 | Finale A"
"Evan Trenchant","K1HM","131.46","661.73","890.95","Course n∞1 | Finale A"
"Lucas Jamart","K1HM","132.37","619.27","903.77","Course n∞1 | Finale A"
"Clement Fremy","K1HM","151.91","502.28","1179","Course n∞1 | Finale A"
"Maxence Raymond","K1HM","162.94","655.3","1334.36","Course n∞1 | Finale A"
"Arnaud Caillet","K1HM","190.02","492.47","1715.8","Course n∞1 | Finale A"
"Caroline Scherer","C1D","104.93","330.78","275.93","Course n∞1 | Finale B"
"Tifenn Primet","C1D","112.74","250.88","367.6","Course n∞1 | Finale B"
"Lucille Meunier-cheyssac","C1D","119.66","332.67","448.83","Course n∞1 | Finale B"
"Sophie Staudt","C1D","200.51","433.92","1397.85","Course n∞1 | Finale B"
"Loic Trenchant","C1H","91.7","251.18","274.4","Course n∞1 | Finale B"
"Gabriel De Coster","C1H","106.75","536.04","476.3","Course n∞1 | Finale B"
"Aurelien Merieux Danneaux","C1H","108.48","398.46","499.5","Course n∞1 | Finale B"
"Claude Menissier","C1H","111.23","461.98","536.39","Course n∞1 | Finale B"
"Loann Delle Dananchet","C1H","111.5","408.19","540.01","Course n∞1 | Finale B"
"Vivien Stemmelen","C1H","114.51","418.79","580.39","Course n∞1 | Finale B"
"Angelino Castagnetti","C1H","118.51","484.54","634.06","Course n∞1 | Finale B"
"Lionel Borde","C1H","119.89","536.74","652.57","Course n∞1 | Finale B"
"Alexandre L'huillier","C1H","135.55","715.49","862.64","Course n∞1 | Finale B"
"Antoine Leroy","C1H","140.42","891.04","927.97","Course n∞1 | Finale B"
"Jules Latimier","C1H","149.06","455.72","1043.88","Course n∞1 | Finale B"
"Michel Bert","C1H","157.13","402.15","1152.14","Course n∞1 | Finale B"
"Jules Andrien","C1H","157.95","749.31","1163.14","Course n∞1 | Finale B"
"Hugo Humbrecht","C1H","189.2","763.55","1582.34","Course n∞1 | Finale B"
"Benjamin Guyon","C1H","217.81","429.15","1966.14","Course n∞1 | Finale B"
"Olivier Urbain","C1H","Abs","-","-","Course n∞1 | Finale B"
"Oskar Hillion","C1HM","114.26","596.3","577.04","Course n∞1 | Finale B"
"Louis Guggenbuhl","C1HM","116.75","618","610.44","Course n∞1 | Finale B"
"Quentin Maillefer","C1HM","120.43","595.45","659.81","Course n∞1 | Finale B"
"Evan Trenchant","C1HM","124.54","925.15","714.95","Course n∞1 | Finale B"
"Jean Charles Hacquart-Maxime Kabir","C2H","113.62","591.62","499.18","Course n∞1 | Finale B"
"Marvin Tulpin-Jules Vonderscher","C2H","175.52","-","1291.81","Course n∞1 | Finale B"
"Philippe Thevenin-Olivier Urbain","C2H","Abs","-","-","Course n∞1 | Finale B"
"Carole Dolmaire-Alexandre L'huillier","C2M","281.1","748.49","2343.8","Course n∞1 | Finale B"
"Anne-lise Moisan-ehrwein","K1D","104.17","368.39","342.75","Course n∞1 | Finale B"
"Caroline Scherer","K1D","109.96","451.06","414.93","Course n∞1 | Finale B"
"Mylene Guilcher","K1D","111.42","390.01","433.13","Course n∞1 | Finale B"
"Jade Robin","K1D","115.17","493.13","479.86","Course n∞1 | Finale B"
"Lucille Meunier-cheyssac","K1D","123.25","458.08","580.59","Course n∞1 | Finale B"
"Maurine Laugel","K1D","124.11","483.51","591.31","Course n∞1 | Finale B"
"Agathe Caillet","K1D","128.25","518.34","642.92","Course n∞1 | Finale B"
"Constance Rotman","K1D","141.22","1338.61","804.58","Course n∞1 | Finale B"
"Margaux Cornet","K1D","144.87","796.34","850.09","Course n∞1 | Finale B"
"Carole Dolmaire","K1D","144.98","600.93","851.45","Course n∞1 | Finale B"
"Audrey Masson","K1D","154.73","684.86","972.98","Course n∞1 | Finale B"
"Lou-anne Cointin","K1D","161.81","450.29","1061.24","Course n∞1 | Finale B"
"Fiona Gille","K1D","174.52","483.61","1219.66","Course n∞1 | Finale B"
"Heloise Stemmelen","K1D","179.39","690.47","1280.37","Course n∞1 | Finale B"
"Jeanne Bernard","K1D","182.29","358","1316.53","Course n∞1 | Finale B"
"Margot Perrin","K1D","Abs","-","-","Course n∞1 | Finale B"
"Lola Genay","K1D","Abs","-","-","Course n∞1 | Finale B"
"Lucas Jacob","K1H","92.07","170.86","341.12","Course n∞1 | Finale B"
"Maxence Grandadam","K1H","92.75","428.36","350.7","Course n∞1 | Finale B"
"Damien Burteaux","K1H","94.57","382.27","376.34","Course n∞1 | Finale B"
"Tanguy Adisson","K1H","94.89","375.5","380.84","Course n∞1 | Finale B"
"Aurelien Merieux Danneaux","K1H","95.21","341.98","385.35","Course n∞1 | Finale B"
"Adrien Fischer","K1H","95.4","758.24","388.03","Course n∞1 | Finale B"
"Lois Pignon","K1H","95.86","457.01","394.51","Course n∞1 | Finale B"
"Axel Ganthier","K1H","96.02","413.43","396.76","Course n∞1 | Finale B"
"Gael Ettwiller","K1H","97.77","519.72","421.41","Course n∞1 | Finale B"
"Jorg Blees","K1H","98.79","398.45","435.78","Course n∞1 | Finale B"
"Antoine Leroy","K1H","101.35","462.03","471.83","Course n∞1 | Finale B"
"Florent Tamburini","K1H","101.41","442.55","472.68","Course n∞1 | Finale B"
"Anthony Beaudoing","K1H","105.71","490.09","533.25","Course n∞1 | Finale B"
"Theo Beucler","K1H","106.45","456.81","543.67","Course n∞1 | Finale B"
"Dyclan Plessis","K1H","106.67","406.61","546.77","Course n∞1 | Finale B"
"Gregory Ganthier","K1H","108.01","527.99","565.64","Course n∞1 | Finale B"
"Jules Ferber","K1H","110.14","590.04","595.65","Course n∞1 | Finale B"
"Julien Michelin","K1H","110.59","500.38","601.99","Course n∞1 | Finale B"
"Robin Giurlando","K1H","110.81","646.2","605.08","Course n∞1 | Finale B"
"Alexandre L'huillier","K1H","112.59","512.75","630.16","Course n∞1 | Finale B"
"Alexis Gombert","K1H","114.53","558.15","657.48","Course n∞1 | Finale B"
"Theo Lejeune","K1H","120.38","734.47","739.88","Course n∞1 | Finale B"
"Dylan Simon","K1H","123.45","693.24","783.13","Course n∞1 | Finale B"
"Jules Latimier","K1H","124.64","466.08","799.89","Course n∞1 | Finale B"
"Alexis Sevrez","K1H","125.01","494.52","805.1","Course n∞1 | Finale B"
"Philippe Koffel","K1H","125.54","558.87","812.56","Course n∞1 | Finale B"
"Christophe Leone","K1H","130.88","1612.96","887.78","Course n∞1 | Finale B"
"Arnaud Cote","K1H","142.15","1270.21","1046.53","Course n∞1 | Finale B"
"Michiel Wijckmans","K1H","148.92","419.88","1141.88","Course n∞1 | Finale B"
"Matthew Vuillard","K1H","149.27","397.57","1146.81","Course n∞1 | Finale B"
"Christophe Billaud","K1H","151.97","468.58","1184.85","Course n∞1 | Finale B"
"Emrys Meddour","K1H","155.79","3141.69","1238.65","Course n∞1 | Finale B"
"Paul Frommer","K1H","156.02","388.25","1241.89","Course n∞1 | Finale B"
"Victor Hirschmann-rodriguez","K1H","161.94","1052.99","1325.28","Course n∞1 | Finale B"
"Hugo Humbrecht","K1H","217.64","912.01","2109.84","Course n∞1 | Finale B"
"Leo Hauck","K1H","224.83","757.42","2211.12","Course n∞1 | Finale B"
"Erwan Rouch","K1H","252.35","206.8","2598.75","Course n∞1 | Finale B"
"Louis Guggenbuhl","K1HM","112.14","641.92","623.82","Course n∞1 | Finale B"
"Adrien Gaillot","K1HM","112.92","573.23","634.8","Course n∞1 | Finale B"
"Quentin Maillefer","K1HM","117.68","579.1","701.85","Course n∞1 | Finale B"
"Aloys Morel","K1HM","124.99","848.55","804.82","Course n∞1 | Finale B"
"Max Cantenot","K1HM","155.34","1360.84","1232.31","Course n∞1 | Finale B"
"Romain Moret","K1HM","180.76","971.21","1590.37","Course n∞1 | Finale B"
"Thomas Metzinger","K1HM","206.31","1017.14","1950.25","Course n∞1 | Finale B"
"Zakaria Radouani","K1HM","216.61","1011.29","2095.33","Course n∞1 | Finale B"
"Thibaut Boudier","K1HM","234.51","672.83","2347.47","Course n∞1 | Finale B"
"Gauthier Lepolard","K1HM","286.18","769.54","3075.27","Course n∞1 | Finale B"
"Guillaume Cazenave","K1HM","407.99","749.49","4791.03","Course n∞1 | Finale B"
"Mael Thierus","K1HM","Abd","-","-","Course n∞1 | Finale B"
