"Sélectif régional slalom de Foix - Bassin Du Rebech - 2003-10-12","Course 1","2003-10-12","Régional","163"
"Lyon Gaelle","K1D","268.52","300","344",""
"Laurence Pessoni","K1D","269.65","391","349",""
"Jade Vassallo","K1D","342.22","-","741",""
"Adisson Estelle","K1D","353.65","539","803",""
"Melanie Konig","K1D","357.08","370","821",""
"Lafitte Mariehelene","K1D","365.44","393","867",""
"Poueyto Marilyn","K1D","445.22","800","1297",""
"Longue Lucie","K1D","452.12","-","1334",""
"Bize Freddie","K1D","575.12","719","1998",""
"Violaine Truche","K1D","689.78","-","2617",""
"Demont Laura","K1D","734.44","-","2858",""
"Fabien Lefevre","K1H","191.72","18","32",""
"Pierre Bourliaud","K1H","194.27","70","48",""
"Julien Billaut","K1H","194.34","16","48",""
"Julien Dekarczyk","K1H","196.80","39","63",""
"Arnaud Lapeze","K1H","197.57","72","67",""
"Benjamin Boukpeti","K1H","198.32","59","72",""
"Aurelien Maynadier","K1H","201.46","54","91",""
"Nicolas Peschier","K1H","201.70","-","92",""
"Damien Laborde","K1H","201.85","75","93",""
"Benoit Rouffet","K1H","201.93","79","93",""
"Cheutin Jean-Yves","K1H","201.96","20","93",""
"Sebastien Halilou","K1H","202.09","105","94",""
"Benoit Molinier","K1H","202.17","128","94",""
"Thomas Jean Pascal","K1H","202.80","70","98",""
"Boris Neveu","K1H","203.67","107","103",""
"Samuel Hernanz","K1H","204.42","113","107",""
"Bernis Camille","K1H","206.01","46","117",""
"Estanguet Aldric","K1H","207.45","38","126",""
"Yoan Minvielle","K1H","207.88","101","128",""
"Sarazin Emmanuel","K1H","208.02","177","129",""
"Florian Berail","K1H","209.86","174","140",""
"Florian Gosselin","K1H","210.92","186","146",""
"Guillaume Picco","K1H","212.34","128","155",""
"Aurelien Leroy","K1H","212.36","174","155",""
"Lismonde Alexandre","K1H","212.91","141","158",""
"Michael Guyon","K1H","213.98","121","165",""
"Jeremy Moureaux","K1H","214.04","173","165",""
"Deguil Eric","K1H","214.25","-","166",""
"Florent Boulet","K1H","215.31","190","172",""
"Nicolas Durand","K1H","216.35","139","179",""
"Molinier Vincent","K1H","216.59","218","180",""
"Clerc Pierrealain","K1H","217.12","224","184",""
"Gregory Ponassie","K1H","217.89","238","188",""
"Marc Laborde","K1H","218.58","267","192",""
"Naves Pierre","K1H","218.88","310","193",""
"Bastien Dantin","K1H","218.98","222","195",""
"Nicolas Masson","K1H","219.02","206","195",""
"Colin Molinier","K1H","221.41","205","209",""
"Hayet Julien","K1H","222.50","216","216",""
"Louis Georges Lafont","K1H","222.61","322","216",""
"Yannick Besse","K1H","223.21","287","219",""
"Benjamin Reig","K1H","223.30","238","220",""
"Adrien Ponassie","K1H","223.65","234","222",""
"Lucien Delfour","K1H","224.13","267","224",""
"Jose Pereira","K1H","225.28","215","231",""
"Canovas Cedric","K1H","225.45","-","232",""
"Barbaglia Remi","K1H","226.17","239","237",""
"Francois Giondini","K1H","226.86","260","241",""
"Veronel Patrice","K1H","228.26","202","249",""
"Lapeze Edouard","K1H","228.49","323","251",""
"Manuel Legros","K1H","228.92","316","253",""
"Dal Castello Vincent","K1H","235.68","-","293",""
"Boutonnet Bastien","K1H","236.54","439","298",""
"Erwan Desbordes","K1H","239.19","336","314",""
"Valerian Boulet","K1H","239.21","407","314",""
"Jonathan Delagnes","K1H","239.88","330","318",""
"Pasquier Marc","K1H","243.87","336","342",""
"Doat Francois","K1H","244.88","465","348",""
"Bengochea Johan","K1H","245.88","-","354",""
"Coldebella Mathieu","K1H","248.79","536","371",""
"Josselin Bertrand","K1H","250.24","411","379",""
"Lafitte Vincent","K1H","255.93","-","413",""
"Kraemer Nicolas","K1H","257.69","575","423",""
"Chicane Guylain","K1H","260.58","464","441",""
"Eric Vidou","K1H","261.31","430","446",""
"Eftekhari Boris","K1H","262.29","484","451",""
"Martinez-Arconada Armel","K1H","263.29","-","458",""
"Lay Matthieu","K1H","263.44","450","458",""
"Causse Julien","K1H","264.44","-","464",""
"Lafitte Florian","K1H","272.63","625","513",""
"Barbe Erwan","K1H","273.99","1250","521",""
"Sylvain Mendez","K1H","275.90","-","532",""
"Jean Luc Pessoni","K1H","277.34","442","541",""
"Desumeur Stephane","K1H","279.46","819","553",""
"Lafitte Daniel","K1H","281.68","735","566",""
"Cassagne Geoffroy","K1H","284.92","-","586",""
"Lepretre Nicolas","K1H","285.34","-","588",""
"Jonot Anthony","K1H","287.68","372","602",""
"Jean Thomas Genet","K1H","288.08","-","605",""
"Dhrarie Benyounes","K1H","300.50","-","678",""
"Payrastre Guillaume","K1H","319.59","715","792",""
"Bernard Babi","K1H","321.37","99","801",""
"Lafitte Aurelien","K1H","330.03","670","853",""
"Delpeyroux Pierre","K1H","333.97","-","877",""
"Heime Ludovic","K1H","341.46","-","921",""
"Romain Chabrol","K1H","347.59","353","957",""
"Tessier Laurent","K1H","353.23","-","991",""
"Thomas Rieu","K1H","357.41","-","1016",""
"Matabos Sylvain","K1H","362.74","967","1047",""
"Saüt Bertrand","K1H","373.14","-","1109",""
"Le Boeuf Lambert","K1H","378.88","-","1143",""
"Thomas Dauvet","K1H","397.01","-","1250",""
"Tayeel Aymeric","K1H","422.67","-","1403",""
"Puech Antoine","K1H","448.92","-","1559",""
"Bastien Seger","K1H","507.29","-","1906",""
"Peyre Maxime","K1H","512.58","1328","1937",""
"Jouanolou Remi","K1H","515.53","775","1955",""
