"Sélectif Régional Slalom (Double) - 16200 Jarnac - Course n°1 | Qualification - 2020-09-26","Course n°1 | Qualification","2020-09-26","Régional","171"
"Arthur Caillaud-gault","K1H","105.31","385","387.11",""
"Hicham Domti","K1H","105.83","445.88","393.82",""
"Adrien Ricaud","K1H","107.38","377.45","413.8",""
"Lohan Wyon","K1H","108.32","389.09","425.92",""
"Timeo Canonico","K1H","111.28","570.69","464.08",""
"KÉziah Lecomte","K1H","112.34","465.24","477.74",""
"Nino Langlume","K1H","113.24","547.1","489.35",""
"Arthur Huet","K1H","113.28","641.15","489.86",""
"Stephane Borde","K1H","113.3","423.4","490.12",""
"Clement Riera","K1H","115.15","422.14","513.97",""
"Sylvain Lauth","K1H","116.2","658.75","527.51",""
"Romain Bouby","K1H","116.81","709.69","535.37",""
"Miguel Irungaraylarronde","K1H","116.91","541.62","536.66",""
"Pierre Dehaudt","K1H","117.87","-","549.04",""
"Tom Charles","K1H","118.05","509.43","551.36",""
"Philippe Mallard","K1H","118.76","-","560.51",""
"Sebastien Larenaudie","K1H","119","595.92","563.6",""
"Paul Brochard","K1H","119.06","589.8","564.38",""
"Lucas Deleplancque","K1H","119.39","747.38","568.63",""
"Felix Floriot","K1H","120.04","533.01","577.01",""
"Baptiste Vinet","K1H","122.42","715.37","607.7",""
"Sebastien Chauvet","K1H","122.79","534.71","612.47",""
"Loris Ladame","K1H","124.86","703.17","639.15",""
"Theo Suire","K1H","125.09","591.4","642.12",""
"Remi Granet","K1H","126.16","941.21","655.91",""
"Martin Thermidor","K1H","126.35","838.78","658.36",""
"Olivier Neveu","K1H","126.84","-","664.68",""
"Thomas Nouaud","K1H","128.2","-","682.21",""
"Emile Vigier","K1H","129.54","-","699.49",""
"Vincent Tisseron","K1H","130.52","-","712.12",""
"Theo Haulbert","K1H","131.22","589.81","721.14",""
"Boris Le Jolly","K1H","132.5","859.53","737.65",""
"Gaspard Trichard","K1H","132.62","500.71","739.19",""
"Nathan Gibaud","K1H","134.38","1067.12","761.88",""
"Jules Chassant","K1H","136.45","-","788.57",""
"Baptiste Barat","K1H","137.05","1135.26","796.31",""
"Fabrice Lacoudre","K1H","137.82","-","806.23",""
"Louis Silou","K1H","140.1","-","835.63",""
"Clement Turgis","K1H","145.77","856.49","908.72",""
"Lucas Bruimaud","K1H","164.62","-","1151.74",""
"Lucas Bizy","K1H","170.68","612.81","1229.86",""
"Hugo Crespo","K1H","197.91","215.48","1580.91",""
"Dominique Gireaud","K1H","200.47","1145.64","1613.92",""
"Remi Charetier","K1H","204.85","-","1670.38",""
"Simon Blondet","K1H","Abs","-","-",""
"Stephane Francois","K1H","Abs","-","-",""
"Jonathan Bourdier","K1H","Abs","-","-",""
"Lorys Autin","K1H","Abs","-","-",""
"Niels Comte","K1HM","104.15","515.27","372.16",""
"Benjamin Roy","K1HM","105.64","425.81","391.37",""
"Felix Chevallier","K1HM","109.14","548.64","436.49",""
"Nolann Lacoudre","K1HM","113.55","522.84","493.34",""
"Timothee Borde","K1HM","114.87","793.84","510.36",""
"Nathan Caprice Michaux","K1HM","121.21","674.35","592.1",""
"Marius Larenaudie-danton","K1HM","121.29","632.14","593.13",""
"Jules Rathier","K1HM","124.99","651.34","640.83",""
"Jules Mauget","K1HM","126.99","760.19","666.61",""
"Simon Francois","K1HM","127.55","752.6","673.83",""
"Tom Pagnon","K1HM","133.17","-","746.28",""
"Paul Deleplancque","K1HM","135.93","-","781.87",""
"Adrien Aubineau","K1HM","140.76","-","844.13",""
"Lukas Granjean","K1HM","141.47","-","853.29",""
"Nathan Devautour","K1HM","145.26","-","902.15",""
"Lorenzo Sourbe","K1HM","149.58","-","957.84",""
"Matteo Leman","K1HM","189.93","1271.99","1478.03",""
"Paul De Sutter","K1HM","216.29","-","1817.87",""
