"Sélectif régional - 40 ème Grand Prix de Pau - Pau - 2009-02-07","Course 1","2009-02-07","Régional","198"
"Fabien Tournadre","K1H","210.07","88","184",""
"Romain Chabrol","K1H","210.84","103","188",""
"Sylvain Colonnier","K1H","211.06","158","189",""
"Thomas Dauvet","K1H","212.85","114","198",""
"Adrien Roussel","K1H","213.96","99","203",""
"Marc Laborde","K1H","214.38","190","206",""
"Bertrand Gourrat","K1H","214.78","155","207",""
"Marc Darribere","K1H","215.47","217","211",""
"Yann Gudefin","K1H","217.16","29","219",""
"Remi Baudot","K1H","217.51","119","221",""
"Thibault Gibert","K1H","219.70","178","231",""
"Franck Guarderia","K1H","221.94","-","243",""
"Jean-francois Souville","K1H","222.31","237","245",""
"Sylvain Mendez","K1H","222.47","198","246",""
"Adrien Ponassie","K1H","223.03","-","248",""
"Nicolas Caussanel","K1H","228.94","237","278",""
"Pierrick Gaudin","K1H","229.26","219","279",""
"Anthony Themines","K1H","229.80","259","282",""
"Manuel Dolie","K1H","230.40","328","285",""
"Boris Lesimple","K1H","231.68","217","291",""
"Jean Messialle","K1H","232.26","186","294",""
"Thomas Neime","K1H","233.05","268","298",""
"Fabien Lefevre","K1H","233.58","0","301",""
"Nicolas Baudoin","K1H","236.59","338","316",""
"Damien Launay","K1H","240.19","311","333",""
"Clement Guiraud","K1H","245.68","285","361",""
"Fernando Denninger","K1H","246.36","220","364",""
"Jeancharles Bernis","K1H","248.85","319","376",""
"Vivien Colober","K1H","249.99","30","382",""
"Valerian Boulet","K1H","251.98","257","392",""
"Florian Campagnole","K1H","254.61","466","404",""
"Alain Minvielle","K1H","256.81","437","416",""
"Francois Giondini","K1H","257.74","-","420",""
"Baptiste Soulat","K1H","258.93","-","427",""
"Tom Scianimanico","K1H","260.57","207","435",""
"Luc Formet","K1H","264.19","424","452",""
"Colin Molinier","K1H","264.90","-","456",""
"Nicolas Le Provost","K1H","268.11","-","472",""
"Florian Fargier","K1H","268.81","429","475",""
"Gaetan Coat","K1H","268.90","387","475",""
"Pascal Dongarra","K1H","273.94","-","500",""
"Komlangan Gassou","K1H","278.26","-","522",""
"Kevin Monlezun","K1H","283.27","465","547",""
"Gurgen Brun","K1H","285.06","223","556",""
"Damien Revel","K1H","286.29","-","561",""
"Louis Georges Lafont","K1H","289.39","46","577",""
"Maxime Vinel","K1H","290.79","508","584",""
"Mathieu Pouchet","K1H","292.59","271","593",""
"Xavier Auneau","K1H","294.46","636","602",""
"Antoine Roux","K1H","298.70","300","624",""
"Max Trouve","K1H","300.20","-","631",""
"Stephane Labouille","K1H","302.56","125","642",""
"Valentin Pahon","K1H","309.21","280","675",""
"Olivier Cain","K1H","312.71","312","693",""
"Nicolas Neveu","K1H","316.93","-","714",""
"Nicolas Herr","K1H","325.04","391","754",""
"Romain Cazaux-lerou","K1H","325.47","-","756",""
"Edouard Grosjean","K1H","326.83","377","763",""
"Sylvain Thouvenot","K1H","333.55","-","796",""
"Marc Lalande","K1H","347.91","-","867",""
"Francois Curo","K1H","359.28","-","923",""
"Marc Cailhol","K1H","376.49","417","1009",""
"Paul Robinet","K1H","405.98","-","1155",""
"Remi Parayre","K1H","411.04","339","1180",""
"Gregoire Olivier","K1H","431.88","447","1284",""
"Tanguy Pineau","K1H","675.26","2433","2489",""
"Aurelien Penicaud","K1H","677.60","701","2501",""
"Sebastien Combot","K1H","Abs","-","-",""
"Renaud Doby","K1H","Abs","-","-",""
"Quentin Bove","K1H","Abs","-","-",""
"Benoit Molinier","K1H","Abs","-","-",""
"Axel Mulle","K1H","Abs","-","-",""
"Herve Launay","K1H","Nt","-","-",""
"Bastien Dantin","K1H","Abs","-","-",""
"Remy Guerinet","K1H","Abs","-","-",""
"Julien Lenaour","K1H","Abs","-","-",""
"Lionel Blank","K1H","Abs","-","-",""
"Francois Cauchi","K1H","Abs","-","-",""
"Frederic Lascourreges","K1H","Abs","-","-",""
"Brice Desbieys","K1H","Abs","-","-",""
"Frederic Saint Agne","K1H","Abs","-","-",""
"Thomas Wingerter","K1H","Abs","-","-",""
"Sebastien Martel","K1H","Abs","-","-",""
"Pierre Adrien Plantion","K1H","Abs","-","-",""
"Antony Alves","K1H","Abs","-","-",""
"Quentin Hostens","K1H","Abs","-","-",""
"Patrick Parage","K1H","Abs","-","-",""
"Maxime Lefebvre","K1H","Abs","-","-",""
"Robin Ligneau","K1H","Abs","-","-",""
"Paul Mabille","K1H","Abs","-","-",""
"Guillaume Pitre","K1H","Abs","-","-",""
"Alexandre Jouve","K1H","Abd","-","-",""
"Nasser Belabdi","K1H","Abs","-","-",""
"Nicolas Munoz","K1H","Abs","-","-",""
"Loic Pierre","K1H","Abs","-","-",""
"Mathieu Claverie","K1H","Abd","-","-",""
"Kevin Alves","K1H","Des","-","-",""
"Thierry Bos","K1H","Abs","-","-",""
"Bogdan Radu","K1H","Abd","-","-",""
