"Championnat de France N1 - Lathus Saint Rémy - 4ème Manche - 2009-03-22","4ème Manche","2009-03-22","Nationale 1","119"
"Jonathan Delagnes","K1H","89.05","53","48",""
"Yoann Hautecloche","K1H","90.32","52","55",""
"Benoit Letellier","K1H","90.4","62","56",""
"Julien Arribe","K1H","90.84","65","58",""
"Quentin Bove","K1H","90.84","22","58",""
"Yoan Minvielle","K1H","91.05","56","60",""
"Christophe Augu","K1H","91.68","39","63",""
"Julien Coudert","K1H","91.85","60","64",""
"Davy Egraz","K1H","95.43","66","85",""
"Hugo Hager","K1H","203.7","24","712",""
"Arnaud Lapeze","K1H","Nt","-","-",""
