"Sélectif Régional - Vinon sur Verdon - 2010-04-24","Course 1","2010-04-24","Régional","120"
"Leo Dumont","K1H","134.64","466","506",""
"Frederic Bordier","K1H","135.26","483","513",""
"Aluan Ricciardi","K1H","137.64","-","540",""
"Nicolas Berthe","K1H","138.95","-","556",""
"Dylan Fortune","K1H","140.42","661","571",""
"Aurelien Fualdes","K1H","140.49","455","573",""
"Herve Valentin","K1H","143.30","816","604",""
"Camille Dumont","K1H","146.22","401","638",""
"Maxime Lenne","K1H","151.97","-","704",""
"Stefan Tupek","K1H","155.56","669","744",""
"Marc Scognamiglio","K1H","158.24","-","775",""
"Philippe Lions","K1H","163.76","2040","838",""
"Pierre Labarelle","K1H","Nt","-","-",""
"Thomas Sicre","K1H","Nt","-","-",""
"Clement Rombi","K1H","Nt","-","-",""
"Quentin Duhamel","K1H","Nt","-","-",""
"Damien Chammings","K1H","Nt","-","-",""
"Quentin Ducrot","K1H","Nt","-","-",""
"Ronan Lecouturier","K1H","Nt","-","-",""
"Paul De Salve De Bruneton","K1H","Nt","-","-",""
"Cedric Cordone","K1H","Nt","-","-",""
"Clement Ardaillou","K1H","Nt","-","-",""
"Xavier Gensse","K1H","Nt","-","-",""
"Adrien Baron","K1H","Nt","-","-",""
