"Sélectif Régional de Slalom - Saint Remy De La Vanne - Finale - 2017-11-19","Finale","2017-11-19","Régional","125"
"Leo Bayard-Helene Hincelin","C2MM","289.87","-","1866.03","Finale A"
"Lucie Cecile","K1D","118.21","217.32","258.52","Finale A"
"Emilie Delahaye","K1D","120.62","256.12","283.54","Finale A"
"Adele Charlaigre","K1D","126.36","331.05","343.17","Finale A"
"Mathilde Guillot-le Goff","K1D","130.28","397.18","383.89","Finale A"
"Loan Battistuzzi","K1D","132.6","429.07","407.99","Finale A"
"Yuna Pernet","K1D","136.47","502.97","448.2","Finale A"
"Lucie Robin","K1D","142.41","454.74","509.9","Finale A"
"Florence Marchal","K1D","142.9","632.54","514.99","Finale A"
"Camille De Araujo","K1D","148.34","544.01","571.49","Finale A"
"Clara Delahaye","K1DM","124.14","380.57","320.11","Finale A"
"Charlotte Chauvey","K1DM","140.93","1149.63","494.53","Finale A"
"Julie Dupas","K1DM","143.44","690.2","520.6","Finale A"
"Souhayla Khattabi","K1DM","146.84","729.16","555.92","Finale A"
"Lisa Manach","K1DM","146.91","941.39","556.65","Finale A"
"Benoit Chantry","K1H","100.89","146.42","214.84","Finale A"
"Noe Perreau","K1H","102.48","236.13","233.5","Finale A"
"Nicolas Feuillard","K1H","103.6","186.13","246.65","Finale A"
"Yohann Senechault","K1H","104.09","267.07","252.4","Finale A"
"Fabien De Almeida","K1H","108.19","281.24","300.53","Finale A"
"Eden Quevremont","K1H","108.46","331.46","303.7","Finale A"
"Samuel Lhegu","K1H","108.67","170.82","306.16","Finale A"
"Amaury Brucher","K1H","108.73","359.11","306.87","Finale A"
"Andreas Dupuy","K1H","111.01","202.35","333.63","Finale A"
"Romain Huguenin","K1H","111.02","290.69","333.75","Finale A"
"Jeremie Hepner","K1H","111.11","389.56","334.81","Finale A"
"Enzo Claeys","K1H","112.79","434.64","354.53","Finale A"
"Melvin Queudeville","K1H","114.32","393.76","372.48","Finale A"
"Laurent Rigaud","K1H","114.41","394.77","373.54","Finale A"
"Francois Durand","K1H","116.1","415.53","393.38","Finale A"
"Matthieu Walfard","K1H","116.35","355.18","396.31","Finale A"
"Jeremy Huguenin","K1H","118.2","355.1","418.03","Finale A"
"Antoine Pas","K1H","118.3","386.72","419.2","Finale A"
"Florent Bernard","K1H","119.02","369.01","427.65","Finale A"
"Cyprien Dufour","K1H","123.38","507.7","478.83","Finale A"
"Paul Cascarino","K1H","125.93","498.98","508.77","Finale A"
"Gabriel Benoit","K1H","128.58","603.27","539.87","Finale A"
"Gerard Lafargue","K1H","129.17","513.92","546.8","Finale A"
"Leonard Soland","K1H","130.34","620.02","560.53","Finale A"
"Theo Loury","K1H","167.09","315.9","991.91","Finale A"
"Mathis Piepho","K1HM","122.73","504.96","471.2","Finale A"
"Nathan Huguenin","K1HM","125.47","551.59","503.37","Finale A"
"Loick Manoury","K1HM","128.58","676.17","539.87","Finale A"
"Clery Girard","K1HM","135.31","641.02","618.87","Finale A"
"Leo Dos Santos","K1HM","140.27","1215.1","677.09","Finale A"
"Dimitri Tostain","K1HM","144.28","839.32","724.16","Finale A"
"Tom Nerenhausen","K1HM","145.33","835.43","736.49","Finale A"
"Dylan Simon","K1HM","154.53","627.06","844.48","Finale A"
"Louis Marvillet","K1HM","163.06","939.59","944.61","Finale A"
"Francois Durand","C1H","130.79","456.67","497.71","Finale B"
"Amaury Brucher","C1H","136.49","531.88","561.42","Finale B"
"Gilles Gaud","C1H","146.7","1032.72","675.56","Finale B"
"Ianis Fleury","C1H","157.36","701.3","794.74","Finale B"
"Enzo Claeys","C1H","170.36","847.44","940.07","Finale B"
"Basile Drapier","C1H","179.24","789.3","1039.34","Finale B"
"Nathan Saintobert","C1H","227.7","1950.42","1581.09","Finale B"
"Quentin Pirlot","C1HM","254.22","3793.81","1877.56","Finale B"
"Anouk Hadad","K1D","150.57","673.43","599.67","Finale B"
"Sandrine Arnal","K1D","157.92","712.29","676.01","Finale B"
"Celine Garcia","K1D","159.92","801.63","696.79","Finale B"
"Coralie Delmotte","K1D","163.67","796.37","735.75","Finale B"
"Ludivine Jeanray","K1D","163.97","719.94","738.86","Finale B"
"Emilie Ballan","K1D","171.75","1023.24","819.67","Finale B"
"Elodie Thomasset","K1D","175.83","1120.79","862.06","Finale B"
"Camila Wagner","K1D","177.42","1090.51","878.58","Finale B"
"Loane Foulongani","K1D","182.84","1468.84","934.87","Finale B"
"Valentine Jussy","K1DM","149.89","781.81","592.6","Finale B"
"Charlotte Cadet","K1DM","171.25","1636.17","814.49","Finale B"
"Erin Thibault","K1DM","216.2","852.24","1281.41","Finale B"
"Vincent Delahaye","K1H","98.39","108.05","190.49","Finale B"
"Ianis Fleury","K1H","113.69","321.54","370.09","Finale B"
"Alexis Loiseau","K1H","127.52","717.5","532.43","Finale B"
"Theo Viallard","K1H","127.98","489.14","537.83","Finale B"
"Philippe Piat","K1H","129.12","501.53","551.21","Finale B"
"Yunus Polat","K1H","129.73","653.84","558.37","Finale B"
"Philippe Valeri","K1H","130.69","551.07","569.64","Finale B"
"Basile Drapier","K1H","131.43","456.81","578.33","Finale B"
"Noe Vannier","K1H","132.83","554.34","594.76","Finale B"
"Nathan Saintobert","K1H","143.62","645.06","721.41","Finale B"
"Alessandro Mosalini","K1H","145.18","703.49","739.73","Finale B"
"Ganny Dinally","K1H","149.61","1362.84","791.73","Finale B"
"Pierre Yves Tempier","K1H","151.18","789.73","810.16","Finale B"
"Samuel Gornet","K1H","151.25","941.32","810.98","Finale B"
"Bruno Brousselle","K1H","152.39","869.48","824.36","Finale B"
"Francois Vuillermot","K1H","152.85","799.74","829.76","Finale B"
"Alain Brucher","K1H","154.32","1014.64","847.01","Finale B"
"Maxime Kerbrat","K1H","156.51","1244.35","872.72","Finale B"
"Idriss Kebila","K1H","157.95","1899.96","889.62","Finale B"
"Marc-olivier Dufour","K1H","169.59","1569.38","1026.26","Finale B"
"Gilles Lucas","K1H","227.06","610.74","1700.85","Finale B"
"Adrien Thoumy","K1H","233.47","647.09","1776.09","Finale B"
"Robin Lucas","K1H","259.31","723.87","2079.41","Finale B"
"Adrien Gaillot","K1HM","142.17","1657.55","704.39","Finale B"
"Robin Le Mazurier","K1HM","144.19","916.62","728.11","Finale B"
"Erwan Laloux","K1HM","147.89","1606.9","771.54","Finale B"
"Axel Girard","K1HM","152.66","1162.43","827.53","Finale B"
"Theo Siguret","K1HM","158.32","2020.87","893.97","Finale B"
"Leo Bayard","K1HM","190.85","857.83","1275.81","Finale B"
"Jerome Payen","K1HM","199.01","2258.27","1371.59","Finale B"
"Mathias Devriese","K1HM","345.66","2080.79","3093","Finale B"
