"Sélectif Régional Slalom (Double) - Porcieu Amblagnieu - Course n°2 | Finale - 2017-10-29","Course n°2 | Finale","2017-10-29","Régional","284"
"Julie Labarelle","K1D","107.23","241.35","244.66","Course n°2 | Finale A"
"Zoe Bruchon","K1D","109.25","267.65","267.91","Course n°2 | Finale A"
"Tifenn Primet","K1D","110.37","323.94","280.8","Course n°2 | Finale A"
"Carine Chapuis","K1D","111.59","344.62","294.84","Course n°2 | Finale A"
"Celia Grandadam","K1D","111.7","254.53","296.11","Course n°2 | Finale A"
"Alice Evlachev","K1D","113.63","247.19","318.33","Course n°2 | Finale A"
"Marie Juquelier","K1D","117.93","343.65","367.81","Course n°2 | Finale A"
"Louane Chenal","K1D","121.04","319.19","403.61","Course n°2 | Finale A"
"Barbara Gibert","K1D","125.16","362.3","451.02","Course n°2 | Finale A"
"Adeline Roux","K1D","128.81","339.03","493.03","Course n°2 | Finale A"
"Elke Saragas","K1D","130.32","316.73","510.41","Course n°2 | Finale A"
"Ilona Martin -laemle","K1DM","108.95","301.67","264.46","Course n°2 | Finale A"
"Kesia Georgel","K1DM","122.19","496.68","416.85","Course n°2 | Finale A"
"Pauline Georgeon","K1DM","123.81","556.02","435.48","Course n°2 | Finale A"
"Cerise Babin","K1DM","126.71","437.11","468.87","Course n°2 | Finale A"
"Marion Gillet","K1DM","129.53","466.3","501.32","Course n°2 | Finale A"
"Melyne Jost","K1DM","131.9","423.62","528.6","Course n°2 | Finale A"
"Charlotte Grenier","K1DM","133.62","455.87","548.4","Course n°2 | Finale A"
"Alyssa Lhomme","K1DM","140.14","515.5","623.44","Course n°2 | Finale A"
"Cendres Le Floch","K1DM","145.39","682.94","683.86","Course n°2 | Finale A"
"Maxime Bottex","K1H","85.42","88.26","121.45","Course n°2 | Finale A"
"Martin Dougoud","K1H","86.69","31.52","137.97","Course n°2 | Finale A"
"Lukas Werro","K1H","87.06","75.09","142.78","Course n°2 | Finale A"
"Loic Bertoia","K1H","87.53","75.08","148.89","Course n°2 | Finale A"
"Jan Rohrer","K1H","89.77","188.39","178.03","Course n°2 | Finale A"
"Matthieu Le Gall","K1H","90.05","158.07","181.67","Course n°2 | Finale A"
"Titouan Dupras","K1H","91.12","73.38","195.58","Course n°2 | Finale A"
"Benjamin Dodane","K1H","91.35","218.04","198.57","Course n°2 | Finale A"
"Jules Cresp","K1H","91.74","202.25","203.65","Course n°2 | Finale A"
"Mathieu Monier","K1H","92.57","151.95","214.44","Course n°2 | Finale A"
"Jonathan Chapatte","K1H","92.73","187.1","216.52","Course n°2 | Finale A"
"Robin Pilard","K1H","92.86","251.38","218.21","Course n°2 | Finale A"
"Lucas Dominguez","K1H","92.93","310.29","219.12","Course n°2 | Finale A"
"Gregoire Guerin","K1H","93.49","131.63","226.41","Course n°2 | Finale A"
"Kawan Thomas","K1H","93.53","190.27","226.93","Course n°2 | Finale A"
"Etienne Wiche","K1H","93.9","268","231.74","Course n°2 | Finale A"
"Emmanuel Walczak","K1H","94.07","195.33","233.95","Course n°2 | Finale A"
"Raphael Olla","K1H","94.87","214.64","244.35","Course n°2 | Finale A"
"Noe Monier","K1H","95.01","279.89","246.17","Course n°2 | Finale A"
"Alexis Pacholak","K1H","95.02","316.64","246.3","Course n°2 | Finale A"
"Antonin Barraud","K1H","95.47","227.49","252.16","Course n°2 | Finale A"
"Vincent Reiter","K1H","95.55","244.9","253.2","Course n°2 | Finale A"
"Davy Egraz","K1H","95.65","210.4","254.5","Course n°2 | Finale A"
"LoÏc Winiarski","K1H","95.76","223.38","255.93","Course n°2 | Finale A"
"Axel Kournwsky","K1H","96.16","312.35","261.13","Course n°2 | Finale A"
"Tom Babin","K1H","96.49","287.85","265.42","Course n°2 | Finale A"
"Kilian Godart","K1H","96.96","337.76","271.54","Course n°2 | Finale A"
"Gawaine Chikh","K1H","97.7","264.75","281.16","Course n°2 | Finale A"
"Guillaume Maillot","K1H","98.37","310.48","289.87","Course n°2 | Finale A"
"Victor Paulais","K1H","98.66","351.53","293.64","Course n°2 | Finale A"
"Yann Leruste","K1H","98.75","332.97","294.82","Course n°2 | Finale A"
"Julien Saguet","K1H","99.02","261.37","298.33","Course n°2 | Finale A"
"Teo Bouvier","K1H","99.17","303.33","300.28","Course n°2 | Finale A"
"Jonathan Himpens","K1H","99.98","354.85","310.81","Course n°2 | Finale A"
"Bertrand Bercon","K1H","100.07","298.33","311.98","Course n°2 | Finale A"
"Jolan Schmocker","K1H","100.58","321.89","318.62","Course n°2 | Finale A"
"Eddy Cassard","K1H","100.67","373.07","319.79","Course n°2 | Finale A"
"Alexandre Marin","K1H","100.97","261.76","323.69","Course n°2 | Finale A"
"Jean Philippe Roche","K1H","101.06","283.37","324.86","Course n°2 | Finale A"
"Enzo Cozette","K1H","101.29","325.09","327.85","Course n°2 | Finale A"
"Cedric Mace","K1H","101.66","308.76","332.66","Course n°2 | Finale A"
"Louis Mazoyer","K1H","101.97","337.23","336.69","Course n°2 | Finale A"
"Thomas Michel","K1H","102.24","364.31","340.2","Course n°2 | Finale A"
"Aurelien Merieux Danneaux","K1H","102.31","345.53","341.11","Course n°2 | Finale A"
"Maxime Melmont","K1H","102.43","311.02","342.68","Course n°2 | Finale A"
"Philippe Babin","K1H","103.14","351.11","351.91","Course n°2 | Finale A"
"Loic Trenchant","K1H","103.78","370.16","360.23","Course n°2 | Finale A"
"Kilian Cottet","K1H","103.91","382.32","361.92","Course n°2 | Finale A"
"Joachim Saussol","K1H","104.79","415.62","373.37","Course n°2 | Finale A"
"Yann Zaepffel","K1H","105.3","273.66","380","Course n°2 | Finale A"
"Baptiste Duboc","K1H","106.44","459.35","394.83","Course n°2 | Finale A"
"Guillaume Belet","K1H","109.13","422.68","429.81","Course n°2 | Finale A"
"Luca Gabelli","K1H","109.32","389.44","432.28","Course n°2 | Finale A"
"Armand Rakowski","K1H","111.04","339.46","454.65","Course n°2 | Finale A"
"Jorg Blees","K1H","113.98","384.65","492.89","Course n°2 | Finale A"
"Dimitry Vandenabeele","K1H","119.88","335.2","569.62","Course n°2 | Finale A"
"Valentin Vibert","K1H","146.38","245.67","914.26","Course n°2 | Finale A"
"Sylvain Curinier","K1H","153.56","286.21","1007.64","Course n°2 | Finale A"
"Thomas Ukalovic","K1H","153.89","268.07","1011.94","Course n°2 | Finale A"
"Enzo Seker","K1H","Abs","-","-","Course n°2 | Finale A"
"Louis Masson","K1H","Abs","-","-","Course n°2 | Finale A"
"Gino Benini","K1HM","94.9","343.41","244.74","Course n°2 | Finale A"
"Clement Couchoud","K1HM","98.16","406.41","287.14","Course n°2 | Finale A"
"Arthur Contamine","K1HM","100.95","373.09","323.43","Course n°2 | Finale A"
"Edouard Chenal","K1HM","101.43","289.87","329.67","Course n°2 | Finale A"
"Theo Douady","K1HM","102.92","358.94","349.05","Course n°2 | Finale A"
"Antonin Robert","K1HM","103.03","359.32","350.48","Course n°2 | Finale A"
"Theo Brun","K1HM","109.69","473.5","437.09","Course n°2 | Finale A"
"Tanguy Adisson","K1HM","111.09","491.29","455.3","Course n°2 | Finale A"
"Victor Lagleyze","K1HM","111.29","437.82","457.9","Course n°2 | Finale A"
"Baptiste Gaillard","K1HM","111.81","439.08","464.67","Course n°2 | Finale A"
"Antoine Mazoyer","K1HM","112.2","595.29","469.74","Course n°2 | Finale A"
"Anthony Menissier","K1HM","112.98","518.49","479.88","Course n°2 | Finale A"
"Clement Grapotte","K1HM","113.14","440.26","481.96","Course n°2 | Finale A"
"Daniel Chambert","K1HM","115.01","739.85","506.28","Course n°2 | Finale A"
"Corentin Georgeon","K1HM","115.62","497.67","514.22","Course n°2 | Finale A"
"Lucas Mirabel","K1HM","117.52","664.03","538.93","Course n°2 | Finale A"
"Gabin Chenal","K1HM","120.94","604.25","583.41","Course n°2 | Finale A"
"Luke Ribeyre","K1HM","122.23","677.08","600.18","Course n°2 | Finale A"
"Thibaud Chovin","K1HM","126.16","653.87","651.29","Course n°2 | Finale A"
"Leo Parnotte","K1HM","127.57","703.1","669.63","Course n°2 | Finale A"
"Cosme Duboc","K1HM","128.73","612.16","684.72","Course n°2 | Finale A"
"Sacha Caron","K1HM","133.16","728.15","742.33","Course n°2 | Finale A"
"Maxime Devis","K1HM","133.92","650.22","752.22","Course n°2 | Finale A"
"Tao Dersoir","K1HM","136.36","630.05","783.95","Course n°2 | Finale A"
"Auregane Philip","C1D","113.27","349.42","243.13","Course n°2 | Finale B"
"Alice Evlachev","C1D","122.17","378.4","339.59","Course n°2 | Finale B"
"Gabrielle Kugler","C1D","218.4","504.56","1382.52","Course n°2 | Finale B"
"Laurent Coudurier","C1H","103.59","314.66","298.61","Course n°2 | Finale B"
"Stephane Abadie","C1H","104.47","337.57","309.51","Course n°2 | Finale B"
"Etienne Wiche","C1H","107.63","386.79","348.65","Course n°2 | Finale B"
"Camille Fleuret","C1H","108.22","289.4","355.96","Course n°2 | Finale B"
"Patrice Campioni","C1H","109.08","402.8","366.61","Course n°2 | Finale B"
"Gregoire Guerin","C1H","109.39","408.56","370.45","Course n°2 | Finale B"
"Jean Marc Trenchant","C1H","112.98","428.29","414.91","Course n°2 | Finale B"
"Angelino Castagnetti","C1H","117.59","513.84","472.01","Course n°2 | Finale B"
"Enki Georgel","C1H","121.05","557.33","514.87","Course n°2 | Finale B"
"David Besancon","C1H","123.29","491.42","542.61","Course n°2 | Finale B"
"Julien Lambert","C1H","130.27","591.78","629.07","Course n°2 | Finale B"
"Benjamin Guyon","C1H","139.72","726.69","746.12","Course n°2 | Finale B"
"Tao Dersoir","C1HM","133.2","869.98","665.36","Course n°2 | Finale B"
"Maxime Devis","C1HM","146.68","932.7","832.32","Course n°2 | Finale B"
"Baptiste Gaillard","C1HM","151.41","1170.28","890.91","Course n°2 | Finale B"
"Gaspard Gonseth","C1HM","154.59","1014.13","930.31","Course n°2 | Finale B"
"Oscar Pasteur","C1HM","159.9","847.86","996.07","Course n°2 | Finale B"
"Jules Sourieau","C1HM","181.16","980.85","1259.4","Course n°2 | Finale B"
"Sacha Caron","C1HM","218.42","1762.48","1720.91","Course n°2 | Finale B"
"Axel Clement","C1HM","252.92","1187.87","2148.23","Course n°2 | Finale B"
"Claude Menissier-Gerard Menissier","C2H","112.38","400.72","344.22","Course n°2 | Finale B"
"Camille Fleuret-Enzo Cozette","C2H","124.08","484.99","482.54","Course n°2 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","125.07","464.63","494.25","Course n°2 | Finale B"
"Titouan Sourieau-Jules Sourieau","C2HM","163.94","1396.5","953.81","Course n°2 | Finale B"
"Solene Grenier","K1D","107.99","293.02","258.41","Course n°2 | Finale B"
"Ilhame Siraj","K1D","110.37","351.44","285.8","Course n°2 | Finale B"
"Sophie Staudt","K1D","113.36","307.15","320.22","Course n°2 | Finale B"
"Marion Pasquali","K1D","113.89","320.31","326.32","Course n°2 | Finale B"
"Solen Friconneau","K1D","115.98","373.98","350.37","Course n°2 | Finale B"
"Raphaelle Hovine","K1D","120.61","449.5","403.66","Course n°2 | Finale B"
"Anouk Alberti","K1D","125.28","440.94","457.4","Course n°2 | Finale B"
"Emilie Armani","K1D","125.5","413.89","459.94","Course n°2 | Finale B"
"Jocelyne Roupioz","K1D","126.73","868.98","474.09","Course n°2 | Finale B"
"Lucie Fromentoux","K1D","128.9","436.24","499.07","Course n°2 | Finale B"
"Chloe Faverjon","K1D","130.82","443.46","521.17","Course n°2 | Finale B"
"Nathalie Chapuis","K1D","134.17","622.53","559.73","Course n°2 | Finale B"
"Clarisse Feramus","K1D","134.95","1101.06","568.7","Course n°2 | Finale B"
"Zora Grosclaude","K1D","135.71","580.06","577.44","Course n°2 | Finale B"
"Lucie Adisson","K1D","144.1","379.32","674.01","Course n°2 | Finale B"
"Jessica Joyau","K1D","146.62","376.12","703.01","Course n°2 | Finale B"
"Clara Jannic","K1D","157.63","420.32","829.73","Course n°2 | Finale B"
"Juliette Ribault","K1D","162.01","614.85","880.14","Course n°2 | Finale B"
"Zoe Gonin","K1D","Abd","-","-","Course n°2 | Finale B"
"Fanny Mino-vercellio","K1D","Abs","-","-","Course n°2 | Finale B"
"Marie Amelie Silvin","K1DM","110.66","301.34","289.14","Course n°2 | Finale B"
"Charlotte Doucet","K1DM","146.58","615.86","702.55","Course n°2 | Finale B"
"Aurelie Cabrera","K1DM","163.96","909.81","902.58","Course n°2 | Finale B"
"Daphnee Guyard","K1DM","167.29","1654.51","940.91","Course n°2 | Finale B"
"Caroline Guita","K1DM","172.75","1638.82","1003.75","Course n°2 | Finale B"
"Camille Vion Delphin","K1DM","178.51","1213.91","1070.04","Course n°2 | Finale B"
"Margaux Cornet","K1DM","184.73","954.62","1141.63","Course n°2 | Finale B"
"Lisa Sadelli","K1DM","Abd","-","-","Course n°2 | Finale B"
"Djendy Simeant","K1H","95.96","256.08","263.53","Course n°2 | Finale B"
"Raphael Massot","K1H","102.86","343.07","353.27","Course n°2 | Finale B"
"Theo Soulier","K1H","103.66","402.06","363.67","Course n°2 | Finale B"
"Erwan Degreve","K1H","104.31","489.08","372.13","Course n°2 | Finale B"
"Alexandre Goujon","K1H","104.9","315.86","379.8","Course n°2 | Finale B"
"Benjamin Guyon","K1H","105.54","423.67","388.12","Course n°2 | Finale B"
"Damien Burteaux","K1H","105.57","360.42","388.51","Course n°2 | Finale B"
"Theo Beucler","K1H","106.1","498.04","395.41","Course n°2 | Finale B"
"Hugo Martin -laemle","K1H","106.68","349.54","402.95","Course n°2 | Finale B"
"Patrice Campioni","K1H","106.79","321.63","404.38","Course n°2 | Finale B"
"Adrien Jacquemet","K1H","106.87","479.52","405.42","Course n°2 | Finale B"
"Erwann Buthod","K1H","107.25","369.39","410.36","Course n°2 | Finale B"
"Remy Beal","K1H","110.44","424.47","451.85","Course n°2 | Finale B"
"Batiste Ansaldi","K1H","110.6","456.05","453.93","Course n°2 | Finale B"
"Leonard Painteaux","K1H","110.68","429.15","454.97","Course n°2 | Finale B"
"Jerome Talbot","K1H","110.79","436.12","456.4","Course n°2 | Finale B"
"Jonathan Ferreira","K1H","111.41","603.49","464.46","Course n°2 | Finale B"
"Matthew Vuillard","K1H","112.97","475.83","484.75","Course n°2 | Finale B"
"Aymeric Rivier","K1H","113.11","533.45","486.57","Course n°2 | Finale B"
"Djimy Kar","K1H","114.24","475.79","501.27","Course n°2 | Finale B"
"Philippe Couchoud","K1H","115.09","503.21","512.32","Course n°2 | Finale B"
"Jeanchristophe Laroque","K1H","115.61","564.91","519.09","Course n°2 | Finale B"
"Jeremy Rouet","K1H","115.8","839.78","521.56","Course n°2 | Finale B"
"Nicolas Demofsqui","K1H","116.26","462.68","527.54","Course n°2 | Finale B"
"Matthieu Rousseau","K1H","117.23","673.36","540.16","Course n°2 | Finale B"
"Maxime Pilard","K1H","117.31","591.92","541.2","Course n°2 | Finale B"
"Paul Farrugio","K1H","117.5","506.74","543.67","Course n°2 | Finale B"
"Tom Mazouat","K1H","117.68","561.09","546.01","Course n°2 | Finale B"
"Gilles Barthelemy","K1H","117.99","537.14","550.04","Course n°2 | Finale B"
"Lucas Mancuso","K1H","119.24","648.82","566.3","Course n°2 | Finale B"
"Matthis Fradin","K1H","119.69","669.92","572.15","Course n°2 | Finale B"
"Matthieu Fontanez","K1H","120.46","609.28","582.16","Course n°2 | Finale B"
"Enzo Mazouat","K1H","121.05","592.93","589.84","Course n°2 | Finale B"
"Sebastien Chapatte","K1H","121.28","489.72","592.83","Course n°2 | Finale B"
"Maxence Galy","K1H","121.31","610.84","593.22","Course n°2 | Finale B"
"Serge Doby","K1H","122.25","788.12","605.44","Course n°2 | Finale B"
"Francois Lecuit","K1H","124.34","602.74","632.62","Course n°2 | Finale B"
"Thomas Gossieaux","K1H","124.5","606.09","634.71","Course n°2 | Finale B"
"Romain Brouard","K1H","124.83","607.59","639","Course n°2 | Finale B"
"Florian Jarousse","K1H","126.26","443.68","657.59","Course n°2 | Finale B"
"Kevin Cheval","K1H","127.59","702.46","674.89","Course n°2 | Finale B"
"Virgile Bessot","K1H","128.29","726.64","684","Course n°2 | Finale B"
"Laurent Brossat","K1H","128.44","903.75","685.95","Course n°2 | Finale B"
"Esteban Reder-issartel","K1H","130.7","653.65","715.34","Course n°2 | Finale B"
"Justin Murphy","K1H","131.6","689.45","727.04","Course n°2 | Finale B"
"Mattheo Szkuta","K1H","131.82","887.96","729.91","Course n°2 | Finale B"
"Julien Lambert","K1H","131.84","667.31","730.17","Course n°2 | Finale B"
"Kevin Vienny","K1H","137.68","760.11","806.12","Course n°2 | Finale B"
"Yorick Richioud","K1H","139.26","779.83","826.67","Course n°2 | Finale B"
"Arthur Talarmain","K1H","141.5","561.72","855.8","Course n°2 | Finale B"
"Alexandre Lambert","K1H","142.38","784.29","867.24","Course n°2 | Finale B"
"Tom Ollinet","K1H","145.38","1505.03","906.26","Course n°2 | Finale B"
"Tom Armand","K1H","147.03","644.55","927.72","Course n°2 | Finale B"
"Julien Coutet","K1H","149.36","1562.74","958.02","Course n°2 | Finale B"
"Thibaut Jumetz","K1H","159.3","723.63","1087.29","Course n°2 | Finale B"
"Jean-marc Suarez","K1H","171.39","614.99","1244.53","Course n°2 | Finale B"
"Virgile Lampert","K1H","202.46","1584.36","1648.61","Course n°2 | Finale B"
"Antoine Luchier","K1H","217.89","586.72","1849.28","Course n°2 | Finale B"
"Frederic Brissaud","K1H","Abs","-","-","Course n°2 | Finale B"
"Yves Masson","K1H","Abs","-","-","Course n°2 | Finale B"
"Ugo Zanellato","K1HM","106.73","511.18","403.6","Course n°2 | Finale B"
"Matheo Dupont","K1HM","113.13","511.38","486.83","Course n°2 | Finale B"
"Oscar Pasteur","K1HM","114.12","588.26","499.71","Course n°2 | Finale B"
"Florian Jumetz","K1HM","115.76","517.55","521.04","Course n°2 | Finale B"
"Antonin Castille","K1HM","116.3","602.38","528.06","Course n°2 | Finale B"
"Axel Clement","K1HM","119.39","532.04","568.25","Course n°2 | Finale B"
"Quentyn Maitre","K1HM","128.29","718.24","684","Course n°2 | Finale B"
"Maxime Pein","K1HM","128.88","801.59","691.67","Course n°2 | Finale B"
"Paul Lecomte","K1HM","130.35","759.82","710.79","Course n°2 | Finale B"
"Titouan Sourieau","K1HM","133.61","685.97","753.18","Course n°2 | Finale B"
"Hugo Tellier","K1HM","140.63","686.14","844.48","Course n°2 | Finale B"
"Mathys Rene","K1HM","142.85","841.23","873.36","Course n°2 | Finale B"
"Emilien Charrier","K1HM","144.86","968.17","899.5","Course n°2 | Finale B"
"Erwan Masson","K1HM","144.99","801.96","901.19","Course n°2 | Finale B"
"Leo Bayard","K1HM","149.58","927.29","960.88","Course n°2 | Finale B"
"Raphael Bonnard","K1HM","152.76","1013.29","1002.24","Course n°2 | Finale B"
"Sam Pemberton","K1HM","160.46","911.7","1102.38","Course n°2 | Finale B"
"Oscar Puc","K1HM","192.91","937.49","1524.41","Course n°2 | Finale B"
"Axel Gondard","K1HM","195.33","1592.46","1555.88","Course n°2 | Finale B"
"William Varela","K1HM","221.31","1796.22","1893.76","Course n°2 | Finale B"
"Guillaume Mele","K1HM","244.79","1457.53","2199.13","Course n°2 | Finale B"
"Evan Trenchant","K1HM","249.55","1258.73","2261.04","Course n°2 | Finale B"
"Mael Hervault","K1HM","Abs","-","-","Course n°2 | Finale B"
"Enzo Laclef","K1HM","Des","-","-","Course n°2 | Finale B"
