"Sélectif Régional de slalom - Isle De La Serre (sault Brénaz) - Course n°2 | Qualification - 2015-10-25","Course n°2 | Qualification","2015-10-25","Régional","185"
"Aurelie Le Fee","K1D","128.38","487.39","467.96",""
"Tifenn Primet","K1D","129.55","409.57","480.95",""
"Juliette Rousset","K1D","134.2","436.44","532.61",""
"Sarah Monod","K1D","136.5","484.77","558.16",""
"Lise Ducruet","K1D","139.81","1485.21","594.94",""
"Juliette Ribault","K1D","145.7","585.46","660.38",""
"Elise Carbon","K1D","151.95","857.6","729.81",""
"Lison Soullier","K1D","170.09","1621.04","931.34",""
"Orlane Gauchet","K1D","185.02","560.16","1097.22",""
"Estelle Mayer","K1D","207.06","601.43","1342.07",""
"Stassy Legendre","K1D","238.05","539.36","1686.37",""
"Marine Brenet","K1D","291.45","2558.93","2279.62",""
"Julie Roussel","K1D","348.22","-","2910.32",""
"Emma Vieira Coelha","K1D","Abs","-","-",""
"Hind Jamili","K1D","Abs","-","-",""
"Marie Juquelier","K1DM","126.64","440.79","448.63",""
"Victoire Guerin","K1DM","139.04","749.06","586.38",""
"Louane Chenal","K1DM","145.45","382.68","657.6",""
"Solen Friconneau","K1DM","150.74","-","-",""
"Anouk Alberti","K1DM","165.13","-","-",""
"Lucie Fromentoux","K1DM","Abd","-","-",""
"Benjamin Travostino","K1H","86.09","53.68","122.46",""
"Yves Prigent","K1H","89.83","28.44","169.41",""
"Kevin Schultz","K1H","90.43","72.79","176.94",""
"Maxime Bottex","K1H","91.38","89.24","188.87",""
"Titouan Dupras","K1H","91.57","126.2","191.26",""
"Lucas Latimier","K1H","91.86","234.18","194.9",""
"Jonathan Chapatte","K1H","92.52","144.92","203.18",""
"Matthieu Le Gall","K1H","92.77","176.38","206.32",""
"Nicolas Caussanel","K1H","93.28","145.86","212.72",""
"Davy Egraz","K1H","94.81","183.12","231.93",""
"Sylvain Curinier","K1H","95.16","278.36","236.33",""
"Charles Fernandes De Oliveira","K1H","96.79","266.49","256.79",""
"Gregoire Guerin","K1H","97.45","163.5","265.07",""
"Lilian Querry","K1H","97.93","261.33","271.1",""
"Guilhem Douillet","K1H","98.33","-","276.12",""
"Robin Pottelette","K1H","98.95","233.31","283.91",""
"Patrice Campioni","K1H","99.78","317.43","294.33",""
"Samuel Bonella","K1H","99.78","257.35","294.33",""
"Raphael Olla","K1H","99.8","304.08","294.58",""
"Erwan Cadio","K1H","100.2","245.1","299.6",""
"Minhyeong Song","K1H","100.47","225.01","302.99",""
"Jules Cresp","K1H","100.58","267.37","304.37",""
"Jules Silvin","K1H","101.03","292.27","310.02",""
"Aubry Bertin","K1H","101.86","163.46","320.44",""
"Emmanuel Triomphe","K1H","102.35","349.91","326.59",""
"Sebastien Routhier","K1H","102.39","314.47","327.09",""
"Pierre Grapotte","K1H","102.69","240.96","330.86",""
"Robin Pilard","K1H","102.78","181.21","331.99",""
"Nicolas Detheve","K1H","102.91","307.79","333.62",""
"Alexis Caspar","K1H","102.91","324.38","333.62",""
"Jae Hyeong Bak","K1H","102.98","353.64","334.5",""
"Jeonghyeon Lee","K1H","103.06","286.62","335.5",""
"Mathieu Monier","K1H","103.56","205.56","341.78",""
"Pascal Ferry","K1H","103.58","239.13","342.03",""
"William Gettliffe","K1H","104.3","389.14","351.07",""
"Yann Zaepffel","K1H","105.18","261.53","362.12",""
"Olivier Barriere","K1H","105.64","339.59","367.89",""
"Bertrand Dubiez","K1H","106.58","340.49","379.69",""
"Lucas Barriere","K1H","106.94","374.35","384.21",""
"Loic Thielen","K1H","107.8","318.32","395.01",""
"Kilian Godart","K1H","110.35","435.18","427.02",""
"Dyclan Plessis","K1H","110.93","395.83","434.3",""
"Thomas Denais","K1H","110.93","304.36","434.3",""
"Benjamin Dodane","K1H","111.46","328.96","440.96",""
"Jean Philippe Roche","K1H","111.51","284.97","441.58",""
"Pascal Hunault","K1H","112.1","356.17","448.99",""
"Loic Bouvier","K1H","114.29","498.39","476.48",""
"Yannick Grizaud","K1H","115.89","429.97","496.57",""
"Marc Jungling","K1H","117.27","780.53","513.9",""
"Felix Balas","K1H","120.13","-","549.8",""
"Maxime Pilard","K1H","121.45","438.96","566.37",""
"Yanis Delacour","K1H","122.27","437.8","576.67",""
"Erwan Degreve","K1H","123.72","494.01","594.87",""
"Francois Lecuit","K1H","125.57","550.53","618.09",""
"Kilian Hervault","K1H","129.1","614.28","662.41",""
"Harry Shakeshaft","K1H","130.93","-","685.38",""
"Jules Bernardet","K1H","131.11","271.21","687.64",""
"Antoni Zaki","K1H","133.75","430.35","720.79",""
"Remi Vallin","K1H","134.82","-","734.22",""
"Enzo Mazouat","K1H","135.89","647.15","747.65",""
"Samuel Gerard","K1H","136.29","542.81","752.67",""
"Djimy Kar","K1H","137.16","373.22","763.59",""
"Tom Mazouat","K1H","143.72","671.91","845.95",""
"Tom Benini","K1H","157.14","324.2","1014.42",""
"Yves Masson","K1H","172.89","568.03","1212.15",""
"Loic Joly","K1H","Abs","-","-",""
"Maxence Marin","K1H","Abs","-","-",""
"Victorien Lombard","K1H","Abs","-","-",""
"Alexandre Lismonde","K1H","Abs","-","-",""
"Charly Ancelle","K1H","Abs","-","-",""
"Anselm Arnaud","K1H","Abs","-","-",""
"Louis Masson","K1H","Abs","-","-",""
"Florent Tamburini","K1H","Abs","-","-",""
"Emilien Senneret","K1H","Abs","-","-",""
"Jules Azelie","K1H","Abs","-","-",""
"Romain Gayral","K1H","Abs","-","-",""
"Henri Bergognon","K1HM","102.56","276.22","329.23",""
"Djendy Simeant","K1HM","104.88","-","-",""
"Adrien Fischer","K1HM","111.31","364.88","439.07",""
"Etienne Wiche","K1HM","112.98","-","-",""
"Guillaume Belet","K1HM","118.71","-","-",""
"Noe Monier","K1HM","119.97","-","-",""
"Lucas Dominguez","K1HM","120.74","-","-",""
"Titouan Auriol","K1HM","120.95","483.45","560.09",""
"Louis Mazoyer","K1HM","121.13","556.9","562.35",""
"Maxime Melmont","K1HM","125.91","481.55","622.36",""
"Paul Farrugio","K1HM","130.38","1143.9","678.48",""
"Mohamed SaÏd Bekkadour","K1HM","131.99","-","-",""
"Benjamin Guyon","K1HM","133.34","-","-",""
"Charles Culine","K1HM","140.08","863.07","800.25",""
"Nino Chailan","K1HM","141.06","642.69","812.56",""
"Thibault Pereira","K1HM","144.38","-","854.23",""
"Matheo Dejonghe","K1HM","148.65","-","-",""
"Angelino Castagnetti","K1HM","153.31","967.44","966.34",""
"Valentin Renier","K1HM","157.87","-","1023.59",""
"Luc Primet","K1HM","160.13","-","-",""
"Erwann Buthod","K1HM","181.88","-","-",""
"Raphael Massot","K1HM","183.13","-","-",""
"Yazid Koraichi","K1HM","191.17","-","-",""
"Julien Lambert","K1HM","281.44","-","-",""
