"Nationale 3 - Guise - 2013-04-14","Course 3","2013-04-14","Nationale 3","159"
"Louis Vandeville","K1H","98.94","214.05","350.84",""
"Nathan Boudaillez","K1H","98.97","270.51","351.2",""
"David Mingasson","K1H","99.15","256.91","353.39",""
"Mickael Louchard","K1H","99.75","156.47","360.66",""
"Olivier Dulouard","K1H","100.19","237.99","366",""
"Adam Collin","K1H","100.54","299.53","370.25",""
"Florian Crette","K1H","100.76","284.51","372.92",""
"Quentin Mannier","K1H","100.79","261.13","373.28",""
"Laurent Dupuis","K1H","100.81","146.56","373.52",""
"Jeremy Grippon","K1H","101.13","227.19","377.41",""
"Joseph Enguehard","K1H","101.31","264.79","379.59",""
"Clement Sannier","K1H","101.91","226.64","386.87",""
"Romain Huguenin","K1H","102.87","356.81","398.52",""
"Fabien Perruchet","K1H","102.99","202.59","399.97",""
"Thibault Joncret","K1H","103.65","210.21","407.98",""
"Francois Durand","K1H","103.82","210.53","410.05",""
"Nathan Aubert","K1H","103.94","224.44","411.49",""
"Son Bui","K1H","104.06","463.33","412.95",""
"Yoann Nurit","K1H","104.1","253.34","413.44",""
"Thomas Durand","K1H","104.15","362.7","414.04",""
"Amaury Vielliard","K1H","104.25","252.5","415.26",""
"Francois Pech","K1H","104.35","364.44","416.47",""
"Charles Moalic","K1H","104.95","264.15","423.76",""
"Yoann Deschemaeker","K1H","104.99","202.15","424.23",""
"Corentin Desenclos","K1H","105.13","333.11","425.94",""
"Alexis Vielliard","K1H","105.73","306.9","433.21",""
"Teddy Poulard","K1H","105.91","246.22","435.4",""
"Benjamin Pre","K1H","106.27","377.4","439.77",""
"Maxime Pilard","K1H","107.06","291.6","449.35",""
"Erwan Gautrelet","K1H","107.2","373.08","451.05",""
"Charly Prevert","K1H","107.35","300.37","452.87",""
"Theo Zilber","K1H","107.41","347.06","453.6",""
"Matthieu Rousseau","K1H","107.53","276.63","455.05",""
"Sebastien Masseline","K1H","109.56","482.51","479.68",""
"Leo Degraeve","K1H","109.68","334.51","481.14",""
"Aymeric Dollat","K1H","109.74","292.13","481.86",""
"Robin Dheilly","K1H","109.94","264.59","484.29",""
"Xavier Montenoise","K1H","110.59","383.67","492.18",""
"Thibault Dhennin","K1H","110.7","254.9","493.51",""
"Pierre Beuchet","K1H","111.06","347.87","497.88",""
"Jeremy Maniere","K1H","111.36","488.3","501.52",""
"Clement Come","K1H","111.9","-","508.07",""
"Pierre Ferrand","K1H","111.96","350.82","508.8",""
"Bastien Moreaux","K1H","112.27","393.23","512.57",""
"Mickael Dubois","K1H","112.42","371.69","514.38",""
"Louis Depuydt","K1H","113.08","442.07","522.39",""
"Esteban Lebrun","K1H","113.35","436.15","525.66",""
"Lucas Richard","K1H","115.26","467.49","548.84",""
"Johann Sacleux","K1H","115.78","375.17","555.15",""
"Pascal Andrieux","K1H","116.71","496.7","566.43",""
"Maxime Trudel","K1H","117.6","814.81","577.22",""
"Jean-francois Dulouard","K1H","118.23","483.24","584.87",""
"Pierre Emmanuel Ravet","K1H","119.16","490.02","596.16",""
"Emmanuel Queven","K1H","133.2","624.73","766.5",""
"Didier Niel","K1H","145.19","106.53","911.97",""
"Maxime Poupart","K1H","157.3","223.28","1058.9",""
"Axel Guilleret","K1H","Nt","-","-",""
"Theo Deslances","K1H","Nt","-","-",""
"Aurelien Coiffeteau","K1H","Nt","-","-",""
"Philippe Valeri","K1H","Nt","-","-",""
"Mederic Larrive","K1H","Nt","-","-",""
