"Championnat de France Equipe Clubs - Metz - Courses par équipe - 2014-07-27","Courses par équipe","2014-07-27","Championnats de France","114"
"Suzon Broute-Gaetan Drouin-Nathan Rene Corail","EKH","133.46","-","500",""
"Baptiste Simon-Marie-francoise Prigent-Baptiste Simon","EKH","134.14","-","500",""
"Hugo Maher-Julien Rocaboy-Clothilde Le Louarn","EKH","135.86","-","1214",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","137.37","-","1182",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","137.54","-","1149",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","138.91","-","500",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","139.81","-","1084",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","139.91","-","500",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","140.62","-","500",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","141.68","-","987",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","142.08","-","955",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","142.69","-","922",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","143.56","-","500",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","143.66","-","857",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","144.27","-","825",""
"Vincent Ardonceau-Elsa Cailhol-Hugo Crepeau","EKH","147.41","-","792",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","159.09","-","500",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","160.6","-","500",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","201.78","-","695",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","203.23","-","500",""
"Emmanuel Pontalba-silotia-Guillaume Maillot-Ewen Polette","EKH","203.69","-","630",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","209.04","-","597",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","212.75","-","565",""
"Baptiste Simon-Baptiste Simon-Baptiste Simon","EKH","220.32","-","500",""
