"Manche de la Coupe de France National 3 Slalom - 72300 Sable Sur Sarthe - Qualification - 2022-03-13","72300 Sable Sur Sarthe","Qualification","qualif","2022-03-13","Nationale 3","213"
"Athl�te","Cat�gorie","Score","Valeur","Points course","Finale A/B"
"Pacome Michel","K1H","103.4","656.15","451.92",""
"Gabriel Bonsens","K1H","103.69","614.19","455.98",""
"Arthur Chaumet","K1H","103.73","388.23","456.54",""
"Cosme Duboc","K1H","103.75","565.52","456.81",""
"Nicolas Cappy","K1H","103.82","555.44","457.79",""
"Mathis Odot","K1H","104.25","450.64","463.81",""
"Victor Julou","K1H","104.66","647.61","469.55",""
"Pascal Marrec","K1H","105.09","525.91","475.57",""
"Mat�o Delachair","K1H","105.1","534.22","475.71",""
"Tanguy Rolland","K1H","105.13","436.32","476.13",""
"Maxence Gautier Grall","K1H","105.47","575.52","480.89",""
"Guillaume Maillot","K1H","105.48","542.41","481.03",""
"Mael Calvez","K1H","105.81","484.7","485.65",""
"Titouan Briand","K1H","106.34","843.88","493.06",""
"Pierre Le Corvaisier","K1H","106.52","746.02","495.58",""
"Gaspard Helle","K1H","106.58","594.86","496.42",""
"Yoann Le Guyader","K1H","106.61","615.43","496.84",""
"Lionel Tinevez","K1H","106.7","500.42","498.1",""
"Selyan Bourgognon","K1H","106.72","608.9","498.38",""
"Lubin Huet","K1H","106.9","432.48","500.9",""
"Robin Guignard","K1H","107.98","858.0","516.02",""
"Zelio Goater","K1H","108.23","406.03","519.51",""
"Adrien Le Collinet","K1H","108.56","523.21","524.13",""
"Thomas Sudron","K1H","108.75","675.16","526.79",""
"Yann Le Bourser","K1H","108.94","690.01","529.45",""
"Gurvan Piton","K1H","108.98","710.28","530.01",""
"Emmanuel Cosse","K1H","109.03","639.21","530.71",""
"Benoit Ricard","K1H","109.13","804.55","532.11",""
"Timothe Balbous","K1H","109.17","483.08","532.67",""
"Damien Guilloux","K1H","109.23","556.87","533.51",""
"Armand Fougere","K1H","109.62","531.81","538.97",""
"Louka Molina-combot","K1H","109.65","498.18","539.39",""
"Bastien Mailly","K1H","109.77","570.86","541.07",""
"Lucas Deleplancque","K1H","109.79","713.71","541.35",""
"Jules Le Nevez","K1H","110.06","1174.5","545.13",""
"Gabin Mesnil","K1H","110.31","749.92","548.62",""
"Maxime Metay","K1H","110.75","661.54","554.78",""
"Oscar Mizzi","K1H","111.1","604.49","559.68",""
"Loan Beaucourt","K1H","111.23","954.15","561.5",""
"Jerome Talbot","K1H","111.47","474.69","564.86",""
"Vincent Donval","K1H","111.51","421.01","565.42",""
"Philippe Gall","K1H","112.06","660.64","573.12",""
"Madec Gezequel","K1H","112.29","672.81","576.34",""
"Nathan Guilleray","K1H","112.69","663.92","581.93",""
"Simon Francois","K1H","112.81","1332.82","583.61",""
"Theo Chetoui","K1H","113.45","849.44","592.57",""
"Joachim Berthelot","K1H","113.51","521.86","593.41",""
"Edern Portier","K1H","113.56","870.6","594.11",""
"Lucas Hado","K1H","113.62","795.31","594.95",""
"Youn Roger","K1H","113.79","582.84","597.33",""
"Jules Mauget","K1H","114.13","1015.01","602.09",""
"Armel Philippe","K1H","114.15","597.47","602.37",""
"Louis Beaumois","K1H","114.28","631.25","604.19",""
"Ludovic Couture","K1H","114.48","771.83","606.98",""
"Clement Le Naour","K1H","114.48","701.48","606.98",""
"Florian Manceau","K1H","115.03","1010.9","614.68",""
"Noah Hebert","K1H","115.27","1144.89","618.04",""
"Vincent Perrot","K1H","115.65","619.68","623.36",""
"Clement Hado","K1H","115.8","979.76","625.46",""
"Frederic Castryck","K1H","116.12","439.21","629.94",""
"Nattael Talbot","K1H","116.57","745.65","636.24",""
"Marin Moreau","K1H","117.44","627.54","648.41",""
"Marin Guillouet","K1H","118.12","996.91","657.93",""
"Valentin Soullard","K1H","119.25","618.71","673.74",""
"Marin Rubeaux","K1H","119.38","578.1","675.56",""
"Christophe Gergaud","K1H","119.5","785.78","677.24",""
"Benoit Bullot","K1H","119.67","1020.47","679.62",""
"Arthur Malard","K1H","119.68","701.88","679.76",""
"Duncan Coppens","K1H","119.85","656.59","682.14",""
"Felix Bernier","K1H","119.96","836.66","683.68",""
"Iwen Robic","K1H","120.6","524.7","692.64",""
"Nathan Andre","K1H","121.28","778.97","702.15",""
"Nino Pontillo","K1H","122.37","739.59","717.41",""
"Arthur Gautier Jean","K1H","122.65","1008.14","721.33",""
"Mathieu Brisson","K1H","122.96","618.42","725.67",""
"Titouan Vigouroux","K1H","122.97","859.8","725.81",""
"Cedric Collet","K1H","123.26","673.89","729.86",""
"Claude Flouret","K1H","123.85","974.79","738.12",""
"Mewen Coadou","K1H","124.14","947.8","742.18",""
"Kevin Mousserion","K1H","124.19","959.19","742.88",""
"Cyprien Perochon","K1H","124.88","1039.55","752.54",""
"Pierre Paboeuf","K1H","125.11","861.13","755.76",""
"Leo Daniel","K1H","125.36","1065.15","759.25",""
"Nayan Troley","K1H","125.79","741.53","765.27",""
"Lorenzo Caucheteux","K1H","128.13","663.4","798.02",""
"Olivier Neveu","K1H","128.43","703.07","802.22",""
"Luis Riu","K1H","128.69","991.76","805.86",""
"Samuel Piton","K1H","129.92","1182.1","823.07",""
"Mathis Colin","K1H","129.93","1557.82","823.21",""
"Titouan Beaumois","K1H","130.19","1329.12","826.85",""
"Riwan Le Roy","K1H","130.59","779.78","832.45",""
"Timoth� Le Beuvant","K1H","131.55","824.14","845.89",""
"Mathis Barre","K1H","133.47","898.05","872.76",""
"Boris Le Jolly","K1H","134.03","770.51","880.59",""
"Remi Launay","K1H","138.72","982.21","946.23",""
"Jean Christophe Olivo","K1H","139.36","1039.5","955.19",""
"Nour Rajoub","K1H","139.41","719.46","955.89",""
"Denis Coppens","K1H","141.27","1110.2","981.92",""
"Basile Soyer","K1H","143.63","845.44","1014.95",""
"Arthur Chouteau","K1H","148.75","1225.1","1086.6",""
"Alex Chouteau","K1H","149.3","-","1094.3",""
"Jules Rathier","K1H","159.38","661.38","1235.38",""
"Marius Chotard","K1H","161.42","963.5","1263.93",""
"Mathis Bourgognon","K1H","170.93","1121.99","1397.02",""
"Florian Szabo","K1H","171.3","843.07","1402.2",""
"Melen Kervarec","K1H","173.55","3327.48","1433.69",""
"Ewen Lema","K1H","193.0","1468.83","1705.9",""
"Samuel Petibon","K1H","194.81","839.4","1731.23",""
