"Séletif National 3 Slalom Ouest - Barrage Du Gouet - Finale - 2015-03-08","Finale","2015-03-08","Nationale 3","232"
"Maela Le Corre","K1D","118.65","-","391.77","Finale A"
"Marion Grangeon","K1D","124.55","370.05","458.69","Finale A"
"Aziliz Quintin","K1D","127.93","402.04","497.03","Finale A"
"Enora Bronsard","K1D","152.79","420.87","779.04","Finale A"
"Riwal Le Berre","K1H","93.64","229.2","246.15","Finale A"
"Frederic Castryck","K1H","94.66","279.01","259.22","Finale A"
"Anthony Drouhin","K1H","94.75","220.29","260.38","Finale A"
"Gaetan Hamelin","K1H","95.92","227.18","275.37","Finale A"
"Valentin Alliot","K1H","96.2","243.91","278.96","Finale A"
"Gwenael Marquer","K1H","96.95","278.99","288.58","Finale A"
"Youn Aubry","K1H","97.29","264.46","292.94","Finale A"
"Martin Belliot","K1H","97.78","247.08","299.22","Finale A"
"Clement Le Collinet","K1H","98.15","280.35","303.96","Finale A"
"Theo Renaud","K1H","98.19","276.62","304.47","Finale A"
"Nathan Flageul","K1H","98.64","274.37","310.24","Finale A"
"Quentin Le Duc","K1H","98.88","256.75","313.32","Finale A"
"Thibaud Chevalier","K1H","99.03","334.35","315.24","Finale A"
"Theo Foucher","K1H","99.11","249.86","316.27","Finale A"
"Mathis Soudi","K1H","99.34","297.21","319.21","Finale A"
"Guillaume De Fierville","K1H","100.19","267.46","330.11","Finale A"
"Arthur Chaumet","K1H","100.33","258.39","331.9","Finale A"
"Dorian Ollivier","K1H","100.36","301.6","332.29","Finale A"
"Eadwin Famechon","K1H","100.57","291.64","334.98","Finale A"
"Denis Guilmard","K1H","100.7","254","336.65","Finale A"
"Yoann Le Guyader","K1H","100.9","320.83","339.21","Finale A"
"Etienne Chauvin","K1H","101.54","288.37","347.41","Finale A"
"Lucas Pagnard - Tissier","K1H","101.87","325.23","351.64","Finale A"
"Lorin Dumont","K1H","101.93","274.08","352.41","Finale A"
"Hugo Regnier","K1H","101.95","310.73","352.67","Finale A"
"Manuel Coquelin","K1H","102.16","320.8","355.36","Finale A"
"Axel Meheust","K1H","102.21","247.33","356","Finale A"
"Quentin Lejeune","K1H","102.73","344.2","362.67","Finale A"
"Alain Droniou","K1H","102.75","328.13","362.92","Finale A"
"Sylvain Le Dantec","K1H","102.87","316.94","364.46","Finale A"
"Timothee Le Mort","K1H","102.88","271.36","364.59","Finale A"
"Emmanuel Cosse","K1H","102.97","304.59","365.74","Finale A"
"Malo Legrand","K1H","102.99","348.1","366","Finale A"
"Manuel Moquet","K1H","103.4","302.94","371.26","Finale A"
"Stephane Debliquy","K1H","103.46","349.39","372.03","Finale A"
"Jeremi Toso","K1H","103.54","305.87","373.05","Finale A"
"Ronan Gac","K1H","103.57","375.62","373.44","Finale A"
"William Simon","K1H","103.82","358.77","376.64","Finale A"
"Julien Caillarec","K1H","104.18","311.01","381.25","Finale A"
"Pascal Marrec","K1H","104.18","284.13","381.25","Finale A"
"Emeric Bussonnais","K1H","104.57","332.91","386.25","Finale A"
"Clement Praille","K1H","104.67","368.82","387.54","Finale A"
"Pierre Bourdet","K1H","104.76","382.15","388.69","Finale A"
"Samuel Flament","K1H","104.87","406.07","390.1","Finale A"
"Hoel Carnot","K1H","105.26","328.03","395.1","Finale A"
"Julien Pajaud","K1H","105.42","352.12","397.15","Finale A"
"Charles Beaumont","K1H","105.48","388.29","397.92","Finale A"
"Aymeric Poirier","K1H","105.77","364.82","401.64","Finale A"
"Nicolas Mignon","K1H","105.87","275.83","402.92","Finale A"
"Ronan Nedelec","K1H","105.88","319.51","403.05","Finale A"
"Mathis Daniel","K1H","105.89","402.88","403.17","Finale A"
"Loann Le Guyader","K1H","106.24","392.15","407.66","Finale A"
"Arthur Mizzi","K1H","106.49","407.3","410.87","Finale A"
"Jonas Godevin","K1H","106.6","315.12","412.28","Finale A"
"Keliann Le Breton","K1H","107.21","429.17","420.1","Finale A"
"Yann Le Bourser","K1H","107.43","363.92","422.92","Finale A"
"Pierre Yves Tanguy","K1H","107.88","261.33","428.68","Finale A"
"Loic Froissard","K1H","107.93","375.54","429.32","Finale A"
"Edouard Anne","K1H","108.71","387.71","439.32","Finale A"
"Melvil Boschel","K1H","108.81","419.92","440.6","Finale A"
"Florentin Saumon","K1H","109.24","371.47","446.12","Finale A"
"Lucas Godevin","K1H","109.88","373.28","454.32","Finale A"
"Jean Yves Prigent","K1H","109.94","366.6","455.09","Finale A"
"Maxime Jean","K1H","110.86","350.82","466.88","Finale A"
"Christophe Gergaud","K1H","111.05","394.5","469.32","Finale A"
"Ludovic Couture","K1H","111.4","416.56","473.8","Finale A"
"Nicolas Le Belleguic","K1H","111.65","336.59","477.01","Finale A"
"Paul Cazee","K1H","112.17","450.49","483.67","Finale A"
"Alan Olivo","K1H","112.35","399.09","485.98","Finale A"
"Olivier Brochard","K1H","112.66","435.92","489.96","Finale A"
"Hugo Philippe","K1H","113.04","456","494.83","Finale A"
"Maxance Mongermont","K1H","223.78","477.15","1914.35","Finale A"
"Romain Barreau","K1H","254.26","449.6","2305.06","Finale A"
"Nolwenn Le Mehaute","C1D","135.9","478.55","502.52","Finale B"
"Noemie Poitou","C1D","142.07","488.73","568.43","Finale B"
"Anais Pignet","C1D","150.53","462.96","658.8","Finale B"
"Isaac Dufrene","C1H","107.48","355.5","362.95","Finale B"
"Herve Busson","C1H","109.36","422.78","385.9","Finale B"
"Riwal Le Berre","C1H","112.81","401.8","428.02","Finale B"
"Pierre-louis Vergnault","C1H","113.63","311.99","438.03","Finale B"
"Theo Renaud","C1H","115.54","442.72","461.35","Finale B"
"Olivier Leboeuf","C1H","118.01","500.4","491.49","Finale B"
"Valentin Feroc","C1H","118.29","428.86","494.92","Finale B"
"Etienne Chauvin","C1H","120.76","410.94","525.08","Finale B"
"Axel Meheust","C1H","123.05","436.5","553.02","Finale B"
"Luc Boisnard","C1H","125.68","503.47","585.13","Finale B"
"Hugo Regnier","C1H","126.17","493.64","591.12","Finale B"
"Cedric Collet","C1H","126.42","448.29","594.17","Finale B"
"Yanis Rainaud","C1H","127.23","487.25","604.05","Finale B"
"Mathieu Minie","C1H","129.24","482.42","628.6","Finale B"
"Vincent Acou","C1H","131.13","555.87","651.68","Finale B"
"Arthur Mizzi","C1H","136.1","512.24","712.35","Finale B"
"Julien Caillarec","C1H","141.69","514.93","780.59","Finale B"
"Thair Benzougar","C1H","199.43","631","1485.48","Finale B"
"Merwan Fliou","C1H","260.16","274.45","2226.88","Finale B"
"Mathias Pannetier","C1H","Des","-","-","Finale B"
"Daniel Bregazzi","C1H","Abs","-","-","Finale B"
"Patrick Jegou","C1H","Abs","-","-","Finale B"
"Herve Busson-Christophe Gergaud","C2H","126.06","460.52","519.82","Finale B"
"Alan Olivo-Mathis Daniel","C2H","131.38","533.08","581.81","Finale B"
"Simon Seuru-Ludovic Le Cointre","C2H","139.46","528.18","675.98","Finale B"
"Nicolas Maurel-Maxime Robin","C2H","161.59","699.86","933.86","Finale B"
"Luc Boisnard-Olivier Leboeuf","C2H","187.45","886.8","1235.21","Finale B"
"Marie-francoise Prigent-Jeanmichel Regnier","C2M","126.71","362.21","404.35","Finale B"
"Nicolas Bernardy-Anais Bernardy","C2M","130.2","313.53","441.63","Finale B"
"Camille Grasland-Nathan Leretrif","C2M","177.58","588.41","947.74","Finale B"
"Zoe Renaud","K1D","123.64","411.81","453.37","Finale B"
"Julie Dequeant","K1D","127.85","523.65","501.13","Finale B"
"Anais Pignet","K1D","132.61","449.6","555.13","Finale B"
"Lea Riera","K1D","143.9","589.15","683.2","Finale B"
"Camille Grasland","K1D","145.27","466.11","698.74","Finale B"
"Christine Le Gall","K1D","152.24","387.19","777.81","Finale B"
"Emma Puig","K1D","153.6","644.57","793.23","Finale B"
"Josephine Farges","K1D","157.33","652.44","835.54","Finale B"
"Simon Seuru","K1H","101.7","264.01","354.47","Finale B"
"Thierry Dugue","K1H","106.22","664.4","412.4","Finale B"
"Leo Tasset","K1H","106.24","346.07","412.66","Finale B"
"Patrick Jegou","K1H","106.6","320.29","417.28","Finale B"
"Yanis Rainaud","K1H","106.98","311.75","422.15","Finale B"
"Marc-antoine Nannette","K1H","107.5","425.56","428.81","Finale B"
"Mathieu Minie","K1H","109.11","309.15","449.45","Finale B"
"Pierre Guilchet","K1H","110.87","442.01","472.01","Finale B"
"Benjamin Harreau","K1H","111.25","477.45","476.88","Finale B"
"Pierre Texier","K1H","111.29","367.94","477.39","Finale B"
"Pierre Huan","K1H","112.01","455.81","486.62","Finale B"
"Samuel Breton","K1H","113.85","384.23","510.21","Finale B"
"Vincent Acou","K1H","114.24","403.84","515.21","Finale B"
"Thomas Brochard","K1H","114.25","383.21","515.34","Finale B"
"Zeph Scamps","K1H","114.57","436.17","519.44","Finale B"
"Luc Le Diouron","K1H","114.84","412.77","522.9","Finale B"
"Ludovic Le Cointre","K1H","116.46","344.11","543.67","Finale B"
"Vincent Laclide","K1H","116.89","407.63","549.18","Finale B"
"Killian Flegeau","K1H","117.22","559.35","553.41","Finale B"
"Valentin Soullard","K1H","117.25","405.79","553.79","Finale B"
"Valentin Rault","K1H","117.34","398.31","554.95","Finale B"
"Romain Poirier","K1H","118.41","379.29","568.66","Finale B"
"Paul Guegan","K1H","119.27","657.31","579.69","Finale B"
"Leo Paillat","K1H","119.64","557.79","584.43","Finale B"
"Thair Benzougar","K1H","119.9","506.68","587.76","Finale B"
"Kylian Lavole","K1H","120.01","475.85","589.17","Finale B"
"Leo Hachair","K1H","120.12","553.5","590.58","Finale B"
"Theo Rose","K1H","120.27","484.43","592.5","Finale B"
"Jerome Saliou","K1H","120.52","477.18","595.71","Finale B"
"Nicolas Leconte","K1H","121.6","451.95","609.55","Finale B"
"Thibaud Le Berre","K1H","122.66","583.69","623.14","Finale B"
"Mathis Busnel","K1H","123.26","536.33","630.83","Finale B"
"Antoine Repussard","K1H","123.27","545.27","630.96","Finale B"
"Daniel Bregazzi","K1H","123.76","488.85","637.24","Finale B"
"Erwann Le Jeune","K1H","124.39","570.9","645.32","Finale B"
"Brieg Le Paih","K1H","124.4","557.41","645.45","Finale B"
"Valentin Crenn","K1H","124.4","500.28","645.45","Finale B"
"Maxence Guiziou","K1H","124.45","608.59","646.09","Finale B"
"Nathanael Pedron","K1H","124.47","597.23","646.34","Finale B"
"Vincent Torzec","K1H","124.86","476.81","651.34","Finale B"
"Mathias Pannetier","K1H","124.94","605.97","652.37","Finale B"
"Arthur Millet","K1H","126.06","610.99","666.72","Finale B"
"Christian Belouin","K1H","126.74","617.58","675.44","Finale B"
"Gwenael Coadou","K1H","126.91","464.78","677.62","Finale B"
"Sylvain Decombe","K1H","127.58","529.22","686.21","Finale B"
"Thomas Floch","K1H","127.71","743.92","687.87","Finale B"
"Samuel Le Dean","K1H","127.85","578.17","689.67","Finale B"
"Jean Christophe Olivo","K1H","128.51","499.92","698.13","Finale B"
"Raphael Jean","K1H","129.23","493.17","707.36","Finale B"
"Lilian Bald","K1H","129.48","584.77","710.56","Finale B"
"Maxime Robin","K1H","129.8","745.67","714.67","Finale B"
"Jordan Daniel","K1H","129.95","430.21","716.59","Finale B"
"Tom Suteau","K1H","129.98","440.13","716.97","Finale B"
"Valentin Le Paih","K1H","131.14","542.97","731.84","Finale B"
"Aubin Davaic","K1H","131.16","636.63","732.1","Finale B"
"Antoine Bougette","K1H","132.04","574.01","743.38","Finale B"
"Nicolas Petipez","K1H","132.17","642.05","745.05","Finale B"
"Maxime Antoine","K1H","132.7","571.19","751.84","Finale B"
"NaËl Rajoub","K1H","134.99","686.71","781.19","Finale B"
"Malo Hery","K1H","135.33","808.03","785.55","Finale B"
"Yannick Faguet","K1H","135.82","531.55","791.83","Finale B"
"Gerard Lemonnier","K1H","136.16","655.44","796.19","Finale B"
"Nicolas Maurel","K1H","136.69","796.69","802.98","Finale B"
"Pierreyves Hellard","K1H","140.5","640.01","851.82","Finale B"
"Matisse Bourreau","K1H","141.31","603.11","862.21","Finale B"
"Thierry Le Bonniec","K1H","143.63","729.95","891.95","Finale B"
"Ali Kismi","K1H","143.76","740.65","893.61","Finale B"
"Guillaume Le Paih","K1H","146.96","724.06","934.63","Finale B"
"Lucas Berthelot","K1H","163.39","799.02","1145.24","Finale B"
"Clement Collardez","K1H","186.37","805.7","1439.81","Finale B"
"Jamie Whitehouse","K1H","189.16","546.23","1475.57","Finale B"
"Antonin Collobert","K1H","217.97","638.85","1844.87","Finale B"
"Nathan Leretrif","K1H","Abs","-","-","Finale B"
