"Sélectif Régional de slalom - Saut Du Sabot  - Finale - 2015-09-27","Finale","2015-09-27","Régional","159"
"Martin Jouves-Clemence Lartigue","C2MM","174.16","-","669.37","Finale A"
"Lea Wetzel","K1D","112.55","136.04","154.54","Finale A"
"Marjorie Delassus","K1D","116.75","158.63","196.57","Finale A"
"Natacha Delassus","K1D","118.19","153.15","210.98","Finale A"
"Lise Denat","K1D","125.9","219.79","288.13","Finale A"
"Violaine Truche","K1D","127.49","255.47","304.03","Finale A"
"Elsa Cailhol","K1D","130.52","308.84","334.35","Finale A"
"Marine Izac","K1D","132.21","341.9","351.26","Finale A"
"Laurene Roisin","K1DM","130.02","-","329.35","Finale A"
"Margot Beziat","K1DM","139.57","-","424.91","Finale A"
"Maeva Bachelot","K1DM","140.36","-","432.81","Finale A"
"Clemence Lartigue","K1DM","141.01","-","439.32","Finale A"
"Carla Lacroix","K1DM","142.01","-","449.33","Finale A"
"Camille Santa Cruz","K1DM","148.6","-","515.26","Finale A"
"Emma Angladette","K1DM","153.91","-","568.41","Finale A"
"Tom Scianimanico","K1H","97.35","56.32","129.08","Finale A"
"Damien Laborde","K1H","99.61","114.32","154.63","Finale A"
"Hugo Cailhol","K1H","99.63","84.37","154.86","Finale A"
"Sebastien Nouvel","K1H","100.3","145.95","162.44","Finale A"
"Titouan Dupras","K1H","100.73","126.2","167.3","Finale A"
"Maxime Tilhet","K1H","102.43","149.38","186.52","Finale A"
"Vincent Ablin","K1H","102.85","168.29","191.27","Finale A"
"Theo Lecomte","K1H","103.68","201.25","200.65","Finale A"
"Paul Cornut-chauvinc","K1H","104.51","127.45","210.04","Finale A"
"Theo Celjo","K1H","104.57","178.74","210.72","Finale A"
"Hippolyte Cail","K1H","104.96","208.62","215.13","Finale A"
"Hugo Crepeau","K1H","105.69","203.94","223.38","Finale A"
"Florent Iraundegui","K1H","106.48","254.17","232.31","Finale A"
"Pierre-louis Saussereau","K1H","106.56","257.33","233.22","Finale A"
"Otello Willmann Rosso","K1H","106.63","244.81","234.01","Finale A"
"Olivier Cail","K1H","107.01","246.06","238.31","Finale A"
"Nicolas Caussanel","K1H","107.52","145.86","244.07","Finale A"
"Nicolas Honzatko","K1H","107.54","258.5","244.3","Finale A"
"Maxime Garcia","K1H","107.59","314.85","244.86","Finale A"
"Tom Deconchy","K1H","108.57","208.88","255.95","Finale A"
"Louis Midy","K1H","109.02","197.89","261.03","Finale A"
"Jean-francois Souville","K1H","110.87","274.47","281.95","Finale A"
"Jonathan Delagnes","K1H","111.42","126.99","288.17","Finale A"
"Flavien San Augustin","K1H","112.58","270.27","301.29","Finale A"
"Quentin Clerc","K1H","114.47","268.1","322.66","Finale A"
"Theau Le Loch","K1H","115.01","296.86","328.76","Finale A"
"Hugo Mouffle","K1H","116.1","259.63","341.09","Finale A"
"Paul Pradalie","K1H","117.42","341.69","356.01","Finale A"
"Matthieu Demarty","K1H","118.16","346.22","364.38","Finale A"
"Herve Clerc","K1H","122.9","347.31","417.98","Finale A"
"Gregoire Guerin","K1H","Abs","-","-","Finale A"
"Anatole Delassus","K1HM","112.1","-","295.86","Finale A"
"Tom Bouchardon","K1HM","114.8","-","-","Finale A"
"Valentin Courtiade","K1HM","121.97","-","407.46","Finale A"
"Leo Vuitton","K1HM","123.12","-","420.46","Finale A"
"Arthur Cousty","K1HM","125.28","-","444.89","Finale A"
"Martin Jouves","K1HM","127.07","-","465.13","Finale A"
"Tino Forgues","K1HM","127.55","-","470.55","Finale A"
"Thibault Clerc","K1HM","128.65","-","482.99","Finale A"
"Felix Praderie","K1HM","129.59","-","493.62","Finale A"
"Antonin Maystre","K1HM","131.29","-","512.84","Finale A"
"Elliot Perez","K1HM","131.6","-","516.35","Finale A"
"Guilhem Viguier","K1HM","138.54","-","594.82","Finale A"
"Simeon Althabegoity","K1HM","140.05","-","611.89","Finale A"
"Samuel Taillefer","K1HM","179.71","-","1060.34","Finale A"
"Yanis Clerc","K1HM","Abs","-","-","Finale A"
"Alice Pradalie","C1D","283.66","-","1706.14","Finale B"
"Xavier Henry","C1H","125.55","352.59","385.34","Finale B"
"Theau Le Loch","C1H","131.05","445.32","444.57","Finale B"
"Luc Sarramea","C1H","133.35","362.96","469.34","Finale B"
"Lionel Aguilhon","C1H","137.51","488.05","514.13","Finale B"
"Ugo Rolland","C1H","144.62","374.82","590.7","Finale B"
"Elzear Felician","C1H","Abs","-","-","Finale B"
"Natan Brule","C1H","Abs","-","-","Finale B"
"Marc Sarramea","C1HM","155.86","-","711.74","Finale B"
"Hugo Mouffle-Theau Le Loch","C2H","138.68","378.12","458.85","Finale B"
"Samuel De Severac-Guillaume Viguier","C2H","168.06","789.72","760.86","Finale B"
"Maxime Garcia-Xavier Henry","C2H","169.73","-","778.02","Finale B"
"Elzear Felician-Natan Brule","C2H","172.75","-","809.06","Finale B"
"Agathe Gewiss","K1D","142.27","379.04","456.93","Finale B"
"Jeanne Pecot","K1D","155.82","497.76","592.52","Finale B"
"Cleo Santini","K1D","165.94","644.55","693.78","Finale B"
"Helene Courtel","K1D","185.75","-","892.01","Finale B"
"Alice Pradalie","K1D","191.47","-","949.23","Finale B"
"Clementine Colle","K1D","216.8","1068.51","1202.69","Finale B"
"Ismaella Khattou","K1D","273.09","-","1765.96","Finale B"
"Eglantine Coustellier","K1DM","156.83","-","602.62","Finale B"
"Carla Voineau","K1DM","164.9","-","683.37","Finale B"
"Lyse Brichet","K1DM","180.81","-","842.57","Finale B"
"Lucile Cans","K1DM","189","-","924.53","Finale B"
"Lea Hubert","K1DM","193.21","-","966.65","Finale B"
"Lea Pages","K1DM","250.78","-","1542.71","Finale B"
"Margot Ousset","K1DM","254.24","-","-","Finale B"
"Gregoire Pouille","K1H","114.44","298.05","327.32","Finale B"
"Pierrealain Clerc","K1H","116.17","328.66","346.88","Finale B"
"Vincent Ardonceau","K1H","117.31","366.65","359.77","Finale B"
"Bastien Daniel","K1H","118.37","383.06","371.76","Finale B"
"Luc Sarramea","K1H","118.48","349.75","373","Finale B"
"Marc Cordier","K1H","118.55","328.45","373.79","Finale B"
"Loic Thibaut","K1H","120.06","405.95","390.86","Finale B"
"Patrick Clerc","K1H","120.16","420.67","392","Finale B"
"Jose Pereira","K1H","120.38","413.68","394.48","Finale B"
"Francois Giondini","K1H","120.41","375.46","394.82","Finale B"
"Clement Caillard","K1H","121.99","392.34","412.69","Finale B"
"Ludovic Delahaye","K1H","122.62","-","419.81","Finale B"
"Guillaume Viguier","K1H","124.22","445.79","437.9","Finale B"
"Natan Brule","K1H","124.37","439.84","439.6","Finale B"
"Kenae Brassier","K1H","125.24","451.67","449.44","Finale B"
"Nicolas Saurat","K1H","126.08","472.01","458.93","Finale B"
"Eric Vidou","K1H","126.12","402.7","459.39","Finale B"
"Theo Ducasse","K1H","126.79","389.83","466.96","Finale B"
"Marc Cailhol","K1H","126.82","493.01","467.3","Finale B"
"Frederic Reus","K1H","128.56","425.32","486.97","Finale B"
"Samuel De Severac","K1H","130.97","562.87","514.23","Finale B"
"Aven Gilham","K1H","131.38","590.74","518.86","Finale B"
"Lionel Aguilhon","K1H","134.07","477.08","549.28","Finale B"
"Nathan Pavot","K1H","134.33","470.75","552.22","Finale B"
"Maxime Pourret","K1H","134.38","636.49","552.78","Finale B"
"Damien Caillard","K1H","136.73","539.12","579.35","Finale B"
"Elzear Felician","K1H","137.4","597.74","586.93","Finale B"
"Gauthier Sanchou","K1H","139.14","837.13","606.6","Finale B"
"Nicolas Chassaing","K1H","153.14","-","764.9","Finale B"
"Theophile Prunetfoch","K1H","248.6","2376.24","1844.28","Finale B"
"Marc Sarramea","K1HM","137.78","-","591.23","Finale B"
"Felix Sperandio","K1HM","141.08","-","628.54","Finale B"
"Elian Giondini","K1HM","141.54","-","633.74","Finale B"
"Renaud Clerc","K1HM","151.03","-","741.05","Finale B"
"Thomas Fernandez","K1HM","152.59","-","-","Finale B"
"Clement Sempe","K1HM","156.9","-","807.42","Finale B"
"Nino De Dianous","K1HM","159.03","-","831.5","Finale B"
"Pablo Chaminade","K1HM","160.11","-","-","Finale B"
"Marius Dipaolantonio","K1HM","162.8","-","-","Finale B"
"Hugo Lavedan","K1HM","165.63","-","906.13","Finale B"
"Esteban Illido","K1HM","170.13","-","-","Finale B"
"Tom Gonzales","K1HM","170.93","-","966.06","Finale B"
"Abel Boidron","K1HM","183.82","-","1111.81","Finale B"
"Jean Cougul","K1HM","229.85","-","1632.28","Finale B"
