"Slalom d'automne - Stade D'eau Vive Du Rebech - Finale - 2015-10-25","Finale","2015-10-25","Régional","249"
"Elsa Cailhol","C1D","289.4","444.63","1891.57","Finale B"
"Lucile Cans","C1DM","211.4","-","1123.12","Finale B"
"Luc Sarramea","C1H","112.86","337.25","311.16","Finale B"
"Simon Cayez","C1H","113.04","290.16","313.18","Finale B"
"Benoit Pacteau","C1H","113.38","277","317.01","Finale B"
"Ugo Rolland","C1H","114.67","351.94","331.54","Finale B"
"Addwyn Martinez","C1H","117.33","274.82","361.48","Finale B"
"Xavier Henry","C1H","119.41","335.44","384.9","Finale B"
"Theo Celjo","C1H","120.32","-","395.14","Finale B"
"Remi Parayre","C1H","120.45","367.35","396.61","Finale B"
"Antoine Roux","C1H","153.43","137.4","767.95","Finale B"
"Enrick Cunsolo","C1H","156.33","225.9","800.6","Finale B"
"Paul Lebrasseur","C1H","242.22","-","1767.66","Finale B"
"Theau Le Loch","C1H","242.64","432.68","1772.39","Finale B"
"Francois Mouttou","C1H","345.01","571.35","2925","Finale B"
"Karl Bouthegourd","C1H","430.86","544.56","3891.62","Finale B"
"Leo Vuitton","C1HM","129.7","582.07","500.76","Finale B"
"Felix Sperandio","C1HM","220.97","-","1528.4","Finale B"
"Arthur Cousty","C1HM","458.24","-","4199.9","Finale B"
"Nicolas Baudoin-Benjamin Jacon","C2H","114.61","-","272.2","Finale B"
"Theo Roisin-Hugo Crepeau","C2H","115.69","309.01","283.81","Finale B"
"Louis Midy-Hippolyte Cail","C2H","124.44","371.57","377.85","Finale B"
"Maxime Garcia-Xavier Henry","C2H","144.91","-","597.85","Finale B"
"Elzear Felician-Natan Brule","C2H","195.83","729.09","1145.11","Finale B"
"Renaud Clerc-Thibault Clerc","C2HM","204.58","-","1239.16","Finale B"
"Manon Prioux","K1D","116.02","216.24","254.26","Finale B"
"Elsa Cailhol","K1D","120.48","320.3","300.91","Finale B"
"Marine Izac","K1D","127.34","299.08","372.68","Finale B"
"Oriane Guichet","K1D","129.21","318.17","392.25","Finale B"
"Celine De La Morinerie","K1D","132.38","436.42","425.41","Finale B"
"Alixe Degremont","K1D","134.4","219.09","446.54","Finale B"
"Astrid Coste","K1D","137.04","262.24","474.16","Finale B"
"Agathe Gewiss","K1D","139.45","379.04","499.38","Finale B"
"Oceane Baylacq","K1D","140.24","-","507.64","Finale B"
"Lucie Adisson","K1D","182.2","382","946.64","Finale B"
"Jeanne Pecot","K1D","188.07","491.36","1008.06","Finale B"
"Stephanie Kaczmarek","K1D","221.14","220.83","1354.04","Finale B"
"Clea Tasserit","K1D","268.01","508.97","1844.4","Finale B"
"Clarisse Hoogland","K1D","438.47","627.45","3627.79","Finale B"
"Cleo Santini","K1D","Abd","-","-","Finale B"
"Emmanuelle Monguillet","K1D","Nt","-","-","Finale B"
"Elorri Erdois","K1DM","124.04","-","338.16","Finale B"
"Maeva Bachelot","K1DM","138.03","535.84","484.52","Finale B"
"Oceane Dorval","K1DM","146.12","-","569.17","Finale B"
"Marion Pasquali","K1DM","191.34","424.9","1042.26","Finale B"
"Elke Saragas","K1DM","251.87","1241.96","1675.54","Finale B"
"Lea Pages","K1DM","263.4","-","1796.17","Finale B"
"Clara Jannic","K1DM","323.99","3015.51","2430.08","Finale B"
"Lyse Brichet","K1DM","Des","-","-","Finale B"
"Guillaume Graille","K1H","89.86","76.61","102.78","Finale B"
"Gregoire Pouille","K1H","105.47","298.05","287.32","Finale B"
"Vincent Ardonceau","K1H","107.71","343.47","313.8","Finale B"
"Remi Dramard","K1H","110.91","-","351.64","Finale B"
"Jacques Roisin","K1H","111.32","350.23","356.48","Finale B"
"Lucien Goulet","K1H","111.56","364.7","359.32","Finale B"
"Marc Cordier","K1H","112.98","334.27","376.11","Finale B"
"Luc Sarramea","K1H","113.56","328.24","382.96","Finale B"
"Theo Ducasse","K1H","114.94","388.51","399.28","Finale B"
"Komlangan Gassou","K1H","115.73","421.56","408.62","Finale B"
"Nathaniel Levy","K1H","115.74","520.7","408.74","Finale B"
"Julien Delaleux","K1H","116.13","312.37","413.35","Finale B"
"Guillaume Viguier","K1H","116.46","440.11","417.25","Finale B"
"Loic Thibaut","K1H","116.95","389.68","423.04","Finale B"
"Louis Foissac","K1H","117.25","388.62","426.59","Finale B"
"Nayl Tazi-sidqui","K1H","117.63","387.38","431.08","Finale B"
"Eric Vidou","K1H","118.63","402.7","442.9","Finale B"
"Julien Guyomard","K1H","119.13","-","448.81","Finale B"
"Karl Bouthegourd","K1H","119.26","403.58","450.35","Finale B"
"Clement Caillard","K1H","119.48","391.57","452.95","Finale B"
"Valentin Affortit","K1H","119.67","505.81","455.2","Finale B"
"Yann Tabone","K1H","120.8","402.86","468.56","Finale B"
"Nicolas Saurat","K1H","122.9","458.66","493.38","Finale B"
"Thiefaine Verge","K1H","124.18","533.93","508.52","Finale B"
"Jerome Muller","K1H","124.19","402.57","508.64","Finale B"
"Marc Cailhol","K1H","126.39","472.5","534.64","Finale B"
"Franck Le Coz","K1H","128.17","485.19","555.69","Finale B"
"Anton Gille","K1H","130.57","554.39","584.06","Finale B"
"Hugo Avril","K1H","131.67","575.88","597.07","Finale B"
"Jeremy Mallo","K1H","133.67","577.75","620.71","Finale B"
"Quentin Laplace","K1H","150.81","769.09","823.34","Finale B"
"Gilles Tricard","K1H","165.11","640.31","992.4","Finale B"
"Franck Vanhoutteghem","K1H","168.29","653.05","1030","Finale B"
"Loup Fauries","K1H","170.11","439.06","1051.51","Finale B"
"Bertrand Cazaux","K1H","180.23","-","1171.16","Finale B"
"Nicolas Chassaing","K1H","191.46","-","1303.92","Finale B"
"Elzear Felician","K1H","195.05","571.17","1346.36","Finale B"
"Nathan Pavot","K1H","196.39","459.47","1362.2","Finale B"
"Alexandre Dubrous","K1H","202.37","660.42","1432.9","Finale B"
"Robin Plancade","K1H","202.67","593.97","1436.45","Finale B"
"Marceau Hugues","K1H","223.81","610.45","1686.37","Finale B"
"Damien Caillard","K1H","247.73","563.67","1969.16","Finale B"
"Daniel Lafitte","K1H","267.14","-","2198.63","Finale B"
"Hugo Nerisson","K1H","322.43","698.76","2852.29","Finale B"
"Remi Parayre","K1H","361.92","331.31","3319.15","Finale B"
"Pierrick Sure","K1H","362.24","-","3322.93","Finale B"
"Maurice Pubert","K1H","Des","-","-","Finale B"
"Alexandre Florent","K1H","Abd","-","-","Finale B"
"Bastien Cothenet","K1H","Abd","-","-","Finale B"
"Arthur Cousty","K1HM","117.36","-","427.89","Finale B"
"Simon Metra","K1HM","119.92","-","458.15","Finale B"
"Tino Forgues","K1HM","120.15","543.34","460.87","Finale B"
"Guilhem Viguier","K1HM","125.4","608","522.94","Finale B"
"Antonin Maystre","K1HM","131.33","581.92","593.05","Finale B"
"Gedeon Cothias-faure","K1HM","136.34","-","-","Finale B"
"Samuel Taillefer","K1HM","136.53","761.64","654.52","Finale B"
"Aymeric Rivier","K1HM","139.31","723.14","687.39","Finale B"
"Nour Ait Kaddour","K1HM","139.74","-","692.47","Finale B"
"Felix Sperandio","K1HM","141.76","-","716.35","Finale B"
"Angus Cruickshank","K1HM","150.21","-","-","Finale B"
"Maxime Reubrez","K1HM","206.52","-","-","Finale B"
"Tom Gonzales","K1HM","239.34","907.47","1869.97","Finale B"
"Axel Poletto","K1HM","281.28","-","-","Finale B"
"Julien Coric","K1HM","297.63","-","-","Finale B"
"Jean Cougul","K1HM","420.22","-","4008.39","Finale B"
"Renaud Clerc","K1HM","Abd","-","-","Finale B"
