"Séléctif régional de slalom - Aubeterre - 2007-10-07","Course 1","2007-10-07","Régional","128"
"Come Hebert-David Soulier","C2H","271.37","-","346",""
"Felix Merzeau-Jimmy Besson","C2H","290.28","-","436",""
"Praille Clement- Herve Maxime","C2H","308.15","527","521",""
"Baptiste Piveteau-Kevin Giry","C2H","312.41","-","541",""
"Maxime Bardieux-Ronan Goualc'h","C2H","344.86","-","695",""
"Guillaume Chainier-Valentin Marin","C2H","345.72","-","699",""
"Boris Bouillaud-Thomas Chagnaud","C2H","347.52","-","708",""
"Chauvin Etienne- Besse Jordy","C2H","358.34","-","760",""
"Dieusard Thomas- Rochier Olivier","C2H","380.13","-","863",""
"Emilie Chamouleau-Sylvain Brunet","C2M","293.60","-","427",""
"Guillaume Chasseriault-Angelique Chasseriault","C2M","355.54","906","717",""
"Blanloeuil Sandra- Hocking William","C2M","380.70","-","835",""
"Frederique Merle","K1D","252.86","220","268",""
"Emilie Chamouleau","K1D","256.83","-","288",""
"Christelle Macaire","K1D","264.22","227","323",""
"Colombine Courouble","K1D","278.73","344","393",""
"Marion Villeger","K1D","281.36","243","406",""
"Mathilde Pelletan","K1D","288.90","430","442",""
"Marielle Counil","K1D","312.70","1237","556",""
"Angelique Chasseriault","K1D","345.80","621","715",""
"Zunino Lucie","K1D","345.91","-","715",""
"Alison Drouet","K1D","351.02","-","740",""
"Dieusard Elodie","K1D","358.67","-","776",""
"Moraud Sylvie","K1D","435.96","-","1148",""
"Pelletant Katia","K1D","445.73","-","1195",""
"Charlotte Robuchon","K1D","461.29","-","1269",""
"Caroline Michaud","K1D","545.86","-","1675",""
"Lucas Kelifaoui","K1H","206.16","121","163",""
"David Riffaud","K1H","213.10","140","201",""
"Julien Riffaud","K1H","226.98","145","275",""
"Herve Launay","K1H","228.15","145","282",""
"Philippe Niquet","K1H","228.69","236","285",""
"Thibaud Delaunay","K1H","229.25","138","288",""
"Philippe Metran","K1H","229.41","-","289",""
"Alexandre Di Nisi","K1H","229.90","219","290",""
"Quentin Lyphout","K1H","231.51","290","299",""
"Louis-maxime Main","K1H","231.52","220","299",""
"Damien Caillon","K1H","231.90","223","301",""
"Fabien Cambon","K1H","232.99","281","307",""
"Jean Messialle","K1H","238.21","246","335",""
"Maxime Perrin","K1H","239.06","288","340",""
"Marc Robert","K1H","245.09","297","372",""
"Felix Merzeau","K1H","245.38","-","374",""
"Benjamin Sanella","K1H","246.99","368","382",""
"Valentin Giret","K1H","248.67","356","392",""
"Delahaie Emmanuel","K1H","248.76","-","392",""
"Climaque Cedric","K1H","249.16","-","394",""
"Baptiste Piveteau","K1H","249.92","488","399",""
"David Peigne","K1H","250.16","433","400",""
"Antoine Launay","K1H","250.62","-","402",""
"Maxime Bardieux","K1H","251.29","-","406",""
"Valentin Lesseau","K1H","253.44","389","417",""
"Christophe Marechal","K1H","254.60","30","423",""
"Xavier Flatreau","K1H","257.62","340","440",""
"Guillaume Chasseriault","K1H","257.99","397","442",""
"Luc Jauvin","K1H","258.49","-","445",""
"Mathieu Laroze","K1H","259.02","993","448",""
"Antoine Michaud","K1H","260.53","-","455",""
"Jean-philippe Brothier","K1H","261.31","-","459",""
"Paul Messialle","K1H","264.91","-","479",""
"Thomas Perrin","K1H","266.21","749","486",""
"Jean-noel Biteau","K1H","267.07","408","490",""
"Valentin Marin","K1H","268.94","937","500",""
"Thomas Pierre","K1H","269.44","-","503",""
"Valentin Soullard","K1H","271.95","568","517",""
"Etienne Chauvin","K1H","272.41","-","520",""
"Antoine Delcourt","K1H","272.52","-","520",""
"Champagne Yoann","K1H","273.53","-","526",""
"Chagnaud Thomas","K1H","273.82","-","527",""
"Matthias Jauvin","K1H","275.15","-","534",""
"Dieusard Thomas","K1H","278.25","-","551",""
"Charlie Baron","K1H","278.66","578","553",""
"Thibaud Soumagne","K1H","284.18","-","582",""
"Guillaume Crochet","K1H","288.21","-","605",""
"Gaetan Robin","K1H","290.51","979","616",""
"Merzeau Michel","K1H","291.05","-","619",""
"Gerard Folle","K1H","292.83","693","629",""
"Bouillaud Boris","K1H","294.32","-","637",""
"Julien Neymond","K1H","299.27","844","664",""
"Guillaume Chainier","K1H","299.63","-","666",""
"Etienne Baudry","K1H","300.06","929","668",""
"Olivier Nonnet","K1H","306.77","-","704",""
"Niall Woulfe","K1H","311.53","-","729",""
"Menanteaud Stephane","K1H","316.82","-","758",""
"Baptiste Renaudin","K1H","323.37","-","793",""
"Le Ronce Adrien","K1H","333.60","-","848",""
"Thomas Renaud","K1H","362.57","-","1005",""
"Maussion Remi","K1H","373.34","-","1062",""
"Jeremy Raynaud","K1H","457.94","-","1517",""
"Jonathan Bourdier","K1H","480.95","-","1641",""
