"Sélectif Régional Slalom (Double) - Porcieu Amblagnieu - Course n°1 | Qualification - 2017-10-28","Course n°1 | Qualification","2017-10-28","Régional","315"
"Jean Philippe Roche","K1H","100.96","283.71","295.65",""
"Sylvain Curinier","K1H","101.12","289.39","297.68",""
"Bertrand Bercon","K1H","101.6","282.01","303.78",""
"Lucas Dominguez","K1H","102.43","311.03","314.32",""
"Teo Bouvier","K1H","103.21","303.33","324.23",""
"Jolan Schmocker","K1H","103.87","-","332.61",""
"Erwann Buthod","K1H","103.95","390.73","333.62",""
"Enzo Cozette","K1H","104.05","325.09","334.89",""
"Damien Burteaux","K1H","104.15","370.59","336.16",""
"Alexandre Marin","K1H","104.16","262.52","336.29",""
"Loic Trenchant","K1H","104.25","385.49","337.43",""
"Philippe Babin","K1H","105.23","358.67","349.88",""
"Yann Leruste","K1H","105.24","334.59","350.01",""
"Victor Paulais","K1H","105.43","365.65","352.42",""
"Axel Kournwsky","K1H","105.98","322.43","359.4",""
"Patrice Campioni","K1H","106.67","320.59","368.17",""
"Eddy Cassard","K1H","106.78","373.07","369.56",""
"Joachim Saussol","K1H","106.91","442.73","371.21",""
"Luca Gabelli","K1H","107.01","408.32","372.48",""
"Leonard Painteaux","K1H","107.09","438.84","373.5",""
"Kilian Cottet","K1H","107.22","387.92","375.15",""
"Hafiz Ali Hassan","K1H","107.44","356.81","377.95",""
"Hugo Martin -laemle","K1H","108.77","349.54","394.84",""
"Aurelien Merieux Danneaux","K1H","109.46","345.53","403.6",""
"Remy Beal","K1H","110.73","424.47","419.73",""
"Louis Mazoyer","K1H","110.81","327.55","420.74",""
"Dimitry Vandenabeele","K1H","111.17","335.2","425.32",""
"Jorg Blees","K1H","111.4","385.07","428.24",""
"Guillaume Maillot","K1H","111.53","310.48","429.89",""
"Yazid Koraichi","K1H","111.67","398.32","431.67",""
"Theo Beucler","K1H","112.01","499.83","435.98",""
"Herve Vitali","K1H","112.61","438.38","443.6",""
"Djimy Kar","K1H","112.66","461.76","444.24",""
"Florian Jarousse","K1H","113.45","609.8","454.27",""
"Arthur Talarmain","K1H","113.79","681.63","458.59",""
"Nicolas Demofsqui","K1H","115.22","471.72","476.75",""
"Emmanuel Triomphe","K1H","115.73","413.07","483.23",""
"Paul Farrugio","K1H","115.85","576.54","484.75",""
"Jerome Talbot","K1H","115.94","436.12","485.89",""
"Benjamin Guyon","K1H","115.99","421.09","486.53",""
"Philippe Couchoud","K1H","116.17","491.35","488.81",""
"Guillaume Belet","K1H","116.68","433.25","495.29",""
"Yves Masson","K1H","116.78","474.37","496.56",""
"Enzo Mazouat","K1H","116.94","636.14","498.59",""
"Matthis Fradin","K1H","119.8","785.65","534.91",""
"Felix Balas","K1H","120.76","476.99","547.11",""
"Sebastien Chapatte","K1H","120.95","513.28","549.52",""
"Etienne Wiche","K1H","121.17","268","552.31",""
"Frederic Brissaud","K1H","121.49","749","556.38",""
"Jonathan Ferreira","K1H","122.26","603.49","566.16",""
"Theo Soulier","K1H","123.21","404.96","578.22",""
"Antoine Luchier","K1H","125.01","911.73","601.08",""
"Aymeric Rivier","K1H","125.05","540.25","601.59",""
"Valentin Capel","K1H","126.02","549.08","613.91",""
"Batiste Ansaldi","K1H","126.52","437.82","620.26",""
"Francois Lecuit","K1H","127.23","613.2","629.27",""
"Serge Doby","K1H","127.61","792.5","634.1",""
"Maxence Galy","K1H","128.41","610.84","644.26",""
"Esteban Reder-issartel","K1H","128.71","786.62","648.07",""
"Baptiste Duboc","K1H","129.95","469.16","663.82",""
"Laurent Brossat","K1H","132.51","-","696.33",""
"Virgile Bessot","K1H","132.64","726.64","697.98",""
"Justin Murphy","K1H","133.83","795.83","713.09",""
"Jeremy Rouet","K1H","134.13","-","716.9",""
"Maxime Pilard","K1H","134.38","601.68","720.08",""
"Julien Lambert","K1H","136.05","1367.84","741.29",""
"Kevin Cheval","K1H","136.8","702.46","750.81",""
"Jean-marc Suarez","K1H","137.06","666.29","754.11",""
"Gregoire Guerin","K1H","139.71","131.63","787.77",""
"Marc Roussel","K1H","140.18","-","793.74",""
"Lucas Mancuso","K1H","141.26","709.13","807.45",""
"Loic Bertoia","K1H","144.92","75.08","853.93",""
"Mattheo Szkuta","K1H","144.98","1244.31","854.7",""
"Enzo Seker","K1H","145.9","-","866.38",""
"Tom Mazouat","K1H","146.36","567.7","872.22",""
"Alexandre Lambert","K1H","146.59","682.12","875.14",""
"Tom Babin","K1H","146.93","293.95","879.46",""
"Maxime Melmont","K1H","147.78","311.02","890.25",""
"Tom Armand","K1H","149.24","644.55","908.8",""
"Matthieu Rousseau","K1H","149.24","-","908.8",""
"Hugo Ronseaux - Dury","K1H","151.55","897.48","938.13",""
"Alexandre Goujon","K1H","153.97","318.25","968.87",""
"Alexis Pacholak","K1H","161.43","316.64","1063.61",""
"Thomas Michel","K1H","161.62","369.52","1066.02",""
"Jonathan Himpens","K1H","163.02","354.32","1083.8",""
"Yorick Richioud","K1H","163.72","1139.39","1092.69",""
"Julien Saguet","K1H","165.25","267.22","1112.12",""
"Kilian Godart","K1H","165.8","344.4","1119.1",""
"Gilles Barthelemy","K1H","172.72","555.02","1206.99",""
"Jean Bonnet","K1H","179.22","677.77","1289.54",""
"Erwan Degreve","K1H","181.12","489.08","1313.67",""
"Matthieu Fontanez","K1H","185.61","643.99","1370.69",""
"Adrien Jacquemet","K1H","189.84","505.91","1424.41",""
"Thibaut Jumetz","K1H","190.82","723.63","1436.85",""
"Kevin Vienny","K1H","191.37","760.11","1443.84",""
"Julien Coutet","K1H","210.86","1773.19","1691.36",""
"Matthew Vuillard","K1H","212.55","475.83","1712.82",""
"Romain Brouard","K1H","227.42","607.59","1901.67",""
"Virgile Lampert","K1H","244.96","1627.86","2124.42",""
"Raphael Massot","K1H","249.1","345.34","2177",""
"Tom Ollinet","K1H","259.93","-","2314.54",""
"Olivier Barriere","K1H","Abs","-","-",""
"Charles Fernandes De Oliveira","K1H","Abs","-","-",""
"Thomas Gossieaux","K1H","Abd","-","-",""
"Christophe Godinat","K1H","Abs","-","-",""
"Maxence Jehan","K1H","Abs","-","-",""
"Mohamed SaÏd Bekkadour","K1H","Abs","-","-",""
"Armand Rakowski","K1H","Abs","-","-",""
"Olivier Hardonniere","K1H","Abs","-","-",""
"Sebastien Lepaulard","K1H","Abs","-","-",""
"Pascal Hunault","K1H","Abs","-","-",""
"Luca Barone","K1H","Abs","-","-",""
"Henri Bergognon","K1H","Abs","-","-",""
"Edouard Chenal","K1HM","100.68","296.4","292.09",""
"Arthur Contamine","K1HM","101.18","394.93","298.44",""
"Antonin Robert","K1HM","105.08","359.32","347.97",""
"Clement Couchoud","K1HM","106.62","421.38","367.53",""
"Theo Douady","K1HM","108.6","358.94","392.68",""
"Baptiste Gaillard","K1HM","110.97","453.47","422.78",""
"Clement Grapotte","K1HM","112.39","474.38","440.81",""
"Corentin Georgeon","K1HM","113.73","497.67","457.83",""
"Tanguy Adisson","K1HM","113.8","491.29","458.72",""
"Theo Brun","K1HM","114.8","547.25","471.42",""
"Ugo Zanellato","K1HM","114.95","-","473.32",""
"Victor Lagleyze","K1HM","117.37","439.79","504.05",""
"Anthony Menissier","K1HM","119.22","554.71","527.55",""
"Antoine Mazoyer","K1HM","121.8","683.31","560.31",""
"Oscar Pasteur","K1HM","123.01","588.26","575.68",""
"Titouan Sourieau","K1HM","124.61","1098.92","596",""
"Florian Jumetz","K1HM","124.67","517.55","596.76",""
"Lucas Mirabel","K1HM","124.83","1128.01","598.79",""
"Matheo Dupont","K1HM","125.22","511.38","603.75",""
"Leo Parnotte","K1HM","127.31","713.58","630.29",""
"Luke Ribeyre","K1HM","130.23","1245.08","667.37",""
"Antonin Castille","K1HM","130.56","602.38","671.56",""
"Cosme Duboc","K1HM","132","625.43","689.85",""
"Maxime Devis","K1HM","132.92","674.65","701.54",""
"Daniel Chambert","K1HM","134.19","764.75","717.66",""
"Thibaud Chovin","K1HM","134.19","822.8","717.66",""
"Paul Lecomte","K1HM","135","759.82","727.95",""
"Maxime Pein","K1HM","135.79","829.76","737.98",""
"Sacha Caron","K1HM","139.15","1415.99","780.66",""
"Hugo Tellier","K1HM","140.3","691.32","795.26",""
"Tao Dersoir","K1HM","141.86","635.98","815.07",""
"Emilien Charrier","K1HM","145.84","1328.06","865.62",""
"Quentyn Maitre","K1HM","149.63","718.24","913.75",""
"Simon Lescaut","K1HM","152.77","-","953.63",""
"Gino Benini","K1HM","154.83","350.65","979.79",""
"Mael Hervault","K1HM","155.1","394.52","983.22",""
"Axel Gondard","K1HM","156.27","3353.41","998.08",""
"Enzo Laclef","K1HM","170.3","1303.53","1176.25",""
"Mathys Rene","K1HM","170.75","1130.1","1181.97",""
"Evan Trenchant","K1HM","171.05","1233.46","1185.78",""
"Gabin Chenal","K1HM","172.47","692.37","1203.81",""
"Leo Bayard","K1HM","175.22","823.48","1238.74",""
"Erwan Masson","K1HM","204.01","807.73","1604.36",""
"Oscar Puc","K1HM","215.77","937.49","1753.71",""
"Raphael Bonnard","K1HM","228.14","2105.04","1910.81",""
"Sam Pemberton","K1HM","244.33","1108.78","2116.42",""
"William Varela","K1HM","285","2643.62","2632.92",""
"Guillaume Mele","K1HM","Abd","-","-",""
"Damien Chamblay","K1HM","Abs","-","-",""
"Tao Colonna","K1HM","Abs","-","-",""
